lat_departure,lon_departure,lat_arrival,lon_arrival
49.18,-0.37,49.2044,-0.3253,
49.2044,-0.3253,49.2044,-0.3253,
49.1383,-0.3531,49.2044,-0.3253,
49.1739,-0.3211,49.2044,-0.3253,
49.2792,-0.2583,49.2044,-0.3253,
49.2042,-0.2972,49.2044,-0.3253,
49.2289,-0.3,49.2044,-0.3253,
49.2856,-0.1011,49.2044,-0.3253,
49.2933,-0.3794,49.2044,-0.3253,
49.1461,-0.3764,49.2044,-0.3253,
49.1817,-0.2822,49.2044,-0.3253,
49.3328,-0.4578,49.2044,-0.3253,
49.17,-0.4139,49.2044,-0.3253,
49.1264,-0.1675,49.2044,-0.3253,
49.155,-0.4525,49.2044,-0.3253,
49.2883,-0.1164,49.2044,-0.3253,
49.1817,-0.1844,49.2044,-0.3253,
49.3147,-0.3556,49.2044,-0.3253,
49.1808,-0.2689,49.2044,-0.3253,
49.2114,-0.5139,49.2044,-0.3253,
49.2836,-0.3153,49.2044,-0.3253,
49.1861,-0.4444,49.2044,-0.3253,
49.1578,-0.3919,49.2044,-0.3253,
49.1153,-0.165,49.2044,-0.3253,
49.1192,-0.3711,49.2044,-0.3253,
49.1461,-0.4542,49.2044,-0.3253,
49.2136,-0.4017,49.2044,-0.3253,
49.3011,-0.3189,49.2044,-0.3253,
49.2744,-0.3003,49.2044,-0.3253,
49.2078,-0.4778,49.2044,-0.3253,
49.3283,-0.39,49.2044,-0.3253,
49.1897,-0.4108,49.2044,-0.3253,
49.3322,-0.4219,49.2044,-0.3253,
49.2553,-0.3731,49.2044,-0.3253,
49.19,-0.2642,49.2044,-0.3253,
49.2781,-0.2033,49.2044,-0.3253,
49.1214,-0.2978,49.2044,-0.3253,
49.1347,-0.2953,49.2044,-0.3253,
49.2411,-0.2797,49.2044,-0.3253,
49.2344,-0.4469,49.2044,-0.3253,
49.0997,-0.5033,49.2044,-0.3253,
49.1003,-0.3739,49.2044,-0.3253,
49.1453,-0.2581,49.2044,-0.3253,
49.0933,-0.3531,49.2044,-0.3253,
49.1806,-0.5014,49.2044,-0.3253,
49.045,-0.325,49.2044,-0.3253,
49.1806,-0.2228,49.2044,-0.3253,
49.3222,-0.3728,49.2044,-0.3253,
49.2306,-0.1883,49.2044,-0.3253,
49.2311,-0.2575,49.2044,-0.3253,
49.1183,-0.3831,49.2044,-0.3253,
49.2325,-0.385,49.2044,-0.3253,
49.2581,-0.4558,49.2044,-0.3253,
49.2219,-0.3711,49.2044,-0.3253,
49.1439,-0.4253,49.2044,-0.3253,
49.1481,-0.4836,49.2044,-0.3253,
49.2058,-0.4317,49.2044,-0.3253,
49.2839,-0.5406,49.2044,-0.3253,
49.1247,-0.2114,49.2044,-0.3253,
49.1125,-0.4719,49.2044,-0.3253,
49.0564,-0.2172,49.2044,-0.3253,
49.1169,-0.4072,49.2044,-0.3253,
49.1661,-0.5258,49.2044,-0.3253,
49.2483,-0.2342,49.2044,-0.3253,
49.0775,-0.4925,49.2044,-0.3253,
49.08,-0.4008,49.2044,-0.3253,
49.1225,-0.5672,49.2044,-0.3253,
49.1703,-0.58,49.2044,-0.3253,
49.2878,-0.3547,49.2044,-0.3253,
49.1411,-0.5019,49.2044,-0.3253,
49.2794,-0.4231,49.2044,-0.3253,
49.2622,-0.2886,49.2044,-0.3253,
49.1383,-0.5294,49.2044,-0.3253,
49.1292,-0.4228,49.2044,-0.3253,
49.4428,1.0886,49.4311,1.0539,
49.4092,1.09,49.4311,1.0539,
49.3786,1.105,49.4311,1.0539,
49.4072,1.0531,49.4311,1.0539,
49.4311,1.0539,49.4311,1.0539,
49.4625,1.0872,49.4311,1.0539,
49.2858,1.0083,49.4311,1.0539,
49.47,1.1194,49.4311,1.0539,
49.4511,1.0361,49.4311,1.0539,
49.5444,0.9536,49.4311,1.0539,
49.3419,1.0914,49.4311,1.0539,
49.4819,1.0419,49.4311,1.0539,
49.4697,1.0497,49.4311,1.0539,
49.2808,1.0211,49.4311,1.0539,
49.4447,1.1511,49.4311,1.0539,
49.3575,1.0072,49.4311,1.0539,
49.3856,1.0275,49.4311,1.0539,
49.4547,1.1167,49.4311,1.0539,
49.2775,1.0406,49.4311,1.0539,
49.3003,1.0111,49.4311,1.0539,
49.4108,1.1419,49.4311,1.0539,
49.4883,1.0483,49.4311,1.0539,
49.4278,1.1278,49.4311,1.0539,
49.5683,0.9536,49.4311,1.0539,
49.5261,1.0403,49.4311,1.0539,
49.315,1.0356,49.4311,1.0539,
49.4881,0.8053,49.4311,1.0539,
49.5464,1.0756,49.4311,1.0539,
49.3028,1.1539,49.4311,1.0539,
49.4847,0.8753,49.4311,1.0539,
49.5081,1.0361,49.4311,1.0539,
49.3553,0.8175,49.4311,1.0539,
49.3881,1.2031,49.4311,1.0539,
49.4344,1.1506,49.4311,1.0539,
49.4019,1.13,49.4311,1.0539,
49.4989,1.1425,49.4311,1.0539,
49.2897,0.9242,49.4311,1.0539,
49.3311,1.2589,49.4311,1.0539,
49.5244,1.1844,49.4311,1.0539,
49.4403,1.2031,49.4311,1.0539,
49.5125,1.0794,49.4311,1.0539,
