lon,lat
-3.3422,47.7647,
-3.3422,47.7647,
-1.1986,48.3525,
-1.1986,48.3525,
-1.1986,48.3525,
-3.4553,48.7325,
-3.4553,48.7325,
-3.4553,48.7325,
-3.4553,48.7325,
-2.7344,47.6867,
-2.7344,47.6867,
-2.7344,47.6867,
-2.7344,47.6867,
-2.7344,47.6867,
-2.7344,47.6867,
-1.6861,48.1511,
-1.6861,48.1511,
-1.6861,48.1511,
-1.6861,48.1511,
-1.6861,48.1511,
-1.6861,48.1511,
-1.6861,48.1511,
-4.0683,48.5092,
-4.0683,48.5092,
-4.0683,48.5092,
-4.0683,48.5092,
-2.7381,48.4906,
-2.7381,48.4906,
-2.7381,48.4906,
-2.7381,48.4906,
-2.7381,48.4906,
-4.0225,47.9961,
-4.0225,47.9961,
-4.0225,47.9961,
-4.0225,47.9961,
-4.0225,47.9961,
