data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
6529563	6529563	0		0
6529563	2972191	117		10550
6529563	3031005	98		8826
6529563	3032213	55		4982
6529563	3026467	69		6223
6529563	6433030	112		10055
6529563	3020810	101		9100
6529563	2969257	77		6891
6529563	2989611	4		390
6529563	8293156	6		539
6529563	6434714	5		434
6529563	2979316	3		262
6529563	2970110	64		5770
6529563	6433106	108		9688
6529563	6433124	105		9466
6529563	6424379	68		6126
6529563	6433100	107		9608
6529563	2969779	62		5600
6529563	3016097	58		5230
6529563	3005811	65		5818
6529563	3026285	46		4180
6529563	3027531	63		5648
6529563	2995246	88		7947
6529563	6430921	100		8966
6529563	6448666	109		9847
6529563	2969102	106		9568
6529563	2996645	70		6266
6529563	2992293	99		8926
6529563	3018124	113		10142
6529563	6455925	110		9860
6529563	3010265	5		482
6529563	2990272	93		8389
6529563	8290211	96		8624
6529563	6434619	7		597
6529563	2987002	39		3540
6529563	2979226	1		119
6529563	6449183	9		796
6529563	3026222	24		2135
6529563	6448640	115		10388
6529563	2989994	54		4839
6529563	2992007	118		10607
6529563	6434705	5		426
6529563	3009484	21		1867
6529563	3034297	25		2239
6529563	6454162	60		5437
6529563	6430784	67		6032
6529563	6428217	87		7856
6529563	2994126	18		1596
6529563	2980107	104		9367
6529563	2970237	111		10019
6529563	2997996	110		9905
6529563	6434050	38		3382
6529563	2996444	57		5152
6529563	3020529	109		9782
6529563	2977308	4		352
6529563	2998856	71		6346
6529563	3020057	81		7259
6529563	6455928	103		9233
6529563	3036326	61		5469
6529563	6434738	38		3421
6529563	3032267	94		8475
6529563	6449157	69		6179
6529563	6433044	117		10501
6529563	2979790	99		8921
6529563	6434123	54		4872
6529563	3031702	50		4465
6529563	3026208	82		7412
6529563	2990550	22		1937
6529563	3036079	63		5671
6529563	3008020	34		3104
6529563	6434622	17		1498
6529563	6434132	75		6714
6529563	2969947	102		9213
6529563	6456884	52		4661
6529563	3029345	118		10655
6529563	2993261	95		8570
6529563	6433057	113		10149
6529563	2967755	80		7194
6529563	2990033	103		9234
6529563	2989281	8		708
6529563	3004468	66		5974
6529563	2976224	11		1007
6529563	6612441	107		9673
6529563	2990273	88		7885
6529563	6430881	110		9873
6529563	3022911	87		7801
6529563	2971553	105		9431
6529563	3027598	10		931
6529563	3018861	17		1568
6529563	6434061	80		7179
6529563	6614869	69		6190
6529563	2988632	58		5213
6529563	3016750	71		6396
6529563	2975370	70		6282
6529563	3023812	65		5826
6529563	6456751	98		8865
6529563	6448670	102		9200
6529563	2981488	13		1132
6529563	6449189	15		1307
6529563	2985116	54		4829
6529563	6434747	17		1492
6529563	6455030	65		5840
6529563	3008418	92		8246
6529563	6455923	108		9736
6529563	2992126	50		4539
6529563	2980950	9		831
6529563	3002086	69		6229
6529563	6434077	71		6383
6529563	2967595	46		4152
6529563	2967612	99		8946
6529563	2975147	4		399
6529563	2979699	55		4980
6529563	2978257	96		8681
6529563	2975513	119		10726
6529563	6434063	83		7436
6529563	6433095	102		9185
6529563	3026052	72		6477
6529563	3008662	22		2001
6529563	3035547	101		9058
6529563	2975067	98		8819
6529563	6434712	7		619
6529563	6434636	45		4056
6529563	2998718	105		9477
6529563	2986288	11		1003
6529563	6434584	15		1314
6529563	3022862	79		7066
6529563	2981898	81		7294
6529563	3023063	55		4978
6529563	2979890	70		6329
6529563	6434568	61		5485
6529563	6453919	81		7259
6529563	6448585	75		6706
6529563	2989879	79		7144
6529563	3037673	111		10030
6529563	2969750	96		8636
6529563	2979892	87		7831
6529563	3014001	80		7220
6529563	3024543	51		4615
6529563	2988903	45		4061
6529563	3036471	99		8877
6529563	3027625	60		5411
6529563	2974185	117		10530
6529563	6447427	112		10052
6529563	6616755	69		6168
6529563	3025315	14		1287
6529563	3027984	57		5167
6529563	2981305	114		10229
6529563	2994426	83		7459
6529563	3026231	90		8116
6529563	2972156	32		2925
6529563	2990261	62		5621
6529563	3007048	103		9304
6529563	3026053	116		10419
6529563	2968879	54		4835
6529563	2997371	17		1540
6529563	2971515	106		9529
6529563	3030974	37		3323
6529563	2988576	101		9095
6529563	2978420	87		7787
6529563	2986546	57		5155
6529563	6434070	67		6006
6529563	3016085	72		6472
6529563	3027923	64		5731
6529563	3038744	104		9365
6529563	2971056	86		7778
6529563	3009732	93		8393
6529563	6434744	25		2221
6529563	2990007	42		3761
6529563	3023260	54		4834
6529563	3013007	48		4364
6529563	3035786	84		7574
6529563	6434763	27		2424
6529563	2988374	23		2041
6529563	2975184	109		9818
6529563	6434641	18		1578
6529563	2969087	80		7234
6529563	6614114	8		718
6529563	3018189	83		7459
6529563	3037015	55		4990
6529563	2994161	107		9614
6529563	3034543	20		1844
6529563	2988905	28		2561
6529563	2977360	71		6417
6529563	3016101	11		974
6529563	3025152	25		2274
6529563	2990637	109		9829
6529563	2986962	109		9769
6529563	6432956	92		8243
6529563	2981062	31		2821
6529563	3034122	43		3865
6529563	3025006	65		5840
6529563	2975528	82		7384
6529563	3029705	104		9359
6529563	2973938	61		5489
6529563	6447484	93		8358
6529563	2970606	92		8325
6529563	3012170	73		6552
6529563	2969276	20		1834
6529563	2995647	93		8408
6529563	3036694	20		1810
6529563	3000246	64		5797
6529563	2979807	70		6312
6529563	3001817	38		3432
6529563	3031656	79		7140
6529563	2991895	63		5676
6529563	3002199	93		8349
6529563	6434752	12		1108
6529563	3026076	70		6344
6529563	3007276	15		1355
6529563	6613254	101		9049
6529563	3012502	33		2989
6529563	3030147	107		9652
6529563	3024843	90		8140
6529563	3034239	79		7095
6529563	2987001	37		3287
6529563	3023637	107		9634
6529563	6612443	111		10025
6529563	2981074	49		4390
6529563	3034245	109		9822
6529563	2978433	27		2455
6529563	6428188	81		7296
6529563	6434602	68		6135
6529563	2981669	106		9526
6529563	3034915	65		5828
6529563	6454057	90		8085
6529563	3026056	76		6859
6529563	3018052	77		6950
6529563	6430869	49		4444
6529563	3013006	15		1385
6529563	3025976	90		8078
6529563	6432920	116		10439
6529563	3032887	61		5500
6529563	6430929	92		8268
6529563	2974904	49		4410
6529563	2986588	86		7701
6529563	6433122	112		10060
6529563	2973735	43		3828
6529563	6433108	120		10799
6529563	2967236	63		5710
6529563	2995722	10		905
6529563	2974391	62		5538
6529563	2994585	86		7761
6529563	2997111	111		9985
6529563	2978365	82		7378
6529563	3035366	67		6046
6529563	3023641	59		5345
6529563	2983062	51		4612
6529563	6449137	31		2752
6529563	2980494	89		8023
6529563	6616821	41		3682
6529563	2997084	99		8873
6529563	6434087	75		6778
6529563	6434081	47		4199
6529563	2991160	59		5306
6529563	6613655	100		9038
6529563	3021854	58		5206
6529563	3026898	8		739
6529563	3035938	82		7406
6529563	3036083	60		5432
6529563	3028846	66		5975
6529563	2990912	67		6046
6529563	3021829	48		4332
6529563	3027903	9		847
6529563	2990274	65		5883
6529563	2987855	112		10059
6529563	2970627	90		8126
6529563	2967600	31		2759
6529563	3034548	110		9907
6529563	2977122	75		6779
6529563	2994591	24		2172
6529563	3030468	35		3158
6529563	3025316	54		4840
6529563	3015423	85		7614
6529563	3020043	22		2012
6529563	6447986	62		5624
6529563	6434644	10		921
6529563	3031146	90		8067
6529563	6428291	94		8493
6529563	2971810	96		8664
6529563	6433139	111		10008
6529563	3020730	19		1685
6529563	3009638	48		4340
6529563	3018886	84		7592
6529563	2998851	115		10343
6529563	3017336	90		8124
6529563	2974236	116		10440
6529563	2995248	83		7513
6529563	6453745	94		8488
6529563	2987948	117		10551
6529563	6434669	28		2504
6529563	6434624	19		1713
6529563	2997251	93		8352
6529563	6430706	88		7892
6529563	2973257	27		2457
6529563	2996141	120		10760
6529563	6434060	45		4088
6529563	3030645	41		3724
6529563	2968170	84		7553
6529563	2975216	57		5172
6529563	2968797	86		7742
6529563	2988942	35		3180
6529563	2982357	104		9319
6529563	2993345	76		6815
6529563	6434695	14		1247
6529563	3017672	55		4992
6529563	3026630	84		7561
6529563	3030628	48		4319
6529563	2998301	82		7337
6529563	6434749	80		7200
6529563	3026641	109		9771
6529563	2992793	67		6024
6529563	3034155	100		8971
6529563	3021777	58		5179
6529563	2984132	105		9481
6529563	2997123	75		6738
6529563	3005541	61		5530
6529563	3027350	107		9621
6529563	6454059	112		10061
6529563	2972986	66		5957
6529563	6433073	96		8628
6529563	6448610	100		9030
6529563	2978215	62		5596
6529563	2991226	39		3468
6529563	2990603	42		3741
6529563	3021458	40		3569
6529563	3020770	79		7126
6529563	6434631	26		2341
6529563	3011188	74		6648
6529563	3030663	35		3193
6529563	6616749	71		6366
6529563	3013496	66		5979
6529563	3027893	102		9196
6529563	3025000	79		7153
6529563	2989001	112		10066
6529563	3033228	93		8340
6529563	3010094	113		10212
6529563	2976679	42		3798
6529563	2990442	34		3050
6529563	2978663	16		1460
6529563	2990483	113		10177
6529563	2971375	69		6213
6529563	2978116	54		4852
6529563	6434670	54		4888
6529563	6430795	93		8393
6529563	2980514	100		8996
6529563	2995824	81		7252
6529563	3035365	75		6788
6529563	2996075	49		4414
6529563	2968073	58		5238
6529563	3018676	17		1501
6529563	2984733	41		3667
6529563	6434143	79		7067
6529563	3036590	24		2153
6529563	3026976	92		8305
6529563	3032069	38		3449
6529563	2990183	93		8378
6529563	2980796	42		3753
6529563	3036585	36		3204
6529563	2980324	98		8806
6529563	6434172	69		6217
6529563	2988902	72		6468
6529563	2987436	57		5155
6529563	2981129	112		10058
6529563	6434147	51		4563
6529563	3024996	80		7184
6529563	2968120	26		2327
6529563	2990480	70		6318
6529563	3026019	71		6380
6529563	3025094	86		7707
6529563	2979642	52		4714
6529563	2975740	112		10114
6529563	6456039	76		6801
6529563	2986183	85		7637
6529563	2994105	79		7096
6529563	3037119	14		1265
6529563	2980568	100		8986
6529563	3025088	60		5441
6529563	2990484	104		9335
6529563	3002383	87		7805
6529563	3025876	72		6452
6529563	2991861	50		4526
6529563	3025875	32		2916
6529563	3017106	52		4694
6529563	2969628	106		9510
6529563	6430852	55		4979
6529563	3038073	85		7679
6529563	2993913	62		5586
6529563	2975543	85		7624
6529563	6430803	98		8828
6529563	3028824	80		7185
6529563	2977587	76		6811
6529563	3009483	33		2928
6529563	2974089	53		4801
6529563	2972797	63		5663
6529563	3017907	66		5972
6529563	2979977	114		10276
6529563	3038094	81		7324
6529563	2975911	67		5993
6529563	6616830	37		3352
6529563	2981577	75		6733
6529563	3030428	102		9150
6529563	6430834	32		2862
6529563	3032403	62		5588
6529563	2976017	79		7086
6529563	3005761	48		4283
6529563	2975270	82		7346
6529563	2976533	57		5136
6529563	3032624	71		6414
6529563	6455656	103		9297
6529563	3031183	13		1146
6529563	3024585	118		10652
6529563	6456922	20		1825
6529563	3019026	108		9694
6529563	3016269	84		7532
6529563	2982966	62		5550
6529563	2976050	6		526
2972191	6529563	117		10550
2972191	2972191	0		0
2972191	3032213	62		5568
2972191	3026204	90		8094
2972191	6433030	12		1094
2972191	2969257	104		9381
2972191	2989611	114		10270
2972191	8293156	119		10683
2972191	2979316	116		10430
2972191	2970110	67		6056
2972191	6433106	18		1595
2972191	6433124	17		1497
2972191	6433100	14		1258
2972191	3026285	104		9362
2972191	2995246	29		2603
2972191	6448666	11		955
2972191	2969102	104		9364
2972191	2992293	19		1724
2972191	3018124	19		1720
2972191	6455925	16		1470
2972191	3010265	112		10107
2972191	6434619	114		10227
2972191	2979226	117		10528
2972191	3025132	35		3131
2972191	6448640	12		1109
2972191	2989994	64		5726
2972191	2992007	5		443
2972191	6448604	90		8075
2972191	6434705	119		10670
2972191	3009484	108		9705
2972191	3034297	92		8320
2972191	6428217	116		10428
2972191	2994126	100		8986
2972191	2970237	6		548
2972191	3005270	74		6617
2972191	2997996	26		2379
2972191	6434050	80		7169
2972191	3020529	9		774
2972191	2977308	113		10198
2972191	3002626	95		8510
2972191	6455928	18		1606
2972191	3032267	24		2198
2972191	6433044	19		1682
2972191	6434123	105		9419
2972191	3031702	117		10499
2972191	3026208	42		3787
2972191	3037018	96		8667
2972191	3008020	108		9728
2972191	6433031	23		2090
2972191	6434132	65		5887
2972191	2969947	16		1405
2972191	6456884	65		5889
2972191	3029345	68		6124
2972191	2993261	29		2653
2972191	6433057	5		467
2972191	2990033	24		2147
2972191	2989281	115		10345
2972191	2980403	15		1394
2972191	3030944	40		3558
2972191	3037133	103		9268
2972191	3027598	108		9726
2972191	6434061	58		5244
2972191	2978184	87		7821
2972191	3023812	59		5308
2972191	3024937	21		1862
2972191	6448670	25		2276
2972191	2981488	105		9462
2972191	3035548	17		1526
2972191	6449189	103		9243
2972191	6455030	113		10195
2972191	6455923	22		1976
2972191	2992126	68		6133
2972191	2980950	116		10452
2972191	6434077	46		4168
2972191	2967612	20		1845
2972191	2979699	62		5589
