data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
3006622	2974522	67		6065
3006622	2976274	39		3550
3006622	6617537	67		5989
3006622	2997768	21		1920
3006622	3021839	58		5185
3006622	6613498	28		2523
3006622	2997759	118		10613
3006622	3012174	93		8386
3006622	6447824	72		6497
3006622	6452493	56		5051
3006622	6442224	60		5441
3006622	3030803	69		6219
3006622	6442484	82		7367
3006622	2970687	94		8494
3006622	2989426	52		4669
3006622	6428919	25		2278
3006622	2990203	14		1305
3006622	2982395	13		1151
3006622	2982541	92		8254
3006622	6612775	103		9289
3006622	2995171	119		10744
3006622	3030314	13		1132
3006622	3023015	80		7172
3006622	3023370	7		610
3006622	3025988	48		4303
3006622	3036957	111		9980
3006622	3026095	59		5301
3006622	6613442	49		4397
3006622	6442338	85		7667
3006622	3013053	108		9691
3006622	6442392	87		7842
3006622	3008627	104		9333
3006622	2991573	70		6327
3006622	2982593	102		9214
3006622	2987808	42		3740
3006622	2967847	37		3321
3006622	3018134	108		9763
3006622	2991333	112		10064
3006622	2969959	47		4209
3006622	3031340	92		8310
3006622	2981142	63		5650
3006622	2972083	117		10488
3006622	6442415	83		7436
3006622	3021990	69		6254
3006622	2972723	14		1284
3006622	3025062	44		3940
3006622	3024624	112		10068
3006622	3036178	117		10516
3006622	6429698	105		9435
3006622	6442260	55		4967
3006622	2972419	68		6118
3006622	3014128	61		5466
3006622	2981274	113		10179
3006622	3004356	55		4917
3006622	2973382	85		7617
3006622	6442430	75		6731
3006622	6442288	76		6820
3006622	3026209	78		6986
3006622	2979310	30		2719
6447838	3006622	76		6855
6447838	6447838	0		0
6447838	3033791	77		6898
6447838	3027484	102		9196
6447838	2992938	66		5937
6447838	3021263	43		3890
6447838	6490278	92		8319
6447838	6429944	45		4046
6447838	6433608	72		6494
6447838	6454607	44		3933
6447838	3025496	77		6897
6447838	6447821	67		6065
6447838	2973510	77		6953
6447838	6428549	67		6037
6447838	2971030	66		5940
6447838	6441973	67		6053
6447838	6526607	69		6250
6447838	6454111	96		8602
6447838	3018032	76		6871
6447838	2997644	72		6513
6447838	2997076	61		5483
6447838	3027235	55		4991
6447838	3035828	48		4322
6447838	2981655	71		6419
6447838	2991692	49		4385
6447838	6441988	70		6260
6447838	2977229	104		9375
6447838	2997439	91		8200
6447838	8295798	104		9346
6447838	6454631	100		9007
6447838	6429815	68		6157
6447838	2975204	68		6098
6447838	2998996	27		2386
6447838	3021629	79		7147
6447838	6447839	67		6074
6447838	6454592	39		3553
6447838	3027642	103		9241
6447838	6442513	113		10171
6447838	2989837	82		7347
6447838	2995489	78		7012
6447838	3016332	60		5414
6447838	2971072	78		7015
6447838	2968379	53		4775
6447838	6613169	73		6612
6447838	3034535	29		2566
6447838	6429982	17		1538
6447838	6433662	80		7186
6447838	2996251	64		5731
6447838	6452602	74		6673
6447838	2989252	18		1587
6447838	6428669	75		6742
6447838	2996727	59		5325
6447838	2989725	80		7185
6447838	2986237	59		5291
6447838	2986467	51		4569
6447838	6433772	51		4582
6447838	2974413	68		6146
6447838	3027237	72		6465
6447838	6429772	70		6293
6447838	3015894	109		9844
6447838	3013448	69		6188
6447838	3021767	76		6851
6447838	6455993	84		7553
6447838	3021813	60		5390
6447838	6441947	77		6956
6447838	3019621	74		6667
6447838	6455085	42		3768
6447838	6453869	8		682
6447838	3020510	41		3708
6447838	3019248	68		6084
6447838	6442102	74		6675
6447838	2967641	63		5632
6447838	3001051	49		4435
6447838	3020991	43		3858
6447838	2975080	110		9872
6447838	2988971	99		8935
6447838	6433657	73		6562
6447838	3016147	79		7151
6447838	6430009	6		565
6447838	3015958	82		7412
6447838	3014928	79		7117
6447838	6442071	50		4489
6447838	2998126	49		4366
6447838	6430047	69		6238
6447838	6442090	69		6199
6447838	3026098	72		6456
6447838	3026500	61		5454
6447838	6433535	49		4451
6447838	3037158	64		5716
6447838	3027147	101		9118
6447838	6433750	35		3143
6447838	3016247	91		8170
6447838	6428804	80		7182
6447838	2993701	6		561
6447838	8295719	41		3667
6447838	3022433	98		8833
6447838	6442131	44		3951
6447838	2975203	74		6637
6447838	2998830	33		2944
6447838	2981805	103		9288
6447838	3005775	97		8699
6447838	3002256	54		4889
6447838	3030457	62		5560
6447838	3030552	92		8297
6447838	2974710	71		6419
6447838	6442522	105		9427
6447838	3017330	7		646
6447838	6442417	99		8897
6447838	6454601	21		1874
6447838	2991880	78		7036
6447838	6613623	46		4166
6447838	6617520	117		10554
6447838	3018605	74		6648
6447838	6429893	11		952
6447838	6429869	62		5539
6447838	8287943	8		735
6447838	2987874	76		6884
6447838	3029350	116		10469
6447838	2989425	40		3596
6447838	2992321	50		4464
6447838	2993604	93		8336
6447838	6429939	5		443
6447838	2993730	56		5019
6447838	6429714	7		649
6447838	2974175	93		8409
6447838	2975079	69		6232
6447838	2978666	95		8556
6447838	3017012	71		6397
6447838	2990247	42		3814
6447838	2985850	7		596
6447838	3034798	63		5684
6447838	3022665	76		6884
6447838	2986904	76		6813
6447838	6454603	68		6158
6447838	3017306	44		3963
6447838	2970653	68		6138
6447838	2978280	87		7795
6447838	3018011	104		9360
6447838	3022811	66		5980
6447838	6442416	80		7205
6447838	3030891	76		6883
6447838	2990620	69		6210
6447838	3021803	65		5853
6447838	6454612	96		8626
6447838	3012211	60		5388
6447838	6614470	74		6663
6447838	3021611	96		8668
6447838	2981609	57		5133
6447838	2996286	12		1055
6447838	2974525	104		9371
6447838	2970217	85		7615
6447838	3015132	10		916
6447838	6613947	7		617
6447838	2982994	109		9842
6447838	3016048	41		3702
6447838	2995940	74		6635
6447838	2981467	71		6380
6447838	6442037	42		3804
6447838	6617472	57		5088
6447838	6428627	73		6528
6447838	6615236	79		7096
6447838	6429917	71		6349
6447838	6447593	58		5251
6447838	3020053	101		9068
6447838	6612983	29		2652
6447838	3021822	73		6608
6447838	2970016	29		2638
6447838	6428792	71		6421
6447838	2989385	86		7711
6447838	2997535	59		5341
6447838	3025842	55		4986
6447838	3025298	81		7247
6447838	6442481	95		8537
6447838	3012026	66		5916
6447838	3019468	21		1907
6447838	2978804	114		10227
6447838	3022121	108		9745
6447838	2982175	105		9457
6447838	6442111	48		4283
6447838	2988163	8		755
6447838	2987878	72		6443
6447838	3036181	79		7134
6447838	2985840	111		9949
6447838	3021909	78		7020
6447838	3025614	10		885
6447838	6442318	80		7203
6447838	3021760	12		1103
6447838	2989929	10		873
6447838	2995610	20		1758
6447838	2982587	90		8101
6447838	2992683	56		5059
6447838	6616219	48		4313
6447838	6429981	64		5753
6447838	3032251	70		6267
6447838	3019336	86		7756
6447838	2985046	47		4193
6447838	3037221	58		5180
6447838	2990177	110		9874
6447838	3024796	77		6908
6447838	2984675	18		1655
6447838	3026999	47		4199
6447838	2968392	46		4183
6447838	3038381	65		5871
6447838	2994113	99		8904
6447838	3021493	9		845
6447838	2987268	39		3533
6447838	6429750	71		6386
6447838	2984691	43		3895
6447838	3012298	81		7251
6447838	6455716	54		4837
6447838	3036862	117		10489
6447838	3020855	107		9664
6447838	6441995	59		5277
6447838	3016945	44		3982
6447838	6614331	72		6475
6447838	3035830	8		759
6447838	2973329	62		5543
6447838	3018308	88		7913
6447838	6617548	98		8818
6447838	6429904	4		340
6447838	2976724	59		5322
6447838	3018028	72		6517
6447838	3008300	48		4321
6447838	3038561	77		6893
6447838	3023371	117		10542
6447838	6447840	4		337
6447838	3023095	65		5808
6447838	3016356	10		901
6447838	2994002	75		6756
6447838	2982210	72		6498
6447838	2994673	109		9803
6447838	6613476	49		4421
6447838	2976721	85		7693
6447838	3022856	92		8291
6447838	6428814	46		4184
6447838	3027527	5		420
6447838	2975538	93		8367
6447838	2974676	105		9488
6447838	6447567	75		6775
6447838	2991954	43		3854
6447838	3018097	5		416
6447838	3023756	76		6831
6447838	2994170	58		5192
6447838	3033045	82		7389
6447838	2991004	12		1098
6447838	3036942	65		5846
6447838	3021809	44		3919
6447838	6429818	46		4119
6447838	2997744	66		5932
6447838	6441855	73		6549
6447838	6617511	94		8463
6447838	2996020	13		1132
6447838	3024243	56		5014
6447838	3032228	95		8524
6447838	3021219	62		5570
6447838	2982001	89		8029
6447838	6428667	79		7071
6447838	2989142	97		8772
6447838	3014882	55		4985
6447838	3032430	64		5805
6447838	3017416	22		1986
6447838	6433709	87		7787
6447838	2974522	86		7733
6447838	3037736	76		6795
6447838	2976274	44		3997
6447838	6617537	105		9430
6447838	2992057	85		7606
6447838	2987921	79		7107
6447838	2997768	55		4982
6447838	3021839	23		2075
6447838	6613498	50		4536
6447838	6455332	80		7231
6447838	3002471	83		7480
6447838	2997759	87		7823
6447838	6447824	8		694
6447838	6452493	94		8485
6447838	3030803	13		1154
6447838	6442484	81		7314
6447838	2970687	103		9261
6447838	2989426	29		2630
6447838	6428919	71		6369
6447838	2990203	71		6406
6447838	2982395	66		5972
6447838	2982541	18		1638
6447838	3030314	64		5724
6447838	3023015	76		6883
6447838	3023370	78		7058
6447838	3025988	100		8977
6447838	3036957	100		9026
6447838	3026095	98		8783
6447838	2973551	69		6174
6447838	6613442	61		5524
6447838	6442338	100		8996
6447838	3013053	42		3807
6447838	2991573	34		3070
6447838	2969860	57		5114
6447838	2982593	37		3313
6447838	6451920	77		6908
6447838	2987808	35		3116
6447838	2967847	113		10153
6447838	3018134	65		5824
6447838	2991333	60		5429
6447838	2969959	85		7616
6447838	3031340	16		1472
6447838	2981142	95		8567
6447838	3038784	71		6386
6447838	3021990	13		1135
6447838	2982889	83		7457
6447838	2972723	67		6032
6447838	3025062	47		4207
6447838	3024624	40		3580
6447838	6429698	41		3672
6447838	6442260	100		8977
6447838	2972419	13		1130
6447838	3014128	24		2180
6447838	3004356	51		4552
6447838	2973382	12		1049
6447838	6442288	111		9990
6447838	3026209	90		8107
6447838	2979310	59		5323
3033791	6447838	77		6898
3033791	3033791	0		0
3033791	2992938	15		1344
3033791	3021263	119		10717
3033791	6429944	90		8078
3033791	6454607	52		4688
3033791	6447821	17		1575
3033791	2971030	20		1780
3033791	6441973	10		864
3033791	2997076	27		2420
3033791	2991692	67		6054
3033791	6441988	40		3617
3033791	6429815	13		1143
3033791	2975204	20		1796
3033791	2998996	66		5983
3033791	3021629	19		1666
3033791	6447839	12		1102
3033791	6454592	97		8725
3033791	2971072	3		278
3033791	2968379	66		5923
3033791	6613169	18		1622
3033791	3034535	49		4390
3033791	6429982	93		8402
3033791	2996251	21		1914
3033791	6452602	3		244
3033791	2989252	80		7182
3033791	2996727	43		3905
3033791	2989725	3		298
3033791	2986237	29		2612
3033791	2974413	14		1263
3033791	3027237	15		1309
3033791	6429772	15		1339
3033791	3013448	22		2008
3033791	3021767	3		241
3033791	3021813	20		1778
3033791	6441947	43		3883
3033791	3019621	3		241
3033791	6455085	115		10384
3033791	6453869	72		6469
3033791	3020510	54		4823
3033791	3019248	16		1431
3033791	6442102	51		4588
3033791	2967641	19		1723
3033791	3001051	64		5795
3033791	3020991	88		7904
3033791	6430009	71		6348
3033791	3015958	12		1036
3033791	3014928	15		1309
3033791	6442071	61		5451
3033791	2998126	29		2623
3033791	6430047	13		1156
3033791	6442090	18		1580
3033791	3026098	9		809
3033791	3026500	47		4266
3033791	6433750	107		9614
3033791	2993701	77		6905
3033791	8295719	97		8742
3033791	6442131	56		5027
3033791	2998830	94		8475
3033791	3002256	54		4844
3033791	3017330	83		7469
3033791	6454601	63		5696
3033791	3018605	14		1220
3033791	6429893	87		7850
3033791	6429869	23		2082
3033791	8287943	69		6168
3033791	2989425	61		5519
3033791	2992321	69		6209
3033791	6429939	79		7096
3033791	2993730	118		10629
3033791	6429714	74		6620
3033791	3017012	38		3435
3033791	2990247	54		4892
3033791	2985850	81		7278
3033791	3034798	17		1571
3033791	3022665	2		182
3033791	2986904	13		1132
3033791	6454603	39		3536
3033791	3017306	102		9144
3033791	3030891	10		903
3033791	3021803	44		3965
3033791	3012211	104		9317
3033791	2996286	71		6433
3033791	3015132	87		7806
3033791	6613947	82		7395
3033791	3016048	71		6427
3033791	2981467	24		2142
3033791	6442037	51		4632
3033791	6617472	100		9012
3033791	6429917	11		1020
3033791	6612983	105		9478
3033791	3021822	16		1396
3033791	2970016	61		5491
3033791	3025298	6		505
3033791	3012026	74		6655
3033791	3019468	70		6280
3033791	6442111	66		5936
3033791	2988163	81		7265
3033791	3036181	49		4453
3033791	3025614	86		7708
3033791	3021760	88		7955
3033791	2989929	67		6028
3033791	2995610	90		8094
3033791	2982587	14		1240
3033791	2992683	21		1924
3033791	6616219	71		6430
3033791	6429981	16		1439
3033791	3019336	10		926
3033791	2985046	54		4880
3033791	3037221	19		1738
3033791	2984675	94		8473
3033791	2968392	33		2951
3033791	3021493	72		6472
3033791	2987268	53		4744
3033791	6429750	18		1650
3033791	2984691	50		4491
3033791	3012298	17		1510
3033791	6455716	96		8612
3033791	6441995	28		2549
3033791	3016945	50		4486
3033791	6614331	8		720
3033791	3035830	77		6974
3033791	6429904	75		6739
3033791	3018028	45		4084
3033791	3008300	118		10582
3033791	6447840	80		7176
3033791	3023095	16		1466
3033791	3016356	75		6738
3033791	2994002	13		1187
3033791	6613476	93		8327
3033791	6428814	114		10286
3033791	3027527	72		6483
3033791	2991954	119		10736
3033791	3018097	79		7116
3033791	3023756	48		4331
3033791	2994170	103		9313
3033791	3033045	6		557
3033791	2991004	67		6007
3033791	3021809	88		7939
3033791	6429818	94		8449
3033791	6441855	5		429
3033791	2996020	64		5794
3033791	3024243	24		2166
3033791	3014882	105		9485
3033791	3032430	28		2546
3033791	3017416	99		8867
3033791	3037736	4		396
3033791	2976274	119		10751
3033791	2992057	12		1062
3033791	2987921	3		276
3033791	3021839	99		8940
3033791	6455332	7		662
3033791	3002471	14		1231
3033791	6447824	76		6824
3033791	3030803	89		8038
3033791	2989426	105		9459
3033791	2982541	59		5281
3033791	2973551	16		1434
3033791	3013053	90		8118
3033791	2991573	109		9775
3033791	2969860	31		2817
3033791	2982593	41		3702
3033791	6451920	12		1088
3033791	2987808	105		9412
3033791	2991333	115		10317
3033791	3031340	64		5718
3033791	3038784	24		2138
3033791	3021990	76		6863
3033791	2982889	6		559
3033791	3024624	38		3439
3033791	6429698	92		8255
3033791	2972419	89		8027
3033791	3014128	82		7394
3033791	2973382	77		6958
3027484	3006622	61		5480
3027484	6447838	102		9196
3027484	3027484	0		0
3027484	2996882	53		4749
3027484	3021263	60		5364
3027484	6614182	31		2829
3027484	6490278	27		2447
3027484	2992863	39		3509
3027484	6429944	115		10357
3027484	6433608	55		4925
3027484	3025496	58		5216
3027484	3035883	46		4158
3027484	2973510	63		5659
3027484	6428549	62		5560
3027484	6526607	62		5614
3027484	6442356	67		6024
3027484	6454111	89		7988
3027484	3018032	64		5744
3027484	2976697	40		3585
3027484	2997644	59		5276
3027484	3027235	80		7236
3027484	3021377	74		6698
3027484	3035828	61		5518
3027484	2981655	64		5736
3027484	6442184	53		4741
3027484	3014334	64		5726
3027484	2977229	2		202
3027484	3035768	106		9578
3027484	2997439	33		2983
3027484	8295798	3		284
3027484	6454631	3		256
3027484	3032326	36		3263
3027484	6454592	93		8331
3027484	3027642	16		1468
3027484	6442513	25		2228
3027484	2989837	40		3633
3027484	2995489	55		4990
3027484	3016332	58		5253
3027484	3021661	106		9543
3027484	2992953	101		9132
3027484	2992838	29		2652
