data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
2988800	2988800	0		0
2988800	3028808	27		2385
2988800	2977162	18		1603
2988800	3012937	112		10107
2988800	3017253	52		4696
2988800	3029227	10		935
2988800	3014856	28		2557
2988800	3004871	24		2191
2988800	3020850	67		6018
2988800	6445063	51		4559
2988800	2994497	20		1835
2988800	2978891	7		668
2988800	6425695	22		1970
2988800	2996255	32		2850
2988800	6425528	120		10793
2988800	2991551	25		2222
2988800	2970148	13		1133
2988800	2999891	114		10284
2988800	3030057	103		9230
2988800	2978100	116		10485
2988800	6618043	93		8391
2988800	2968533	13		1142
2988800	2982875	58		5248
2988800	2980402	67		6033
2988800	3034041	13		1201
2988800	6425693	22		1964
2988800	8288967	10		870
2988800	2969353	74		6652
2988800	3022158	110		9855
2988800	3003188	78		6996
2988800	2974338	114		10278
2988800	3003650	84		7575
2988800	3008432	104		9395
2988800	3006152	6		510
2988800	2991579	25		2289
2988800	3032579	16		1445
2988800	3028534	118		10596
2988800	3009566	115		10380
2988800	2990906	62		5575
2988800	2997581	77		6889
2988800	3031532	97		8689
2988800	2987554	32		2892
2988800	6614189	54		4894
2988800	2988220	29		2637
2988800	3009978	13		1187
2988800	2974446	119		10684
2988800	3028129	84		7554
2988800	3023842	13		1139
2988800	3002138	69		6193
2988800	3009150	9		840
2988800	2992978	41		3726
2988800	6446638	114		10248
2988800	2987297	105		9449
2988800	3003713	96		8642
2988800	2989461	111		9965
2988800	2972058	67		5998
2988800	6451486	47		4221
2988800	2974337	114		10302
2988800	6618146	4		398
2988800	2979395	29		2567
2988800	3016635	107		9618
2988800	6445057	105		9421
2988800	3026312	110		9875
2988800	2968749	4		329
2988800	2972168	113		10174
2988800	2972195	9		836
2988800	2998916	18		1604
2988800	3020834	7		652
2988800	3014634	77		6910
2988800	3028742	11		1023
2988800	2987179	95		8555
2988800	2985141	102		9191
2988800	3015686	90		8060
2988800	2999012	101		9046
2988800	3018355	72		6522
2988800	3004870	82		7402
2988800	2968614	115		10314
2988800	2968023	117		10522
2988800	2979209	11		988
2988800	3016534	10		862
2988800	2976742	70		6294
2988800	2972273	17		1498
2988800	6455473	21		1909
2988800	2981217	39		3470
2988800	2974162	24		2178
2988800	2976472	85		7608
2988800	3009710	79		7094
2988800	3000329	110		9862
2988800	3034238	5		472
2988800	6615741	24		2127
2988800	2976695	34		3028
2988800	3018389	92		8290
2988800	3028558	98		8794
2988800	3024276	8		682
2988800	3028637	91		8176
2988800	2977701	12		1045
2988800	3029118	42		3803
2988800	3036022	31		2769
2988800	2971033	104		9365
2988800	2967708	116		10438
2988800	12072017	35		3149
2988800	3017799	104		9355
2988800	2978284	14		1304
2988800	3033065	96		8669
2988800	3006089	12		1060
2988800	3034918	103		9233
2988800	6451513	71		6362
2988800	6615738	22		2007
2988800	6617829	46		4162
2988800	3008037	63		5698
2988800	3035398	49		4436
2988800	2987459	112		10106
2988800	2990787	110		9909
2988800	2975265	51		4560
2988800	6455294	109		9793
2988800	3014717	111		10014
2988800	2984145	91		8224
2988800	3018513	64		5731
2988800	2983390	76		6859
2988800	3034991	90		8132
2988800	8288974	16		1465
2988800	2999179	82		7417
2988800	2975256	114		10232
2988800	2974336	115		10335
2988800	3033784	114		10277
2988800	2979088	109		9775
2988800	2988214	15		1393
2988800	3014258	117		10551
2988800	3006704	112		10041
2988800	3036067	84		7578
2988800	2989486	23		2089
2988800	3036540	9		815
2988800	3019174	8		728
2988800	2994486	115		10317
2988800	2973180	50		4513
2988800	6446679	33		2947
2988800	3023410	92		8279
2988800	2984521	76		6815
2988800	2980783	100		9037
2988800	3019095	5		466
2988800	2996413	106		9552
2988800	3029306	90		8066
2988800	3029125	60		5386
2988800	6451469	101		9073
2988800	3024313	93		8373
2988800	3009193	77		6959
2988800	2985142	41		3693
2988800	3016018	114		10260
2988800	2982881	34		3093
2988800	2973396	73		6575
2988800	2983580	95		8559
2988800	2977662	49		4378
2988800	2973418	34		3046
2988800	2982575	119		10726
2988800	3032308	14		1241
2988800	2967718	110		9904
2988800	3028418	10		915
2988800	3005687	107		9653
2988800	3016053	18		1639
2988800	6446710	17		1538
2988800	2979369	6		516
2988800	2980247	67		6061
2988800	3028382	63		5627
2988800	6457116	105		9413
2988800	2968822	81		7271
2988800	2980300	11		979
2988800	2988208	115		10389
2988800	3008116	85		7641
2988800	6618050	98		8844
2988800	2978208	41		3653
2988800	3004963	14		1269
2988800	2973259	101		9115
2988800	3029809	108		9738
2988800	2992583	96		8607
2988800	6618042	108		9746
2988800	2974661	102		9209
2988800	3029282	32		2881
2988800	2972942	34		3075
2988800	3034939	58		5250
2988800	12072016	19		1700
2988800	2997234	21		1917
2988800	3007506	30		2722
2988800	3033242	15		1348
2988800	2973863	33		3001
2988800	8288911	117		10568
2988800	2970746	106		9518
2988800	3010787	113		10179
2988800	3012406	90		8121
