data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
3227183	3227183	0		0
3227183	3018443	104		9375
3227183	2985947	58		5265
3227183	6616385	90		8098
3227183	12024241	96		8644
3227183	2988658	54		4880
3227183	2997248	89		7987
3227183	3029090	71		6418
3227183	3213049	99		8940
3227183	3016133	56		5051
3227183	2985266	31		2811
3227183	2985196	49		4454
3227183	2988063	85		7616
3227183	3038305	6		504
3227183	2975949	14		1280
3227183	3014517	20		1777
3227183	6431123	39		3534
3227183	3031801	69		6252
3227183	3038653	8		720
3227183	2974624	80		7242
3227183	2969578	86		7708
3227183	2967125	41		3688
3227183	12045325	54		4816
3227183	3029140	65		5884
3227183	3027804	77		6914
3227183	2973571	67		6068
3227183	3023502	16		1405
3227183	2987591	82		7370
3227183	2987989	17		1573
3227183	6431177	79		7095
3227183	3037372	10		903
3227183	2970027	86		7718
3227183	6616371	55		4989
3227183	2987192	13		1214
3227183	6431189	94		8419
3227183	3038244	18		1656
3227183	2980115	96		8630
3227183	3032162	15		1322
3227183	2972527	59		5279
3227183	2974157	57		5126
3227183	2974365	55		4983
3227183	3028606	26		2340
3227183	2997132	73		6560
3227183	2989579	28		2495
3227183	3024038	54		4843
3227183	2976215	41		3688
3227183	2998221	71		6425
3227183	2976121	77		6921
3018443	3227183	104		9375
3018443	3018443	0		0
3018443	6616385	16		1480
3018443	12024241	9		832
3018443	2988658	50		4531
3018443	2997248	17		1570
3018443	3029090	59		5277
3018443	3213049	5		459
3018443	3016133	76		6857
3018443	2985196	77		6969
3018443	2988063	26		2336
3018443	3038305	99		8936
3018443	2975949	90		8098
3018443	3014517	101		9049
3018443	3038653	96		8656
3018443	2974624	43		3830
3018443	2969578	23		2069
3018443	2967125	108		9744
3018443	12045325	87		7854
3018443	3029140	53		4788
3018443	3027804	41		3706
3018443	2973571	65		5889
3018443	3023502	91		8184
3018443	2987591	37		3307
3018443	2987989	89		7996
3018443	6431177	42		3748
3018443	3037372	95		8527
3018443	2970027	24		2171
3018443	6616371	114		10271
3018443	2987192	108		9736
3018443	6431189	11		976
3018443	3038244	102		9192
3018443	2980115	12		1105
3018443	3032162	98		8792
3018443	2974365	94		8451
3018443	3028606	94		8484
3018443	2997132	52		4705
3018443	2989579	118		10604
3018443	3024038	108		9704
3018443	2976215	112		10052
3018443	2998221	49		4376
3018443	2976121	44		3963
2985947	3227183	58		5265
2985947	2985947	0		0
2985947	6616385	108		9701
2985947	12024241	115		10348
2985947	2988658	80		7218
2985947	2997248	107		9612
2985947	3029090	117		10521
2985947	3213049	119		10728
2985947	3016133	48		4361
2985947	2985266	33		2932
2985947	2985196	47		4215
2985947	2988063	99		8875
2985947	3038305	62		5564
2985947	2975949	61		5452
2985947	3014517	41		3669
2985947	6431123	26		2310
2985947	3031801	25		2216
2985947	3038653	59		5341
2985947	2974624	119		10754
2985947	2969578	101		9119
2985947	2967125	20		1784
2985947	12045325	37		3360
2985947	3029140	108		9707
2985947	3027804	84		7581
2985947	2973571	61		5519
2985947	3023502	54		4859
2985947	2987591	90		8057
2985947	2987989	55		4928
2985947	6431177	117		10553
2985947	3037372	63		5700
2985947	2970027	100		9034
2985947	6616371	10		929
2985947	2987192	45		4068
2985947	6431189	116		10440
2985947	3038244	41		3711
2985947	3032162	47		4255
2985947	2972527	17		1524
2985947	2974157	9		781
2985947	2974365	31		2811
2985947	3028606	83		7467
2985947	2997132	116		10424
2985947	2989579	33		2984
2985947	3024038	17		1498
2985947	2976215	18		1640
2985947	2998221	77		6888
2985947	2976121	116		10466
6616385	3227183	90		8098
6616385	3018443	16		1480
6616385	2985947	108		9701
6616385	6616385	0		0
6616385	12024241	7		648
6616385	2988658	36		3218
6616385	2997248	1		111
6616385	3029090	55		4947
6616385	3213049	11		1030
6616385	3016133	60		5382
6616385	2985266	107		9615
6616385	2985196	61		5490
6616385	2988063	10		897
6616385	3038305	85		7683
6616385	2975949	76		6818
6616385	3014517	85		7647
6616385	6431123	110		9928
