NIVEL,CODIGO,DESTINO,POP ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,8297635,Limoges,246539.00,32.05,155.32,88.75,86.29,0.00,0.00,0.00,0.00,0.00
1,3029974,Brive-la-Gaillarde,106636.00,13.86,67.18,38.39,37.32,0.00,0.00,0.00,0.00,0.00
1,2973495,Talence,949745.00,123.47,598.34,341.91,332.41,0.00,0.00,0.00,0.00,0.00
1,3026141,Châtellerault,85223.00,11.08,53.69,30.68,29.83,0.00,0.00,0.00,0.00,0.00
1,2992771,Mont-de-Marsan,58876.00,7.65,37.09,21.20,20.61,0.00,0.00,0.00,0.00,0.00
1,6453739,Saintes,75054.00,9.76,47.28,27.02,26.27,0.00,0.00,0.00,0.00,0.00
1,2995642,Marmande,32212.00,4.19,20.29,11.60,11.27,0.00,0.00,0.00,0.00,0.00
1,3014383,Guéret,26199.00,3.41,16.51,9.43,9.17,0.00,0.00,0.00,0.00,0.00
1,2989187,Orthez,34700.00,4.51,21.86,12.49,12.14,0.00,0.00,0.00,0.00,0.00
1,2988447,Parthenay,33073.00,4.30,20.84,11.91,11.58,0.00,0.00,0.00,0.00,0.00
1,2971298,Ussel,11877.00,1.54,7.48,4.28,4.16,0.00,0.00,0.00,0.00,0.00
1,2976600,Saint-Vincent-de-Tyrosse,57191.00,7.43,36.03,20.59,20.02,0.00,0.00,0.00,0.00,0.00
1,6429352,Coulounieix,104953.00,13.64,66.12,37.78,36.73,0.00,0.00,0.00,0.00,0.00
1,2976542,Saint-Yrieix-sur-Charente,45253.00,5.88,28.51,16.29,15.84,0.00,0.00,0.00,0.00,0.00
1,3009052,Lagord,172148.00,22.38,108.45,61.97,60.25,0.00,0.00,0.00,0.00,0.00
1,6432268,Lanton,135434.00,17.61,85.32,48.76,47.40,0.00,0.00,0.00,0.00,0.00
1,2980550,Sainte-Hélène,36623.00,4.76,23.07,13.18,12.82,0.00,0.00,0.00,0.00,0.00
1,3029253,Cadillac,59728.00,7.76,37.63,21.50,20.90,0.00,0.00,0.00,0.00,0.00
1,3023919,Confolens,6419.00,0.83,4.04,2.31,2.25,0.00,0.00,0.00,0.00,0.00
1,3031501,Bort-les-Orgues,2661.00,0.35,1.68,0.96,0.93,0.00,0.00,0.00,0.00,0.00
1,2993308,Monflanquin,45021.00,5.85,28.36,16.21,15.76,0.00,0.00,0.00,0.00,0.00
1,2967253,Ychoux,35192.00,4.58,22.17,12.67,12.32,0.00,0.00,0.00,0.00,0.00
1,6444135,Lezay,24313.00,3.16,15.32,8.75,8.51,0.00,0.00,0.00,0.00,0.00
1,3027576,Chalais,9254.00,1.20,5.83,3.33,3.24,0.00,0.00,0.00,0.00,0.00
1,3004334,Le Dorat,11315.00,1.47,7.13,4.07,3.96,0.00,0.00,0.00,0.00,0.00
1,3015555,Felletin,4882.00,0.63,3.08,1.76,1.71,0.00,0.00,0.00,0.00,0.00
1,6440596,Saint-Jean-Pied-de-Port,3033.00,0.39,1.91,1.09,1.06,0.00,0.00,0.00,0.00,0.00
1,2979520,Saint-Hilaire-la-Palud,22266.00,2.89,14.03,8.02,7.79,0.00,0.00,0.00,0.00,0.00
1,2990961,Nanteuil-en-Vallée,9847.00,1.28,6.20,3.54,3.45,0.00,0.00,0.00,0.00,0.00
1,2984754,Queyrac,28441.00,3.70,17.92,10.24,9.95,0.00,0.00,0.00,0.00,0.00
1,3016609,Garlin,12370.00,1.61,7.79,4.45,4.33,0.00,0.00,0.00,0.00,0.00
1,2979272,Saint-Jean-de-Thouars,32343.00,4.20,20.38,11.64,11.32,0.00,0.00,0.00,0.00,0.00
1,6429516,Saint-Aulaye,8382.00,1.09,5.28,3.02,2.93,0.00,0.00,0.00,0.00,0.00
1,6427819,Saint-Amant-de-Boixe,91139.00,11.85,57.42,32.81,31.90,0.00,0.00,0.00,0.00,0.00
1,6440402,Guéthary,243190.00,31.61,153.21,87.55,85.12,0.00,0.00,0.00,0.00,0.00
1,2978136,Saint-Maurice-la-Clouère,3770.00,0.49,2.38,1.36,1.32,0.00,0.00,0.00,0.00,0.00
1,3034241,Beaulieu-sur-Dordogne,4107.00,0.53,2.59,1.48,1.44,0.00,0.00,0.00,0.00,0.00
1,3016871,Gabarret,1288.00,0.17,0.81,0.46,0.45,0.00,0.00,0.00,0.00,0.00
1,2989708,Ogeu-les-Bains,134159.00,17.44,84.52,48.30,46.96,0.00,0.00,0.00,0.00,0.00
1,3004316,Lée,90492.00,11.76,57.01,32.58,31.67,0.00,0.00,0.00,0.00,0.00
1,2972947,Thenon,9528.00,1.24,6.00,3.43,3.33,0.00,0.00,0.00,0.00,0.00
1,3030832,Boussac,2829.00,0.37,1.78,1.02,0.99,0.00,0.00,0.00,0.00,0.00
