name,lat,lon
Kokkola,63.8376,23.132,
Kannus,63.9017,23.9151,
Toholampi,63.775,24.25,
Veteli,63.4753,23.7886,
Perho,63.2167,24.4167,
Lestijärvi,63.525,24.6653,
Imatra,61.1931,28.7764,
Lemi,61.0611,27.8042,
Rautjärvi,61.4333,29.367,
Siilinjärvi,63.075,27.66,
Lapinlahti,63.3667,27.3833,
Leppävirta,62.4917,27.7875,
Kiuruvesi,63.6528,26.6194,
Pielavesi,63.2333,26.7583,
Sonkajärvi,63.6667,27.5167,
Vieremä,63.7431,27.0014,
Rautalampi,62.6217,26.8333,
Tuusniemi,62.8083,28.4917,
Keitele,63.1783,26.35,
Rautavaara,63.4944,28.2986,
Tervo,62.9556,26.7556,
Kouvola,60.8681,26.7042,
Hamina,60.5697,27.1981,
Miehikkälä,60.6708,27.7,
Pyhtää,60.4958,26.7097,
Mikkeli,61.6875,27.2736,
Savonlinna,61.8667,28.8831,
Pieksämäki,62.3,27.1583,
Juva,61.8972,27.8569,
Mäntyharju,61.4181,26.8792,
Kangasniemi,61.99,26.6417,
Joroinen,62.1792,27.8278,
Rantasalmi,62.0667,28.3,
Heinävesi,62.425,28.6333,
Sulkava,61.7875,28.3708,
Hirvensalmi,61.6389,26.7806,
Puumala,61.525,28.1833,
Pertunmaa,61.5028,26.4792,
Enonkoski,62.0889,28.9333,
Kuusamo,65.9667,29.1667,
Taivalkoski,65.575,28.2417,
Kontiolahti,62.7667,29.85,
Liperi,62.5333,29.3833,
Lieksa,63.3167,30.0167,
Nurmes,63.5444,29.1333,
Outokumpu,62.725,29.0167,
Ilomantsi,62.6667,30.9333,
Juuka,63.2417,29.25,
Tohmajärvi,62.2264,30.3319,
Polvijärvi,62.855,29.3667,
Rääkkylä,62.3133,29.625,
Alavus,62.5861,23.6194,
Isojoki,62.1139,21.9583,
Karijoki,62.3083,21.7083,
Kajaani,64.225,27.7333,
Sotkamo,64.1333,28.3833,
Kuhmo,64.125,29.5167,
Suomussalmi,64.8833,28.9167,
Paltamo,64.4083,27.8417,
Vaala,64.55,26.8333,
Puolanka,64.8681,27.6708,
Hyrynsalmi,64.675,28.4917,
Ristijärvi,64.5056,28.2139,
Jämsä,61.8639,25.1903,
Laukaa,62.4167,25.95,
Keuruu,62.2597,24.7069,
Muurame,62.1292,25.6722,
Hankasalmi,62.3889,26.4361,
Joutsa,61.7417,26.1153,
Karstula,62.875,24.8,
Petäjävesi,62.25,25.1833,
Uurainen,62.5,25.4367,
Konnevesi,62.6283,26.2833,
Toivakka,62.1,26.0833,
Kuhmoinen,61.5667,25.1833,
Kyyjärvi,63.0431,24.5639,
Luhanka,61.8,25.7,
Saarijärvi,62.7056,25.2569,
Viitasaari,63.075,25.8597,
Pihtipudas,63.3667,25.575,
Kinnula,63.3667,24.9667,
Kivijärvi,63.12,25.075,
Nurmijärvi,60.4667,24.8083,
Raasepori,59.975,23.4361,
Kauniainen,60.2097,24.7264,
Karkkila,60.5347,24.2097,
Hanko,59.8236,22.9681,
Siuntio,60.1333,24.2167,
Pornainen,60.475,25.375,
Lapinjärvi,60.6167,26.2,
Pukkila,60.645,25.5833,
Keminmaa,65.799,24.5426,
Ylitornio,66.3167,23.6667,
Ranua,65.9275,26.5184,
Simo,65.6613,25.0623,
Tervola,66.0821,24.808,
Ii,65.3167,25.3722,
Pudasjärvi,65.3583,27,
Loppi,60.7181,24.4417,
Jokioinen,60.8042,23.4861,
Janakkala,60.9167,24.6333,
Hattula,61.05,24.3667,
Hausjärvi,60.7833,25.0333,
Rovaniemi,66.5028,25.7285,
Kemijärvi,66.715,27.4306,
Salla,66.8333,28.6667,
Posio,66.1097,28.1739,
Savukoski,67.2917,28.1667,
Pelkosenniemi,67.1083,27.5167,
Raahe,64.6847,24.4792,
Kempele,64.9125,25.5083,
Nivala,63.9292,24.9778,
Oulainen,64.2667,24.8167,
Haapajärvi,63.7486,25.3181,
Haapavesi,64.1375,25.3667,
Sievi,63.9069,24.5167,
Pyhäjoki,64.4667,24.2583,
Reisjärvi,63.6056,24.9319,
Utajärvi,64.75,26.4167,
Alavieska,64.1667,24.3083,
Kärsämäki,63.975,25.7583,
Lumijoki,64.8367,25.1867,
Siikalatva,64.2667,25.8667,
Pyhäntä,64.0972,26.3306,
Hailuoto,65.0167,24.7167,
Pyhäjärvi,63.6833,25.9833,
Nykarleby,63.5167,22.5333,
Kronoby,63.725,23.0333,
Huittinen,61.1764,22.6986,
Harjavalta,61.3139,22.1417,
Säkylä,61.05,22.35,
Eurajoki,61.2,21.7333,
Nakkila,61.3653,22.0042,
Karvia,62.1333,22.5583,
Pomarkku,61.6917,22.0083,
Jämijärvi,61.8167,22.6917,
Siikainen,61.8833,21.8167,
Sastamala,61.3417,22.9083,
Pirkkala,61.4667,23.65,
Ikaalinen,61.7694,23.0681,
Mänttä-Vilppula,62.0292,24.6236,
Virrat,62.2403,23.7708,
Parkano,62.0097,23.025,
Pälkäne,61.3389,24.2681,
Urjala,61.0833,23.55,
Ruovesi,61.9833,24.0833,
Punkalaidun,61.1117,23.105,
Kihniö,62.2083,23.1792,
Juupajoki,61.8,24.3667,
Inari,68.9055,27.0176,
Utsjoki,69.9078,27.0265,
Sodankylä,67.4149,26.5907,
Kittilä,67.6531,24.9114,
Pello,66.7756,23.9635,
Muonio,67.9593,23.6772,
Enontekiö,68.3847,23.6389,
Kolari,67.3317,23.7913,
Salo,60.3831,23.1331,
Pargas,60.3,22.3,
Rusko,60.5417,22.2222,
Sauvo,60.3417,22.6917,
Koski Tl,60.6542,23.1403,
Pyhäranta,60.95,21.4417,
Marttila,60.5833,22.9,
Taivassalo,60.5617,21.6083,
Oripää,60.8556,22.6972,
Lapua,62.9708,23.0069,
Kauhajoki,62.4319,22.1794,
Ilmajoki,62.7333,22.5833,
Ähtäri,62.55,24.0694,
Kuortane,62.8083,23.5083,
Vimpeli,63.1617,23.8167,
Evijärvi,63.3667,23.475,
Soini,62.875,24.2083,
Malax,62.9417,21.55,
Isokyrö,63,22.3167,
Korsnäs,62.7833,21.1833,
Kaskinen,62.3847,21.2222,
Jomala,60.15,19.95,
Eckerö,60.2167,19.55,
Brändö,60.4117,21.0453,
Geta,60.375,19.85,
Sottunga,60.1333,20.6667,
Kökar,59.9167,20.9,
Heinola,61.2028,26.0319,
Orimattila,60.8042,25.7333,
Padasjoki,61.35,25.275,
Hartola,61.5784,26.0142,
Kärkölä,60.868,25.273,
Asikkala,61.1722,25.5472,
