name,lat,lon
Limoges,45.8353,1.2625,
Confolens,46.0136,0.6722,
Le Dorat,46.2153,1.0814,
Chaillac-sur-Vienne,45.8792,0.8725,
Jumilhac-le-Grand,45.4942,1.0639,
Piégut-Pluviers,45.6225,0.6894,
Razès,46.0367,1.345,
Linards,45.7017,1.5314,
Peyrat-le-Château,45.8128,1.7728,
Brive-la-Gaillarde,45.1583,1.5321,
Beaulieu-sur-Dordogne,44.9783,1.8383,
Thenon,45.1372,1.0706,
Arnac-Pompadour,45.3964,1.3811,
Corrèze,45.3725,1.875,
Proissans,44.9344,1.2525,
Talence,44.8,-0.584,
Sainte-Hélène,45.46782,-0.91647,
Cadillac,44.6361,-0.3186,
Les Billaux,44.9525,-0.2369,
Saint-Martin-Lacaussade,45.1469,-0.6425,
Saint-Magne,44.5269,-0.6578,
Préchac,44.3997,-0.3533,
Châtellerault,46.8178,0.5461,
Saint-Maurice-la-Clouère,46.3786,0.4119,
Civaux,46.4444,0.6658,
Aslonnes,46.4436,0.3344,
Charrais,46.7044,0.2225,
Les Trois-Moutiers,47.0628,0.0206,
Mont-de-Marsan,43.89,-0.5,
Garlin,43.5593,-0.2732,
Gabarret,43.9867,0.0106,
Montfort-en-Chalosse,43.7108,-0.8378,
Sabres,44.1481,-0.7397,
Sarbazan,44.0189,-0.3117,
Onesse-Laharie,44.0614,-1.0692,
Saintes,45.7464,-0.6333,
Queyrac,45.3622,-0.9783,
Saint-Genis-de-Saintonge,45.4811,-0.5685,
Corme-Écluse,45.6311,-0.8544,
Le Grand-Village-Plage,45.86,-1.2367,
Asnières-la-Giraud,45.8892,-0.5211,
Salles-d’Angles,45.6181,-0.3333,
Lussant,45.9606,-0.8219,
Marmande,44.5,0.1653,
Monflanquin,44.5319,0.7678,
Aubiac,44.1414,0.5608,
Vélines,44.8589,0.1086,
La Croix-Blanche,44.2947,0.6931,
Cocumont,44.4486,0.0261,
Seyches,44.5497,0.305,
Feugarolles,44.2211,0.3469,
Guéret,46.1706,1.8683,
Boussac,46.3489,2.215,
Auzances,46.0267,2.5008,
Saint-Agnant-de-Versillat,46.2789,1.5111,
Orthez,43.4881,-0.7708,
Saint-Jean-Pied-de-Port,43.1642,-1.2367,
Ogeu-les-Bains,43.1472,-0.5047,
Lée,43.2875,-0.2919,
Chéraute,43.2314,-0.8683,
Parthenay,46.6486,-0.2469,
Lezay,46.2644,-0.0086,
Saint-Jean-de-Thouars,46.9642,-0.2117,
Thorigné,46.2911,-0.2528,
Ardin,46.4744,-0.5578,
Combrand,46.8642,-0.6894,
Ussel,45.5481,2.3092,
Bort-les-Orgues,45.3997,2.4958,
Felletin,45.8836,2.1731,
Saint-Vincent-de-Tyrosse,43.6611,-1.3042,
Guéthary,43.4258,-1.6092,
Sainte-Marie-de-Gosse,43.5567,-1.2381,
Herm,43.8075,-1.1447,
Coulounieix,45.1864,0.6914,
Saint-Aulaye,45.2022,0.1344,
Siorac-en-Périgord,44.8214,0.9869,
Maurens,44.9353,0.4836,
Saint-Yrieix-sur-Charente,45.6753,0.1275,
Chalais,45.2731,0.0392,
Nanteuil-en-Vallée,46.0011,0.3236,
Saint-Amant-de-Boixe,45.7981,0.1347,
Chevanceaux,45.3033,-0.2339,
Saint-Claud,45.8953,0.465,
Lagord,46.1894,-1.1542,
Saint-Hilaire-la-Palud,46.2633,-0.7122,
La Couarde-sur-Mer,46.1947,-1.4253,
Lanton,44.7039,-1.0353,
Ychoux,44.3275,-0.9581,
