lat_departure,lon_departure,lat_arrival,lon_arrival
45.7953,4.8472,45.696,4.793,
45.7394,4.9139,45.696,4.793,
45.7667,5.0036,45.696,4.793,
45.8214,4.8983,45.696,4.793,
45.7694,4.9594,45.696,4.793,
45.715,4.8083,45.696,4.793,
45.764,4.78,45.696,4.793,
45.73,4.8,45.696,4.793,
45.696,4.793,45.696,4.793,
45.5906,4.7689,45.696,4.793,
45.7086,4.8533,45.696,4.793,
45.7744,4.7775,45.696,4.793,
45.7364,4.7636,45.696,4.793,
45.7314,5.0022,45.696,4.793,
45.6739,4.7542,45.696,4.793,
45.7453,4.7233,45.696,4.793,
45.6681,4.9019,45.696,4.793,
45.7444,4.9664,45.696,4.793,
45.7036,4.8242,45.696,4.793,
45.8244,4.9531,45.696,4.793,
45.6728,4.8589,45.696,4.793,
45.7103,4.7422,45.696,4.793,
45.6731,4.8225,45.696,4.793,
45.8358,4.845,45.696,4.793,
45.8106,4.7986,45.696,4.793,
45.6906,5.0292,45.696,4.793,
45.7281,4.8122,45.696,4.793,
45.7211,4.6936,45.696,4.793,
45.8247,4.8744,45.696,4.793,
45.5806,4.8,45.696,4.793,
45.7378,4.6564,45.696,4.793,
45.7472,4.6903,45.696,4.793,
45.6328,4.8564,45.696,4.793,
45.8144,4.8181,45.696,4.793,
45.7947,4.7908,45.696,4.793,
45.6022,4.8106,45.696,4.793,
45.6856,5.0447,45.696,4.793,
45.7806,4.7464,45.696,4.793,
45.7572,4.7264,45.696,4.793,
45.6478,4.8114,45.696,4.793,
45.6778,4.7039,45.696,4.793,
45.6464,5.0147,45.696,4.793,
45.6275,4.9361,45.696,4.793,
45.6322,4.7819,45.696,4.793,
45.6044,4.835,45.696,4.793,
45.8239,4.8403,45.696,4.793,
45.8303,4.9753,45.696,4.793,
45.6597,4.5617,45.696,4.793,
45.7811,4.7061,45.696,4.793,
45.6589,4.7733,45.696,4.793,
45.6981,4.6742,45.696,4.793,
45.6544,4.985,45.696,4.793,
45.6817,4.6408,45.696,4.793,
45.6281,4.7478,45.696,4.793,
45.6397,4.8403,45.696,4.793,
45.8525,4.8747,45.696,4.793,
45.6119,5.0147,45.696,4.793,
45.7647,4.6611,45.696,4.793,
45.8572,4.6808,45.696,4.793,
45.6286,4.8239,45.696,4.793,
45.7908,4.6117,45.696,4.793,
45.8147,4.9322,45.696,4.793,
45.6397,4.7219,45.696,4.793,
45.6589,4.7183,45.696,4.793,
45.8333,4.8783,45.696,4.793,
45.8103,4.5981,45.696,4.793,
45.5822,4.6311,45.696,4.793,
45.5889,4.9539,45.696,4.793,
45.7767,4.5544,45.696,4.793,
45.5856,4.8775,45.696,4.793,
45.8061,4.6225,45.696,4.793,
45.5589,4.9181,45.696,4.793,
45.7758,4.6903,45.696,4.793,
45.5886,4.9144,45.696,4.793,
45.6194,4.8731,45.696,4.793,
45.5967,4.6083,45.696,4.793,
45.8264,4.6231,45.696,4.793,
45.6603,4.6319,45.696,4.793,
45.7428,4.5708,45.696,4.793,
45.6336,4.6394,45.696,4.793,
45.7081,4.5911,45.696,4.793,
45.7831,3.0824,45.8936,3.1125,
45.7422,3.1972,45.8936,3.1125,
45.8936,3.1125,45.8936,3.1125,
45.7736,3.0669,45.8936,3.1125,
45.7983,3.2483,45.8936,3.1125,
45.7517,3.0831,45.8936,3.1125,
45.7508,3.1108,45.8936,3.1125,
45.8258,3.1447,45.8936,3.1125,
45.8314,3.1,45.8936,3.1125,
45.7711,3.1936,45.8936,3.1125,
45.7294,3.1006,45.8936,3.1125,
45.7328,3.0633,45.8936,3.1125,
45.9225,3.0642,45.8936,3.1125,
45.7225,3.1872,45.8936,3.1125,
45.8703,3.0369,45.8936,3.1125,
45.765,3.05,45.8936,3.1125,
45.7992,3.1675,45.8936,3.1125,
45.8939,3.095,45.8936,3.1125,
45.8297,3.0781,45.8936,3.1125,
45.7825,3.0122,45.8936,3.1125,
45.7697,3.2864,45.8936,3.1125,
45.9217,3.3303,45.8936,3.1125,
45.8511,3.0847,45.8936,3.1125,
46.0225,3.2022,45.8936,3.1125,
45.7367,3.1397,45.8936,3.1125,
45.8978,3.2236,45.8936,3.1125,
45.8264,3.0525,45.8936,3.1125,
45.8081,3.055,45.8936,3.1125,
45.8497,3.1794,45.8936,3.1125,
45.9811,3.0881,45.8936,3.1125,
45.835,3.2614,45.8936,3.1125,
45.9297,3.1131,45.8936,3.1125,
45.7961,3.0517,45.8936,3.1125,
45.755,3.2422,45.8936,3.1125,
45.9078,2.9997,45.8936,3.1125,
45.8503,2.8917,45.8936,3.1125,
45.8686,3.2206,45.8936,3.1125,
45.8717,3.1242,45.8936,3.1125,
45.8108,3.2994,45.8936,3.1125,
45.8992,3.0497,45.8936,3.1125,
45.7706,3.2389,45.8936,3.1125,
45.8764,3.0817,45.8936,3.1125,
45.9617,2.9414,45.8936,3.1125,
45.9358,3.0106,45.8936,3.1125,
45.9472,3.1394,45.8936,3.1125,
45.9594,3.1103,45.8936,3.1125,
45.8472,3.0536,45.8936,3.1125,
45.815,3.1861,45.8936,3.1125,
46.04,3.2556,45.8936,3.1125,
45.8631,3.3022,45.8936,3.1125,
45.995,2.9983,45.8936,3.1125,
46.5647,3.3325,46.5658,3.3544,
46.5658,3.3544,46.5658,3.3544,
46.5878,3.3072,46.5658,3.3544,
46.5347,3.1919,46.5658,3.3544,
46.6292,3.3061,46.5658,3.3544,
46.5619,3.2903,46.5658,3.3544,
46.5308,3.3167,46.5658,3.3544,
46.5842,3.1608,46.5658,3.3544,
46.6603,3.2486,46.5658,3.3544,
46.1075,5.8258,46.1075,5.8258,
46.2364,5.9797,46.1075,5.8258,
46.1533,5.6061,46.1075,5.8258,
46.1386,5.9042,46.1075,5.8258,
46.0189,5.9297,46.1075,5.8258,
46.2094,5.6089,46.1075,5.8258,
46.0934,5.8197,46.1075,5.8258,
45.9917,5.9528,46.1075,5.8258,
46.1244,5.8333,46.1075,5.8258,
46.0931,6.0778,46.1075,5.8258,
46.1678,5.9053,46.1075,5.8258,
46.0319,6.0036,46.1075,5.8258,
45.1715,5.7224,45.1486,5.7503,
45.1672,5.7653,45.1486,5.7503,
45.1436,5.7183,45.1486,5.7503,
45.1939,5.6856,45.1486,5.7503,
45.2086,5.7794,45.1486,5.7503,
45.2317,5.6831,45.1486,5.7503,
45.205,5.665,45.1486,5.7503,
45.1231,5.6981,45.1486,5.7503,
45.1486,5.7503,45.1486,5.7503,
45.2978,5.6369,45.1486,5.7503,
45.0553,5.67,45.1486,5.7503,
45.285,5.8828,45.1486,5.7503,
45.1197,5.6717,45.1486,5.7503,
45.1561,5.6797,45.1486,5.7503,
45.0783,5.7719,45.1486,5.7503,
45.2381,5.8883,45.1486,5.7503,
45.2486,5.8269,45.1486,5.7503,
45.1819,5.7919,45.1486,5.7503,
45.2025,5.8389,45.1486,5.7503,
45.2064,5.7403,45.1486,5.7503,
45.2031,5.7164,45.1486,5.7503,
45.1522,5.8392,45.1486,5.7503,
45.2269,5.8025,45.1486,5.7503,
45.2158,5.8622,45.1486,5.7503,
45.07,5.5506,45.1486,5.7503,
45.2114,5.7506,45.1486,5.7503,
45.1183,5.8103,45.1486,5.7503,
45.2733,5.925,45.1486,5.7503,
45.0828,5.7342,45.1486,5.7503,
45.2683,5.865,45.1486,5.7503,
45.2494,5.8533,45.1486,5.7503,
45.2556,5.6653,45.1486,5.7503,
45.1281,5.5886,45.1486,5.7503,
45.0381,5.7036,45.1486,5.7503,
45.0714,5.6406,45.1486,5.7503,
45.2436,5.6314,45.1486,5.7503,
45.1581,5.7619,45.1486,5.7503,
45.175,5.5422,45.1486,5.7503,
45.2722,5.6144,45.1486,5.7503,
45.1389,5.7933,45.1486,5.7503,
45.1122,5.7294,45.1486,5.7503,
45.2625,5.7781,45.1486,5.7503,
45.1708,5.6303,45.1486,5.7503,
45.0547,5.835,45.1486,5.7503,
45.2925,4.1722,45.2925,4.1722,
45.1428,4.1236,45.2925,4.1722,
45.2431,4.2347,45.2925,4.1722,
45.3061,4.1092,45.2925,4.1722,
45.3028,4.2753,45.2925,4.1722,
45.2039,4.0333,45.2925,4.1722,
45.2592,4.0986,45.2925,4.1722,
45.2156,4.3447,45.2925,4.1722,
45.2242,4.1389,45.2925,4.1722,
45.2464,4.2742,45.2925,4.1722,
45.1858,4.2169,45.2925,4.1722,
45.4239,4.0661,45.2925,4.1722,
45.2956,4.2503,45.2925,4.1722,
45.235,4.1833,45.2925,4.1722,
45.2831,4.3947,45.2925,4.1722,
45.4511,4.08,45.2925,4.1722,
45.2317,4.4019,45.2925,4.1722,
45.185,4.3136,45.2925,4.1722,
45.1875,4.1833,45.2925,4.1722,
45.8056,4.7531,45.8056,4.7531,
45.895,4.9297,45.8056,4.7531,
45.8158,4.5742,45.8056,4.7531,
45.8783,4.9681,45.8056,4.7531,
45.9364,6.6319,45.9222,6.8689,
45.9236,6.6864,45.9222,6.8689,
45.9222,6.8689,45.9222,6.8689,
45.8925,6.7136,45.9222,6.8689,
45.89,6.7986,45.9222,6.8689,
45.9136,6.6483,45.9222,6.8689,
45.8956,6.6411,45.9222,6.8689,
45.8217,6.7292,45.9222,6.8689,
