lat_departure,lon_departure,lat_arrival,lon_arrival
-9.74032,-37.4403,-9.55768,-37.3831
-9.36999,-37.248,-9.55768,-37.3831
-9.55768,-37.3831,-9.55768,-37.3831
-9.46986,-37.4576,-9.55768,-37.3831
-9.78451,-36.3525,-9.91656,-36.3492
-9.90696,-36.4803,-9.91656,-36.3492
-9.91656,-36.3492,-9.91656,-36.3492
-9.96262,-37.0071,-9.96262,-37.0071
-3.22727,-64.8007,-3.22727,-64.8007
-3.37455,-68.2005,-3.37455,-68.2005
-3.56697,-61.3963,-3.56697,-61.3963
-3.74603,-61.6575,-3.74603,-61.6575
-7.19409,-59.896,-7.19409,-59.896
-4.37055,-70.1967,-4.37055,-70.1967
-4.37768,-70.0342,-4.37055,-70.1967
-3.58574,-59.1256,-3.58574,-59.1256
-0.983373,-62.9311,-0.983373,-62.9311
-2.79886,-57.0679,-2.79886,-57.0679
-3.89874,-61.3616,-3.89874,-61.3616
-2.97409,-57.5873,-2.97409,-57.5873
-8.74232,-67.3919,-8.74232,-67.3919
-4.39154,-59.5874,-4.39154,-59.5874
-3.31537,-61.2206,-3.31537,-61.2206
-6.52582,-64.3953,-6.52582,-64.3953
-4.88161,-66.9086,-4.88161,-66.9086
-3.76803,-60.369,-3.76803,-60.369
-3.314,-59.5557,-3.314,-59.5557
-4.09412,-63.1441,-4.09412,-63.1441
-3.83053,-62.0658,-3.83053,-62.0658
-6.65677,-69.8662,-6.65677,-69.8662
-7.43789,-70.0281,-7.43789,-70.0281
-2.52342,-66.0942,-2.52342,-66.0942
-7.53797,-72.5907,-7.53797,-72.5907
-7.51171,-63.0327,-7.51171,-63.0327
-7.04791,-71.6934,-7.04791,-71.6934
-3.27479,-60.19,-3.27479,-60.19
-3.13861,-58.4449,-3.13861,-58.4449
-2.74081,-58.0293,-2.74081,-58.0293
-3.48438,-66.0718,-3.48438,-66.0718
-2.75814,-66.7595,-2.75814,-66.7595
-7.26413,-64.7948,-7.26413,-64.7948
-3.29066,-60.6216,-3.29066,-60.6216
-3.44078,-60.4612,-3.44078,-60.4612
-3.11866,-60.0212,-3.11866,-60.0212
-5.80462,-61.2895,-5.80462,-61.2895
-1.85313,-65.573,-1.85313,-65.573
-3.39289,-57.7067,-3.39289,-57.7067
-2.20793,-56.7112,-2.20793,-56.7112
-3.90037,-59.094,-3.90037,-59.094
-2.63637,-60.9434,-2.63637,-60.9434
-5.12593,-60.3732,-5.12593,-60.3732
-2.63741,-56.729,-2.63741,-56.729
-7.71311,-66.992,-7.71311,-66.992
-2.02981,-60.0234,-2.02981,-60.0234
-2.7045,-59.6858,-2.7045,-59.6858
-0.410824,-65.0092,-0.410824,-65.0092
-3.09544,-67.9463,-3.09544,-67.9463
-0.11909,-67.084,-0.11909,-67.084
-3.47292,-68.9646,-3.47292,-68.9646
-2.55915,-57.8731,-2.55915,-57.8731
-2.81748,-58.248,-2.81748,-58.248
-4.2416,-69.9383,-4.2416,-69.9383
-5.62085,-63.1808,-5.62085,-63.1808
-3.36822,-64.7193,-3.36822,-64.7193
-2.86582,-67.7919,-2.86582,-67.7919
-2.99609,-65.1133,-2.99609,-65.1133
-2.52936,-57.7538,-2.52936,-57.7538
-3.12841,-58.1496,-3.12841,-58.1496
0.901357,-52.0036,0.901357,-52.0036
2.05267,-50.7957,2.05267,-50.7957
0.777424,-51.9503,0.777424,-51.9503
2.50475,-50.9512,2.50475,-50.9512
0.970761,-50.8005,0.970761,-50.8005
0.857256,-51.1795,0.857256,-51.1795
0.602185,-50.6996,0.602185,-50.6996
-0.804911,-52.453,-0.804911,-52.453
0.034934,-51.0694,0.034934,-51.0694
-0.045434,-51.1729,0.034934,-51.0694
-0.11336,-51.2891,-0.11336,-51.2891
0.71243,-51.4155,0.71243,-51.4155
1.74543,-50.7892,1.74543,-50.7892
1.50652,-50.9087,1.50652,-50.9087
-0.938,-52.424,-0.938,-52.424
-13.2488,-41.6619,-13.2488,-41.6619
-13.1465,-41.7702,-13.2488,-41.6619
-8.72073,-39.1162,-8.72073,-39.1162
-11.6575,-38.0197,-11.6575,-38.0197
-11.6577,-38.0814,-11.6575,-38.0197
-11.7942,-37.9432,-11.6575,-38.0197
-10.5437,-38.1113,-10.5437,-38.1113
-11.8618,-38.7639,-11.8618,-38.7639
-12.0504,-38.7631,-11.8618,-38.7639
-13.4215,-42.1352,-13.4215,-42.1352
