unit,isco08,indic_ed,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
NR,OC221,TNGO_IF,RS	102.00 	130.00 	147.00 	89.00 	55.00 	47.00 	60.00 	38.00 	32.00 	27.00 	14.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,SE	: 	: 	750.00 	737.00 	645.00 	776.00 	717.00 	940.00 	864.00 	754.00 	739.00 	810.00 	770.00 	821.00 	764.00 	661.00 	562.00 	575.00 	483.00 	515.00 	470.00 	306.00 
NR,OC221,TNGO_IF,SI	68.00 	69.00 	82.00 	43.00 	33.00 	93.00 	37.00 	29.00 	36.00 	68.00 	129.00 	76.00 	52.00 	30.00 	20.00 	53.00 	27.00 	36.00 	50.00 	40.00 	40.00 	28.00 
NR,OC221,TNGO_IF,TR	: 	: 	: 	: 	: 	: 	0.00 	0.00 	0.00 	1.00 	3.00 	4.00 	4.00 	5.00 	5.00 	22.00 	10.00 	26.00 	26.00 	41.00 	60.00 	55.00 
NR,OC221,TNGO_IF,UK	: 	: 	11020.00 	8170.00 	6331.00 	5649.00 	4980.00 	5939.00 	5459.00 	5951.00 	5189.00 	5945.00 	4960.00 	5022.00 	5056.00 	6156.00 	9928.00 	10004.00 	13952.00 	6829.00 	5738.00 	6247.00 
NR,OC221,TNGO_NAT,AT	503.00 	452.00 	434.00 	399.00 	381.00 	360.00 	215.00 	230.00 	186.00 	173.00 	151.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,EL	: 	8424.00 	7715.00 	7673.00 	7832.00 	7402.00 	7423.00 	7577.00 	7682.00 	7716.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,FI	: 	1713.00 	1626.00 	1557.00 	1517.00 	1455.00 	1417.00 	1363.00 	1332.00 	1302.00 	1264.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	559.00 
NR,OC221,TNGO_NAT,FR	: 	796.00 	739.00 	698.00 	686.00 	648.00 	624.00 	609.00 	584.00 	553.00 	535.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,HR	: 	: 	56.00 	31.00 	24.00 	56.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
