unit,isco08,indic_ed,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
NR,OC221,TOT_TNG,CH	: 	38502.00 	37882.00 	37525.00 	36900.00 	36175.00 	35325.00 	34348.00 	33242.00 	31858.00 	30849.00 	30273.00 	30166.00 	29653.00 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,CY	: 	: 	3768.00 	3668.00 	3449.00 	3325.00 	3152.00 	2988.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,CZ	44932.00 	44388.00 	43994.00 	43951.00 	43283.00 	42682.00 	41893.00 	41671.00 	42174.00 	41582.00 	42166.00 	42614.00 	42883.00 	43280.00 	43670.00 	44064.00 	43808.00 	43808.00 	43778.00 	43772.00 	43770.00 	43765.00 
NR,OC221,TOT_TNG,DE	: 	373298.00 	366810.00 	359099.00 	352869.00 	346390.00 	339728.00 	334277.00 	326945.00 	318887.00 	312695.00 	305093.00 	297835.00 	292129.00 	288182.00 	284427.00 	281309.00 	279722.00 	277885.00 	275167.00 	272296.00 	267965.00 
NR,OC221,TOT_TNG,DK	: 	: 	24715.00 	24306.00 	23689.00 	22904.00 	22335.00 	21881.00 	21610.00 	21456.00 	21107.00 	20669.00 	20164.00 	19663.00 	18886.00 	18615.00 	18072.00 	17438.00 	16608.00 	16324.00 	15717.00 	15553.00 
NR,OC221,TOT_TNG,EE	7061.00 	6972.00 	6882.00 	6786.00 	6664.00 	6535.00 	6420.00 	6293.00 	6159.00 	6018.00 	5884.00 	5764.00 	5634.00 	5525.00 	5419.00 	5336.00 	5199.00 	4817.00 	3987.00 	2259.00 	: 	: 
NR,OC221,TOT_TNG,EL	: 	66290.00 	66058.00 	65513.00 	65240.00 	65972.00 	63866.00 	63906.00 	63736.00 	63838.00 	64145.00 	64032.00 	64326.00 	63244.00 	62207.00 	59599.00 	55556.00 	53943.00 	52225.00 	50347.00 	47944.00 	47251.00 
NR,OC221,TOT_TNG,FI	: 	23916.00 	23718.00 	23469.00 	23326.00 	23097.00 	22774.00 	22439.00 	22055.00 	21623.00 	21198.00 	16873.00 	16611.00 	: 	: 	: 	: 	: 	: 	: 	: 	13560.00 
NR,OC221,TOT_TNG,FR	: 	227939.00 	227291.00 	225057.00 	225041.00 	223734.00 	222448.00 	220995.00 	219562.00 	217595.00 	215925.00 	213442.00 	212044.00 	213821.00 	212874.00 	212711.00 	211713.00 	210203.00 	207736.00 	205437.00 	202612.00 	199445.00 
NR,OC221,TOT_TNG,HR	: 	14256.00 	14312.00 	14075.00 	13885.00 	13430.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,HU	: 	30610.00 	34137.00 	33078.00 	32543.00 	31515.00 	30486.00 	32791.00 	32668.00 	33454.00 	32966.00 	33770.00 	37102.00 	37409.00 	37640.00 	37908.00 	38009.00 	38234.00 	: 	: 	: 	: 
NR,OC221,TOT_TNG,IE	25959.00 	25005.00 	23574.00 	23012.00 	22693.00 	21920.00 	20454.00 	19066.00 	18160.00 	18184.00 	18812.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,IT	429552.00 	422333.00 	408442.00 	402811.00 	396007.00 	394906.00 	390702.00 	387405.00 	383886.00 	380785.00 	377376.00 	373616.00 	369650.00 	365544.00 	361593.00 	357519.00 	353441.00 	349341.00 	340706.00 	333050.00 	326917.00 	320733.00 
NR,OC221,TOT_TNG,LI	134.00 	141.00 	144.00 	135.00 	138.00 	124.00 	120.00 	119.00 	120.00 	116.00 	111.00 	104.00 	89.00 	85.00 	80.00 	80.00 	78.00 	68.00 	64.00 	64.00 	57.00 	49.00 
NR,OC221,TOT_TNG,LT	13795.00 	13819.00 	13908.00 	14836.00 	14578.00 	14320.00 	14270.00 	14281.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,LV	: 	6422.00 	7686.00 	7848.00 	8022.00 	8076.00 	8287.00 	8275.00 	8317.00 	8077.00 	7930.00 	8350.00 	7676.00 	7848.00 	7679.00 	7510.00 	7375.00 	7298.00 	: 	: 	: 	: 
NR,OC221,TOT_TNG,MT	: 	2158.00 	2029.00 	1969.00 	1855.00 	1743.00 	1636.00 	1566.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,NL	: 	66870.00 	65121.00 	63278.00 	61730.00 	60233.00 	59144.00 	57762.00 	55681.00 	54511.00 	51939.00 	49013.00 	47690.00 	46580.00 	45362.00 	45051.00 	43659.00 	42607.00 	42001.00 	40974.00 	39772.00 	: 
NR,OC221,TOT_TNG,NO	27781.00 	27237.00 	26452.00 	25700.00 	24906.00 	23917.00 	23040.00 	22692.00 	21821.00 	21185.00 	20681.00 	20061.00 	19513.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,PL	146107.00 	142718.00 	140589.00 	138036.00 	135468.00 	133283.00 	131059.00 	129031.00 	127183.00 	125073.00 	123281.00 	121597.00 	120288.00 	119604.00 	118880.00 	119446.00 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,PT	: 	: 	: 	: 	51937.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,RO	: 	57845.00 	56465.00 	55716.00 	55603.00 	50697.00 	48412.00 	39858.00 	42179.00 	42775.00 	44780.00 	45055.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,RS	36238.00 	34221.00 	33926.00 	32481.00 	30641.00 	30270.00 	30036.00 	29469.00 	28660.00 	27770.00 	26865.00 	26014.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,SE	: 	: 	44046.00 	43967.00 	42945.00 	42017.00 	40919.00 	40637.00 	39638.00 	38541.00 	37499.00 	36524.00 	35550.00 	34604.00 	33801.00 	32833.00 	31841.00 	31022.00 	30316.00 	29469.00 	28481.00 	27501.00 
NR,OC221,TOT_TNG,SI	6838.00 	6645.00 	6514.00 	6409.00 	6311.00 	6012.00 	5830.00 	5712.00 	5416.00 	5228.00 	5121.00 	4979.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16899.00 	16575.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,TR	: 	: 	: 	: 	: 	: 	141259.00 	135616.00 	133775.00 	129772.00 	126029.00 	123447.00 	118641.00 	113151.00 	108402.00 	104475.00 	100853.00 	97110.00 	94466.00 	91949.00 	89804.00 	85242.00 
NR,OC221,TOT_TNG,UK	: 	: 	191326.00 	174845.00 	171527.00 	168801.00 	166324.00 	172721.00 	169015.00 	160378.00 	158439.00 	155310.00 	153838.00 	147417.00 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,UNK_TNG,CY	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,UNK_TNG,DK	: 	: 	20.00 	23.00 	23.00 	27.00 	28.00 	31.00 	29.00 	29.00 	30.00 	39.00 	47.00 	52.00 	56.00 	60.00 	59.00 	62.00 	69.00 	73.00 	81.00 	85.00 
NR,OC221,UNK_TNG,EL	: 	348.00 	256.00 	422.00 	432.00 	431.00 	433.00 	454.00 	451.00 	445.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,UNK_TNG,FI	: 	30.00 	37.00 	52.00 	70.00 	81.00 	96.00 	106.00 	117.00 	130.00 	152.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	287.00 
NR,OC221,UNK_TNG,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	305.00 	329.00 	333.00 	324.00 	325.00 	340.00 	347.00 	356.00 	364.00 	338.00 	344.00 
NR,OC221,UNK_TNG,HR	: 	: 	: 	0.00 	: 	1.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,UNK_TNG,IE	: 	: 	0.00 	0.00 	0.00 	0.00 	4.00 	7.00 	37.00 	390.00 	16.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,UNK_TNG,IT	2515.00 	884.00 	923.00 	859.00 	4.00 	1702.00 	1672.00 	1723.00 	1696.00 	1670.00 	1642.00 	1607.00 	1557.00 	1512.00 	1489.00 	1459.00 	1412.00 	1344.00 	1310.00 	1263.00 	1221.00 	1205.00 
NR,OC221,UNK_TNG,LT	64.00 	33.00 	4.00 	4.00 	4.00 	4.00 	3.00 	4.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,UNK_TNG,MT	: 	: 	0.00 	0.00 	0.00 	0.00 	4.00 	1.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,UNK_TNG,NL	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	3626.00 	3887.00 	5490.00 	6885.00 	7964.00 	9023.00 	9595.00 	10704.00 	10353.00 	9935.00 	9546.00 	: 
NR,OC221,UNK_TNG,NO	352.00 	419.00 	375.00 	368.00 	336.00 	307.00 	321.00 	309.00 	290.00 	294.00 	306.00 	348.00 	336.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,UNK_TNG,PT	: 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,UNK_TNG,RS	2882.00 	2544.00 	3450.00 	6211.00 	8714.00 	9113.00 	15705.00 	15025.00 	14257.00 	13502.00 	12812.00 	12703.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,UNK_TNG,SE	: 	: 	1675.00 	2090.00 	2470.00 	2752.00 	3152.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,UNK_TNG,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4268.00 	4350.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,UNK_TNG,UK	: 	: 	9952.00 	8260.00 	7397.00 	7395.00 	10254.00 	5600.00 	5019.00 	4469.00 	4720.00 	5003.00 	3739.00 	3135.00 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,AT	: 	797.00 	661.00 	624.00 	655.00 	839.00 	983.00 	992.00 	900.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,BE	532.00 	567.00 	509.00 	622.00 	464.00 	590.00 	726.00 	783.00 	890.00 	886.00 	425.00 	361.00 	300.00 	265.00 	218.00 	148.00 	121.00 	101.00 	80.00 	73.00 	90.00 	98.00 
NR,OC2221_3221,TNGO_IF,BG	5.00 	6.00 	3.00 	1.00 	1.00 	1.00 	2.00 	1.00 	1.00 	2.00 	: 	: 	2.00 	1.00 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,CH	2205.00 	2367.00 	2034.00 	2123.00 	2231.00 	2294.00 	2492.00 	2472.00 	2654.00 	2662.00 	2688.00 	2237.00 	2630.00 	2790.00 	2434.00 	1871.00 	1590.00 	2021.00 	3344.00 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,DE	: 	7710.00 	7014.00 	5142.00 	4698.00 	3699.00 	3342.00 	2631.00 	1875.00 	663.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,DK	122.00 	98.00 	138.00 	91.00 	119.00 	121.00 	81.00 	99.00 	74.00 	62.00 	102.00 	162.00 	425.00 	513.00 	241.00 	144.00 	107.00 	106.00 	100.00 	104.00 	92.00 	94.00 
NR,OC2221_3221,TNGO_IF,EE	3.00 	3.00 	3.00 	4.00 	6.00 	2.00 	4.00 	0.00 	0.00 	0.00 	1.00 	2.00 	1.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,EL	: 	: 	: 	: 	: 	: 	1.00 	3.00 	6.00 	3.00 	4.00 	10.00 	30.00 	45.00 	37.00 	105.00 	206.00 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,ES	593.00 	617.00 	596.00 	141.00 	153.00 	55.00 	105.00 	200.00 	237.00 	316.00 	488.00 	683.00 	923.00 	1243.00 	1384.00 	871.00 	569.00 	563.00 	393.00 	151.00 	207.00 	107.00 
NR,OC2221_3221,TNGO_IF,FI	: 	60.00 	49.00 	33.00 	39.00 	40.00 	58.00 	125.00 	156.00 	199.00 	181.00 	155.00 	126.00 	89.00 	78.00 	71.00 	58.00 	39.00 	14.00 	23.00 	17.00 	21.00 
NR,OC2221_3221,TNGO_IF,FR	: 	392.00 	201.00 	433.00 	470.00 	571.00 	619.00 	542.00 	566.00 	803.00 	574.00 	447.00 	411.00 	297.00 	250.00 	248.00 	256.00 	326.00 	374.00 	370.00 	260.00 	159.00 
NR,OC2221_3221,TNGO_IF,HU	: 	74.00 	53.00 	107.00 	88.00 	71.00 	72.00 	49.00 	48.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,IE	3468.00 	2236.00 	2301.00 	2457.00 	3279.00 	1972.00 	796.00 	443.00 	390.00 	304.00 	222.00 	211.00 	290.00 	773.00 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,IS	: 	53.00 	76.00 	65.00 	22.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,IT	758.00 	576.00 	469.00 	304.00 	328.00 	729.00 	617.00 	887.00 	955.00 	1303.00 	1837.00 	2105.00 	2296.00 	2586.00 	3607.00 	3746.00 	3323.00 	2764.00 	2260.00 	1164.00 	505.00 	153.00 
NR,OC2221_3221,TNGO_IF,LT	2.00 	15.00 	6.00 	4.00 	4.00 	8.00 	9.00 	5.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,LV	: 	0.00 	1.00 	0.00 	0.00 	2.00 	2.00 	7.00 	11.00 	10.00 	5.00 	14.00 	6.00 	70.00 	24.00 	11.00 	22.00 	32.00 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,NL	: 	193.00 	381.00 	135.00 	127.00 	84.00 	100.00 	49.00 	12.00 	18.00 	70.00 	91.00 	92.00 	108.00 	70.00 	102.00 	113.00 	113.00 	116.00 	157.00 	: 	: 
NR,OC2221_3221,TNGO_IF,NO	1418.00 	1236.00 	1283.00 	1195.00 	1367.00 	1288.00 	1790.00 	2196.00 	2888.00 	2633.00 	2355.00 	2498.00 	2851.00 	2756.00 	2259.00 	1977.00 	1791.00 	1329.00 	1831.00 	1567.00 	1467.00 	1737.00 
NR,OC2221_3221,TNGO_IF,PL	175.00 	16.00 	53.00 	31.00 	15.00 	21.00 	14.00 	: 	: 	7.00 	5.00 	6.00 	8.00 	5.00 	11.00 	3.00 	4.00 	: 	3.00 	1.00 	2.00 	2.00 
NR,OC2221_3221,TNGO_IF,RO	: 	12.00 	5.00 	7.00 	9.00 	22.00 	7.00 	9.00 	6.00 	3.00 	8.00 	13.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_IF,SE	: 	: 	216.00 	194.00 	196.00 	217.00 	186.00 	175.00 	169.00 	142.00 	142.00 	127.00 	105.00 	130.00 	138.00 	105.00 	125.00 	156.00 	218.00 	211.00 	238.00 	287.00 
NR,OC2221_3221,TNGO_IF,TR	: 	: 	: 	: 	: 	: 	57.00 	82.00 	68.00 	59.00 	25.00 	12.00 	12.00 	9.00 	14.00 	15.00 	17.00 	21.00 	15.00 	11.00 	18.00 	21.00 
NR,OC2221_3221,TNGO_IF,UK	: 	: 	6925.00 	6009.00 	3447.00 	10399.00 	10688.00 	7412.00 	5371.00 	4361.00 	4203.00 	3097.00 	2093.00 	2730.00 	3728.00 	7274.00 	11108.00 	13054.00 	14640.00 	10006.00 	: 	: 
NR,OC2221_3221,TNGO_NAT,CH	: 	1846.00 	1823.00 	1520.00 	1387.00 	1381.00 	1389.00 	1486.00 	1430.00 	958.00 	703.00 	411.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_NAT,EL	: 	: 	: 	: 	: 	: 	416.00 	415.00 	412.00 	406.00 	403.00 	400.00 	392.00 	366.00 	323.00 	291.00 	199.00 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_NAT,FI	: 	503.00 	493.00 	479.00 	477.00 	469.00 	462.00 	459.00 	434.00 	403.00 	354.00 	317.00 	257.00 	220.00 	192.00 	173.00 	150.00 	135.00 	122.00 	118.00 	106.00 	98.00 
NR,OC2221_3221,TNGO_NAT,HU	: 	22.00 	17.00 	17.00 	17.00 	13.00 	18.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_NAT,IE	7961.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_NAT,IT	485.00 	474.00 	455.00 	458.00 	449.00 	493.00 	509.00 	468.00 	481.00 	479.00 	488.00 	483.00 	467.00 	463.00 	443.00 	403.00 	375.00 	351.00 	322.00 	300.00 	281.00 	268.00 
NR,OC2221_3221,TNGO_NAT,NL	: 	906.00 	785.00 	524.00 	492.00 	249.00 	261.00 	47.00 	22.00 	22.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_NAT,NO	1140.00 	1113.00 	1111.00 	1118.00 	1113.00 	1128.00 	1128.00 	1110.00 	1096.00 	1068.00 	1060.00 	1037.00 	982.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_NAT,PT	: 	: 	: 	: 	: 	: 	: 	29.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_NAT,RO	: 	69.00 	58.00 	52.00 	43.00 	52.00 	33.00 	28.00 	21.00 	15.00 	13.00 	9.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNGO_NAT,SE	: 	: 	366.00 	340.00 	317.00 	296.00 	278.00 	335.00 	312.00 	300.00 	306.00 	295.00 	282.00 	274.00 	262.00 	241.00 	234.00 	221.00 	210.00 	199.00 	178.00 	169.00 
NR,OC2221_3221,TNGO_NAT,TR	: 	: 	: 	: 	: 	: 	397.00 	342.00 	261.00 	198.00 	153.00 	135.00 	127.00 	118.00 	111.00 	98.00 	86.00 	74.00 	56.00 	45.00 	35.00 	19.00 
NR,OC2221_3221,TNG_IN,AT	: 	89986.00 	86838.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,BE	214119.00 	209674.00 	205897.00 	202617.00 	197041.00 	191278.00 	185677.00 	180867.00 	175963.00 	171392.00 	167219.00 	163140.00 	159552.00 	156173.00 	152757.00 	149527.00 	146350.00 	143292.00 	139922.00 	136732.00 	133110.00 	129881.00 
NR,OC2221_3221,TNG_IN,CH	: 	48978.00 	46741.00 	42925.00 	42974.00 	42217.00 	39509.00 	35129.00 	33515.00 	27581.00 	20952.00 	18460.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,DE	: 	910000.00 	893000.00 	872000.00 	845000.00 	834000.00 	814000.00 	809000.00 	797000.00 	770000.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,DK	: 	: 	57812.00 	57425.00 	56774.00 	55956.00 	55361.00 	55028.00 	54849.00 	54620.00 	53918.00 	53388.00 	53009.00 	51507.00 	49923.00 	51093.00 	51152.00 	50238.00 	49277.00 	49936.00 	49196.00 	48884.00 
NR,OC2221_3221,TNG_IN,EE	14825.00 	14410.00 	14060.00 	13770.00 	13490.00 	13161.00 	12838.00 	12517.00 	12204.00 	11852.00 	11539.00 	11265.00 	11026.00 	10777.00 	10541.00 	10264.00 	9990.00 	9414.00 	7663.00 	4409.00 	: 	: 
NR,OC2221_3221,TNG_IN,EL	: 	: 	: 	: 	: 	: 	17319.00 	17146.00 	16949.00 	16634.00 	16469.00 	16081.00 	15698.00 	14391.00 	12213.00 	9712.00 	6949.00 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,FI	: 	114919.00 	113011.00 	110422.00 	108287.00 	106103.00 	104333.00 	102042.00 	100567.00 	99326.00 	98113.00 	97019.00 	95740.00 	94183.00 	92566.00 	91001.00 	89933.00 	88452.00 	87230.00 	85818.00 	83782.00 	81805.00 
NR,OC2221_3221,TNG_IN,FR	: 	741350.00 	721972.00 	700743.00 	679862.00 	660971.00 	640868.00 	619455.00 	598920.00 	578660.00 	551914.00 	533295.00 	514485.00 	494275.00 	474805.00 	479728.00 	465066.00 	448710.00 	434169.00 	420668.00 	408534.00 	395202.00 
NR,OC2221_3221,TNG_IN,HR	: 	41907.00 	40779.00 	39745.00 	38563.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,HU	: 	63162.00 	63712.00 	63700.00 	62786.00 	60260.00 	58393.00 	59413.00 	52673.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,IE	34231.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,IT	400151.00 	287830.00 	259051.00 	267201.00 	269912.00 	311528.00 	318544.00 	310888.00 	309200.00 	310016.00 	311428.00 	312841.00 	313167.00 	315191.00 	312829.00 	312400.00 	314668.00 	312329.00 	306605.00 	301091.00 	294444.00 	289297.00 
NR,OC2221_3221,TNG_IN,LT	25570.00 	26134.00 	25950.00 	25965.00 	26807.00 	27626.00 	28488.00 	28286.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,LV	: 	7760.00 	8190.00 	8251.00 	8186.00 	8425.00 	8481.00 	8863.00 	8837.00 	8768.00 	8651.00 	9051.00 	9060.00 	9879.00 	9144.00 	8856.00 	8577.00 	8101.00 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,NL	: 	190525.00 	184205.00 	189796.00 	184906.00 	180737.00 	177404.00 	174160.00 	205446.00 	203198.00 	197336.00 	193117.00 	189442.00 	189171.00 	185153.00 	184841.00 	183496.00 	180500.00 	177985.00 	172977.00 	168085.00 	: 
NR,OC2221_3221,TNG_IN,NO	91356.00 	89179.00 	87644.00 	86068.00 	84352.00 	82606.00 	80813.00 	77867.00 	75849.00 	74184.00 	72735.00 	70912.00 	69392.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,PL	307250.00 	302896.00 	299376.00 	295246.00 	291628.00 	288245.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,PT	: 	: 	: 	: 	: 	: 	: 	65261.00 	63921.00 	63530.00 	62577.00 	60561.00 	57727.00 	54822.00 	52085.00 	48810.00 	45922.00 	43504.00 	41700.00 	39948.00 	: 	: 
NR,OC2221_3221,TNG_IN,RO	: 	161658.00 	154516.00 	154427.00 	153376.00 	151749.00 	130908.00 	126985.00 	123377.00 	120267.00 	118065.00 	116546.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,SE	: 	: 	107722.00 	107002.00 	106208.00 	105225.00 	104241.00 	105021.00 	104288.00 	103274.00 	102245.00 	101244.00 	99726.00 	98897.00 	97812.00 	96097.00 	94159.00 	92017.00 	90447.00 	89110.00 	87079.00 	85733.00 
NR,OC2221_3221,TNG_IN,SI	: 	8858.00 	7963.00 	7090.00 	6576.00 	: 	5326.00 	5003.00 	4777.00 	4532.00 	4472.00 	4316.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_IN,TR	: 	: 	: 	: 	: 	: 	152347.00 	142033.00 	139227.00 	134657.00 	124792.00 	114607.00 	105023.00 	99769.00 	94529.00 	82508.00 	78079.00 	75667.00 	74418.00 	72343.00 	72568.00 	69529.00 
NR,OC2221_3221,TNG_IN,UK	: 	: 	553453.00 	550016.00 	546722.00 	547734.00 	553850.00 	555303.00 	553642.00 	552418.00 	550709.00 	549517.00 	546792.00 	543871.00 	551074.00 	555029.00 	550519.00 	547138.00 	542554.00 	532817.00 	: 	: 
NR,OC2221_3221,TNG_OUT,AT	: 	12662.00 	12177.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_OUT,BE	9526.00 	8990.00 	8420.00 	7889.00 	7215.00 	6752.00 	6128.00 	5411.00 	4629.00 	3725.00 	2843.00 	2419.00 	2064.00 	1767.00 	1505.00 	1290.00 	1142.00 	1021.00 	921.00 	841.00 	768.00 	679.00 
NR,OC2221_3221,TNG_OUT,CH	: 	19947.00 	19208.00 	18122.00 	18403.00 	18352.00 	17765.00 	16756.00 	15872.00 	11553.00 	9037.00 	8618.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_OUT,DE	: 	93000.00 	87000.00 	83000.00 	70000.00 	61000.00 	63000.00 	59000.00 	54000.00 	50000.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_OUT,DK	: 	: 	1098.00 	1084.00 	1047.00 	1034.00 	1010.00 	1031.00 	1039.00 	1073.00 	1081.00 	1092.00 	1100.00 	970.00 	842.00 	825.00 	793.00 	805.00 	786.00 	817.00 	808.00 	821.00 
NR,OC2221_3221,TNG_OUT,EE	29.00 	26.00 	23.00 	20.00 	16.00 	10.00 	8.00 	4.00 	4.00 	4.00 	4.00 	3.00 	1.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_OUT,EL	: 	: 	: 	: 	: 	: 	451.00 	449.00 	446.00 	440.00 	437.00 	433.00 	423.00 	393.00 	348.00 	311.00 	206.00 	: 	: 	: 	: 	: 
NR,OC2221_3221,TNG_OUT,FI	: 	1598.00 	1561.00 	1532.00 	1511.00 	1486.00 	1466.00 	1424.00 	1311.00 	1163.00 	969.00 	797.00 	646.00 	521.00 	432.00 	355.00 	287.00 	229.00 	192.00 	178.00 	156.00 	139.00 
NR,OC2221_3221,TNG_OUT,FR	: 	21849.00 	21269.00 	20757.00 	20053.00 	19405.00 	18647.00 	17682.00 	16754.00 	15797.00 	14495.00 	13395.00 	12627.00 	11921.00 	11411.00 	11658.00 	11211.00 	10561.00 	9666.00 	8598.00 	7682.00 	6937.00 
