unit,facility,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 
HAB_P,HBEDT_LT,FR94	: 	: 	: 	: 	: 	: 	: 	: 	12033.10 	11954.17 	11909.07 	20631.73 	10363.92 	10282.37 	10141.50 	9975.12 	9840.94 	9712.26 	9572.59 	9437.01 	9298.84 	9147.62 	8988.19 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,FRA1	: 	: 	: 	: 	: 	: 	: 	2633.23 	2645.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,FRA2	: 	: 	: 	: 	: 	: 	: 	3476.31 	2709.37 	2725.05 	2748.79 	1937.10 	1223.80 	1985.24 	1988.56 	1988.66 	2334.45 	1955.03 	1906.62 	2169.38 	1847.25 	2139.21 	1820.09 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,FRA3	: 	: 	: 	: 	: 	: 	: 	8536.72 	8274.27 	8062.77 	: 	: 	: 	2218.68 	2161.49 	3126.75 	1777.02 	1676.81 	2820.59 	3170.44 	6905.04 	: 	2604.74 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,FRA4	: 	: 	: 	: 	: 	: 	: 	10080.32 	11984.79 	11921.76 	11875.18 	20621.46 	10363.92 	10282.37 	10141.50 	9975.12 	9840.94 	9712.26 	9572.59 	9437.01 	9298.84 	9147.62 	8988.19 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,FX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1958.48 	1845.10 	1326.74 	1019.76 	923.01 	907.06 	853.43 	798.61 	760.55 	735.14 	709.14 	705.50 	704.34 	693.50 	697.87 	: 	: 	: 	: 
HAB_P,HBEDT_LT,HR	: 	: 	: 	: 	: 	: 	1030.87 	1144.88 b	3602.43 	3699.36 	3844.63 	3856.69 	3501.07 d	3373.15 	3379.90 	3372.17 	3355.39 	3355.37 	3306.88 	3760.21 	3663.07 	4392.18 	4419.78 	4582.54 	4067.19 	4036.40 	4203.85 	3212.72 	3582.92 
HAB_P,HBEDT_LT,HR03	: 	: 	: 	: 	: 	: 	1110.61 	1063.69 b	10048.95 	10065.53 	10085.63 	10104.99 	12868.12 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,HR04	: 	: 	: 	: 	: 	: 	995.30 	1189.91 b	2735.47 	2820.40 	2947.57 	2958.58 	2581.10 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,HU	: 	: 	: 	: 	: 	: 	558.82 	564.38 	567.07 	575.63 	586.68 	583.94 	589.91 	594.15 	578.72 b	753.45 	770.00 	781.20 	784.45 	783.06 	789.31 	766.30 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,HU10	: 	: 	: 	: 	: 	: 	547.81 	559.97 	559.16 	554.33 	561.13 	554.66 	552.03 	547.46 	516.19 b	569.31 	570.81 	570.26 	567.37 	555.82 	580.41 	560.53 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,HU21	: 	: 	: 	: 	: 	: 	452.13 	448.02 	445.72 	477.67 	463.67 	457.78 	465.69 	467.00 	458.03 b	610.35 	633.64 	685.54 	724.35 	728.25 	715.17 	687.89 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,HU22	: 	: 	: 	: 	: 	: 	506.40 	509.70 	518.10 	545.62 	611.59 	609.64 	607.36 	607.83 	607.45 b	756.81 	745.89 	744.81 	746.29 	752.36 	754.44 	712.22 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,HU23	: 	: 	: 	: 	: 	: 	489.72 	494.22 	497.21 	493.72 	501.82 	514.32 	529.81 	530.52 	560.40 b	921.28 	972.14 	976.63 	1046.14 	1099.15 	1076.29 	1019.06 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,HU31	: 	: 	: 	: 	: 	: 	558.14 	575.36 	575.75 	539.08 	572.54 	586.02 	602.07 	609.50 	569.11 b	761.03 	808.10 	825.62 	821.29 	844.92 	891.41 	869.14 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,HU32	: 	: 	: 	: 	: 	: 	713.50 	717.65 	713.68 	766.00 	756.53 	726.18 	724.11 	746.27 	730.26 b	1151.54 	1179.96 	1217.99 	1145.19 	1119.87 	985.73 	1014.88 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,HU33	: 	: 	: 	: 	: 	: 	677.17 	667.33 	692.59 	714.86 	716.38 	720.43 	743.04 	769.24 	768.74 b	1150.35 	1178.98 	1148.54 	1148.81 	1144.64 	1179.77 	1149.70 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,IE	: 	: 	: 	: 	: 	: 	7346.81 	7934.82 	6681.81 	6814.12 	6002.73 	5135.31 	4866.28 b	667.29 	632.85 	629.20 	596.66 	560.49 	580.64 	572.00 	565.74 	547.66 	525.31 	514.39 	503.12 	527.02 	520.61 	521.56 	522.16 
HAB_P,HBEDT_LT,IE01	: 	: 	: 	: 	: 	: 	17926.77 	15610.41 	16630.80 	17047.36 	31789.74 	30062.73 	15081.96 b	629.12 	612.32 	605.03 	590.67 	561.70 	529.54 	521.74 	527.24 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,IE02	: 	: 	: 	: 	: 	: 	6047.51 	6723.68 	5472.46 	5573.22 	4613.65 	3928.67 	3893.93 b	682.46 	640.68 	638.51 	598.88 	560.05 	601.71 	592.61 	580.96 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,IS	: 	: 	: 	: 	: 	2968.49 	3243.28 	3059.68 	2890.75 	2889.33 	2380.70 	2271.72 	1978.25 	1803.49 	1923.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,IS00	: 	: 	: 	: 	: 	2968.49 	3243.28 	3059.68 	2890.75 	2889.33 	2380.70 	2271.72 	1978.25 	1803.49 	1923.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,IT	: 	: 	: 	: 	: 	: 	6641.58 	6550.55 	6284.84 	5892.10 	5656.26 	5309.69 	5379.15 	5279.25 	5322.25 	5645.05 	5769.83 	5923.73 	6105.59 	6051.44 	5722.59 	5626.98 	5407.20 	4933.76 	4648.18 	4350.30 	4656.85 	4363.61 	4571.49 
HAB_P,HBEDT_LT,ITC1	: 	: 	: 	: 	: 	: 	3339.15 	3377.01 	3128.85 	3076.71 	3071.12 	3125.48 	3538.30 	3892.65 	3989.60 	3763.17 	3767.24 	3656.33 	3251.67 	3424.65 	3516.06 	3345.68 	2971.74 	3443.60 	3555.78 	4821.69 	5393.96 	5977.27 	8900.67 
HAB_P,HBEDT_LT,ITC2	: 	: 	: 	: 	: 	: 	7988.34 	8027.78 	8547.83 	21205.33 	18098.64 	18103.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,ITC3	: 	: 	: 	: 	: 	: 	4779.27 	8820.01 	8012.86 	9550.20 	26622.64 	24235.19 	33550.47 	: 	: 	196668.69 	: 	: 	: 	: 	: 	35186.50 	: 	53437.72 	14940.33 	6343.66 	4739.57 	4179.38 	4803.26 
HAB_P,HBEDT_LT,ITC4	: 	: 	: 	: 	: 	: 	12383.02 	11976.03 	11506.36 	7480.97 	7098.52 	7193.74 	7252.45 	7593.99 	8497.21 	12956.57 	20280.88 	17390.41 	18050.34 	24271.66 	28998.57 	26279.58 	22563.92 	18457.61 	18076.98 	6596.02 	5518.12 	5003.20 	4743.37 
HAB_P,HBEDT_LT,ITF1	: 	: 	: 	: 	: 	: 	6994.97 	7572.48 	6212.31 	6090.52 	5731.77 	5188.59 	5633.20 	6000.05 	10013.36 	17128.57 	18313.39 	26604.54 	26449.15 	15223.60 	18553.61 	18278.38 	12865.35 	11349.75 	11759.71 	5584.31 	10635.03 	9868.83 	9009.08 
HAB_P,HBEDT_LT,ITF2	: 	: 	: 	: 	: 	: 	7106.53 	7137.19 	7137.11 	7119.16 	9227.75 	8287.87 	8108.86 	8136.03 	12697.22 	12710.06 	16783.68 	21321.27 	7446.20 	7276.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,ITF3	: 	: 	: 	: 	: 	: 	10925.73 	10512.09 	10246.23 	20024.61 	21195.36 	11342.74 	10113.14 	9680.69 	10982.95 	10492.93 	12322.31 	11151.29 	12200.66 	11998.53 	11687.95 	11754.97 	11917.11 	10901.41 	10533.14 	13308.88 	13438.21 	13435.62 	13361.18 
HAB_P,HBEDT_LT,ITF4	: 	: 	: 	: 	: 	: 	24749.31 	22229.27 	19569.88 	19196.39 	9336.11 	8150.58 	7735.98 	7485.60 	6671.70 	6301.20 	5688.67 	6551.14 	14842.83 	26447.71 	22988.93 	20775.62 	15900.63 	17749.29 	8752.85 	6489.09 	7682.96 	8237.53 	8254.55 
HAB_P,HBEDT_LT,ITF5	: 	: 	: 	: 	: 	: 	3617.34 	3655.09 	3585.67 	3152.34 	5030.09 	4917.36 	5546.17 	7038.72 	7804.02 	12502.26 	19702.17 	19779.82 	31294.97 	18627.98 	17595.96 	33355.64 	50204.42 	50386.46 	46650.69 	1820.44 	1824.40 	1826.08 	1826.67 
HAB_P,HBEDT_LT,ITF6	: 	: 	: 	: 	: 	: 	8810.61 	8383.82 	7084.12 	5880.86 	4951.10 	4579.48 	4824.90 	4432.40 	4071.99 	4068.06 	4275.74 	4840.16 	4828.32 	4793.18 	4839.86 	4517.09 	4678.20 	3853.05 	4191.03 	4596.91 	: 	: 	: 
HAB_P,HBEDT_LT,ITG1	: 	: 	: 	: 	: 	: 	16503.80 	15576.48 	16658.20 	11389.28 	13668.73 	15019.65 	24970.04 	24322.23 	18562.51 	20788.99 	19639.88 	17867.37 	18586.44 	19311.77 	21159.13 	20269.30 	25903.94 	40714.08 	40085.91 	35033.70 	43164.84 	37592.83 	30414.00 
HAB_P,HBEDT_LT,ITG2	: 	: 	: 	: 	: 	: 	8345.29 	10732.73 	9718.35 	9756.62 	9316.84 	15199.20 	14403.20 	17838.85 	13423.83 	9848.42 	10606.22 	10597.76 	11566.31 	11560.88 	10463.73 	10491.56 	8499.04 	8936.23 	8907.00 	8966.19 	11625.31 	16185.68 	16177.57 
HAB_P,HBEDT_LT,ITH1	: 	: 	: 	: 	: 	: 	3130.75 	2394.06 	3069.88 	3381.11 	3310.93 	3247.18 	3223.62 	3260.25 	3455.02 	2834.22 	3312.23 	3778.74 	4982.98 	4944.21 	4862.78 	6568.96 	6531.51 	5829.54 	2808.17 	2568.70 	3241.14 	3226.53 	3212.96 
HAB_P,HBEDT_LT,ITH2	: 	: 	: 	: 	: 	: 	2801.14 	2795.97 	2720.78 	2398.15 	2327.47 	2410.38 	2392.77 	2169.47 	2144.61 	2122.21 	2093.76 	11151.10 	10090.95 	11406.35 	1692.35 	2118.42 	8844.62 	1482.36 	1427.29 	1405.42 	1751.23 	1070.41 	1331.57 
HAB_P,HBEDT_LT,ITH3	: 	: 	: 	: 	: 	: 	5663.24 	5170.21 	5009.49 	5151.01 	4987.47 	4895.90 	4859.07 	4743.80 	4292.52 	4582.54 	4354.72 	4284.33 	3696.13 	3659.90 	3771.95 	3472.45 	3760.20 	4592.03 	4601.05 	3133.24 	2464.83 	2255.12 	2213.64 
HAB_P,HBEDT_LT,ITH4	: 	: 	: 	: 	: 	: 	9715.63 	10321.37 	10129.02 	9917.24 	10160.95 	10092.64 	10714.74 	10320.92 	11308.13 	60177.88 	: 	: 	: 	19766.38 	39411.25 	21066.98 	9980.13 	12935.30 	14187.04 	16844.01 	: 	74057.81 	21238.13 
HAB_P,HBEDT_LT,ITH5	: 	: 	: 	: 	: 	: 	2270.06 	2155.25 	2011.82 	1951.37 	1920.41 	1921.27 	1868.49 	1820.84 	1817.67 	1828.98 	1798.92 	1915.28 	2050.16 	2138.59 	2096.11 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,ITI1	: 	: 	: 	: 	: 	: 	12210.18 	11437.75 	10818.81 	9064.79 	8356.18 	9273.78 	9731.64 	9624.11 	9621.80 	12331.34 	10182.62 	12614.59 	12524.82 	9922.98 	10164.76 	12431.38 	10207.81 	10004.69 	5862.00 	5846.97 	8820.52 	7343.47 	7165.74 
HAB_P,HBEDT_LT,ITI2	: 	: 	: 	: 	: 	: 	26263.87 	38945.74 	44574.53 	46564.58 	46505.92 	49005.89 	62695.11 	72591.29 	66272.35 	65746.54 	77333.14 	: 	: 	: 	: 	: 	: 	: 	: 	27171.30 	: 	27101.98 	27055.67 
HAB_P,HBEDT_LT,ITI3	: 	: 	: 	: 	: 	: 	2854.75 	2852.88 	2852.94 	3579.86 	3088.82 	2859.20 	2737.17 	2784.65 	3056.53 	3096.87 	3161.15 	3809.16 	5182.56 	4674.95 	4785.79 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,ITI4	: 	: 	: 	: 	: 	: 	9104.25 	8897.79 	9570.96 	6876.43 	5828.87 	3921.23 	3688.71 	3035.15 	2991.61 	3115.49 	3077.61 	2713.19 	2597.47 	2285.93 	1882.57 	1740.76 	1474.96 	1076.08 	940.12 	990.03 	1018.50 	976.82 	1079.32 
HAB_P,HBEDT_LT,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	2443.77 	2420.80 	2572.96 	2552.96 b	1182.42 	1215.93 	1251.30 	914.54 	883.26 	921.04 	863.95 	873.53 	837.04 	805.51 	753.99 	726.31 	705.30 	683.91 	662.38 	626.85 
HAB_P,HBEDT_LT,LI00	: 	: 	: 	: 	: 	: 	: 	: 	: 	2443.77 	2420.80 	2572.96 	2552.96 b	1182.42 	1215.93 	1251.30 	914.54 	883.26 	921.04 	863.95 	873.53 	837.04 	805.51 	753.99 	726.31 	705.30 	683.91 	662.38 	626.85 
HAB_P,HBEDT_LT,LT	: 	: 	: 	: 	: 	: 	3147.25 d	3016.84 d	3002.73 d	2632.40 d	2502.57 d	2693.29 d	2569.39 d	2524.25 d	2530.38 d	2532.85 d	2559.73 d	2369.88 d	2006.59 d	1696.93 d	1648.84 d	1551.90 d	1701.71 d	1876.96 d	1783.11 d	1690.90 d	1605.80 d	1575.68 d	1636.72 d
HAB_P,HBEDT_LT,LT00	: 	: 	: 	: 	: 	: 	3147.25 d	3016.84 d	3002.73 d	2632.40 d	2502.57 d	2693.29 d	2569.39 d	2524.25 d	2530.38 d	2532.85 d	2559.73 d	2369.88 d	2006.59 d	1696.93 d	1648.84 d	1551.90 d	1701.71 d	1876.96 d	1783.11 d	1690.90 d	1605.80 d	1575.68 d	1636.72 d
HAB_P,HBEDT_LT,LV	: 	: 	: 	: 	: 	: 	1554.66 	1649.12 	1561.40 	1504.67 	1492.54 	1553.74 	2059.30 	2091.57 	1863.10 	1790.44 	1716.87 	1844.44 	1919.43 	1901.38 	1815.98 	1838.16 b	2069.68 	1875.50 	1850.08 	1489.23 	1466.11 	1457.08 	1780.06 
HAB_P,HBEDT_LT,LV00	: 	: 	: 	: 	: 	: 	1554.66 	1649.12 	1561.40 	1504.67 	1492.54 	1553.74 	2059.30 	2091.57 	1863.10 	1790.44 	1716.87 	1844.44 	1919.43 	1901.38 	1815.98 	1838.16 b	2069.68 	1875.50 	1850.08 	1489.23 	1466.11 	1457.08 	1780.06 
HAB_P,HBEDT_LT,MK	: 	: 	: 	: 	: 	: 	1198.05 	1193.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,MK00	: 	: 	: 	: 	: 	: 	1197.88 	1193.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,MT	: 	: 	: 	: 	: 	2158.09 	2170.99 	2119.79 b	42596.65 	42002.75 	41626.75 	: 	: 	402.14 	332.02 	355.53 	365.13 	350.45 	383.62 	384.06 	383.82 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,MT00	: 	: 	: 	: 	: 	2158.09 	2170.99 	2119.79 b	42596.65 	42002.75 	41626.75 	: 	: 	402.14 	332.02 	355.53 	365.13 	350.45 	383.62 	384.06 	383.82 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,NL	: 	: 	: 	: 	: 	: 	: 	: 	2215.19 	2106.48 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL	: 	: 	: 	: 	: 	: 	75220.62 	70132.35 	52253.02 	28090.90 b	29947.49 	32570.88 	19843.34 	14257.95 b	2716.69 	2683.36 	2562.82 	2409.12 	2456.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL11	: 	: 	: 	: 	: 	: 	: 	: 	32955.72 	33091.16 b	29349.55 	30881.34 	15597.32 	10769.53 b	10285.33 	10328.64 	8277.51 	7428.07 	6079.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL12	: 	: 	: 	: 	: 	: 	132913.06 	132529.31 	88072.38 	58521.11 b	47289.02 	45868.73 	42713.45 	41907.19 b	16549.82 	17870.99 	16618.91 	19040.24 	21839.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL21	: 	: 	: 	: 	: 	: 	: 	: 	: 	28506.51 b	16658.11 	22209.98 	17193.03 	8731.61 b	1658.29 	1608.61 	1589.48 	1411.61 	1528.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL22	: 	: 	: 	: 	: 	: 	42319.03 	42448.05 	42589.79 	28750.08 b	39492.43 	44982.29 	27326.32 	21728.46 b	9069.31 	9449.41 	7299.02 	5248.47 	4644.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL31	: 	: 	: 	: 	: 	: 	35373.65 	35506.03 	35647.43 	15667.03 b	22663.79 	18939.96 	9565.29 	5103.83 b	2992.40 	3060.74 	2945.19 	3189.74 	3179.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL32	: 	: 	: 	: 	: 	: 	57885.56 	59540.14 	32567.26 	32569.65 b	24805.59 	24789.53 	24884.82 	12795.22 b	2010.98 	2040.77 	2187.82 	2198.75 	2610.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL33	: 	: 	: 	: 	: 	: 	: 	: 	: 	42043.35 b	42193.48 	42338.35 	42415.67 	53090.29 b	1504.94 	1534.00 	1539.29 	1550.66 	1525.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL34	: 	: 	: 	: 	: 	: 	: 	: 	: 	83647.46 b	83834.86 	83970.04 	17408.98 	14537.38 b	12982.40 	13020.60 	5802.21 	6018.86 	6486.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL41	: 	: 	: 	: 	: 	: 	18645.01 	17396.79 	15493.67 	11924.40 b	21826.14 	22478.38 	9200.46 	7263.92 b	6051.33 	5921.86 	5174.88 	4783.23 	5246.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	84824.70 	48487.87 	14738.88 	36013.06 b	1051.28 	896.51 	939.83 	778.81 	796.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL43	: 	: 	: 	: 	: 	: 	: 	: 	: 	67366.77 b	67370.70 	67343.50 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL51	: 	: 	: 	: 	: 	: 	: 	191263.90 	191491.97 	22294.71 b	30289.25 	45671.52 	42305.65 	17654.81 b	716.86 	730.26 	696.71 	717.64 	749.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL52	: 	: 	: 	: 	: 	: 	: 	: 	: 	74450.31 b	40469.31 	40588.94 	41840.06 	43127.67 b	43313.10 	47485.18 	33853.84 	19511.09 	20352.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL61	: 	: 	: 	: 	: 	: 	171993.83 	172260.96 	64704.25 	18850.24 b	13385.57 	20542.66 	10901.07 	8648.65 b	1094.99 	1101.98 	1035.16 	1018.32 	862.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL62	: 	: 	: 	: 	: 	: 	: 	: 	: 	64842.25 b	20111.14 	17856.98 	16042.52 	18058.41 b	8698.29 	8705.74 	8071.51 	4550.32 	14881.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,PL63	: 	: 	: 	: 	: 	: 	34989.37 	30242.51 	24588.60 	24524.64 b	: 	224026.15 	222723.35 	221521.60 b	220725.75 	220131.90 	99842.82 	54786.99 	60729.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,RO	: 	: 	: 	: 	: 	: 	867.96 	899.60 	873.64 	849.70 	906.37 	977.21 	964.54 b	1110.38 	1081.45 	967.23 	933.08 	645.92 	682.40 	643.14 	655.92 	665.81 	671.33 b	848.92 	806.28 	819.47 	831.87 	839.19 	804.07 
HAB_P,HBEDT_LT,RO11	: 	: 	: 	: 	: 	: 	782.85 	833.99 	754.96 	738.58 	780.91 	792.14 	732.13 b	975.92 	888.18 	838.21 	827.81 	539.21 	575.62 	540.38 	539.76 	542.95 	527.77 b	660.50 	670.76 	679.19 	682.17 	689.19 	685.22 
HAB_P,HBEDT_LT,RO12	: 	: 	: 	: 	: 	: 	970.65 	999.04 	964.55 	981.69 	1018.20 	1058.54 	1040.05 b	1283.86 	1297.89 	1117.67 	1106.99 	827.67 	913.50 	835.72 	799.52 	813.82 	815.26 b	1077.23 	1029.16 	1016.37 	1102.17 	1087.92 	1044.04 
HAB_P,HBEDT_LT,RO21	: 	: 	: 	: 	: 	: 	869.02 	918.44 	895.35 	794.42 	905.47 	1001.04 	1015.58 b	1095.11 	1186.38 	1076.27 	1058.44 	748.59 	771.45 	754.46 	789.24 	797.18 	744.38 b	910.87 	879.86 	858.54 	871.05 	932.73 	917.96 
HAB_P,HBEDT_LT,RO22	: 	: 	: 	: 	: 	: 	996.03 	1025.31 	983.28 	1026.00 	1098.62 	1187.84 	1161.21 b	1470.58 	1502.95 	1420.20 	1317.35 	767.21 	924.42 	858.85 	1095.64 	1087.24 	1043.82 b	1616.40 	1412.66 	1366.15 	1331.51 	1223.69 	1148.65 
HAB_P,HBEDT_LT,RO31	: 	: 	: 	: 	: 	: 	1041.51 	1068.56 	1061.21 	1062.51 	1143.82 	1127.81 	1089.72 b	1314.89 	1332.16 	1059.86 	1030.26 	795.11 	868.74 	797.38 	807.70 	818.05 	846.69 b	1370.26 	1495.29 	1439.86 	1387.98 	1393.13 	1388.19 
HAB_P,HBEDT_LT,RO32	: 	: 	: 	: 	: 	: 	913.02 	898.70 	962.72 	718.33 	720.30 	766.87 	790.40 b	739.81 	682.25 	658.75 	582.45 	261.76 	259.12 	244.12 	250.74 	262.68 	274.33 b	264.38 	239.88 	259.13 	262.97 	263.73 	247.86 
HAB_P,HBEDT_LT,RO41	: 	: 	: 	: 	: 	: 	829.04 	902.21 	853.63 	850.43 	876.87 	1207.24 	1239.35 b	1348.58 	1235.50 	1049.79 	1075.93 	1447.85 	1452.04 	1357.78 	1313.69 	1328.99 	1807.27 b	4496.96 	4510.82 	4419.09 	4433.61 	4075.61 	4084.39 
HAB_P,HBEDT_LT,RO42	: 	: 	: 	: 	: 	: 	597.75 	602.73 	587.88 	715.65 	778.27 	813.51 	811.98 b	923.10 	842.46 	728.35 	708.78 	788.88 	824.77 	804.43 	699.54 	682.21 	659.39 b	1043.40 	920.98 	923.59 	994.66 	1068.46 	941.08 
HAB_P,HBEDT_LT,RS	: 	: 	: 	: 	: 	: 	: 	11264.73 d	11021.74 d	11518.52 d	11839.77 d	13555.15 d	12471.56 d	13219.82 bd	20447.59 d	44380.65 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,RS11	: 	: 	: 	: 	: 	: 	: 	: d	: d	: d	: d	: d	: d	: bd	: d	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,RS12	: 	: 	: 	: 	: 	: 	: 	: d	: d	: d	: d	: d	: d	: bd	: d	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,RS21	: 	: 	: 	: 	: 	: 	: 	: d	: d	: d	: d	: d	: d	: bd	: d	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,RS22	: 	: 	: 	: 	: 	: 	: 	: d	: d	: d	: d	: d	: d	: bd	: d	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,SE	: 	: 	: 	: 	: 	: 	5986.06 	5515.42 	5336.51 	5156.76 b	4647.92 	4526.12 	4290.96 	4160.49 	4010.56 	3821.76 	3920.79 	3698.00 	3603.47 	3669.80 	3206.91 b	2782.10 	2529.38 	2440.30 	2365.26 	1881.46 	1581.61 	1397.32 	815.50 
HAB_P,HBEDT_LT,SE11	: 	: 	: 	: 	: 	: 	2384.01 	2388.33 	2378.08 	2386.02 b	2123.88 	2162.17 	2062.09 	2068.83 	1979.33 	1868.52 	1896.60 	1697.17 	1803.37 	2029.34 	1836.56 b	1657.49 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,SE12	: 	: 	: 	: 	: 	: 	11165.72 	9326.34 	8543.23 	8470.37 b	8028.94 	6626.14 	5022.46 	5641.24 	5462.57 	5282.27 	5157.53 	6353.76 	6099.72 	5339.37 	4998.97 b	3775.22 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,SE21	: 	: 	: 	: 	: 	: 	4827.09 	4033.50 	3988.34 	3823.33 b	3868.00 	3753.88 	3985.07 	3877.94 	3940.20 	3870.29 	3901.93 	3649.01 	3577.32 	3588.90 	3088.54 b	2339.47 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,SE22	: 	: 	: 	: 	: 	: 	35401.77 	24321.11 	24086.69 	19324.08 b	24159.21 	30891.21 	22546.48 	19416.24 	23571.87 	21080.13 	21928.45 	20420.63 	21291.40 	11841.99 	11560.38 b	13881.67 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_LT,SE23	: 	: 	: 	: 	: 	: 	11765.49 	10855.62 	11810.15 	7877.37 b	6245.21 	5508.92 	5773.27 	4792.72 	4514.57 	4294.18 	4972.54 	4457.92 	3656.22 	3318.71 	2728.58 b	2566.78 	: 	: 	: 	: 	: 	: 	: 
