unit,facility,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 
HAB_P,HBEDI_PSY,BE24	: 	: 	: 	: 	: 	: 	: 	: 	: 	615.33 	613.76 	608.32 	602.74 	598.05 	593.45 	576.62 b	442.40 	445.48 	449.14 	447.16 	435.79 	408.91 	407.54 	406.17 	393.70 	395.87 	472.40 	460.66 	449.45 
HAB_P,HBEDI_PSY,BE25	: 	: 	: 	: 	: 	: 	: 	: 	: 	475.64 	474.04 	475.36 	472.76 	472.88 	472.31 	467.46 b	341.58 	345.53 	344.84 	345.14 	342.67 	343.18 	343.78 	343.22 	349.10 	352.25 	474.82 	459.44 	431.20 
HAB_P,HBEDI_PSY,BE31	: 	: 	: 	: 	: 	: 	: 	: 	: 	783.83 	778.11 	777.15 	769.00 	733.01 	727.94 	721.08 b	673.67 	668.35 	663.03 	657.95 	652.42 	651.12 	646.85 	641.87 	636.43 	632.55 	666.24 	660.23 	653.43 
HAB_P,HBEDI_PSY,BE32	: 	: 	: 	: 	: 	: 	: 	: 	: 	597.68 	585.30 	581.78 	578.39 	578.79 	575.37 	573.15 b	451.83 	460.48 	459.66 	459.27 	458.94 	452.49 	448.32 	452.07 	469.31 	474.88 	599.12 	554.83 	517.83 
HAB_P,HBEDI_PSY,BE33	: 	: 	: 	: 	: 	: 	: 	: 	: 	590.49 	587.50 	581.98 	575.99 	572.21 	568.80 	554.95 b	440.22 	437.95 	437.14 	435.98 	434.75 	428.82 	424.88 	425.74 	424.16 	451.02 	576.02 	504.90 	515.27 
HAB_P,HBEDI_PSY,BE34	: 	: 	: 	: 	: 	: 	: 	: 	: 	1208.30 	1198.51 	1183.90 	1170.25 	1159.46 	1146.86 	1134.77 b	843.53 	927.50 	920.75 	914.00 	907.56 	901.04 	894.47 	888.96 	884.21 	879.75 	1051.57 	1044.59 	1037.10 
HAB_P,HBEDI_PSY,BE35	: 	: 	: 	: 	: 	: 	: 	: 	: 	551.66 	546.04 	540.11 	533.99 	530.07 	526.31 	522.45 b	364.03 	361.75 	359.57 	357.55 	355.73 	339.59 	337.83 	335.90 	334.46 	333.25 	439.90 	438.09 	408.38 
HAB_P,HBEDI_PSY,BG	: 	: 	: 	: 	: 	: 	1456.28 	1497.81 	1516.09 	1566.11 	1592.62 	1513.01 	1437.43 	1463.39 	1468.54 	1475.93 	1460.24 	1536.92 	1548.25 	1522.07 	1427.40 	1564.27 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,BG31	: 	: 	: 	: 	: 	: 	1078.48 	1127.31 	1106.96 	1124.71 	1153.99 	1176.90 	1025.18 	1068.39 	1116.04 	1138.42 	1161.84 	1231.13 	1285.84 	1210.29 	1107.70 	1193.58 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,BG32	: 	: 	: 	: 	: 	: 	847.61 	909.83 	900.50 	956.07 	988.24 	986.32 	936.45 	971.61 	988.53 	1013.04 	1029.71 	1061.85 	1070.87 	1060.65 	1064.54 	1197.13 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,BG33	: 	: 	: 	: 	: 	: 	1328.48 	1362.30 	1486.78 	1599.52 	1668.07 	1550.61 	1375.70 	1434.90 	1345.60 	1369.35 	1219.48 	1266.27 	1294.60 	1255.56 	1147.86 	1195.24 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,BG34	: 	: 	: 	: 	: 	: 	1179.38 	1185.59 	1190.88 	1228.95 	1214.13 	1178.33 	1184.27 	1170.76 	1199.81 	1209.00 	1218.63 	1235.08 	1245.43 	1252.61 	1225.90 	1462.46 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,BG41	: 	: 	: 	: 	: 	: 	2948.89 	2982.35 	3071.00 	3008.49 	3173.34 	2745.41 	2640.95 	2647.61 	2556.30 	2503.32 	2486.27 	2908.45 	2802.47 	2795.09 	2512.04 	2712.54 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,BG42	: 	: 	: 	: 	: 	: 	1601.14 	1628.91 	1638.18 	1705.50 	1677.01 	1549.17 	1571.12 	1592.14 	1639.08 	1629.40 	1646.54 	1704.19 	1719.19 	1722.24 	1643.22 	2000.83 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CH	: 	: 	: 	: 	: 	: 	1088.36 	1101.96 	1070.73 	1077.45 	1077.54 	1034.49 b	1017.32 	996.44 	981.43 	990.07 	945.48 	939.08 	931.11 	907.31 	886.88 	836.55 	832.54 	836.37 	: 	: 	: 	: 	: 
