unit,age,sex,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
NR,TOTAL,M,SK	: 	8326 	8164 	8120 	7860 	8031 	7960 	7940 	7930 	7839 	7805 	8002 	7947 	8190 	8289 	7824 	7464 	7741 	7612 	7737 	7894 	7940 	7929 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,TR	: 	100627 	95557 	91931 b	90050 e	86947 e	84805 e	81416 e	80311 e	77907 e	75660 e	74110 e	71226 e	67931 e	65078 e	62720 e	60546 e	58300 e	56712 e	55201 e	53914 e	51175 e	47822 e	45079 e	42951 e	41495 e	40720 e	39523 e	36650 e	34210 e	32710 e	30400 e	28040 e	25516 e	23311 e	22479 e	21869 e	20529 e	19370 e	18585 e	17056 e	16354 e
NR,TOTAL,M,UK	: 	: 	99919 	96986 e	94536 	92148 	91436 b	93490 	93044 	93048 	93220 	92649 	92981 b	90651 	89058 	88786 	87702 	85049 	80225 	77122 	74773 	73054 	73181 	72837 	71693 	70100 	68772 	67087 	66994 	65981 	64958 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,AT	48705 	47674 	47224 	46337 	45596 	44816 	44002 	43126 	42302 	41268 	40634 	40105 	39123 	38313 	37643 	36792 	35518 	34334 	33410 	32575 	31859 	30871 	30115 	30110 	29129 	28489 	27923 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,BE	: 	37089 	36343 	35762 	35069 	34834 	34020 	33353 	32999 	32583 	32182 	31815 	31578 	31280 	30878 	30450 	30098 	29903 	29663 	29553 	29325 	29022 	28642 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,BG	: 	29656 	29549 	29625 	29606 	29271 	29002 	28733 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,CH	38613 	37911 	37300 	36940 	36324 	35592 	34762 	33785 	32681 	31313 	30327 	29803 	29680 	29194 b	29031 	28780 	28223 	27742 	27268 	25921 	25395 	25216 	: 	: 	: 	22717 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,CY	: 	: 	3768 	3544 	3325 	3209 	3046 	2880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1800 	: 	: 	: 	: 	1607 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,CZ	: 	43810 e	43399 be	: 	: 	: 	: 	: 	38776 	38624 	38171 	37661 	37351 	36921 	36815 	36595 	36381 	35907 	35960 	35750 	35222 	34604 b	31653 	31192 	32065 	30784 	30942 	30306 	29589 	27645 	27575 	28036 	28200 	27910 	27145 	26957 	26649 	25859 	25341 	24584 	23936 	23303 
NR,TOTAL,T,DE	: 	371556 	365100 	357401 	351195 	344755 	338129 	332695 	325407 	317390 	311223 	303645 	296400 	290723 	286803 	283102 	280012 	278444 	276643 	273961 	271157 	266869 	262400 	259441 	255655 	253974 	249458 	243405 	236608 	227881 	220445 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,DK	: 	: 	24715 	24306 	23689 	22904 	22335 	21881 	21610 	21456 	21107 	20669 	20164 	19663 	18886 	18615 	18072 	17438 	16608 	16324 	15717 	15553 	15342 	15144 	14672 	14207 	14038 	13761 	13571 	13433 b	12531 	12828 	12621 	12410 	12050 	12007 	11765 	11558 	10820 	10475 	9396 	9083 
NR,TOTAL,T,EE	: 	4626 	4603 	4605 	4569 	4548 	4492 	4418 	4395 b	4343 	4372 	4319 	4378 	4469 	4370 	4286 	4257 	4120 	4107 	4089 	3863 	4110 	4200 	4158 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,EL	: 	66290 	66058 	65513 	65240 	65972 	63866 	63906 	63736 	63838 	64145 	64032 	64326 	63244 	62207 	59599 	55556 	53943 	52225 	50347 	47944 	47251 	46124 	44753 	43030 	41511 	41200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,ES	: 	216766 	207565 	188166 	180633 	177731 	178600 	176665 	177665 	178833 	179267 	175033 	166800 	162900 	161033 	160933 	154767 	147833 	136000 	129667 	128100 	127200 	123200 	117566 	114867 	109600 	: 	: 	: 	: 	: 	79600 	: 	: 	: 	: 	78700 	: 	: 	: 	: 	68900 
NR,TOTAL,T,EU27_2020	: 	1751020 e	1732503 e	1685764 e	1662534 e	1641683 e	1612108 e	1598384 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,EU28	: 	: 	1928172 e	1874547 e	1846918 e	1822932 e	1791270 e	1774519 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,FI	: 	: 	: 	19195 	19061 	18776 	18691 	18464 	18002 	17598 	17487 	17008 	16702 	16304 	15879 	15573 	15376 	14964 b	15271 	15077 	14854 	14807 	14280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,FR	: 	214315 	213201 	210567 	210038 	208266 	206710 	205041 	203249 	201094 	199094 b	212132 	210723 b	212478 	211521 	211324 	210312 	208769 	206289 	203962 	201140 	197977 	195751 	194834 	193383 	191663 	189892 	188083 	185477 	183246 	179599 	175912 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,HR	: 	14256 	14312 	14075 	13885 	13504 	13430 	13302 	12906 	12772 	12490 	12304 	11813 b	11801 	11799 	11250 	11100 	11093 	10820 	10589 	10552 	10439 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,HU	: 	30610 b	34137 	33078 	32543 	31515 	30486 b	32791 	31748 	30641 	29500 	28686 b	30276 	31024 b	28189 b	30575 	28055 b	33727 b	38241 	37295 b	33088 e	30695 be	36386 	36143 	35477 	35026 	34634 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,IE	20256 b	17231 	16366 	15962 	15660 	15178 	14666 	14029 b	18160 	18167 	18795 	18821 	18153 	17727 	16860 	15500 b	: 	11141 	10270 	9444 	9166 	8438 	8469 	8102 	7801 	7622 	7563 	7129 	7212 	7096 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,IS	: 	: 	1404 	1373 	1330 	1292 b	1249 	1193 	1168 	1142 	1118 	1142 	1162 	1156 	1126 	1095 	1072 b	1056 	1047 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,IT	244441 p	237844 	241945 	240301 	241512 	239642 	233102 	235889 	234918 	230621 b	379930 	371450 	367420 	365280 	364174 	354828 	350952 	349341 e	340706 e	333050 e	326917 e	320733 be	339264 	335786 	332124 	327254 	324348 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,LI	134 	141 	144 	135 	138 	124 	120 	119 	120 	116 	111 	104 b	89 d	85 d	80 d	80 d	78 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,LT	: 	12529 	12768 	12881 b	13731 	13681 	13490 	13510 	13570 	13552 	13327 	13203 	13228 	13403 	13729 be	14603 	14138 	13902 	13660 	13466 	13409 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,LU	: 	: 	: 	: 	1781 	1683 	1657 	1603 	1537 	1489 	1439 	1413 	1355 	1335 	1297 	1249 	1194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,LV	: 	6346 	6253 	6367 	6225 	6295 	6324 	6412 	6423 	6396 	6456 	6517 	6753 	7040 	6916 	6719 	6628 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,ME	: 	1721 	1708 	1730 	1659 	1616 	1490 	1370 	1348 	1276 	1259 	1276 	1310 	1312 	1233 	1231 	1203 	1191 	1139 	1166 	1173 	1156 	1142 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,MK	: 	6258 	6468 	6364 	6219 	6210 	5975 	6035 	5804 	5755 	5649 	5541 	5364 	5364 	5052 	5187 b	4392 	4490 	4448 	4573 	4459 	4455 	4449 	4508 	4491 	4464 	4516 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,MT	: 	2158 	2029 	1925 	1855 	1743 	1636 	1566 	1466 	1381 	1319 b	1279 	1257 d	1374 d	: 	: 	: 	: 	1254 d	1302 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,NL	: 	66870 	65121 	63278 b	61730 	60233 	59144 	57762 b	55681 	54511 	52295 	49242 	48312 	47202 	45763 	45688 	44186 	43111 	42447 	41589 	40355 	38903 	37638 b	46101 	: 	: 	: 	: 	: 	: 	: 	37461 	36042 	35852 	34573 	33330 	32193 	31185 	29951 	28807 	28037 	26987 
NR,TOTAL,T,NO	27925 	27361 	26572 	25804 	24986 	23986 	23104 b	22754 	21874 	21238 	20744 	20114 	19546 b	18858 	18102 	17391 	16473 	15615 	14746 	14603 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,PL	: 	: 	: 	: 	90284 	91730 	88437 	87687 	85246 	85025 	84221 	83201 	82813 	82397 	83519 	83116 	81600 b	87440 b	92982 b	88070 	86706 	85031 	87524 	90086 	91121 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,PT	: 	56508 	54744 	52966 	51241 	49541 	47792 	46036 	44555 	43123 	42054 	40672 	39327 	38156 	37118 	36134 	35342 	34416 	33633 	32938 	32407 	31664 	30897 	30247 	29576 	29042 	28507 	28230 	27991 	27991 	27683 	27371 	26976 	26257 	25774 	25099 	23790 	23503 	22312 	21409 	20406 	18723 
NR,TOTAL,T,RO	: 	64127 	61731 b	59333 	57329 	55975 	54807 	53720 	52828 	52362 	51153 	50778 b	50386 	50267 	48199 	46936 	47388 	48150 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,RS	20703 	19857 b	: 	20824 	20773 	20853 b	21840 	21900 	22248 	22315 	22412 	22316 	22078 	21939 	21340 	20906 	20786 	20974 	20549 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,SE	: 	: 	44046 	43967 	42945 	42017 	40919 	39853 	38828 	37780 	36756 	35718 	34876 	33951 	33178 	32180 	31198 	30343 	29419 	28679 	27779 	26852 	26277 	25847 	25255 	25095 	24866 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,SI	: 	6944 	6812 	6591 	6408 	6224 	5830 	5712 	5416 	5228 	5121 	4979 	4915 	4854 	4814 	4740 	4692 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,SK	: 	20026 	19454 	19178 	18608 	18864 	18719 	18574 	18355 	18193 	17849 	18110 	17798 	18121 	18219 	17040 	16318 	17851 	17663 	17886 	18022 	18074 	17916 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,T,TR	: 	171259 	160810 	153128 b	149997 e	144827 e	141259 e	135616 e	133775 e	129772 e	126029 e	123447 e	118641 e	113151 e	108402 e	104475 e	100853 e	97110 e	94466 e	91949 e	89804 e	85242 e	79658 e	75088 e	71545 e	69118 e	67828 e	65832 e	61050 e	56985 e	54485 e	50639 e	46708 e	42502 e	38829 e	37442 e	36427 e	34195 e	32263 e	30956 e	28411 e	27241 e
NR,TOTAL,T,UK	: 	: 	195669 	188783 e	184384 	181249 	179162 b	176135 	172792 	170580 	168751 	165060 	163418 b	156947 	151026 	147867 	143677 	138096 	129426 	123560 	118648 	115282 	112183 	110952 	108030 	104429 	101803 	98105 	97055 	94671 	93663 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,AT	7179 	7253 	7295 	7087 	6893 	6613 	6422 	6138 	5768 	5521 	5178 	5052 	4845 	4711 	4743 	4885 	5039 	5332 	5349 	5306 	5367 	5361 	5241 	5042 	4612 	4216 	3821 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,BE	: 	5010 	4831 	4610 	4517 	4484 	4484 	4494 	4493 	4406 	4325 	4250 	4094 	4068 	4014 	3864 	3724 	3612 	3496 	3530 	3433 	3363 	3307 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,BG	: 	1626 	1634 	1653 	1666 	1785 	2088 	2281 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,CH	5305 	5043 	4948 	4882 	4727 	4645 	4476 	4300 	4173 	3945 	3745 	3584 	3461 	3413 b	3408 	3326 	3215 	3051 	2969 	2755 	2704 	2679 	: 	: 	: 	2164 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,CY	: 	: 	391 	356 	345 	306 	268 	235 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	296 	: 	: 	: 	: 	250 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,CZ	: 	5758 e	5698 be	: 	: 	: 	: 	: 	4568 	4588 	4637 	4632 	4688 	4635 	4636 	4581 	4471 	4388 	4376 	4569 	4750 	4874 b	4927 	5175 	5477 	5572 	5668 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,DE	: 	27324 	25806 	24270 	23073 	21962 	20988 	20136 	19042 	17862 	16873 	16335 	15661 	15611 	16160 	16726 	16841 	17422 	18130 	18683 	19020 	19097 	19051 	18336 	17682 	17226 	16570 	15605 	14780 	13395 	12418 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,DK	: 	: 	4120 	4066 	3923 	3809 	3694 	3518 	3295 	3143 	3006 	2866 	2716 	2599 	2476 	2387 	2270 	2204 	2161 	2175 	2165 	2126 	2137 	2108 	2075 	1944 	1879 	1797 	1690 	1624 b	1509 	1494 	1421 	1313 	1214 	1166 	1072 	998 	861 	823 	703 	643 
NR,Y35-44,F,EE	: 	514 	476 	447 	447 	438 	431 	446 	461 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,EL	: 	7073 	7849 	8060 	8591 	9523 	9413 	9751 	9481 	9447 	9385 	8292 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6578 	6180 	5721 	5632 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,ES	: 	32900 	33100 	30500 	28433 	25933 	24833 	25233 	27700 	28100 	27167 	23800 	21567 	22367 	23133 	23800 	22333 	22433 	21000 	19300 	19433 	19600 	20067 	20167 	20767 	20067 	: 	: 	: 	: 	: 	5800 	: 	: 	: 	: 	2800 	: 	: 	: 	: 	3500 
NR,Y35-44,F,FI	: 	: 	: 	3336 	3101 	2967 	2903 	2868 	2842 	2795 	2766 	2752 	2728 	2740 	2753 	2738 	2761 	2715 b	2947 	2937 	2959 	2981 	2922 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,FR	: 	26543 	24886 	23589 	22499 	21587 	21151 	20637 	20393 	20047 	19882 b	21141 	21358 b	22516 	23184 	23556 	24070 	24758 	25844 	26829 	27577 	28192 	28943 	29813 	30287 	30473 	30599 	30870 	30543 	29648 	28179 	26452 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,HR	: 	2150 	2069 	2012 	2008 	1965 	1945 	1950 	1916 	1886 	1862 	1870 	1863 b	1893 	1922 	1890 	1937 	2033 	2067 	2070 	2107 	2142 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,HU	: 	3238 b	3214 	3195 	3221 	3195 	3192 b	3108 	3067 	3088 	3064 	3060 b	3125 	3279 b	3273 b	3090 	2975 b	4052 b	4671 	4838 b	4535 e	4298 be	5547 	5719 	5791 	5834 	5746 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,IE	2532 b	2213 	2056 	2039 	2159 	2068 	1994 	1931 b	2309 	2097 	2106 	: 	: 	1799 	1748 	1473 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,IS	: 	: 	157 	138 	123 	117 b	95 	89 	90 	84 	82 	93 	98 	104 	100 	100 	105 b	111 	105 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,IT	27727 p	27125 	27141 	26406 	26350 	25206 	23653 	23286 	22456 	21455 b	30811 	30189 	29994 	30140 	30622 	31319 	32674 	35045 e	37234 e	39238 e	41351 e	42971 be	47733 	48698 	49301 	49111 	47845 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,LI	11 	11 	8 	8 	11 	11 	11 	9 	11 	10 	10 	9 b	8 d	8 d	7 d	7 d	6 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,LT	: 	1265 e	1320 e	1322 be	1374 e	1367 e	1343 e	1383 e	1441 e	1532 e	1504 e	1679 e	1784 e	1898 e	2109 be	2343 	2307 	2321 	2311 	2543 	2637 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,LU	: 	: 	: 	: 	197 	179 	175 	163 	154 	144 	139 	145 	133 	132 	128 	130 	121 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,LV	: 	513 	490 	480 	508 	561 	597 	674 	736 	788 	857 	937 	1007 	1103 	1154 	1154 	1213 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,ME	: 	360 	357 	354 	307 	306 	307 	274 	272 	235 	238 	243 	244 	234 	242 	254 	264 	287 	298 	291 	307 	307 	301 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,MK	: 	1034 	1063 	1031 	980 	971 	899 	854 	806 	789 	766 	706 	701 	692 	645 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,MT	: 	220 	190 	169 	160 	133 	105 	102 	91 	78 	79 b	82 	85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,NL	: 	11013 	10331 	9612 b	9183 	8928 	8660 	8380 b	7966 	7688 	7161 	6841 	6646 	6500 	6223 	6056 	5930 	5690 	5524 	5350 	5162 	4963 	4736 b	5339 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2131 	: 	: 	: 	: 	: 
NR,Y35-44,F,NO	4947 	4774 	4545 	4359 	4120 	3892 	3668 b	3357 	3074 	2909 	2774 	2588 	2467 b	2312 	2150 	2068 	1909 	1839 	1681 	1690 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,RO	: 	10462 	10322 	10065 	9992 	9616 	9654 	9402 	9435 	9360 	9243 	9188 b	9214 	8979 	8667 	8552 	8712 	9130 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,RS	3694 	3494 b	: 	3967 	4179 	4231 b	4389 	4360 	4349 	4341 	4380 	4328 	4316 	4355 	4344 	4481 	4715 	4864 	4980 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,SE	: 	: 	6976 	6714 	6466 	6289 	5910 	5573 	5269 	4976 	4688 	4444 	4243 	3989 	3786 	3526 	3352 	3221 	3140 	3118 	3077 	3139 	3250 	3321 	3402 	3469 	3410 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,SI	: 	1199 	1190 	1119 	1080 	1010 	982 	965 	931 	884 	844 	816 	804 	804 	819 	813 	814 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,SK	: 	2437 	2261 	2178 	2125 	2221 	2373 	2449 	2474 	2501 	2531 	2555 	2517 	2502 	2537 	2219 	2042 	2120 	2071 	2100 	2213 	2246 	2617 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,F,TR	: 	18999 	18836 	18826 b	18441 e	17805 e	17367 e	16673 e	16447 e	15955 e	15494 e	15177 e	14586 e	13911 e	13327 e	12844 e	12399 e	11939 e	11614 e	11304 e	11041 e	10480 e	9793 e	9232 e	8796 e	8498 e	8339 e	8094 e	7506 e	7006 e	6699 e	6226 e	5742 e	5225 e	4774 e	4603 e	4478 e	4204 e	3966 e	3806 e	3493 e	3349 e
NR,Y35-44,F,UK	: 	: 	29619 	28155 e	26789 	25504 	24810 b	24583 	23471 	22646 	21989 	21067 	20563 b	19961 	18350 	17582 	17074 	16467 	15459 	14595 	13963 	13325 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,AT	5144 	5176 	5214 	5168 	5205 	5200 	5082 	4929 	4860 	4789 	4732 	4703 	4689 	4821 	5009 	5330 	5604 	6019 	6379 	6752 	7172 	7450 	7678 	7725 	7573 	7386 	7134 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,BE	: 	3053 	2999 	3008 	3049 	3180 	3297 	3384 	3453 	3492 	3546 	3617 	3676 	3775 	3954 	4043 	4254 	4473 	4804 	5206 	5568 	5976 	6337 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,BG	: 	1269 	1224 	1273 	1301 	1363 	1616 	1724 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,CH	3893 	3875 	3949 	4079 	4159 	4298 	4435 	4521 	4534 	4425 	4398 	4484 	4523 	4526 b	4670 	4787 	4817 	4899 	5012 	4936 	5103 	5270 	: 	: 	: 	5494 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,CY	: 	: 	541 	505 	459 	461 	436 	419 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	354 	: 	: 	: 	: 	424 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,CZ	: 	3585 e	3887 be	: 	: 	: 	: 	: 	3987 	4043 	4061 	4071 	4087 	4107 	4108 	4042 	3932 	3923 	4064 	4078 	4173 	4351 b	4123 	4309 	4805 	4797 	5139 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,DE	: 	22644 	21475 	20743 	20252 	19796 	19959 	20179 	19924 	19412 	19227 	18925 	19258 	19868 	21136 	22326 	23218 	24769 	25948 	26939 	27643 	28574 	29196 	29207 	28693 	27969 	26943 	25810 	25165 	24579 	24530 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,DK	: 	: 	2715 	2701 	2695 	2653 	2601 	2520 	2427 	2329 	2259 	2156 	2084 	1943 	1851 	1791 	1808 	1873 	1952 	2100 	2252 	2476 	2648 	2789 	2904 	3013 	3192 	3281 	3359 	3462 b	3462 	3671 	3734 	3809 	3738 	3781 	3665 	3498 	3143 	2985 	2669 	2497 
NR,Y35-44,M,EE	: 	187 	172 	186 	192 	186 	178 	186 	193 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
