unit,age,sex,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
NR,TOTAL,F,IS	: 	: 	570 	544 	513 	474 b	467 	434 	414 	396 	372 	369 	373 	359 	326 	295 	276 b	267 	255 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,IT	109361 p	105800 	105852 	103260 	102218 	99339 	94959 	95038 	93421 	90796 b	144871 	138321 	134674 	131793 	131088 	123129 	119347 	115603 e	110408 e	105338 e	101185 e	96815 be	100298 	97555 	94698 	91656 	88924 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,LI	40 	45 	44 	38 	44 	38 	36 	31 	32 	28 	28 	25 b	22 d	21 d	20 d	20 d	18 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,LT	: 	8863 e	9032 e	9122 be	9524 e	9540 e	9405 e	9415 e	9450 e	9423 e	9253 e	9251 e	9239 e	9360 e	9577 be	10115 	9804 	9668 	9518 	9383 	9355 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,LU	: 	: 	: 	: 	635 	581 	564 	540 	496 	463 	437 	418 	381 	373 	367 	340 	311 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,LV	: 	4692 	4611 	4715 	4623 	4672 	4706 	4761 	4773 	4761 	4795 	4819 	4956 	5155 	5045 	4901 	4826 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,ME	: 	1095 	1095 	1111 	1065 	1032 	943 	849 	834 	788 	779 	786 	795 	784 	732 	719 	697 	698 	669 	672 	664 	652 	642 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,MK	: 	3865 	4058 	3966 	3845 	3845 	3653 	3690 	3501 	3439 	3335 	3288 	3186 	3208 	3007 	2491 b	2565 	2623 	2607 	2666 	2564 	2500 	2466 	2473 	2423 	2394 	2369 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,MT	: 	934 	864 	801 	767 	706 	654 	604 	549 	504 	484 b	453 	409 b	389 d	: 	: 	: 	: 	271 d	282 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,NL	: 	38285 	36735 	35177 b	33699 	32280 	31170 	29840 b	28140 	26955 	25092 	22677 	21779 	20722 	19356 	18661 	17700 	16870 	16153 	15485 	14664 	13731 	12917 b	15536 	: 	: 	: 	: 	: 	: 	: 	9120 	9105 	8983 	8422 	7896 	7422 	7022 	6595 	6180 	5845 	5494 
NR,TOTAL,F,NO	14634 	14156 	13417 	12884 	12228 	11582 	10970 b	10456 	9804 	9333 	8936 	8505 	8089 b	7583 	7053 	6613 	5890 	5413 	4977 	4843 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,PL	: 	: 	: 	: 	51318 	52422 	50343 	49546 	48157 	47348 	47484 	47131 	46033 	45918 	46492 	46032 	44276 b	47033 b	47256 b	47578 	46737 	46071 	47384 	49245 	50029 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,PT	: 	31995 	30739 	29501 	28239 	27052 	25832 	24581 	23473 	22452 	21591 	20617 	19682 	18902 	18161 	17417 	16880 	16315 	15791 	15299 	14944 	14431 	13870 	13411 	12958 	12563 	12167 	11908 	11670 	11547 	11317 	11056 	10758 	10289 	9881 	9403 	8787 	8458 	7804 	7274 	6682 	5882 
NR,TOTAL,F,RO	: 	45238 b	43472 b	41656 	40038 	38892 	38063 	37065 	36353 	35968 	35233 	35077 b	34968 	34897 	33303 	31786 	32543 	32117 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,RS	14004 	13407 b	: 	13616 	13552 	13573 b	14247 	14219 	14425 	14418 	14459 	14321 	14159 	14042 	13622 	13313 	13189 	13220 	12723 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,SE	: 	: 	22188 	21799 	21032 	20404 	19701 	18909 	18233 	17615 	16923 	16244 	15653 	15072 	14431 	13831 	13188 	12570 	12074 	11580 	11112 	10583 	10232 	9907 	9523 	9277 	9023 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,SI	: 	4406 	4313 	4177 	4037 	3907 	3637 	3517 	3338 	3170 	3046 	2950 	2888 	2832 	2802 	2721 	2679 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,SK	: 	11700 	11290 	11058 	10748 	10833 	10759 	10634 	10425 	10354 	10044 	10108 	9851 	9931 	9930 	9216 	8854 	10110 	10051 	10149 	10128 	10134 	9987 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,TR	: 	70632 	65253 	61197 b	59947 e	57880 e	56454 e	54200 e	53464 e	51865 e	50369 e	49337 e	47415 e	45220 e	43324 e	41755 e	40307 e	38810 e	37754 e	36748 e	35890 e	34067 e	31836 e	30009 e	28594 e	27623 e	27108 e	26309 e	24400 e	22775 e	21775 e	20239 e	18668 e	16986 e	15518 e	14963 e	14558 e	13666 e	12893 e	12371 e	11355 e	10887 e
NR,TOTAL,F,UK	: 	: 	95171 	91797 e	87752 	83885 	82266 b	82378 	79455 	77228 	75207 	72058 	70072 b	65932 	61543 	58698 	55496 	52448 	48569 	45763 	43132 	41476 	39002 	38115 	36337 	34329 	33031 	31018 	30061 	28690 	28705 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,AT	24906 	24565 	24516 	24275 	24004 	23751 	23540 	23212 	22956 	22495 	22356 	22272 	22006 	21894 	21874 	21660 	21058 	20616 	20367 	20110 	19881 	19521 	19246 	19513 	19128 	18884 	18613 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,BE	: 	20050 	20026 	20030 	20020 	20319 	20198 	20179 	20313 	20424 	20439 	20479 	20570 	20634 	20596 	20585 	20579 	20643 	20720 	20853 	20953 	20996 	20967 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,BG	: 	13107 	13013 	13135 	13167 	13039 	13018 	12762 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,CH	21240 	21217 	21125 	21155 	21008 	20818 	20662 	20367 	20024 	19497 	19154 	19085 	19141 	19059 b	19118 	19115 	18945 	18808 	18609 	17975 	17840 	17873 	: 	: 	: 	16742 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,CY	: 	: 	2329 	2197 	2069 	2004 	1901 	1808 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1209 	: 	: 	: 	: 	1119 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,CZ	: 	18493 e	18960 be	: 	: 	: 	: 	: 	17643 	17618 	17496 	17425 	17364 	17346 	17402 	17403 	17353 	17182 	17339 	17217 	16995 	16767 b	14987 	14866 	15575 	14746 	15151 	14862 	14725 	13443 	13477 	13797 	14078 	14045 	13696 	13683 	13594 	13212 	13093 	12891 	12711 	12530 
NR,TOTAL,M,DE	: 	192990 	191397 	189232 	187385 	185322 	183561 	182274 	180073 	178151 	176644 	174726 	173262 	172215 	172445 	172367 	172741 	173343 	173587 	172817 	172266 	170767 	169030 	168008 	166458 	165445 	163223 	160096 	156923 	152831 	148729 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,DK	: 	: 	11485 	11458 	11383 	11203 	11133 	11093 	11123 	11256 	11259 	11250 	11122 	11000 	10693 	10752 	10611 	10465 	10101 	10083 	9874 	9917 	9882 	9905 	9714 	9578 	9604 	9508 	9478 	9429 b	8832 	9229 	9155 	9168 	8956 	9025 	8933 	8839 	8385 	8173 	7466 	7255 
NR,TOTAL,M,EE	: 	1239 	1214 	1222 	1187 	1170 	1142 	1095 	1084 b	1130 e	1129 e	1113 e	1135 e	1154 e	1123 e	1144 e	1142 e	1110 e	1108 e	1111 e	1036 e	1107 e	1157 e	1118 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,EL	: 	37821 	37751 	37932 	37826 	37925 	37917 	37891 	38089 	38455 	38950 	39086 	39592 	39110 	38727 	37357 	35361 	34558 	33642 	32647 	31344 	31219 	30751 	29745 	28931 	28461 	28252 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,ES	: 	94033 	90432 	82433 	80767 	81266 	84733 	85599 	88466 	88900 	88667 	87200 	84733 	84433 	85400 	88066 	86067 	81633 	75400 	75634 	77967 	80367 	78200 	74333 	72367 	69867 	: 	: 	: 	: 	: 	56800 	: 	: 	: 	: 	62000 	: 	: 	: 	: 	56300 
NR,TOTAL,M,EU27_2020	: 	848484 e	848652 e	836209 e	834458 e	832988 e	829455 e	831950 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
