NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
3	2969346	Le Grau-du-Roi	8457.00	16.83	75.94	21.23	0.00	15.39	0.17	0.14	0.13	0.09
3	2971258	Uzès	8420.00	16.76	75.61	21.13	0.00	15.32	0.17	0.14	0.13	0.09
3	6616427	Les Angles	8311.00	16.54	74.63	20.86	0.00	15.13	0.17	0.14	0.13	0.08
3	2987441	Pézenas	147365.00	293.26	1323.34	369.89	0.00	268.20	2.93	2.48	2.30	1.50
3	2981925	Saint-Affrique	13873.00	27.61	124.58	34.82	0.00	25.25	0.28	0.23	0.22	0.14
3	3027888	Céret	7821.00	15.56	70.23	19.63	0.00	14.23	0.16	0.13	0.12	0.08
3	2972665	Thuir	104376.00	207.71	937.30	261.98	0.00	189.96	2.08	1.75	1.63	1.06
3	2997936	Lodève	22058.00	43.90	198.08	55.37	0.00	40.15	0.44	0.37	0.34	0.22
3	2987180	Pignan	16341.00	32.52	146.74	41.02	0.00	29.74	0.33	0.27	0.25	0.17
3	6450469	Bagnères-de-Bigorre	14354.00	28.56	128.90	36.03	0.00	26.12	0.29	0.24	0.22	0.15
3	3023606	Cornebarrieu	16561.00	32.96	148.72	41.57	0.00	30.14	0.33	0.28	0.26	0.17
3	3028162	Caussade	59362.00	118.13	533.07	149.00	0.00	108.04	1.18	1.00	0.93	0.61
3	3023943	Condom	26800.00	53.33	240.66	67.27	0.00	48.78	0.53	0.45	0.42	0.27
3	2979657	Saint-Girons	21237.00	42.26	190.71	53.30	0.00	38.65	0.42	0.36	0.33	0.22
3	3011312	Labarthe-sur-Lèze	6275.00	12.49	56.35	15.75	0.00	11.42	0.12	0.11	0.10	0.06
3	6431793	Saint-Alban	7542.00	15.01	67.73	18.93	0.00	13.73	0.15	0.13	0.12	0.08
3	3016953	Fronton	6166.00	12.27	55.37	15.48	0.00	11.22	0.12	0.10	0.10	0.06
3	3005712	Lavelanet	8451.00	16.82	75.89	21.21	0.00	15.38	0.17	0.14	0.13	0.09
3	2985653	Prades	15061.00	29.97	135.25	37.80	0.00	27.41	0.30	0.25	0.23	0.15
3	3018323	Fleurance	9647.00	19.20	86.63	24.21	0.00	17.56	0.19	0.16	0.15	0.10
3	2988742	Palavas-les-Flots	5903.00	11.75	53.01	14.82	0.00	10.74	0.12	0.10	0.09	0.06
3	6451344	Aussillon	37398.00	74.42	335.83	93.87	0.00	68.06	0.74	0.63	0.58	0.38
3	6440788	Lannemezan	5812.00	11.57	52.19	14.59	0.00	10.58	0.12	0.10	0.09	0.06
3	3033913	Bédarieux	16893.00	33.62	151.70	42.40	0.00	30.75	0.34	0.28	0.26	0.17
3	3028652	Carbonne	5752.00	11.45	51.65	14.44	0.00	10.47	0.11	0.10	0.09	0.06
3	6426776	Port-la-Nouvelle	21812.00	43.41	195.87	54.75	0.00	39.70	0.43	0.37	0.34	0.22
3	2990809	Nègrepelisse	5642.00	11.23	50.67	14.16	0.00	10.27	0.11	0.09	0.09	0.06
3	2972010	Trèbes	30147.00	59.99	270.72	75.67	0.00	54.87	0.60	0.51	0.47	0.31
3	2975649	Sauvian	125450.00	249.65	1126.54	314.88	0.00	228.32	2.50	2.11	1.96	1.28
3	3005102	Le Boulou	5396.00	10.74	48.46	13.54	0.00	9.82	0.11	0.09	0.08	0.06
3	6447096	Decazeville	31275.00	62.24	280.85	78.50	0.00	56.92	0.62	0.53	0.49	0.32
3	2977327	Saint-Privat-des-Vieux	6830.00	13.59	61.33	17.14	0.00	12.43	0.14	0.11	0.11	0.07
3	2975181	Séméac	5005.00	9.96	44.94	12.56	0.00	9.11	0.10	0.08	0.08	0.05
3	6613544	Vic-en-Bigorre	13963.00	27.79	125.39	35.05	0.00	25.41	0.28	0.23	0.22	0.14
3	3035092	Banyuls-sur-Mer	4752.00	9.46	42.67	11.93	0.00	8.65	0.09	0.08	0.07	0.05
3	2995339	Marvejols	11249.00	22.39	101.02	28.23	0.00	20.47	0.22	0.19	0.18	0.11
3	2968758	Villefranche-de-Lauragais	12337.00	24.55	110.79	30.97	0.00	22.45	0.25	0.21	0.19	0.13
3	3019717	Espalion	7172.00	14.27	64.40	18.00	0.00	13.05	0.14	0.12	0.11	0.07
3	2999046	Leucate	6587.00	13.11	59.15	16.53	0.00	11.99	0.13	0.11	0.10	0.07
3	2978325	Saint-Martin-de-Valgalgues	4472.00	8.90	40.16	11.22	0.00	8.14	0.09	0.08	0.07	0.05
3	2993160	Montagnac	9291.00	18.49	83.43	23.32	0.00	16.91	0.18	0.16	0.14	0.09
3	6615509	Castelmaurou	9026.00	17.96	81.05	22.66	0.00	16.43	0.18	0.15	0.14	0.09
3	6448220	Caveirac	8403.00	16.72	75.46	21.09	0.00	15.29	0.17	0.14	0.13	0.09
