NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	313570	Jequitiba	18536.00	30.96	22.24	46.53	0.00	49.49	0.12	0.09	0.06	0.01
2	313620	Joao_Monlevade	96676.00	161.45	116.01	242.66	0.00	258.12	0.64	0.48	0.30	0.03
2	313630	Joao_Pinheiro	52375.00	87.47	62.85	131.46	0.00	139.84	0.35	0.26	0.16	0.02
2	313670	Juiz_De_Fora	638319.00	1065.99	765.98	1602.18	0.00	1704.31	4.21	3.19	1.98	0.19
2	313770	Lajinha	65193.00	108.87	78.23	163.63	0.00	174.07	0.43	0.33	0.20	0.02
2	313780	Lambari	30500.00	50.94	36.60	76.56	0.00	81.44	0.20	0.15	0.09	0.01
2	313820	Lavras	126176.00	210.71	151.41	316.70	0.00	336.89	0.83	0.63	0.39	0.04
2	313860	Lima_Duarte	21844.00	36.48	26.21	54.83	0.00	58.32	0.14	0.11	0.07	0.01
2	313868	Luislandia	15283.00	25.52	18.34	38.36	0.00	40.81	0.10	0.08	0.05	0.00
2	313880	Luz	69982.00	116.87	83.98	175.65	0.00	186.85	0.46	0.35	0.22	0.02
2	313900	Machado	69988.00	116.88	83.99	175.67	0.00	186.87	0.46	0.35	0.22	0.02
2	313920	Malacacheta	128306.00	214.27	153.97	322.05	0.00	342.58	0.85	0.64	0.40	0.04
2	313930	Manga	87826.00	146.67	105.39	220.44	0.00	234.50	0.58	0.44	0.27	0.03
2	313940	Manhuacu	150074.00	250.62	180.09	376.69	0.00	400.70	0.99	0.75	0.47	0.05
2	313950	Manhumirim	45476.00	75.94	54.57	114.14	0.00	121.42	0.30	0.23	0.14	0.01
2	313980	Mar_De_Espanha	26492.00	44.24	31.79	66.49	0.00	70.73	0.17	0.13	0.08	0.01
2	314050	Martinho_Campos	95673.00	159.77	114.81	240.14	0.00	255.45	0.63	0.48	0.30	0.03
2	314090	Matipo	60338.00	100.76	72.41	151.45	0.00	161.10	0.40	0.30	0.19	0.02
2	314140	Medina	151843.00	253.58	182.21	381.13	0.00	405.42	1.00	0.76	0.47	0.05
2	314160	Merces	15446.00	25.79	18.54	38.77	0.00	41.24	0.10	0.08	0.05	0.00
2	314170	Mesquita	16367.00	27.33	19.64	41.08	0.00	43.70	0.11	0.08	0.05	0.00
2	314200	Mirabela	220666.00	368.51	264.80	553.87	0.00	589.18	1.46	1.10	0.68	0.07
2	314220	Mirai	19310.00	32.25	23.17	48.47	0.00	51.56	0.13	0.10	0.06	0.01
2	314240	Moema	59582.00	99.50	71.50	149.55	0.00	159.08	0.39	0.30	0.18	0.02
2	314280	Monte_Alegre_De_Minas	84063.00	140.39	100.88	211.00	0.00	224.45	0.55	0.42	0.26	0.03
