# Duracoes outliers (longas, porem reais)
# ORIGEM	DESTINO	DISTÂNCIA (km)	DURACAO (s)
param: K_out: dist_out dur_out :=
# 130030	352940	3661.99		313885
# 130030	353060	3663.09		313980
# 130030	353440	3618.07		310121
# 130030	353870	3445.72		295348
# 130030	354100	3708.91		317907
# 130030	354340	3231.44		276981
# 130030	354780	3655.22		313305
# 130030	354850	3705.99		317657
# 130030	354870	3660.19		313731
# 130030	354980	3062.06		262462
# 130030	354990	3645.47		312469
# 130030	355030	3640.37		312032
# 130030	355100	3707.31		317770
# 130030	355220	3563.44		305438
# 130030	355410	3653.13		313126
# 130030	410480	3433.47		294298
# 130030	410690	3707.49		317785
# 130030	411370	3297.39		282634
# 130030	411520	3272.56		280506
# 130030	411990	3607.90		309249
# 130030	412550	3727.17		319472
# 130030	420240	3930.62		336911
# 130030	420540	4054.76		347552
# 130030	420910	3855.09		330437
# 130030	430460	4264.51		365530
# 130030	430510	4153.27		355995
# 130030	431440	4491.95		385025
# 130030	431490	4278.84		366758
# 130030	500270	2715.28		232739
# 130030	510340	1924.49		164957
# 130030	520110	2521.90		216163
# 130030	520140	2555.94		219081
# 130030	520870	2535.59		217337
# 130030	530010	2564.25		219794
# 130060	110020	1178.16		100985
# 130060	120040	938.17		80415
# 130060	140010	1836.51		157415
# 130060	150080	3399.44		291381
# 130060	150140	3378.94		289624
# 130060	150680	2397.90		205535
# 130060	160030	3029.08		259636
# 130060	172100	3465.34		297030
# 130060	211130	4008.15		343557
# 130060	221100	4224.17		362072
# 130060	230370	4871.88		417590
# 130060	230440	4882.87		418532
# 130060	240810	5396.68		462573
# 130060	250400	5306.25		454822
# 130060	250750	5461.55		468133
# 130060	260410	5303.07		454549
# 130060	260790	5463.01		468259
# 130060	260960	5470.33		468886
# 130060	261070	5466.75		468579
# 130060	261110	4628.31		396712
# 130060	261160	5466.44		468553
# 130060	270430	5364.62		459825
# 130060	280030	5185.23		444449
# 130060	291080	4934.92		422993
# 130060	292740	5030.31		431170
# 130060	293330	4760.40		408035
# 130060	310620	4639.82		397699
# 130060	310670	4607.22		394905
# 130060	311860	4621.75		396151
# 130060	313670	4851.30		415826
# 130060	314330	4432.48		379927
# 130060	315460	4606.71		394861
# 130060	317010	4109.70		352260
# 130060	317020	4006.89		343448
# 130060	320130	5127.35		439488
# 130060	320500	5133.46		440012
# 130060	320520	5143.87		440904
# 130060	320530	5138.59		440451
# 130060	330045	4924.91		422135
# 130060	330100	5106.04		437661
# 130060	330170	4938.36		423288
# 130060	330330	4975.44		426467
# 130060	330350	4918.79		421611
# 130060	330390	4931.73		422720
# 130060	330455	4955.47		424755
# 130060	330490	4975.91		426507
# 130060	330510	4931.84		422729
# 130060	350600	4217.03		361460
# 130060	350950	4502.38		385919
# 130060	351060	4586.26		393109
# 130060	351380	4625.38		396461
# 130060	351620	4251.13		364383
# 130060	351870	4696.48		402556
# 130060	351880	4615.19		395588
# 130060	352310	4636.80		397441
# 130060	352590	4547.89		389820
# 130060	352690	4430.76		379780
# 130060	352940	4641.77		397867
# 130060	353060	4657.76		399237
# 130060	353440	4591.03		393517
# 130060	353870	4416.83		378586
# 130060	354100	4678.30		400998
# 130060	354340	4257.48		364928
# 130060	354780	4632.84		397101
# 130060	354850	4680.84		401215
# 130060	354870	4635.23		397306
# 130060	354980	4038.52		346159
# 130060	354990	4664.04		399775
# 130060	355030	4619.89		395991
# 130060	355100	4678.90		401049
# 130060	355220	4512.20		386761
# 130060	355410	4688.25		401850
# 130060	410480	4050.64		347198
# 130060	410690	4512.32		386770
# 130060	411370	4091.02		350659
# 130060	411520	4022.72		344805
# 130060	411990	4385.11		375867
# 130060	412550	4531.21		388390
# 130060	420240	4694.45		402382
# 130060	420540	4818.01		412973
# 130060	420910	4648.13		398412
# 130060	430460	4848.45		415582
# 130060	430510	4757.61		407796
# 130060	431440	4980.47		426898
# 130060	431490	4857.68		416373
# 130060	500270	3423.41		293436
# 130060	510340	2757.62		236368
# 130060	520110	3719.17		318786
# 130060	520140	3718.71		318747
# 130060	520870	3704.80		317555
# 130060	530010	3824.83		327843
# 130100	110020	769.28		65939
# 130100	120040	806.25		69108
# 130100	140010	1541.33		132115
# 130100	150080	2931.22		251248
# 130100	150140	2910.20		249446
# 130100	150680	1929.82		165414
# 130100	160030	2579.23		221077
# 130100	172100	2977.32		255199
# 130100	211130	3529.52		302531
# 130100	221100	3735.90		320221
# 130100	230370	4387.03		376032
# 130100	230440	4398.07		376978
# 130100	240810	4907.13		420612
# 130100	250400	4814.86		412703
# 130100	250750	4970.26		426023
# 130100	260410	4811.05		412376
# 130100	260790	4971.06		426091
# 130100	260960	4978.46		426726
# 130100	261070	4974.90		426420
# 130100	261110	4136.50		354558
# 130100	261160	4974.54		426389
# 130100	270430	4872.65		417656
# 130100	280030	4694.33		402372
# 130100	291080	4446.70		381147
# 130100	292740	4543.64		389455
# 130100	293330	4281.51		366987
# 130100	310620	4195.68		359630
# 130100	310670	4164.27		356938
# 130100	311860	4178.12		358125
# 130100	313670	4417.48		378642
# 130100	314330	3967.89		340105
# 130100	315460	4161.99		356743
# 130100	317010	3681.70		315575
# 130100	317020	3573.94		306338
# 130100	320130	4674.43		400666
# 130100	320500	4679.51		401101
# 130100	320520	4690.98		402084
# 130100	320530	4685.66		401628
# 130100	330045	4498.34		385573
# 130100	330100	4664.81		399842
# 130100	330170	4511.63		386711
# 130100	330330	4548.51		389873
# 130100	330350	4492.44		385067
# 130100	330390	4502.47		385927
# 130100	330455	4529.03		388203
# 130100	330490	4548.28		389853
# 130100	330510	4505.43		386180
# 130100	350600	3818.31		327284
# 130100	350950	4095.55		351048
# 130100	351060	4183.25		358565
# 130100	351380	4222.26		361909
# 130100	351620	3826.83		328015
# 130100	351870	4293.67		368030
# 130100	351880	4209.77		360838
# 130100	352310	4230.42		362608
# 130100	352590	4142.34		355058
# 130100	352690	4023.09		344837
# 130100	352940	4237.55		363219
# 130100	353060	4250.84		364358
# 130100	353440	4187.63		358941
# 130100	353870	4012.03		343888
# 130100	354100	4276.44		366552
# 130100	354340	3840.77		329209
# 130100	354780	4228.96		362482
# 130100	354850	4277.94		366681
# 130100	354870	4231.86		362731
# 130100	354980	3628.38		311005
# 130100	354990	4252.65		364513
# 130100	355030	4215.51		361330
# 130100	355100	4276.61		366567
# 130100	355220	4112.70		352518
# 130100	355410	4273.97		366341
# 130100	410480	3714.42		318379
# 130100	410690	4141.92		355022
# 130100	411370	3717.39		318634
# 130100	411520	3657.12		313468
# 130100	411990	4018.95		344482
