name,lat,lon
Hanko,59.8236,22.9681,
Ingå,60.0458,24.0056,
Teuva,62.4861,21.7472,
Isojoki,62.1139,21.9583,
Karijoki,62.3083,21.7083,
Jokioinen,60.8042,23.4861,
Ruokolahti,61.2917,28.8167,
Hankasalmi,62.3889,26.4361,
Pornainen,60.475,25.375,
Lapinjärvi,60.6167,26.2,
Pukkila,60.645,25.5833,
Sievi,63.9069,24.5167,
Juuka,63.2417,29.25,
Nousiainen,60.6,22.0833,
Taivassalo,60.5617,21.6083,
Urjala,61.0833,23.55,
Taipalsaari,61.1597,28.0597,
Nykarleby,63.5167,22.5333,
Kronoby,63.725,23.0333,
Isokyrö,63,22.3167,
Pedersöre,63.6,22.7917,
Pielavesi,63.2333,26.7583,
Rautalampi,62.6217,26.8333,
Keitele,63.1783,26.35,
Vesanto,62.9333,26.4167,
Tohmajärvi,62.2264,30.3319,
Siikajoki,64.6639,25.1014,
Joutsa,61.7417,26.1153,
Jomala,60.15,19.95,
Eckerö,60.2167,19.55,
Geta,60.375,19.85,
Vårdö,60.2417,20.375,
Sottunga,60.1333,20.6667,
Saltvik,60.3073,19.9862,
Föglö,60,20.4333,
Virrat,62.2403,23.7708,
Ruovesi,61.9833,24.0833,
Kihniö,62.2083,23.1792,
Ilomantsi,62.6667,30.9333,
Polvijärvi,62.855,29.3667,
Vesilahti,61.3167,23.6167,
Äänekoski,62.6042,25.7264,
Karstula,62.875,24.8,
Kinnula,63.3667,24.9667,
Kyyjärvi,63.0431,24.5639,
Aura,60.6472,22.5903,
Salla,66.8333,28.6667,
Posio,66.1097,28.1739,
Savukoski,67.2917,28.1667,
Kuortane,62.8083,23.5083,
Viitasaari,63.075,25.8597,
Pihtipudas,63.3667,25.575,
Uurainen,62.5,25.4367,
Konnevesi,62.6283,26.2833,
Kannonkoski,62.975,25.2667,
Savitaipale,61.2,27.6833,
Luumäki,60.9167,27.5667,
Paltamo,64.4083,27.8417,
Vaala,64.55,26.8333,
Puolanka,64.8681,27.6708,
Ranua,65.9275,26.5184,
Simo,65.6613,25.0623,
Pyhäjoki,64.4667,24.2583,
Ylitornio,66.3167,23.6667,
Pello,66.7756,23.9635,
Tervola,66.0821,24.808,
Kaavi,62.975,28.4833,
Rautavaara,63.4944,28.2986,
Kankaanpää,61.8042,22.3944,
Merikarvia,61.8583,21.5,
Karvia,62.1333,22.5583,
Jämijärvi,61.8167,22.6917,
Padasjoki,61.35,25.275,
Lemi,61.0611,27.8042,
Punkalaidun,61.1117,23.105,
Sauvo,60.3417,22.6917,
Reisjärvi,63.6056,24.9319,
Sysmä,61.5028,25.6847,
Iitti,61.025,25.15,
Kärkölä,60.868,25.273,
Asikkala,61.1722,25.5472,
Kimitoön,60.1639,22.7278,
Pöytyä,60.5833,22.7333,
Janakkala,60.9167,24.6333,
Hattula,61.05,24.3667,
Hausjärvi,60.7833,25.0333,
Brändö,60.4117,21.0453,
Kumlinge,60.2583,20.7783,
Finström,60.23,19.9881,
Kökar,59.9167,20.9,
Pyhtää,60.4958,26.7097,
Toholampi,63.775,24.25,
Veteli,63.4753,23.7886,
Perho,63.2167,24.4167,
Lestijärvi,63.525,24.6653,
Kaustinen,63.5481,23.6999,
Kustavi,60.5467,21.3583,
Vehmaa,60.6833,21.7167,
