original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,suburb,district,city,county,state_code,state,country,country_code,attribution,attribution_license,attribution_url
"5,599563","45,978899",22.1274378143084,"55 Rue Masonod, 01110 Hauteville-Lompnes, France",45.978718,5.599682,"5,59956345,978899",,55,Rue Masonod,1110,,Hauteville-Lompnes,Hauteville-Lompnes,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,226838","46,216428",0,"1 Avenue De Marboz, 01000 Bourg-en-Bresse, France",46.216428,5.226838,"5,22683846,216428",,1,Avenue De Marboz,1000,,Bourg-En-Bresse,Bourg-en-Bresse,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,231909","46,194207",8.45955702289522,"541 Rue Léopold Le Hon, 01000 Bourg-en-Bresse, France",46.194237,5.231808,"5,23190946,194207",,541,Rue Léopold Le Hon,1000,Les Vennes,,Bourg-en-Bresse,Ain,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5,607031","45,727813",19.5487007264261,"1 Place De La Mairie, 01300 Conzieu, France",45.727748,5.606797,"5,60703145,727813",,1,Place De La Mairie,1300,,Conzieu,Conzieu,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,357838","45,958143",1.49838341263407,"8 Place Aristide Bouvet, 01500 Ambérieu-en-Bugey, France",45.958148,5.35782,"5,35783845,958143",,8,Place Aristide Bouvet,1500,,Amberieu-En-Bugey,Ambérieu-en-Bugey,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,630206","46,259835",0,"Centre hospitalier du Haut-Bugey, 1 Route de Veyziat, 01117 Oyonnax, France",46.2597213,5.63021089256436,"5,63020646,259835",Centre hospitalier du Haut-Bugey,1,Route de Veyziat,1117,,,Oyonnax,Ain,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"6,086062","46,248454",11.2474000100773,"Centre médical Europa, 180 Route du Nant, 01280 Prévessin-Moëns, France",46.24824015,6.08614715879525,"6,08606246,248454",Centre médical Europa,180,Route du Nant,1280,Prévessin,Prevessin-Moens,Prévessin-Moëns,Ain,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5,233912","46,200719",74.530631200906,"140d Boulevard De Brou, 01000 Bourg-en-Bresse, France",46.200376,5.23308,"5,23391246,200719",,140d,Boulevard De Brou,1000,,Bourg-En-Bresse,Bourg-en-Bresse,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,2201528","46,2041143",0,"Maison de retraite Emile Pelicand, Avenue Louis Jourdan, 01000 Bourg-en-Bresse, France",46.2041372,5.22000093154748,"5,220152846,2041143",Maison de retraite Emile Pelicand,,Avenue Louis Jourdan,1000,,Le Peloux,Bourg-en-Bresse,Ain,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5,803591","46,115464",19.7784936602981,"539 Rue Sainte Clemence, 01200 Châtillon-en-Michaille, France",46.115582,5.803399,"5,80359146,115464",,539,Rue Sainte Clemence,1200,,Chatillon-En-Michaille,Châtillon-en-Michaille,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,253603","46,211525",0.136463653061583,"Clinique Convert, Chemin des Quarante Coupées, 01000 Bourg-en-Bresse, France",46.2109519,5.25332535419564,"5,25360346,211525",Clinique Convert,,Chemin des Quarante Coupées,1000,,Les Sardières,Bourg-en-Bresse,Ain,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5,3505366315","45,980488897",0,"Hôpital Privé d’Ambérieu, Rue du Professeur Luc Montagnier, 01500 Ambérieu-en-Bugey, France",45.9807715,5.35047894531999,"5,350536631545,980488897",Hôpital Privé d’Ambérieu,,Rue du Professeur Luc Montagnier,1500,Cotélac France,,Ambérieu-en-Bugey,Ain,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
