original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
"3,057492","50,631953",0.972417190789353,"Rue Jean Sans Peur, 59046 Lille, France",50.6319567,3.0575174,"3,05749250,631953",Rue Jean Sans Peur,,Rue Jean Sans Peur,59046,Lille,Lille-Centre,Lille,Nord,Hauts-de-France,HDF,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,0040972","50,013991",42.5489077763047,"Hôtel de Ville de Wignehies, 10 Place François Mitterrand, 59212 Wignehies, France",50.014228,4.00345731249999,"4,004097250,013991",Hôtel de Ville de Wignehies,10,Place François Mitterrand,59212,Wignehies,,Wignehies,Nord,Hauts-de-France,HDF,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,512284","50,360021",3.87409911502296,"Polyclinique Vauban, Rue Magalotti, 59300 Valenciennes, France",50.360498,3.51272186852996,"3,51228450,360021",Polyclinique Vauban,,Rue Magalotti,59300,,Faubourg de Paris,Valenciennes,Nord,Hauts-de-France,HDF,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,283998","50,358042",0,"6 Rue Joseph Bouliez, 59490 Somain, France",50.358042,3.283998,"3,28399850,358042",,6,Rue Joseph Bouliez,59490,Somain,,Somain,Nord,Upper France,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,085273","50,648444",2.02325628539159,"4 Avenue Salomon, 59110 Lille, France",50.6484363,3.085247,"3,08527350,648444",,4,Avenue Salomon,59110,Lille,Faubourg de Roubaix,Lille,Nord,Hauts-de-France,HDF,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,813702","50,208345",0.111195079952792,"1 Rue Du Vert Dragon, 59145 Berlaimont, France",50.208346,3.813702,"3,81370250,208345",,1,Rue Du Vert Dragon,59145,Berlaimont,,Berlaimont,Nord,Upper France,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,411805","50,125044",25.6720279553877,"14 Rue De La République, 59540 Caudry, France",50.125253,3.411958,"3,41180550,125044",,14,Rue De La République,59540,Caudry,,Caudry,Nord,Upper France,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,02222","50,617023",0.972667449500058,"Oxya Datacenter, Rue du Maréchal Foch, 59120 Loos, France",50.61678625,3.02230132147741,"3,0222250,617023",Oxya Datacenter,,Rue du Maréchal Foch,59120,Loos,,Loos,Nord,Hauts-de-France,HDF,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,401324","51,025057",0,"6 Avenue Des 2 Steendam, 59210 Coudekerque-Branche, France",51.025057,2.401324,"2,40132451,025057",,6,Avenue Des 2 Steendam,59210,Coudekerque-Branche,,Coudekerque-Branche,Nord,Upper France,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,195882","50,695263",2.59787861080242,"308 Grande Rue, 59100 Roubaix, France",50.6952853,3.195893,"3,19588250,695263",,308,Grande Rue,59100,Roubaix,,Roubaix,Nord,Hauts-de-France,HDF,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,168619","50,676506",3.10312521629068,"25 Avenue Gustave Delory, 59100 Roubaix, France",50.676532,3.168603,"3,16861950,676506",,25,Avenue Gustave Delory,59100,Roubaix,,Roubaix,Nord,Upper France,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,4975957","50,3606388",2.06675980805044,"54bis Avenue Desandrouin, 59300 Valenciennes, France",50.360642,3.497567,"3,497595750,3606388",,54bis,Avenue Desandrouin,59300,Valenciennes,,Valenciennes,Nord,Upper France,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,538603","50,729738",0,"116 Avenue Jean Bart, 59190 Hazebrouck, France",50.729738,2.538603,"2,53860350,729738",,116,Avenue Jean Bart,59190,Hazebrouck,,Hazebrouck,Nord,Upper France,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,035254","50,602218",179.957853687891,"351 Rue Ambroise Pare, 59120 Loos, France",50.602176,3.032705,"3,03525450,602218",,351,Rue Ambroise Pare,59120,Loos,,Loos,Nord,Upper France,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,062447","50,397803",11.6360947444833,"4 Rue Du Mal De Lattre De Tassigny, 59128 Flers-en-Escrebieux, France",50.397906,3.062476,"3,06244750,397803",,4,Rue Du Mal De Lattre De Tassigny,59128,Flers-En-Escrebieux,,Flers-en-Escrebieux,Nord,Upper France,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
