original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,district,state_code,city,county,state,country,country_code,attribution,attribution_license,attribution_url
"4,364863","45,478749",0.830793346987163,"83 Avenue Albert Raimond, 42270 Saint-Priest-en-Jarez, France",45.478745,4.364872,"4,36486345,478749",,83,Avenue Albert Raimond,42270,Saint-Priest-En-Jarez,,Saint-Priest-en-Jarez,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,540869","45,492435",16.257108596033,"109 Route De Planèze, 42152 L'Horme, France",45.492581,4.540858,"4,54086945,492435",,109,Route De Planèze,42152,L'Horme,,L'Horme,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,3932518999","45,4131849",3.62409085300824,"Hôpital Bellevue, Allée Henri Vignon, 42100 Saint-Étienne, France",45.41098115,4.39191096250759,"4,393251899945,4131849",Hôpital Bellevue,,Allée Henri Vignon,42100,Bellevue,ARA,Saint-Étienne,Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,4627699999","45,588843999",68.0763092355611,"873 Chemin Du Chataignier, 42140 Châtelus, France",45.589436,4.462547,"4,462769999945,588843999",,873,Chemin Du Chataignier,42140,Chatelus,,Châtelus,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,367882","45,478353",1.4401012019485,"Clinique du Parc, Rue de la Piot, 42270 Saint-Priest-en-Jarez, France",45.47768525,4.36741738357381,"4,36788245,478353",Clinique du Parc,,Rue de la Piot,42270,Saint-Priest-En-Jarez,ARA,Saint-Priest-en-Jarez,Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,385368","45,431609",0.135843224206472,"61 Rue Franklin, 42000 Saint-Etienne, France",45.43161,4.385369,"4,38536845,431609",,61,Rue Franklin,42000,Saint-Etienne,,Saint-Etienne,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,516357","45,474792",5.62059504601162,"Hôpital du Gier, 19 Rue Victor Hugo, 42400 Saint-Chamond, France",45.4756173,4.51579851060512,"4,51635745,474792",Hôpital du Gier,19,Rue Victor Hugo,42400,,ARA,Saint-Chamond,Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,619725","45,527084",0,"40c Rue Léon Marrel, 42800 Rive-de-Gier, France",45.527084,4.619725,"4,61972545,527084",,40c,Rue Léon Marrel,42800,Rive-De-Gier,,Rive-de-Gier,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,748246","45,380872",9.34420513047829,"2 Route De La Dame, 42520 Saint-Pierre-de-Boeuf, France",45.380943,4.74831,"4,74824645,380872",,2,Route De La Dame,42520,Saint-Pierre-De-Boeuf,,Saint-Pierre-de-Boeuf,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,057735","45,977384",0.111195079952792,"568 Route De Chassignol, 42120 Commelle-Vernay, France",45.977385,4.057735,"4,05773545,977384",,568,Route De Chassignol,42120,Commelle-Vernay,,Commelle-Vernay,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,4248876999","45,430262",42.163073904742,"35 Rue De l’’Angélus, 42100 Saint-Etienne, France",45.430469,4.424435,"4,424887699945,430262",,35,Rue De l’’Angélus,42100,Saint-Etienne,,Saint-Etienne,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,0528","46,034211",0.957091361648558,"Clinique du Renaison, Rue du Général Giraud, 42300 Roanne, France",46.0333284,4.05243059122652,"4,052846,034211",Clinique du Renaison,,Rue du Général Giraud,42300,,ARA,Roanne,Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,392947","45,413148",5.6178913955667,"Hôpital Bellevue, Allée Henri Vignon, 42100 Saint-Étienne, France",45.41098115,4.39191096250759,"4,39294745,413148",Hôpital Bellevue,,Allée Henri Vignon,42100,Bellevue,ARA,Saint-Étienne,Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,391526","45,432076",0,"16 Rue De La Badouillère, 42000 Saint-Etienne, France",45.432076,4.391526,"4,39152645,432076",,16,Rue De La Badouillère,42000,Saint-Etienne,,Saint-Etienne,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,053995","45,606196",4.0406058262613,"Route Nouvelle, 42600 Montbrison, France",45.6068209,4.0398952,"4,05399545,606196",Route Nouvelle,,Route Nouvelle,42600,,ARA,Montbrison,Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,076805","45,604547",5.1792743269146,"62 Avenue Alsace-Lorraine, 42600 Montbrison, France",45.604425,4.0767816122093,"4,07680545,604547",,62,Avenue Alsace-Lorraine,42600,,ARA,Montbrison,Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,09042","46,075708",1.58436167947971,"Route du Bas de Mably, 42300 Mably, France",46.0756864,4.0903711,"4,0904246,075708",Route du Bas de Mably,,Route du Bas de Mably,42300,,ARA,Mably,Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,374917","45,470993",5.18317973766009,"Avenue Albert Raimond, 42270 Saint-Priest-en-Jarez, France",45.4742773,4.3712603,"4,37491745,470993",Avenue Albert Raimond,,Avenue Albert Raimond,42270,Le Bois Monzil,ARA,Saint-Priest-en-Jarez,Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,281572","46,004075",7.11931939773133,"18 Rue d’Amplepuis, 42630 Saint-Victor-sur-Rhins, France",46.004136,4.281544,"4,28157246,004075",,18,Rue d’Amplepuis,42630,Saint-Victor-Sur-Rhins,,Saint-Victor-sur-Rhins,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,094223","45,606145",6.88283604744179,"Rue des Roseaux, 42600 Savigneux, France",45.6043707,4.0934691,"4,09422345,606145",Rue des Roseaux,,Rue des Roseaux,42600,,ARA,Savigneux,Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,312953","45,59368",0.077807884081357,"1 Route De Cuzieu, 42330 Saint-Galmier, France",45.59368,4.312954,"4,31295345,59368",,1,Route De Cuzieu,42330,Saint-Galmier,,Saint-Galmier,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,364772","45,479847",0,"18 Rue Charles De Gaulle, 42270 Saint-Priest-en-Jarez, France",45.479847,4.364772,"4,36477245,479847",,18,Rue Charles De Gaulle,42270,Saint-Priest-En-Jarez,,Saint-Priest-en-Jarez,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,233128","45,64785",5.89002405822994,"Rue des Cèdres, 42210 Montrond-les-Bains, France",45.6485484,4.2328367,"4,23312845,64785",Rue des Cèdres,,Rue des Cèdres,42210,,ARA,Montrond-les-Bains,Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,238558","45,639204",23.8031785925605,"228 Rue Francis Laur, 42210 Montrond-les-Bains, France",45.639289,4.238839,"4,23855845,639204",,228,Rue Francis Laur,42210,Montrond-Les-Bains,,Montrond-les-Bains,Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,895926","45,049424",5.45975949242252,"1 Route De Montredon, 43000 Le Puy-en-Velay, France",45.049466,3.89589,"3,89592645,049424",,1,Route De Montredon,43000,Le Puy-En-Velay,,Le Puy-en-Velay,Haute-Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,884913","45,043221",13.5701133738783,"13 Rue Chaussade, 43000 Le Puy-en-Velay, France",45.043144,3.884779,"3,88491345,043221",,13,Rue Chaussade,43000,Le Puy-En-Velay,,Le Puy-en-Velay,Haute-Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,876506","45,05013",11.5256565594183,"23bis Boulevard Docteur André Chantemesse, 43000 Le Puy-en-Velay, France",45.050099,3.876366,"3,87650645,05013",,23bis,Boulevard Docteur André Chantemesse,43000,Le Puy-En-Velay,,Le Puy-en-Velay,Haute-Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,989065","45,132912",2.37564590517257,"Place des Noyers, 43800 Rosières, France",45.1326028,3.9885791,"3,98906545,132912",Place des Noyers,,Place des Noyers,43800,,ARA,Rosières,Haute-Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,884913","45,043221",13.5701133738783,"13 Rue Chaussade, 43000 Le Puy-en-Velay, France",45.043144,3.884779,"3,88491345,043221",,13,Rue Chaussade,43000,Le Puy-En-Velay,,Le Puy-en-Velay,Haute-Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,887616","45,051907",0.111195079952792,"1 Chemin Du Coteau, 43000 Aiguilhe, France",45.051908,3.887616,"3,88761645,051907",,1,Chemin Du Coteau,43000,Aiguilhe,,Aiguilhe,Haute-Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,995563","44,937471",0.368865531639346,"52 Rue Saint - Pierre, 43150 Le Monastier-sur-Gazeille, France",44.937468,3.995565,"3,99556344,937471",,52,Rue Saint - Pierre,43150,Le Monastier-Sur-Gazeille,,Le Monastier-sur-Gazeille,Haute-Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,38219","45,295881",4.68539760292811,"Rue Michel de L'Hospital, 43100 Brioude, France",45.2965072,3.3818127,"3,3821945,295881",Rue Michel de L'Hospital,,Rue Michel de L'Hospital,43100,,ARA,Brioude,Haute-Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,497862","45,187851",11.2239805703728,"D 644, 43230 Couteuges, France",45.1862794,3.4992366,"3,49786245,187851",D 644,,D 644,43230,,ARA,Couteuges,Haute-Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,8452716","45,3295622",0,"Rue de la Ratille, 43500 Craponne-sur-Arzon, France",45.3295622,3.8452716,"3,845271645,3295622",Rue de la Ratille,,Rue de la Ratille,43500,,ARA,Craponne-sur-Arzon,Haute-Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,493703","45,094844",3.99123170166546,"Rue du 19 Mars 1962, 43300 Langeac, France",45.095041,3.4937234,"3,49370345,094844",Rue du 19 Mars 1962,,Rue du 19 Mars 1962,43300,,ARA,Langeac,Haute-Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,125948","45,144231",1.16528312308474,"Centre hospitalier Jacques Barrot, Rue Cristaline, 43200 Yssingeaux, France",45.14417285,4.12668708589196,"4,12594845,144231",Centre hospitalier Jacques Barrot,,Rue Cristaline,43200,,ARA,Yssingeaux,Haute-Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,172333","45,29263",5.25918124764517,"3bis Place Du 19 Mars 1962, 43120 Monistrol-sur-Loire, France",45.292673,4.172305,"4,17233345,29263",,3bis,Place Du 19 Mars 1962,43120,Monistrol-Sur-Loire,,Monistrol-sur-Loire,Haute-Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,38231","45,295863",0.671740112533571,"18 Rue Michel De l’Hospital, 43100 Brioude, France",45.295869,3.382309,"3,3823145,295863",,18,Rue Michel De l’Hospital,43100,Brioude,,Brioude,Haute-Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,878165","45,047865",0.111195079952792,"1 Boulevard Docteur Chantemesse, 43000 Le Puy-en-Velay, France",45.047866,3.878165,"3,87816545,047865",,1,Boulevard Docteur Chantemesse,43000,Le Puy-En-Velay,,Le Puy-en-Velay,Haute-Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,125948","45,144231",1.16528312308474,"Centre hospitalier Jacques Barrot, Rue Cristaline, 43200 Yssingeaux, France",45.14417285,4.12668708589196,"4,12594845,144231",Centre hospitalier Jacques Barrot,,Rue Cristaline,43200,,ARA,Yssingeaux,Haute-Loire,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,895926","45,049424",5.45975949242252,"1 Route De Montredon, 43000 Le Puy-en-Velay, France",45.049466,3.89589,"3,89592645,049424",,1,Route De Montredon,43000,Le Puy-En-Velay,,Le Puy-en-Velay,Haute-Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,3052","45,066314",10.5351393118334,"430 Chemin Des Airelles, 43400 Le Chambon-sur-Lignon, France",45.066403,4.305246,"4,305245,066314",,430,Chemin Des Airelles,43400,Le Chambon-Sur-Lignon,,Le Chambon-sur-Lignon,Haute-Loire,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-2,268403","47,256951",0,"Rond-Point Océanis, 44600 Saint-Nazaire, France",47.256847,-2.26908404866208,"-2,26840347,256951",Rond-Point Océanis,,Rond-Point Océanis,44600,,PDL,Saint-Nazaire,Loire-Atlantique,Pays de la Loire,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,633422","47,220378",15.78063900366,"Pôle de Réadaptation Maubreuil & La Tourmaline, 31 Boulevard Salvador Allende, 44800 Saint-Herblain, France",47.220638,-1.63415006083064,"-1,63342247,220378",Pôle de Réadaptation Maubreuil & La Tourmaline,31,Boulevard Salvador Allende,44800,Solvardière,PDL,Saint-Herblain,Loire-Atlantique,Pays de la Loire,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,763652","47,476224",6.9271979366309,"12 Rue Du 11 Novembre, 44130 Blain, France",47.476286,-1.763643,"-1,76365247,476224",,12,Rue Du 11 Novembre,44130,La Chevallerais,PDL,Blain,Loire-Atlantique,Pays de la Loire,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,6143662","47,2177225",0,"Boulevard Salvador Allende, 44800 Saint-Herblain, France",47.2177225,-1.6143662,"-1,614366247,2177225",Boulevard Salvador Allende,,Boulevard Salvador Allende,44800,Villagexpo,PDL,Saint-Herblain,Loire-Atlantique,Pays de la Loire,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,552841","47,211884",0.380681308146299,"Restaurant universitaire - Le Ricordeau, Chaussée de la Madeleine, 44007 Nantes, France",47.211929,-1.5526956644435,"-1,55284147,211884",Restaurant universitaire - Le Ricordeau,,Chaussée de la Madeleine,44007,Feydeau,PDL,Nantes,Loire-Atlantique,Pays de la Loire,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,173409","47,374797",1.20086033411812,"Centre Hospitalier Francis Robert, Boulevard Pasteur, 44150 Ancenis-Saint-Géréon, France",47.3740389,-1.17204013549642,"-1,17340947,374797",Centre Hospitalier Francis Robert,,Boulevard Pasteur,44150,Le Pressoir Rouge,PDL,Ancenis-Saint-Géréon,Loire-Atlantique,Pays de la Loire,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
