original_lon,original_lat,distance,formatted,lat,lon,KEY,housenumber,name,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
"-1,633830699","47,2656085",3.50252288631389,"Ehpad Émile Gibier, Rue de la Garenne, 44700 Orvault, France",47.2663532,-1.63470837389552,"-1,63383069947,2656085",,Ehpad Émile Gibier,Rue de la Garenne,44700,Bois Cesbron,Bourg Sud,Orvault,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,538229","47,196264",11.3048182353332,"84 Rue Saint Jacques, 44200 Nantes, France",47.19617,-1.538286,"-1,53822947,196264",84,,Rue Saint Jacques,44200,Nantes,,Nantes,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-2,4320664","47,3332521",6.45166566535998,"24 Rue De Mesquer, 44350 Guérande, France",47.333239,-2.431983,"-2,432066447,3332521",24,,Rue De Mesquer,44350,Guerande,,Guérande,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,605771","47,229977",35.649796679477,"2 Rue Gaspard Monge, 44800 Saint-Herblain, France",47.229889,-1.606225,"-1,60577147,229977",2,,Rue Gaspard Monge,44800,Saint-Herblain,,Saint-Herblain,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,538229","47,196264",11.3048182353332,"84 Rue Saint Jacques, 44200 Nantes, France",47.19617,-1.538286,"-1,53822947,196264",84,,Rue Saint Jacques,44200,Nantes,,Nantes,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-2,267568","47,264688",18.4643588055509,"63 Rue Michel Ange, 44600 Saint-Nazaire, France",47.26475,-2.267795,"-2,26756847,264688",63,,Rue Michel Ange,44600,Saint-Nazaire,,Saint-Nazaire,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,6259879","47,2622346",11.4178979680719,"4 Rue Henri Guillaumet, 44700 Orvault, France",47.262132,-1.625994,"-1,625987947,2622346",4,,Rue Henri Guillaumet,44700,Orvault,,Orvault,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-2,227492","47,267983",2.81815239211482,"Rue Auguste Comte, 44600 Saint-Nazaire, France",47.2680418,-2.2273158,"-2,22749247,267983",,Rue Auguste Comte,Rue Auguste Comte,44600,,Sautron,Saint-Nazaire,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,640788","47,238675",31.1188768995636,"Visiteurs, M 75, 44800 Saint-Herblain, France",47.238098,-1.6403491682162,"-1,64078847,238675",,Visiteurs,M 75,44800,C.H.U.,,Saint-Herblain,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,816497","46,994946",6.70603988910603,"Boulevard Pierre de Gondy, 44270 Machecoul-Saint-Même, France",46.9939362,-1.8173495,"-1,81649746,994946",,Boulevard Pierre de Gondy,Boulevard Pierre de Gondy,44270,Machecoul,,Machecoul-Saint-Même,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,538229","47,196264",11.3048182353332,"84 Rue Saint Jacques, 44200 Nantes, France",47.19617,-1.538286,"-1,53822947,196264",84,,Rue Saint Jacques,44200,Nantes,,Nantes,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,702074","47,335699",13.388815363788,"4 Le Bois Rignoux, 44360 Vigneux-de-Bretagne, France",47.335734,-1.702244,"-1,70207447,335699",4,,Le Bois Rignoux,44360,Vigneux-De-Bretagne,,Vigneux-de-Bretagne,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,384598","47,724896",17.3600055123586,"1 Rue De Verdun, 44110 Châteaubriant, France",47.724834,-1.384811,"-1,38459847,724896",1,,Rue De Verdun,44110,Chateaubriant,,Châteaubriant,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,52065","47,248954",10.7789274850342,"2B Route de Paris, 44300 Nantes, France",47.2489741,-1.5205103,"-1,5206547,248954",2B,,Route de Paris,44300,Haluchère,Doulon - Bottière,Nantes,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,52065","47,248954",10.7789274850342,"2B Route de Paris, 44300 Nantes, France",47.2489741,-1.5205103,"-1,5206547,248954",2B,,Route de Paris,44300,Haluchère,Doulon - Bottière,Nantes,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-2,102543","47,116019",0.075670035107946,"1 Rue Tartifume, 44210 Pornic, France",47.116019,-2.102544,"-2,10254347,116019",1,,Rue Tartifume,44210,Pornic,,Pornic,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,612106","47,225925",35.5540256785244,"1 Avenue Claude Bernard, 44800 Saint-Herblain, France",47.22589,-1.612574,"-1,61210647,225925",1,,Avenue Claude Bernard,44800,Saint-Herblain,,Saint-Herblain,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
