original_lon,original_lat,distance,formatted,lat,lon,KEY,housenumber,name,street,suburb,district,postcode,city,state_code,county,state,country,country_code,attribution,attribution_license,attribution_url
"1,9091919999","49,0032371",4.16809269434888,"Centre Brigitte Gros, Quai Albert 1er, 78250 Meulan-en-Yvelines, France",49.0030905,1.90970238577178,"1,909191999949,0032371",,Centre Brigitte Gros,Quai Albert 1er,Meulan-en-Yvelines,Meulan-En-Yvelines,78250,Meulan-en-Yvelines,,Yvelines,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,127029","48,835162",0.271431981594772,"Route de Mantes, 78170 La Celle-Saint-Cloud, France",48.8353888,2.1250137,"2,12702948,835162",,Route de Mantes,Route de Mantes,,,78170,La Celle-Saint-Cloud,,Yvelines,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,633345","48,826098",4.77848932895557,"Route de Gressey, 78550 Richebourg, France",48.8263118,1.6330225,"1,63334548,826098",,Route de Gressey,Route de Gressey,,,78550,Richebourg,,Yvelines,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,154432","48,898369",0.183680059986274,"45 Route De Maisons, 78400 Chatou, France",48.898368,2.15443,"2,15443248,898369",45,,Route De Maisons,,Chatou,78400,Chatou,,Yvelines,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,3962844","46,5926541",148.090768068645,"1 Lieu Dit La Gaunuaire, 79130 Allonne, France",46.593962,-0.39665,"-0,396284446,5926541",1,,Lieu Dit La Gaunuaire,,Allonne,79130,Allonne,,Deux-Sèvres,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,226376","46,653026",0.0763259473772182,"1bis Rue De Brossard, 79200 Parthenay, France",46.653026,-0.226377,"-0,22637646,653026",1bis,,Rue De Brossard,,Parthenay,79200,Parthenay,,Deux-Sèvres,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,216801","46,410095",0,"36 Avenue du Président Wilson, 79400 Saint-Maixent-l'École, France",46.41003715,-0.216767815087272,"-0,21680146,410095",36,,Avenue du Président Wilson,,,79400,Saint-Maixent-l'École,,Deux-Sèvres,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-0,153314","46,224471",0.111195079952792,"2 Route De La Roche, 79500 Melle, France",46.224472,-0.153314,"-0,15331446,224471",2,,Route De La Roche,,Melle,79500,Melle,,Deux-Sèvres,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,746882","46,923404",2.39744641484866,"Laboratoire d'Analyse Médicales Saint-Hilaire, Rue de l'Hôpital, 79700 Mauléon, France",46.92347895,-0.746782778521942,"-0,74688246,923404",,Laboratoire d'Analyse Médicales Saint-Hilaire,Rue de l'Hôpital,,Mauléon,79700,Mauléon,,Deux-Sèvres,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-0,319476","46,124284",24.7353073856577,"1 Chemin Des Vigneaux, 79170 Brieuil-sur-Chizé, France",46.124454,-0.319683,"-0,31947646,124284",1,,Chemin Des Vigneaux,,Brieuil-Sur-Chize,79170,Brieuil-sur-Chizé,,Deux-Sèvres,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,461643","46,333985",2.67293793926214,"Rue du Vivier, 79000 Niort, France",46.3339117,-0.4616447,"-0,46164346,333985",,Rue du Vivier,Rue du Vivier,La Burgonce,,79000,Niort,,Deux-Sèvres,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
