original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,suburb,district,city,state_code,county,state,country,country_code,attribution,attribution_license,attribution_url
"-1,061668","45,6348964",11.285443706614,"31 Avenue De Saint-Sordelin-Plage, 17640 Vaux-sur-Mer, France",45.634879,-1.061525,"-1,06166845,6348964",,31,Avenue De Saint-Sordelin-Plage,17640,,Vaux-Sur-Mer,Vaux-sur-Mer,,Charente-Maritime,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,5316788","45,9482114",10.1405532890321,"28 Rue Comporté, 17400 Saint-Jean-d'Angély, France",45.948129,-0.531735,"-0,531678845,9482114",,28,Rue Comporté,17400,,Saint-Jean-D'Angely,Saint-Jean-d'Angély,,Charente-Maritime,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,9651029","45,9622961",17.244711441028,"17 Rue Charles Persin, 17300 Rochefort, France",45.962451,-0.965092,"-0,965102945,9622961",,17,Rue Charles Persin,17300,,Rochefort,Rochefort,,Charente-Maritime,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,0614358","45,6347443",0,"Centre hospitalier de Royan, 1 Avenue Pasteur, 17640 Vaux-sur-Mer, France",45.6348211,-1.0598638,"-1,061435845,6347443",Centre hospitalier de Royan,1,Avenue Pasteur,17640,,,Vaux-sur-Mer,,Charente-Maritime,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,098901","46,1897393",31.8397338709611,"Cardiocéan, 25 Allée de la Tourtillière, 17138 Puilboreau, France",46.1900016,-1.0987351,"-1,09890146,1897393",Cardiocéan,25,Allée de la Tourtillière,17138,,L'Anglade,Puilboreau,,Charente-Maritime,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-0,2995785","44,7002222",642.224404774478,"20 Sandrot, 33760 Soulignac, France",44.705541,-0.296411,"-0,299578544,7002222",,20,Sandrot,33760,,Soulignac,Soulignac,,Gironde,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,441863","47,08375",3.83268519236975,"Avenue François Mitterrand, 18000 Bourges, France",47.0838025,2.4416747,"2,44186347,08375",Avenue François Mitterrand,,Avenue François Mitterrand,18000,La Folie Bâton,,Bourges,,Cher,Centre-Loire Valley,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,375873","47,076562",0,"Centre Hospitalier George Sand, 77 Rue Louis Mallet, 18000 Bourges, France",47.0796555,2.37928350367917,"2,37587347,076562",Centre Hospitalier George Sand,77,Rue Louis Mallet,18000,,Quartier Diderot,Bourges,,Cher,Centre-Loire Valley,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,052123","47,227652",0.0124937346131417,"Centre hospitalier de Vierzon, Impasse de l'Hospice, 18100 Vierzon, France",47.22712825,2.05151438854746,"2,05212347,227652",Centre hospitalier de Vierzon,,Impasse de l'Hospice,18100,,,Vierzon,,Cher,Centre-Loire Valley,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,495063","46,72561",0,"Centre hospitalier de Saint-Amand-Montrond, 44 Avenue Jean Jaurès, 18200 Saint-Amand-Montrond, France",46.72585115,2.49593008993133,"2,49506346,72561",Centre hospitalier de Saint-Amand-Montrond,44,Avenue Jean Jaurès,18200,,,Saint-Amand-Montrond,,Cher,Centre-Loire Valley,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
