original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
"4,818166","45,814372",6.234636480266,"7 Cour Du Château, 69450 Saint-Cyr-au-Mont-d'Or, France",45.814316,4.818162,"4,81816645,814372",,7,Cour Du Château,69450,Saint-Cyr-Au-Mont-D'Or,,Saint-Cyr-au-Mont-d'Or,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,818114","45,760158",9.23431066007751,"13 Rue Roger Radisson, 69005 Lyon, France",45.76016,4.818233,"4,81811445,760158",,13,Rue Roger Radisson,69005,5th Arr.,,Lyon,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,657504","45,738381",0.97919460969772,"1 Place de l'Église, 69670 Vaugneray, France",45.7383892,4.6574994,"4,65750445,738381",,1,Place de l'Église,69670,Vaugneray,,Vaugneray,Rhône,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,476619","45,683186",6.50781067927359,"Mairie, 30 Rue de l'École, 69610 Aveize, France",45.6832445,4.4766165,"4,47661945,683186",Mairie,30,Rue de l'École,69610,Aveize,,Aveize,Rhône,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,7959205","45,7597728",27.9756966779008,"100 Rue Docteur Edmond Locard, 69005 Lyon, France",45.759918,4.795626,"4,795920545,7597728",,100,Rue Docteur Edmond Locard,69005,5th Arr.,,Lyon,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,689613","46,000347",28.1069512571729,"2336 Ouilly, 69400 Gleizé, France",46.000569,4.689787,"4,68961346,000347",,2336,Ouilly,69400,Gleize,,Gleizé,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,748438","46,109764",0.111195079952792,"1 Rue Martinière, 69220 Belleville, France",46.109763,4.748438,"4,74843846,109764",,1,Rue Martinière,69220,Belleville,,Belleville,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,587859","46,153639",11.4066158669771,"112 Rue Du Docteur Giraud, 69430 Beaujeu, France",46.153555,4.587774,"4,58785946,153639",,112,Rue Du Docteur Giraud,69430,Beaujeu,,Beaujeu,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,475537","46,040306",21.8578674614633,"24 Chemin De La Guille, 69870 Grandris, France",46.040488,4.47543,"4,47553746,040306",,24,Chemin De La Guille,69870,Grandris,,Grandris,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,441191","45,88998",0,"1 Boulevard Jean Baptiste Martin, 69170 Tarare, France",45.88998,4.441191,"4,44119145,88998",,1,Boulevard Jean Baptiste Martin,69170,Tarare,,Tarare,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,3129662","46,0295421",3.41379934176105,"5 Rue de l'Hospice, 69240 Thizy-les-Bourgs, France",46.0295306,4.3130072,"4,312966246,0295421",,5,Rue de l'Hospice,69240,Thizy,Bourg,Thizy-les-Bourgs,Rhône,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,83339","45,859492",5.18266855877493,"6 Rue Notre-Dame, 69250 Albigny-sur-Saône, France",45.8594454,4.8333913,"4,8333945,859492",,6,Rue Notre-Dame,69250,,,Albigny-sur-Saône,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
