unit,wstatus,isco08,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
HAB_P,PACT,OC3221,FI	: 	: 	: 	: 	: 	: 	: 	215.72 	219.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC3221,FX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC3221,IS	: 	174.34 	173.18 	174.70 	171.87 	165.32 	163.61 	164.76 	163.68 	164.13 	162.51 e	161.28 	145.77 	158.95 	190.91 	189.86 	185.46 	198.15 	196.42 	195.06 	200.68 	188.60 	184.80 	183.19 	183.32 	182.94 	181.95 	181.09 	181.88 	187.14 	183.09 	183.86 	190.11 	200.27 	207.65 	216.74 	216.70 	214.04 	218.61 	241.84 	253.58 	262.83 
HAB_P,PACT,OC3221,LI	228.39 	232.94 	229.54 b	239.04 	210.90 b	243.33 	246.67 	256.88 be	262.29 be	277.70 be	363.12 be	363.85 b	7148.30 	11824.17 	7052.40 	8759.13 	8688.13 	5741.17 	5679.75 	4211.75 	2553.38 	1632.23 	1534.31 	1666.71 	2082.10 	1108.32 	1338.09 	1269.56 	1037.55 	1097.30 	1123.42 	1026.50 	1231.15 	1552.64 	2119.73 	6809.38 	4479.67 	5319.20 	4407.67 	6563.75 	4278.75 	6378.00 
HAB_P,PACT,OC3221,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC3221,RO	: 	142.38 	146.12 	152.07 	157.17 	163.89 	169.56 	176.14 	179.55 	183.62 	183.89 	185.39 b	161.94 	160.44 	158.74 	174.15 	179.84 	184.44 	187.33 	184.72 	194.25 	199.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC3221,RS	182.14 	189.47 b	: 	187.28 	189.16 	191.68 	192.13 	193.88 	191.93 	192.23 	191.41 	194.11 	195.96 	195.38 	201.34 	207.47 	207.35 	205.74 	211.96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC3221,SI	: 	159.81 	152.87 	146.81 	146.89 	149.91 	159.75 	161.52 	165.01 	166.11 	160.20 	162.19 	164.54 	165.79 	167.92 	171.51 	173.17 	173.47 	173.54 	179.11 	178.72 	185.66 	187.61 	191.98 	196.12 	199.80 	206.33 	223.28 	227.21 	226.75 	224.65 	262.88 	273.89 	276.53 	277.36 	280.09 	288.85 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,BE	: 	: 	: 	: 	: 	: 	98.72 	108.10 	117.91 	128.58 	144.60 	158.49 	179.50 	220.55 	256.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,DK	: 	: 	: 	: 	: 	: 	: 	: 	103.90 	102.64 	101.45 	98.22 	93.58 	91.72 	89.08 	89.25 	88.46 	90.19 	90.16 	89.56 	87.57 	88.62 	90.09 	91.93 	95.99 	104.27 	106.96 	109.14 	114.58 	121.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,ES	: 	: 	: 	: 	: 	: 	: 	107.54 	104.18 	100.54 	98.64 	101.54 	107.43 	114.19 	118.19 	121.95 	126.18 	132.65 	138.73 	146.49 	156.40 	167.54 	175.37 	179.01 	185.68 	196.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.30 	38.48 	39.68 	40.65 	41.01 	42.25 	43.97 	45.11 	45.90 	46.56 	47.56 	48.92 	50.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,FR	: 	: 	: 	: 	: 	: 	164.78 	159.16 	164.02 	168.31 	164.47 	173.37 	171.99 	174.55 	166.59 	189.00 	180.67 	188.87 	192.54 	189.80 b	151.18 	156.20 	160.07 	166.67 	160.04 	163.35 	167.73 	164.72 	175.13 	179.53 	190.38 	189.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,IT	: 	: 	: 	: 	: 	: 	: 	97.19 	101.95 	111.75 	126.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,LI	: 	: 	: 	: 	: 	: 	: 	273.88 	276.00 	288.63 	685.13 	600.36 	1489.23 	1364.33 	881.55 	834.20 	847.62 	861.18 	851.96 	783.58 	809.61 	932.70 	976.38 	833.36 	664.50 	1001.06 	1025.87 	870.56 	970.61 	846.49 	834.54 	927.16 	1132.66 	1164.48 	1102.26 	1008.80 	1075.12 	985.04 	1149.83 	1093.96 	1222.50 	1962.46 
HAB_P,PACT,OC5321,LT	: 	: 	: 	: 	: 	: 	: 	417.72 	431.53 	452.69 	469.11 	484.94 	502.85 	493.94 	530.68 	539.06 	565.44 	637.42 	634.44 	580.81 	546.93 	503.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,LU	: 	: 	: 	: 	: 	: 	164.25 	166.11 	168.80 	168.50 	180.73 	184.01 	187.84 	197.04 	204.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,LV	: 	: 	: 	: 	: 	: 	: 	948.52 	981.30 	1025.36 	1054.10 	1082.89 	1030.14 	1003.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,MK	: 	: 	: 	: 	: 	: 	: 	5398.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1702.36 
HAB_P,PACT,OC5321,NO	: 	: 	: 	: 	: 	: 	: 	46.40 	46.19 	46.14 	45.85 	45.73 	45.26 b	51.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,RO	: 	: 	: 	: 	: 	: 	: 	327.88 	335.15 	337.45 	345.17 	341.16 	331.48 	324.30 	345.90 	365.13 	365.45 	368.14 	370.58 	358.86 	383.52 	390.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,SI	: 	: 	: 	: 	: 	: 	: 	513.44 	490.47 	538.24 b	639.32 	611.33 	620.34 	654.57 	643.51 	821.14 	767.64 	785.30 	814.58 	883.71 	942.76 	768.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321,SK	: 	: 	: 	: 	: 	: 	: 	609.25 	606.34 	554.68 	524.27 	534.33 	509.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,AT	: 	183.95 	187.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,BE	89.01 	92.30 	95.98 	100.42 b	84.99 	91.30 	98.72 	108.10 	117.91 	128.58 	144.60 	158.49 	179.50 	220.55 	256.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,DK	: 	: 	59.17 	57.95 	57.65 	57.66 	58.35 	58.94 	59.74 	59.90 	60.24 	59.34 	58.24 	58.85 	58.83 	59.53 	60.08 	62.06 	63.07 	63.81 	64.89 	67.71 	71.15 	75.09 	81.16 	91.09 	96.39 	100.53 	108.13 	115.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,ES	: 	90.02 	93.70 	96.96 	101.38 	105.26 	106.92 	107.54 	104.18 	100.54 	98.64 	101.54 	107.43 	114.19 	118.19 	121.95 	126.18 	132.65 	138.73 	146.49 	156.40 	167.54 	175.37 	179.01 	185.68 	196.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,FI	: 	: 	: 	44.81 	46.35 	47.21 	47.99 	45.15 	44.36 	43.90 	44.35 	44.39 b	43.40 	43.39 	44.73 	46.46 	48.60 	49.60 	46.56 	47.56 	48.92 	50.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,FR	: 	61.56 	58.16 	58.32 	60.36 	63.85 	64.62 	64.27 	66.33 	66.62 	65.43 	66.73 	68.47 	69.67 	75.93 	76.50 	80.56 	82.77 	87.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,IT	: 	87.37 	86.61 	88.42 	89.98 	90.52 	94.19 	97.19 	101.95 	111.75 	126.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,LI	47.45 p	49.49 p	51.01 b	53.19 	56.16 b	57.85 b	145.89 	150.19 	156.05 b	288.63 b	685.13 	600.36 b	1489.23 	1364.33 	881.55 	834.20 	847.62 	861.18 	851.96 	783.58 	809.61 	932.70 	976.38 	833.36 	664.50 	1001.06 	1025.87 	870.56 	970.61 	846.49 	834.54 	927.16 	1132.66 	1164.48 	1102.26 	1008.80 	1075.12 	985.04 	1149.83 	1093.96 	1222.50 	1962.46 
HAB_P,PACT,OC5321_5322,LT	: 	504.86 b	346.97 	350.46 	368.04 	381.67 	401.23 	417.72 	431.53 	452.69 	469.11 	484.94 	502.85 	493.94 	530.68 	539.06 	565.44 	637.42 	634.44 	580.81 	546.93 	503.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,LU	: 	: 	: 	: 	161.35 	162.80 	164.25 	166.11 	168.80 	168.50 	180.73 	184.01 	187.84 	197.04 	204.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,LV	: 	837.94 	872.70 	883.21 	899.61 	933.11 	937.66 	948.52 	981.30 	1025.36 	1054.10 	1082.89 	1030.14 	1003.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,MK	: 	6416.51 	5408.06 	5799.49 	5084.56 	4585.15 	4726.54 	5398.10 	5982.70 	5244.39 	4465.38 	3483.06 	3708.26 	3339.15 	2902.78 b	4988.33 	4803.90 	4567.51 	5066.93 	4377.48 	3997.80 	3711.25 	3237.79 	3212.04 	2971.53 	3120.54 	3008.39 	2525.30 	2414.09 	2332.52 	2132.33 	2145.94 	2052.35 	2063.88 	1931.72 	1857.20 	1796.03 	: 	: 	: 	: 	1702.36 
HAB_P,PACT,OC5321_5322,NO	44.30 	45.10 	45.18 	45.48 	45.39 	45.67 	45.59 b	46.40 	46.19 	46.14 	45.85 	45.73 	45.26 	45.83 	46.39 	47.66 	49.26 	50.16 	50.71 	51.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,RO	: 	260.48 	267.72 	277.18 	282.45 	297.37 	315.25 	327.88 	335.15 	337.45 	335.07 	322.21 	314.31 	309.59 	335.24 	358.46 	360.14 	364.18 	367.72 	357.66 	383.52 	390.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,RS	70117.83 	72622.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,SI	: 	774.94 e	826.10 e	876.91 e	992.50 e	1158.18 e	537.94 	513.44 	490.47 	538.24 b	639.32 	611.33 	620.34 	654.57 	643.51 	821.14 	767.64 	785.30 	814.58 	883.71 	942.76 	768.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PACT,OC5321_5322,SK	: 	487.53 e	459.26 	426.40 b	553.56 	470.04 	541.35 	609.25 	606.34 	554.68 	524.27 	534.33 	509.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	237.55 	245.91 	238.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,AT	: 	96.90 	97.17 b	145.94 d	146.08 d	147.67 d	147.15 d	147.25 d	149.43 d	150.31 d	150.95 d	153.13 d	154.45 d	157.23 d	161.00 d	162.74 d	166.91 d	168.72 d	175.99 d	176.16 d	179.05 d	180.34 d	184.67 d	189.86 d	192.84 d	197.45 d	202.12 d	210.39 d	225.78 d	238.55 d	248.95 d	255.95 d	262.08 d	272.21 d	271.20 d	281.24 d	292.85 d	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,BG	: 	237.79 	228.37 	229.66 	228.59 	230.11 	228.62 	226.34 	223.85 	227.89 	232.48 	232.67 	232.92 	231.87 	234.01 	240.55 	245.20 	259.22 	262.24 	274.91 	269.04 	259.54 b	181.44 	174.40 	175.23 	163.63 	164.71 	166.30 	162.81 	170.02 	171.01 	162.02 	167.10 	168.81 	171.18 	174.49 	176.37 	: 	: 	: 	: 	194.98 
HAB_P,PRACT,OC2221,CH	: 	84.65 	86.28 	87.10 	88.43 	87.89 	88.96 	90.23 	90.81 	92.58 	94.00 	96.14 b	98.78 e	100.46 e	101.70 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,CY	: 	: 	188.05 	187.92 	189.87 	194.60 	196.40 	206.52 	214.47 	219.83 	216.45 	223.99 	227.81 	237.51 	228.24 	239.24 	253.88 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,CZ	: 	123.31 	123.97 	123.97 	124.10 	126.09 	124.88 	126.06 e	125.10 	124.11 	124.47 	123.52 	123.58 	125.47 	124.58 	123.86 	123.27 	123.24 b	125.26 	125.13 	127.38 	131.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,DE	: 	82.91 	84.79 	86.81 	90.24 	92.01 	93.25 	93.30 	94.88 	98.08 	98.62 	100.39 	102.12 	104.33 	106.29 	107.82 	108.94 	110.76 	111.83 	114.09 	115.50 	116.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,DK	: 	: 	98.70 	99.02 	99.70 	100.51 	100.82 	100.67 	100.47 	100.40 	101.28 	101.83 	102.07 	104.68 	107.58 	104.73 	104.33 	105.88 	107.67 	105.92 	107.16 	107.42 	109.56 	109.06 	110.32 	113.32 	114.13 	114.62 	113.57 	114.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,EE	: 	156.71 	160.27 	158.95 	161.50 	163.88 	166.42 	174.19 	177.44 b	162.13 b	160.26 	163.29 	162.39 	155.89 	156.17 	158.60 	159.10 b	160.13 	162.95 	166.31 	172.44 	171.35 	166.84 	162.83 	162.11 	159.70 	155.18 	155.36 	153.45 	155.14 b	153.54 	123.03 	122.45 	119.98 	119.18 	121.25 	121.94 	123.25 	125.00 	125.81 	131.12 	135.08 
HAB_P,PRACT,OC2221,EL	: 	: 	507.43 d	512.19 d	520.25 d	526.71 d	548.09 d	549.43 d	549.00 d	546.16 d	535.18 d	542.74 d	551.08 d	572.53 d	582.48 d	601.58 d	620.82 d	648.16 d	638.73 d	647.70 d	711.85 d	770.19 d	813.62 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,ES	: 	163.83 	169.77 	170.40 	174.33 	181.34 	189.16 	194.21 	194.44 	190.68 	191.59 	194.18 	201.84 	207.37 	217.16 	224.38 	229.27 	232.51 	233.30 	245.40 	258.06 	282.57 	296.31 	301.00 	299.09 	306.85 	: 	: 	: 	: 	: 	372.65 	: 	: 	: 	: 	446.28 	: 	: 	: 	: 	475.78 
HAB_P,PRACT,OC2221,FI	: 	: 	: 	: 	: 	: 	: 	97.77 	97.82 	102.83 	106.66 	109.27 	110.78 	113.73 	113.21 	114.33 	120.06 	123.64 	: 	: 	: 	148.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,HR	487.07 	522.03 	555.48 	600.63 	655.74 	692.29 	737.73 	833.05 	896.06 	972.89 	1050.25 	1092.94 	1142.87 	1143.47 	1178.35 	1212.88 	1251.57 	1278.80 	1305.90 	1286.36 	1280.66 	1305.01 	1346.64 	1349.65 	1320.21 	1347.06 	1315.12 	1399.53 	1339.29 	1284.98 	1338.57 	1264.52 	1302.17 	1337.61 	1427.20 	1510.86 	1642.13 	: 	: 	: 	: 	2640.52 
HAB_P,PRACT,OC2221,HU	203.36 p	200.18 	200.89 	202.26 	209.09 b	206.64 	202.85 	203.00 	204.81 	205.91 	203.60 	211.53 	211.86 	215.77 	225.50 	208.84 	223.60 	233.66 	239.34 	237.01 	252.73 	265.47 b	230.11 	225.89 	232.96 	229.03 	237.54 	229.42 	228.51 	245.49 	257.88 	239.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,IE	78.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,IS	: 	101.09 	104.30 	111.80 	115.23 	122.38 	107.06 	107.98 	107.03 	110.25 	115.38 	119.88 	118.58 	116.31 	114.17 	118.34 	116.55 	115.67 	117.03 	122.77 	122.57 	125.71 	125.17 	124.28 	130.66 	131.05 	131.43 	136.28 	137.86 	140.43 	141.96 	142.12 	146.84 	145.37 	143.86 	146.76 	154.25 	157.68 	162.98 	171.20 	185.20 	196.67 
HAB_P,PRACT,OC2221,IT	159.77 ep	159.35 e	162.45 e	173.37 e	172.47 e	179.63 e	183.70 e	189.55 e	196.81 e	195.73 e	192.23 e	191.21 e	190.31 e	190.18 e	189.92 e	194.56 e	201.00 e	195.39 e	190.81 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,LI	145.73 	147.91 	139.72 b	151.77 	153.69 b	160.49 	157.54 	159.86 be	168.11 be	202.52 be	459.65 be	467.81 b	605.79 	537.46 	503.74 	522.93 	526.55 	583.85 	516.34 	526.47 	626.30 	725.43 b	870.82 	791.69 	844.09 	969.78 	932.61 	896.16 	970.61 	1058.11 	973.63 	845.35 	1011.30 	873.36 	787.33 	680.94 	839.94 	805.94 	944.50 	972.41 	987.40 	1159.64 
HAB_P,PRACT,OC2221,LT	: 	128.10 	129.18 	128.55 	129.73 	129.79 	130.50 	131.58 	132.49 	131.67 	132.71 	135.64 	135.92 	133.91 	135.74 	135.47 	137.03 	137.91 	136.53 	134.49 	132.05 	131.04 	126.18 	114.31 	113.26 	111.34 	111.86 	111.33 	113.11 	111.87 	112.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,LU	: 	: 	: 	: 	85.29 	85.35 	83.98 	83.57 	83.84 	83.89 	88.71 	90.50 b	89.97 	: 	: 	91.40 	91.19 b	109.96 	111.87 b	128.80 	133.96 	135.50 	136.79 	137.93 	136.63 	139.61 	143.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,MT	: 	124.75 	130.01 	128.48 	124.57 	123.10 	129.72 	127.36 	143.23 	149.74 	149.41 	154.32 	161.12 b	154.66 	170.39 	177.77 	181.83 	187.86 b	192.64 	192.50 b	266.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	245.26 	236.76 	234.82 	: 	: 	: 	: 	246.33 	264.06 	: 
HAB_P,PRACT,OC2221,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	408.08 e	405.49 e	385.52 e	398.05 e	421.81 e	455.77 e	465.39 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,NO	54.42 	55.52 	55.93 	56.45 	56.62 	57.22 	57.76 b	59.21 	60.00 	60.51 	60.97 	62.00 	62.79 b	64.17 	64.62 	65.20 	66.62 	68.55 	70.51 	72.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,PL	: 	: 	: 	: 	196.05 	193.89 	192.45 	190.83 	189.64 	: 	189.51 	189.49 	190.13 	192.62 	193.06 	196.39 	196.52 b	202.85 b	210.74 	205.66 	205.09 	201.75 	195.10 	181.41 	177.95 	179.40 	182.39 	184.79 	188.63 	188.39 	187.48 	183.43 	191.84 	195.06 	196.39 	200.85 	206.99 	214.46 	216.96 	220.89 	222.60 	226.62 
HAB_P,PRACT,OC2221,RO	: 	1219.99 	1275.21 	1352.92 	1432.66 	1526.24 	1637.11 	1799.93 	1945.83 	2284.77 	3133.85 	3734.21 b	4978.61 	8728.38 	16666.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,RS	988.57 	1002.34 b	: 	1150.35 	1203.23 	1235.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,SE	: 	: 	92.16 	91.91 	91.62 	91.31 	91.13 	91.24 	91.19 	91.42 	91.75 	92.06 	92.66 	92.72 	93.02 	94.00 	95.40 	97.21 	99.04 	100.13 	102.27 	103.77 	104.64 	105.84 	108.03 	107.27 	107.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,SI	: 	232.49 	261.18 	291.93 	311.39 	325.46 	386.00 	410.59 	429.43 	452.02 	456.19 	472.46 	491.37 	515.90 	531.83 	543.87 	562.56 	582.05 	593.61 b	603.31 	619.04 	644.08 	647.84 	649.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221,UK	: 	: 	: 	157.04 	156.11 	154.93 	154.95 be	154.69 	155.24 	155.66 	151.71 b	149.64 	148.76 	146.45 	148.40 b	144.86 	144.33 	147.01 	150.54 	155.43 	162.29 	167.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221_3221,AL	: 	: 	: 	: 	: 	: 	: 	: 	232.44 	225.22 	: 	: 	235.05 	: 	233.02 	234.78 	270.43 	271.82 	270.48 	266.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221_3221,AT	: 	95.39 	96.40 b	145.66 d	145.99 d	147.67 d	147.15 d	147.25 d	149.43 d	150.31 d	150.95 d	153.13 d	154.45 d	157.23 d	161.00 d	162.74 d	166.91 d	168.72 d	175.99 d	176.16 d	179.05 d	180.34 d	184.67 d	189.86 d	192.84 d	197.45 d	202.12 d	210.39 d	225.78 d	238.55 d	248.95 d	255.95 d	262.08 d	272.21 d	271.20 d	281.24 d	292.85 d	: 	: 	: 	: 	: 
HAB_P,PRACT,OC2221_3221,BE	: 	: 	: 	90.34 	89.09 	91.24 	92.32 e	94.51 e	97.07 e	99.76 e	101.96 e	104.49 e	106.12 	107.31 e	108.27 e	109.61 e	111.00 e	113.71 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
