unit,facility,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,HBEDI_PSY,EL	: 	1399.50 	1352.77 	1358.77 	1413.43 	1367.83 	1389.69 	1433.17 	1306.95 	1363.40 	1328.40 	1237.55 	1199.55 	1145.63 	1131.92 	1141.30 	1106.36 	1127.42 	1073.24 	1063.04 	1016.92 	1019.87 	946.79 	948.85 	946.79 	916.06 	986.76 	910.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,ES	: 	2773.78 	2770.25 	2774.07 	2815.17 	2786.47 	2802.42 	2753.86 	2786.93 	2637.25 	2523.81 	2466.64 	2454.03 	2436.26 	2194.84 	2197.49 	2112.51 	2067.92 	1992.19 	1978.04 	1941.88 	1894.76 	1906.33 	1798.07 	1729.00 	1680.45 	1636.63 	1613.83 	1563.18 	1476.00 	1411.71 	1310.24 	1287.94 	1235.11 	1167.14 	1088.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,EU27_2020	: 	1367.53 	1366.25 	1356.54 	1348.51 	1337.78 e	1336.88 e	1329.62 	1327.67 e	1321.52 	1316.03 	1309.04 	1300.59 	1293.81 	1278.75 	1278.15 	1266.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,EU28	: 	: 	1460.06 	1445.81 	1434.06 	1418.38 e	1405.48 e	1393.89 	1387.37 e	1375.52 	1365.32 	1344.46 	1330.12 	1318.68 	1297.88 	1287.18 	1267.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,FI	: 	1690.63 	1863.35 	2560.77 	1722.67 	1607.84 	1647.02 	1573.78 	1453.41 	1407.96 	1328.88 	1243.04 	1175.79 	1131.28 	1084.04 	1071.29 	1034.67 	1019.36 	989.65 	990.46 	970.96 b	942.78 	918.14 	878.60 	820.33 	782.08 	738.94 	696.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	234.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,FR	: 	1222.91 	1209.27 	1193.72 	1163.71 	1157.30 	1146.02 	1135.90 	1135.65 	1143.60 	1132.25 	1129.06 	1118.84 	1107.32 	1093.67 	1075.38 	1059.39 	1041.75 	1017.50 	988.29 	967.27 	900.76 	862.61 	817.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,HR	: 	1077.98 	1083.96 	1063.57 	1082.06 	1062.89 	1012.20 	1020.50 	993.73 	929.05 	1001.95 	1027.27 	1023.48 	1008.83 	1043.55 	1027.57 	1029.46 	1014.98 	964.48 	943.29 	963.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,HU	: 	1185.24 	1179.63 	1149.36 	1151.88 	1144.41 e	1154.65 e	1108.59 e	1108.92 e	1114.84 	1117.32 	1114.12 	1139.41 	1070.11 b	1047.14 	1034.36 	1030.71 	1021.74 	1010.20 	1013.59 	984.85 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,IE	: 	3059.11 	2978.77 	2929.55 	2917.38 	2886.41 	2840.09 	2871.94 	2858.63 	2820.25 	2608.78 	2576.92 b	1278.71 	1182.19 	1096.78 	1046.52 	987.69 	922.13 	863.41 	781.53 	708.73 	702.64 	668.15 	638.56 	589.45 	541.14 	512.84 	472.99 	443.86 	396.30 	380.79 	357.10 	331.26 	296.54 b	306.23 	292.48 	281.54 	274.22 	259.59 	253.56 	253.91 	241.43 	236.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,IS	: 	2795.06 	2734.27 	2641.53 	2313.37 	2281.48 	2257.83 	2158.43 	2109.97 	2098.77 	2078.70 	1676.31 	1636.15 	1684.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,IT	: 	12289.93 	11276.92 	10883.98 	10933.72 	10708.97 	10774.40 	10504.70 	10478.65 	9756.73 	9735.16 	9259.69 	8933.44 	8517.46 	7575.76 	7469.33 	7586.18 	7347.85 	6930.52 	6939.60 	6746.25 	6175.71 	3023.16 	2520.99 	1822.64 	2060.84 	1453.27 	1432.71 	1379.66 	1337.67 	1186.94 	1193.59 	1071.71 	1011.15 	968.86 	895.63 	884.73 	824.61 	782.44 	747.48 	686.65 	655.08 	605.52 	565.25 	542.45 	523.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,LI	: 	2268.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,LT	: 	1026.50 	1024.33 	1008.70 	993.15 	972.84 	926.79 	910.62 	903.74 	899.08 	937.72 	927.81 	926.22 	935.79 	941.25 	941.23 	920.43 	917.57 	902.27 	814.36 	782.89 	787.19 	798.50 	776.53 	749.24 	747.19 	736.14 	678.07 	673.36 	625.70 	606.70 	522.22 	521.40 	521.47 	535.77 	533.42 	527.26 	546.27 	552.26 	577.45 	603.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
