unit,facility,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,HBEDT_OTH,MK	: 	3387.75 	2995.98 	2360.07 	2623.41 	2458.70 	2496.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,MT	: 	: 	: 	: 	: 	: 	: 	1290.81 	1280.57 	1963.53 	2709.20 	1817.08 	2380.11 	2364.67 	4658.71 	4695.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,NL	: 	: 	: 	: 	: 	: 	7610.56 	7438.88 	7420.27 b	6621.61 	6349.02 	6024.19 	5655.29 	5629.45 	5448.70 b	5389.65 	5154.09 	5118.39 	5065.54 	4998.81 b	4630.86 	4599.21 	4527.88 	4276.89 	4158.10 	4002.85 b	3887.50 b	3635.37 	3450.16 	3297.55 	3174.42 	3081.33 	2899.25 	2781.68 	2763.04 	2683.14 	2593.35 	2605.09 	2602.78 	2337.52 	2323.07 	2255.51 	2178.39 	2186.55 	2268.45 	2109.98 	2087.07 	2001.69 	1890.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,NO	: 	2742.51 	2540.37 	2499.75 	2534.88 	2487.35 	2425.51 	2448.01 	2363.91 	2439.94 	2030.42 	1901.07 	1950.19 	1968.71 	1914.04 	1713.60 	1601.08 	1556.38 	1650.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	633.72 	671.12 b	1291.83 	1303.26 	1302.49 	1280.12 	1438.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,PT	: 	7513.71 	10645.78 	10729.48 	11485.49 	12647.22 e	40471.06 	29457.17 	38515.91 	47988.91 	25477.35 	34649.99 	34616.97 	30917.78 	45948.86 	36093.92 	65117.15 	60455.61 	58537.25 	55713.56 	107186.44 	75131.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	1298.19 	1300.04 	1293.14 	1325.88 	1316.87 	1312.37 	1204.99 	1207.95 	1226.46 	1125.12 	1129.89 	1120.97 	1128.47 	1130.37 	1125.26 	1114.86 	1109.89 	1047.39 	1048.39 	1048.84 	1041.26 	1034.04 	1018.68 	1014.32 	: 	: 	: 	: 	995.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,RS	: 	330725.45 	332504.95 	334326.57 	336110.57 	337875.36 	339551.24 	341149.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,SE	: 	98835.45 	91668.59 	94883.94 	107859.62 	102074.85 	112745.46 	114290.22 	110690.40 b	111167.21 	104201.40 	99984.03 	70378.91 	68782.65 	76953.43 	79206.77 	70815.20 	35130.31 	33679.09 	32585.93 b	8490.06 	9020.24 	8994.89 	8213.61 	7423.17 	5665.56 	6833.26 	4909.10 	5434.52 b	848.33 	808.73 	842.47 	853.20 	827.45 	789.90 	773.69 	734.96 	745.79 	722.24 	533.95 	706.86 	677.86 	625.42 	722.55 	692.99 	629.46 	618.74 	581.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,SI	: 	18003.31 	17878.40 	17813.69 	17802.08 	17789.06 d	17775.69 	17758.22 	17433.55 	14984.25 	14426.64 	14363.87 	14234.62 	13675.67 	13652.16 	13608.67 	13585.11 	13576.41 	13568.23 	13105.66 	13085.03 b	5633.65 	5629.63 	5516.54 	5523.97 	5527.42 	5450.53 	5456.84 	5469.86 	5477.89 	5415.07 	5410.17 	5407.03 	5392.35 	5327.82 	5261.90 	: 	: 	: 	: 	5152.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,AT	: 	782.44 	783.18 	795.94 	832.94 	830.87 	832.65 	822.64 	861.08 	938.35 	970.68 	1016.86 	1050.83 	1102.83 	1161.00 	1176.92 	1233.88 	1365.86 	1487.02 	1529.83 	1536.25 	1369.96 	1391.62 	1386.47 	1372.72 	1435.74 	1500.49 	1471.36 	1469.40 	1472.07 	1455.52 	1392.46 	1455.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,BE	: 	2103.05 	1806.65 	1796.74 	1848.52 	1859.51 	1968.57 	1898.50 	1902.20 	1970.06 	2036.22 	2025.23 	2043.89 	2091.26 	2092.85 	2150.34 	2182.89 	2285.49 	2388.53 	2523.69 	2878.76 	2851.76 	3026.70 	3343.59 	3583.85 	3597.16 	3655.80 	10570.73 	10529.52 	10486.88 	10275.65 	10202.97 	9911.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,BG	: 	1020.44 	1030.22 	1075.21 	1119.85 	1158.49 	1186.59 	1358.22 	1410.95 	1462.94 	1428.83 	1380.65 	1427.70 	1503.06 	1590.50 	1611.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,CH	: 	1173.73 	1159.20 	1158.74 	1135.37 	1159.84 	1215.29 	1166.79 	1130.94 	1085.97 	1147.63 b	1193.38 	1158.56 	1140.14 	1174.32 	1200.12 	1196.51 	1113.66 	1100.25 	1083.94 	1020.20 	1031.03 	983.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,CZ	: 	2185.51 	2199.90 	2285.25 	2283.62 	2306.66 	2323.99 	2413.19 	2623.11 	2661.95 	2694.73 	2687.58 	2820.37 	2957.73 	2905.48 	2885.34 	3142.40 	3305.45 	3657.43 	3816.44 	4012.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,DE	: 	508.72 	506.49 	503.19 	498.41 	495.03 	488.86 	483.23 	475.98 	470.70 	471.76 	477.60 	480.01 	481.53 	476.94 	472.66 	467.59 	459.06 	446.77 	435.13 	433.10 	433.03 	429.64 	434.35 	431.38 	449.69 	471.63 	521.47 	537.82 	554.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,DK	: 	16951.67 	34485.93 	34315.35 	34095.30 	33043.51 	34202.88 	39822.21 e	39939.80 	39789.80 	34244.96 	33072.42 	24525.09 	14486.57 	17206.56 	21505.68 	29056.57 	34777.89 	38127.17 	35255.15 	29997.84 	66522.48 	265210.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,EE	: 	4239.29 	4030.42 	4142.72 	4011.55 	3891.74 	3973.85 	4321.30 	4212.41 	4227.51 	4483.08 	4448.38 	3944.22 	4026.07 	4093.65 	4194.35 	3548.31 	3839.55 	3620.34 	3988.84 	4625.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,EL	: 	25960.25 	32134.38 	31724.72 	27701.72 	28778.94 b	46950.05 	46660.47 	41837.16 	23183.51 	23968.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,ES	: 	26524.95 	26454.35 	25516.56 	27120.22 	25860.15 	26713.15 	27152.04 	27808.00 	26348.76 	27544.00 	25334.94 	25417.09 	25609.74 	26505.86 	25262.24 	24554.86 	24148.62 	24200.68 	22165.17 	22752.59 	21760.17 	20669.84 	20765.88 	20994.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,EU27_2020	: 	1029.28 	1026.54 	1028.08 	1032.33 	1032.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,FI	: 	29527.30 	26905.00 	26869.33 	18884.20 	13267.63 	20005.54 	12305.37 	10742.00 	9322.27 	9152.48 	8737.92 	7547.44 	8186.87 	7375.72 	7692.22 	9319.38 	10574.06 	11018.22 	12592.25 	13071.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,FR	: 	642.42 	634.45 	632.44 	632.35 	630.23 	632.63 	636.96 	637.59 	643.39 	644.92 	650.07 	653.87 	661.75 	670.44 	684.59 	676.11 	671.61 	669.63 	675.22 	673.44 	655.36 	641.94 	628.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,HR	: 	879.02 	884.70 	971.50 	977.61 	988.49 	971.13 	964.95 	962.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,HU	: 	657.33 	656.25 	654.84 	666.03 	666.69 	673.66 	657.30 	642.68 	625.20 	628.54 	629.96 	642.57 	628.05 b	797.35 	816.70 	812.47 	823.21 	825.50 	848.54 	824.26 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,IE	: 	27877.63 	27191.71 	26856.91 	28475.06 	29572.05 	28930.06 	33027.25 	34844.95 	35504.53 	35350.03 	35995.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,IS	: 	5547.12 	5598.74 	5920.68 	5499.00 	5251.02 	5196.60 	4980.98 	5172.84 	5063.71 	5048.27 	4976.55 	3734.28 	3994.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,IT	: 	2355.71 	2405.42 	2408.85 	2452.17 	2445.26 	2475.13 	2457.93 	2456.87 	2415.17 	2367.03 	2364.48 	2397.18 	2358.19 	2459.66 	2558.12 	2774.40 	2851.97 	2797.28 	3011.48 	3196.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,LT	: 	1653.34 	1650.88 	1695.68 	1734.12 	1756.29 	1724.92 	1808.98 	1740.11 	1787.55 	2228.26 	2374.56 	2456.40 	2444.25 	2488.52 	2461.13 	2386.63 	2567.83 	3118.72 	4690.29 b	3234.32 	2915.00 	3220.81 b	15544.07 	18661.20 	15248.33 	18285.72 	19382.17 	19474.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,LU	: 	1158.88 	1243.25 	1127.29 	1102.95 	1108.18 	1082.33 	1057.12 	2999.69 	2928.51 	2864.14 	2812.33 	2760.73 	2711.82 	3721.55 	3662.66 	3607.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,LV	: 	2450.48 	2569.56 	2579.35 	2518.68 	2493.73 	2464.50 	2493.99 	2666.21 	2921.57 	4540.16 	2949.96 	2499.80 	2534.94 	2755.72 	2965.30 	3237.66 	3066.96 	4620.35 	4328.09 	3965.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,MK	: 	6072.20 	4185.92 	6083.58 	6077.68 	6000.65 	5992.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,MT	: 	1257.01 	1164.98 	1088.37 	1042.00 	1020.76 	996.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,NL	: 	9514.47 	8919.06 	9351.14 	8751.45 	8897.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,PL	: 	557.40 	562.91 	569.72 	584.62 	585.24 	603.17 	607.93 	610.96 b	616.34 	634.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,PT	: 	21655.29 	17700.21 	18865.02 	17802.50 	17615.78 e	23425.81 	23552.47 	25215.45 	20342.12 	23813.29 	24692.16 	28382.19 	22820.27 	23434.94 	22883.07 	23297.47 	25081.11 	26378.81 	24498.16 	26520.36 	25802.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,RO	: 	1480.56 	1515.37 	1556.17 	1585.20 	1646.50 	1667.28 	1729.44 	1892.98 	2042.40 	2445.59 	2356.86 	2540.58 	2717.82 	2680.03 	2568.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,RS	: 	1141.56 	1170.79 	1167.61 	1146.39 	1160.13 d	1149.72 d	1145.89 d	1181.73 d	1191.98 d	1180.91 d	1210.65 d	1187.63 d	1203.00 d	1146.06 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,SE	: 	6392.34 	6269.39 	6044.29 	5673.58 	5982.41 	5515.42 	5336.51 	5259.32 	4647.92 	4526.12 	4290.96 	4160.49 	4010.56 	3821.76 	3920.79 	3698.00 	3603.47 	3669.80 	3206.91 	2782.10 	2529.38 	2440.30 	2365.26 	1881.46 	1581.61 	1397.32 	815.50 	687.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,SI	: 	10441.92 	10369.47 	10331.94 	10325.21 	10317.66 d	10309.90 	10299.77 	10285.79 	10264.21 	10242.91 	10198.35 	10106.58 	10051.62 	10034.34 	10002.37 	9985.06 	9978.67 	9972.65 	9960.30 	9944.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,SK	: 	6356.81 	6834.09 	6617.07 	6434.59 	6779.75 	6773.31 	6887.27 	6399.50 	6465.13 	6218.49 	5880.36 	6757.83 	5118.69 	5765.08 	5846.36 	5432.03 	5031.25 	5020.46 	5638.23 	6229.73 	6363.23 	6139.54 	6173.50 	6741.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,TR	: 	27535.66 	28032.78 	32423.37 	26937.81 	38380.02 	39600.76 	36644.67 	37419.53 	41863.30 	42132.57 	43397.11 	42802.22 	41172.60 	42201.74 	41856.50 	41830.90 	39877.34 	35988.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,AL	: 	: 	: 	: 	: 	: 	: 	745.00 	745.00 	692.00 	692.00 	692.00 	: 	727.00 	795.00 	795.00 	795.00 	795.00 	910.00 	910.00 	915.00 	935.00 	910.00 	938.00 	977.00 	977.00 	997.00 	1021.00 	1302.00 	1299.00 	1269.00 	1201.00 	1273.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,AT	: 	6099.00 	6426.00 	6585.00 	6523.00 	6450.00 	6364.00 	6318.00 	6218.00 	5981.00 	5975.00 	6196.00 	6182.00 	6295.00 	5857.00 	5604.00 	5448.00 	5380.00 	5506.00 	5323.00 	5430.00 b	4244.00 	4529.00 	4751.00 	5008.00 	5474.00 	5850.00 	6108.00 	6237.00 	6584.00 	6667.00 	6762.00 	6962.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,BE	16251.00 	16190.00 b	15452.00 	15479.00 	15691.00 	15818.00 	15691.00 	15739.00 	15952.00 	16012.00 	16041.00 	15991.00 	16027.00 	15954.00 	15924.00 	15967.00 	15813.00 	15682.00 	15675.00 	15728.00 	16231.00 	16386.00 	16383.00 	16243.00 	16021.00 	16367.00 	16559.00 	16914.00 	17177.00 	17380.00 	17512.00 	16799.00 	16423.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26553.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,BG	: 	3986.00 	3993.00 	4105.00 	4007.00 b	4929.00 	4823.00 	4792.00 	4665.00 	4614.00 	4888.00 	5179.00 	5120.00 	5138.00 	5150.00 	5245.00 b	5021.00 	5022.00 	5149.00 	5611.00 	5223.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,CH	: 	7934.00 	7924.00 	7909.00 	7757.00 	7687.00 	7550.00 	7756.00 	7781.00 	7683.00 	7942.00 	7612.00 	7675.00 	7694.00 	7558.00 	7867.00 	7870.00 	7881.00 	8029.00 	8152.00 	8588.00 	8581.00 	8501.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,CY	: 	136.00 	155.00 	182.00 	186.00 	186.00 	186.00 	186.00 	198.00 	182.00 	189.00 	206.00 	206.00 	206.00 	206.00 	232.00 	229.00 	232.00 	266.00 	266.00 	351.00 	376.00 	376.00 	408.00 	576.00 	624.00 	624.00 	666.00 	703.00 	745.00 	840.00 	840.00 	839.00 	839.00 	839.00 	842.00 	871.00 	871.00 	866.00 	866.00 	918.00 	898.00 	898.00 	902.00 	842.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,CZ	: 	9869.00 	9859.00 	9934.00 	10074.00 	10076.00 	9998.00 	10047.00 	10300.00 	10417.00 	10619.00 b	10850.00 	10936.00 	11046.00 	11182.00 	11297.00 	11452.00 	11494.00 	11591.00 	11693.00 	11609.00 b	11605.00 	11662.00 	11758.00 	11752.00 	11814.00 	: 	: 	: 	: 	14510.00 	: 	: 	: 	: 	15270.00 	: 	: 	: 	: 	15224.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,DE	: 	108519.00 	107508.00 	106176.00 	105026.00 	103992.00 	102916.00 	101850.00 	100675.00 	98719.00 	96426.00 	93982.00 	92537.00 	90574.00 	89352.00 	88284.00 	88116.00 	87965.00 	87213.00 	88494.00 	88345.00 	88426.00 	88814.00 	89439.00 	90950.00 	93843.00 	94551.00 	95302.00 	102452.00 	110439.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,DK	3023.00 p	3002.00 	2793.00 	2694.00 	2275.00 	: 	: 	3020.00 	: 	2967.00 b	3164.00 	3191.00 	3212.00 	3351.00 	3422.00 	3541.00 	3647.00 	3843.00 	3965.00 	4031.00 	4044.00 	4198.00 	4177.00 	4214.00 	4209.00 	4204.00 	4259.00 	4252.00 	4338.00 	4732.00 	4906.00 	5202.00 	5639.00 	5893.00 b	8743.00 	8915.00 	9117.00 	9405.00 	8744.00 	8965.00 	9352.00 	9547.00 	9648.00 	10070.00 	10620.00 	10648.00 	10673.00 	10792.00 	10870.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,EE	: 	672.00 	682.00 	675.00 	671.00 	688.00 	690.00 	690.00 b	712.00 	717.00 	712.00 	721.00 	744.00 	742.00 	743.00 	723.00 	681.00 	765.00 	882.00 	933.00 	1083.00 	1128.00 	1235.00 	1361.00 	1413.00 	1527.00 	1585.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
