isco08,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
OC221,FTE_HTHAB,IS	: 	203.41 	205.61 	197.21 	199.55 	192.95 	186.45 	171.13 	168.77 	176.07 	174.23 	170.05 	174.50 	184.89 	190.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,FTE_HTHAB,LI	85.39 	81.36 	66.65 	49.94 	49.00 	40.30 	33.07 	35.30 	32.72 	28.67 	28.81 	32.48 	25.40 	25.29 	22.80 	21.52 	21.58 	19.31 	18.22 	19.77 	16.57 	14.86 	15.21 	13.89 	13.77 	13.86 	12.35 	13.13 	13.29 	10.13 	10.61 	10.09 	10.24 	7.51 	6.89 	7.34 	3.72 	3.76 	0.38 	0.00 	0.00 	0.00 
OC221,FTE_HTHAB,LT	: 	336.58 	349.02 	348.42 	343.87 	340.04 	335.54 	334.81 	338.34 	336.94 	322.71 	308.59 	295.33 	301.57 	268.07 	262.06 	255.44 	249.83 	249.27 	252.45 	248.44 	248.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,FTE_HTHAB,MT	: 	256.63 	259.37 	243.06 	246.82 	238.06 	225.98 	215.13 	208.15 	187.61 	178.08 	152.15 	149.10 	: 	168.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,FTE_HTHAB,NL	: 	127.08 e	127.31 e	126.01 e	128.67 e	126.86 e	126.93 e	141.83 e	138.19 e	133.01 e	117.71 e	117.73 e	115.01 e	113.74 e	111.16 e	105.10 be	91.97 e	95.03 e	91.81 e	88.17 be	105.43 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,FTE_HTHAB,NO	279.82 	273.08 	265.79 	260.41 	254.94 	248.98 	244.56 b	231.82 	228.97 	227.53 	238.11 	234.66 	234.58 b	225.16 	223.97 	217.20 	214.07 	205.23 b	199.39 	189.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,FTE_HTHAB,RO	: 	173.86 	160.38 	150.67 	145.31 	140.43 	137.32 	132.44 	130.16 	129.16 	126.75 	125.09 	110.31 	117.40 	107.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,FTE_HTHAB,RS	172.46 	164.01 b	: 	164.45 	161.59 	158.90 	159.55 	158.81 	158.83 	156.35 	152.72 	150.84 	146.68 	143.74 	136.49 	132.17 	130.16 	132.18 	131.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,FTE_HTHAB,SK	: 	183.27 	178.74 	170.91 	167.06 	166.22 	167.47 	164.91 	161.62 	157.79 	153.35 	156.18 	152.58 b	144.44 	150.33 	137.03 	139.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,FTE_HTHAB,UK	: 	: 	: 	194.57 	191.68 	189.84 	188.50 	186.69 	184.14 	182.56 	183.36 	182.85 	181.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,AT	: 	376.47 	380.18 	382.53 	385.73 	388.80 	389.43 	392.81 	394.15 	394.64 	396.69 	401.20 	407.99 	417.42 	427.34 e	434.73 e	441.95 e	443.60 e	449.63 e	457.52 e	464.14 e	473.91 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,BE	: 	: 	1368.48 e	1448.97 e	1591.64 e	1664.70 e	1682.71 e	1718.63 e	1769.03 e	1675.77 e	1729.64 e	1777.82 e	1777.70 e	1780.47 e	1766.14 e	1815.97 e	1864.85 	1745.58 	1772.79 	1844.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,CH	: 	358.93 	367.47 	374.57 	383.98 	390.28 	403.94 	414.07 	425.17 	433.99 	438.13 	450.81 b	444.10 e	461.73 e	464.40 e	481.07 e	486.78 e	519.31 e	536.61 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,CY	: 	: 	1072.93 d	1033.33 d	1073.06 d	1082.03 d	1072.99 d	1051.18 d	1082.84 d	1156.55 d	1116.64 bd	1308.27 	1318.16 	1272.87 	1327.21 	1355.53 	1483.01 	1348.11 	1448.20 	1410.79 	1499.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,CZ	: 	460.23 	459.78 	467.93 	473.56 	486.03 b	498.96 	506.23 e	515.98 	515.57 	523.30 	534.50 	536.13 	545.05 	552.05 	563.57 	569.48 	579.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,DE	: 	464.59 	472.12 	482.01 	486.22 	496.08 	501.14 	509.32 	520.29 	532.62 	546.09 	566.52 	589.23 	603.75 	613.93 	624.06 	639.30 	660.13 	676.51 	681.72 	697.88 	702.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,DK	310.46 	320.71 	330.63 	338.93 	347.00 	357.53 	363.58 	366.82 	371.36 	377.91 	384.44 	387.00 	397.75 	410.71 	416.62 	425.02 	444.51 	459.92 	476.58 	483.06 	495.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,EE	: 	516.38 	530.32 	517.10 	517.09 	512.56 	509.69 	519.51 	526.78 b	493.64 	498.87 	499.95 	492.06 	482.43 	494.91 	507.53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,FI	: 	: 	: 	: 	: 	: 	711.74 	677.70 	726.08 	734.92 	719.85 	656.51 	659.43 	668.70 	680.33 	735.89 	746.78 	753.85 	753.48 	756.08 	754.00 	746.89 	785.29 	817.31 	818.26 	833.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,FR	: 	: 	496.00 	504.06 	510.59 	515.78 	528.06 	534.53 	543.87 b	571.02 	582.28 	584.18 	585.53 	597.00 	604.75 	623.75 	631.87 	634.57 	643.69 	653.21 	669.44 	691.81 b	630.65 	625.97 	629.15 	618.83 	634.01 	654.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,HU	: 	571.61 	578.34 	563.69 	562.31 	572.51 	568.28 	581.39 	574.86 	632.80 	600.35 	651.62 	775.41 	740.08 	788.60 	738.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,IE	515.72 	530.77 	577.35 	593.14 	607.81 	627.31 	651.23 	687.61 	733.70 	733.74 	729.96 	767.31 	753.82 	741.26 	729.26 	739.33 	756.72 	770.74 	787.95 	780.02 	829.06 	900.06 	945.60 	985.59 	1014.24 	1073.30 	1092.84 	1118.16 	1139.14 	1174.21 	1193.78 	1208.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,IS	: 	491.61 	486.35 	507.08 	501.14 	518.28 	536.33 	584.34 	592.51 	567.95 	573.94 	588.07 	573.07 	540.86 	524.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,LI	1171.06 	1229.10 	1500.49 	2002.41 	2040.97 	2481.32 	3023.71 	2832.51 	3056.49 	3487.77 	3471.51 	3078.76 	3936.29 	3954.57 	4385.82 	4646.75 	4633.67 	5180.00 	5487.68 	5059.16 	6035.27 	6730.82 	6575.61 	7197.16 	7263.14 	7216.98 	8098.95 	7617.38 	7522.25 	9875.67 	9422.26 	9911.03 	9764.31 	13308.33 	14503.42 	13618.75 	26878.00 	26596.00 	264460.00 	: 	: 	: 
OC221,HAB_FTE,LT	: 	297.11 	286.52 	287.01 	290.81 	294.09 	298.03 	298.67 	295.56 	296.79 	309.88 	324.05 	338.61 	331.59 	373.04 	381.60 	391.48 	400.27 	401.18 	396.12 	402.51 	402.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,MT	: 	389.67 	385.54 	411.42 	405.16 	420.06 	442.52 	464.83 	480.42 	533.02 	561.55 	657.24 	670.69 	: 	592.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,NL	: 	786.93 e	785.48 e	793.57 e	777.18 e	788.26 e	787.87 e	705.06 e	723.64 e	751.85 e	849.52 e	849.37 e	869.47 e	879.16 e	899.60 e	951.46 be	1087.27 e	1052.34 e	1089.24 e	1134.21 be	948.47 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,NO	357.38 	366.20 	376.24 	384.00 	392.25 	401.64 	408.91 b	431.37 	436.73 	439.49 	419.97 	426.15 	426.30 b	444.13 	446.49 	460.40 	467.14 	487.26 b	501.52 	527.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,RO	: 	575.17 	623.53 	663.69 	688.17 	712.12 	728.22 	755.04 	768.28 	774.26 	788.99 	799.42 	906.55 	851.77 	933.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,RS	579.83 	609.73 b	: 	608.08 	618.85 	629.31 	626.75 	629.69 	629.59 	639.58 	654.79 	662.94 	681.77 	695.71 	732.66 	756.59 	768.28 	756.53 	761.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,SK	: 	545.64 	559.48 	585.10 	598.59 	601.60 	597.11 	606.38 	618.75 	633.73 	652.12 	640.28 	655.39 b	692.35 	665.18 	729.76 	717.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_FTE,UK	: 	: 	: 	513.95 	521.71 	526.77 	530.51 	535.64 	543.06 	547.76 	545.38 	546.88 	552.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,AL	: 	: 	: 	: 	: 	: 	: 	: 	1731.51 	: 	1691.03 	1697.56 	1669.05 	: 	: 	1884.25 	: 	1435.63 	1467.39 	1390.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,AT	: 	342.34 	342.50 	352.51 	356.96 	354.30 	360.17 	354.61 	358.16 	357.78 	366.19 	373.27 	383.46 	394.33 	408.28 	418.47 	426.42 	429.90 	427.85 	440.03 	445.51 	458.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,BE	: 	: 	: 	1523.40 	1358.71 	1430.55 	1421.36 	1448.20 	1475.20 e	1371.84 e	1430.75 e	1394.00 e	1457.53 e	1476.44 e	1473.79 e	1527.51 e	1478.15 	1434.83 	1410.38 	1371.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,BG	: 	407.96 	411.84 	414.21 	415.96 	426.00 	435.61 	449.73 	463.69 	473.67 	482.27 	499.64 	533.15 	546.58 	559.37 	581.34 	577.25 	621.08 	593.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,CH	: 	290.38 	300.13 	304.81 	314.21 	318.38 	337.73 	347.42 	353.82 	365.12 	368.28 	385.75 b	387.97 e	412.87 e	413.33 e	424.43 e	435.79 e	456.49 e	473.21 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,CY	: 	: 	1072.93 d	1033.33 d	1073.06 d	1082.03 d	1072.99 d	1051.18 d	1081.48 d	1147.34 d	1107.92 bd	1308.27 	1318.16 	1272.87 	1327.21 	1355.53 	1483.01 	1348.11 	1448.20 	1410.79 	1499.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,CZ	: 	390.36 	396.18 	400.81 	410.43 	422.75 b	449.63 	454.54 e	463.82 	469.76 	477.07 	486.05 	491.66 	500.17 	497.82 	502.42 	506.46 	510.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,DE	: 	396.00 	403.36 	414.53 	421.72 	433.41 	443.95 	452.42 	463.48 	475.89 	492.48 	512.74 	535.31 	554.80 	567.35 	580.12 	589.07 	597.94 	598.07 	611.03 	619.17 	627.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,DK	291.83 	304.85 	315.86 	324.30 	332.54 	341.10 	348.38 	353.45 	359.08 	366.97 	373.99 	380.19 	391.29 	404.30 	411.97 	421.20 	440.46 	456.19 	472.69 	479.31 	493.22 	509.99 	517.18 	521.40 	531.85 	541.91 	546.97 	555.21 	562.57 	566.17 	579.13 	584.86 	605.83 	615.64 	617.71 	629.21 	636.98 	646.96 	703.67 	750.08 	872.65 	877.98 
OC221,HAB_HC,EE	: 	419.94 	424.34 	418.21 	420.22 	424.45 	430.86 	440.06 	446.63 b	447.46 	453.67 	458.81 	452.99 	443.48 	461.03 	470.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,EL	: 	: 	467.37 	459.57 	456.58 	462.07 	457.18 	443.20 	435.80 	409.07 	402.67 	413.34 	405.57 	425.04 	425.51 	432.26 	429.65 	443.03 	451.07 	462.01 	444.73 	460.10 	474.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,ES	: 	407.21 p	418.04 	418.60 	428.72 	435.62 	441.36 	449.77 	455.22 	453.46 	456.76 	460.17 b	457.26 	469.21 	486.74 	502.73 	516.72 	519.46 	537.29 	546.09 	566.97 	570.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,FI	: 	: 	: 	562.46 	552.15 	576.51 	591.10 	573.15 	586.16 	605.45 	595.72 	618.33 	619.79 	624.15 	639.66 	632.43 	640.78 	658.79 b	720.03 	727.05 	729.27 	725.98 	768.33 	805.86 	809.42 	825.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,FR	: 	: 	379.10 	381.05 	383.48 	385.66 	387.83 	390.67 	394.87 b	395.45 	398.08 	401.71 	402.21 	407.34 	409.00 	417.22 	419.09 	416.04 	417.58 	417.66 	423.85 	438.32 b	371.54 	365.14 	368.80 	361.29 	368.29 	377.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,HR	: 	452.66 	461.34 	469.46 	489.44 	509.14 	513.67 	539.63 	556.65 	563.20 	580.11 	598.29 	622.93 	643.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,HU	: 	499.80 	495.97 	484.42 	488.96 	503.39 	498.61 	512.14 	512.25 	554.49 	529.30 	563.83 	680.70 	661.32 	702.17 	680.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,IE	491.40 	508.59 	552.12 	564.78 	578.65 	594.64 	618.19 	650.34 	682.18 	682.32 	681.05 	715.21 	706.22 	688.16 	681.06 	664.61 	672.47 	676.91 	699.43 	698.02 	756.01 	817.09 	832.73 	866.44 	872.10 	930.55 	949.70 	973.53 	967.34 	1023.13 	1051.23 	1081.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,IS	: 	362.12 	354.54 	364.00 	363.77 	369.83 	394.30 	397.31 	423.22 	425.92 	434.62 	430.95 	425.80 	414.38 	400.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,IT	: 	429.31 	435.56 	442.06 	464.36 	472.91 	484.58 	481.54 	471.73 	466.26 	461.01 	455.30 	457.84 	460.65 	460.41 	472.11 	467.30 	474.55 	470.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,LI	1027.76 	1080.58 	1285.42 	1738.45 	1807.71 	1639.83 	2083.00 	2069.31 	2175.50 	2618.32 	2269.50 	2251.34 	2749.35 	3941.39 	3918.00 	3892.94 	4344.06 	4921.00 	4868.36 	4813.43 	5532.33 	5440.75 	10740.17 	6333.50 	7807.88 	7758.25 	7694.00 	7617.38 	7522.25 	9875.67 	7302.25 	9580.67 	9438.83 	13973.75 	13778.25 	13618.75 	26878.00 	26596.00 	26446.00 	: 	: 	: 
OC221,HAB_HC,LT	: 	332.53 	321.46 	323.88 	329.15 	337.44 	348.23 	352.41 	361.97 	366.15 	378.28 	400.48 	421.16 	433.01 	479.78 	497.70 	520.69 	534.01 	533.29 	526.38 	538.45 	534.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,LV	: 	540.67 	546.96 	512.82 	530.96 	540.86 	545.98 	546.09 	571.29 	585.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,ME	: 	629.49 	637.32 	644.17 	664.22 	673.49 	743.32 	826.88 	858.02 	874.09 	903.91 	902.95 	895.77 	918.55 	965.59 	942.96 	989.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,MK	: 	747.94 	756.26 	: 	970.75 	951.12 	996.26 	989.69 	1052.54 	1044.62 	1086.87 	1060.37 	1065.84 	1021.92 	873.69 b	847.62 	1110.00 	1104.04 	1064.48 	1092.60 	1171.49 	1193.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,MT	: 	362.65 	361.33 	386.16 	384.24 	392.55 	413.23 	425.20 	439.59 	495.90 	530.95 	587.95 	648.55 	: 	589.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,NL	: 	736.99 e	735.48 e	744.80 e	729.95 e	742.45 e	743.08 e	668.08 e	685.22 e	711.95 e	755.75 e	753.40 e	767.39 e	796.71 e	820.81 e	882.33 be	977.12 e	950.71 e	980.91 e	1001.24 be	873.74 e	918.59 e	947.23 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,NO	354.93 	362.03 	371.92 	379.26 	386.90 	398.27 	406.82 b	418.72 	423.80 	427.04 	410.33 	415.01 	417.10 b	432.41 	435.55 	450.22 	454.60 	477.58 b	488.43 	514.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,PL	: 	: 	: 	: 	940.27 	905.45 	901.71 	905.47 	887.28 	882.75 	890.24 	882.42 	886.33 	887.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,PT	: 	392.28 	398.96 	382.28 	409.88 	430.17 	452.83 	475.09 	477.35 	490.96 	514.03 	466.72 	488.10 	500.39 	501.47 	509.16 	499.64 	502.97 	503.48 	495.47 	521.08 	519.90 	526.31 	536.58 	532.47 	530.91 	567.80 	566.48 	594.16 	599.01 	621.62 	634.74 	681.54 	708.75 	743.90 	688.59 	616.46 	: 	: 	: 	: 	: 
OC221,HAB_HC,RO	: 	569.83 	617.30 	655.98 	679.06 	704.13 	720.80 	741.10 	760.36 	765.92 	780.67 	792.47 	898.24 	842.10 	924.52 b	969.79 	1003.09 	1046.17 	1133.94 	1186.62 	1170.26 	1140.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,RS	577.20 	606.84 b	: 	594.47 	606.97 	616.02 	616.03 	618.71 	620.32 	629.73 	643.89 	653.71 	672.25 	686.81 	723.97 	749.86 	760.19 	748.26 	752.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,SI	: 	515.30 	517.57 	534.78 	552.21 	582.03 	640.65 	640.17 	689.41 	696.16 	698.96 	721.08 	722.77 	719.07 	722.88 	727.39 	734.12 	758.17 	797.66 	805.22 	839.12 	864.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,TR	: 	606.63 	640.59 	669.47 b	697.14 	707.67 	714.42 	723.71 	730.94 	734.32 	745.82 	757.27 	753.14 	790.00 	806.90 	840.07 	870.02 	886.38 	922.55 	947.59 	960.45 	1037.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HAB_HC,UK	: 	: 	: 	482.81 	490.58 	496.03 	499.96 	505.14 	512.26 	516.02 	513.04 	514.47 	518.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HC,AL	: 	: 	: 	: 	: 	: 	: 	: 	1672.00 	: 	1718.00 	1716.00 	1754.00 	: 	: 	1588.19 	: 	2108.43 	2071.44 	2193.60 	2255.00 	2076.00 	2006.80 	1924.63 	1936.80 	1942.21 	1765.50 	1574.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HC,AT	: 	26047.00 	25927.00 	25079.00 	24646.00 	24659.00 	23996.00 	24101.00 	23676.00 	23562.00 	22916.00 	22406.00 	21758.00 	21103.00 	20318.00 	19759.00 	19295.00 	19009.00 	18982.00 	18367.00 	18052.00 	17460.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HC,BE	: 	: 	: 	7501.00 	8372.00 	7921.00 	7932.00 	7740.00 	7565.00 e	8096.00 e	7715.00 e	7834.00 e	7407.00 e	7254.00 e	7210.00 e	6905.00 e	7089.00 	7263.00 	7357.00 	7533.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HC,BG	: 	16997.00 	16938.00 	16960.00 	17011.00 	16732.00 	16478.00 	16063.00 	15668.00 	15424.00 	15237.00 	14802.00 	13963.00 	13708.00 	13489.00 	13075.00 	13268.00 	12425.00 	13093.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HC,CH	: 	29742.00 	28572.00 	27933.00 	26899.00 	26300.00 	24524.00 	23570.00 	22863.00 	21902.00 	21485.00 	20293.00 b	19960.00 e	18523.00 e	18269.00 e	17633.00 e	17066.00 e	16188.00 e	15509.00 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HC,CY	: 	: 	822.00 d	842.00 d	801.00 d	787.00 d	790.00 d	811.00 d	797.00 d	753.00 d	768.00 bd	634.00 	613.00 	618.00 	578.00 	554.00 	498.00 	540.00 	496.00 	503.00 	468.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HC,CZ	: 	27405.00 	26937.00 	26521.00 	25813.00 	24994.00 b	23455.00 	23156.00 e	22669.00 	22375.00 	22001.00 	21550.00 	21242.00 	20762.00 	20688.00 	20379.00 	20162.00 	19969.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OC221,HC,DE	: 	210000.00 	206000.00 	200000.00 	196000.00 	190000.00 	184000.00 	179000.00 	174000.00 	169000.00 	163000.00 	158000.00 	153000.00 	148000.00 	145000.00 	142000.00 	140000.00 	138000.00 	138000.00 	135000.00 	133000.00 	131000.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
