isco08,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
HOSP,FTE,MT	: 	9865.50 	9519.90 	9455.20 	8914.70 	8469.13 	8554.44 	7855.51 	7214.87 	7006.63 	6743.55 	6321.21 	5476.75 b	: 	6056.79 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,NL	: 	213323.00 	201518.00 	216423.00 	202528.00 	198647.00 	211903.00 	204854.00 b	215281.00 	215396.00 b	204480.00 	201280.00 	196260.00 	189660.00 	185880.00 	181340.00 b	166795.00 	176190.00 	173150.00 	162420.00 b	196620.00 	191578.00 	187488.00 	183325.00 	173500.00 	169999.00 	169039.00 	167220.00 	170051.00 	171134.00 	168380.00 	165821.00 	163137.00 	161366.00 	161168.00 	159943.00 	158347.00 	157435.00 	157882.00 	159911.00 	158531.00 	156397.00 
HOSP,FTE,NO	108019.00 	104396.00 	101941.00 	100493.00 	98944.00 	98067.00 	97096.00 b	92626.00 	91981.00 	92822.00 	96331.00 	95973.00 	95788.00 b	95887.00 	96684.00 	95564.00 	94864.00 	93514.00 b	91566.00 	88746.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,RO	: 	193244.00 	187387.00 	176297.00 	174423.50 	166297.00 	160424.00 	154315.00 	152126.00 	150489.00 	150695.00 	156818.00 	156188.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,RS	66974.00 	64720.00 b	: 	62822.00 	62978.00 	62606.00 	63965.00 	64155.00 	64940.00 	64423.00 	63656.00 	63269.00 	62146.00 	62480.00 	59003.00 	57288.00 	58368.00 	60940.00 	59069.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,SK	: 	43902.70 	43275.41 	42287.43 	41458.33 	41442.12 	41345.26 	41262.81 	40723.64 	40256.78 	40181.17 	41479.97 	40322.20 b	38672.12 	39743.19 	37726.44 	38778.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE,UK	: 	: 	1363598.98 e	1317664.00 e	1290047.12 e	1283240.71 e	1255606.48 e	1229041.62 e	1204434.87 e	1190503.45 e	1223996.34 e	1253394.85 e	1244527.60 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,AT	: 	1619.41 	1612.14 	1602.89 	1598.09 	1599.04 	1607.81 	1602.22 	1601.79 	1602.15 	1598.38 	1587.12 	1581.31 	1560.71 	1536.73 e	1525.40 e	1526.06 e	1523.20 e	1521.48 e	1515.75 e	1506.61 e	1509.61 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,BE	: 	: 	1296.33 e	1336.61 e	1310.19 e	1315.32 e	1307.24 e	1306.76 e	1309.68 e	1316.04 e	1299.65 e	1286.66 e	1281.68 e	1264.18 e	1263.83 e	1244.02 e	1225.74 	1240.45 	1224.54 	1188.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,CH	: 	2021.55 	1993.26 	1977.52 	1957.72 	1934.06 	1903.61 	1861.54 	1834.05 	1801.53 	1785.95 	1778.90 b	1775.66 e	1739.43 e	1734.71 e	1713.42 e	1690.21 e	1669.71 e	1682.46 e	1647.06 e	1612.05 e	1601.97 e	1576.91 e	1574.50 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
