owner,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
PRV_NP,HAB_P,IT	: 	: b	8197.79 	8080.38 	7923.65 	8186.27 	8068.36 	8156.33 	7928.65 	7473.29 	7831.63 	7587.02 	7518.49 	7634.88 	7479.62 	8270.84 	8580.44 	8593.08 	8058.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,NL	: 	343.49 p	331.02 	314.04 	305.17 	293.17 	286.55 b	282.05 	270.82 	264.65 	251.60 	242.74 	237.47 	235.31 	233.02 	227.47 b	225.28 	222.45 	222.58 b	213.33 	210.62 b	203.20 	194.42 	191.83 	188.76 	187.79 	185.70 	182.03 	175.70 	172.82 	170.90 	168.12 b	164.89 	161.44 	159.27 	157.74 	156.30 	154.64 	152.25 	151.05 b	145.85 	144.63 	142.59 	140.80 	139.13 	137.87 	135.43 	133.00 	130.59 	129.06 	130.29 	131.51 	130.61 	131.91 	130.82 	131.12 	133.35 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,PL	: 	12139.36 	10308.30 	10072.88 	9592.02 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,PT	: 	1435.13 	1434.43 	1404.13 	1426.63 	1429.72 	1483.97 	1527.77 	1484.15 	1499.12 	1492.45 	1618.41 	1600.76 	1602.15 	1571.47 	1579.45 	1506.93 	1522.71 	1562.18 	1649.98 	1618.92 	1579.66 	1567.87 b	1479.35 	1463.16 	1459.18 	1475.09 	1449.10 	1458.96 	1397.63 	1421.27 	1416.66 	1673.08 	1456.13 	1685.15 	1564.68 	1573.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,HAB_P,RO	: 	32862.66 	33057.42 	33345.84 	37526.27 	37174.09 	41805.10 	49157.97 	57923.75 	77146.29 	86100.54 	96413.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,AT	: 	10244.00 	10510.00 	10675.00 	10697.00 	11185.00 	11223.00 	11263.00 	11318.00 	11417.00 	11450.00 	11519.00 	11493.00 	11526.00 	11451.00 	11218.00 	11182.00 	11203.00 	11150.00 	11311.00 	11332.00 	11565.00 	11689.00 	11750.00 	11769.00 	11773.00 	11818.00 	11957.00 	12130.00 	12257.00 	12322.00 	12421.00 	12462.00 	12517.00 	12504.00 	12562.00 	12411.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,BE	46748.00 	47117.00 	47224 b	47612.00 	47779.00 	48354.00 	48553.00 	47984.00 	48169.00 	48445.00 	48649.00 	48495.00 	47193.00 	47203.00 	46877.00 	46853.00 	46933.00 	46257.00 	44041.00 	43794.00 	43376.00 	44074.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,BG	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,CY	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,CZ	: 	240.00 	240.00 	253.00 	253.00 	253.00 	253.00 	253.00 	253.00 	267.00 	254.00 	311 b	465.00 	465.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
