unit,facility,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
HAB_P,NRCBED,EL	: 	: 	2533.46 d	2512.97 d	2538.28 d	2536.12 d	2535.35 d	2590.96 d	2646.68 d	2686.04 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4339.68 	4245.25 	4440.97 	4132.27 	4033.76 	3897.47 	3879.31 	3859.93 	: 	3389.14 	3348.70 	3254.68 	3237.74 	3448.48 	3691.56 	3973.72 	4398.13 	4826.78 	5349.46 	6005.77 	6887.50 
HAB_P,NRCBED,EL30	: 	: 	: 	: 	: 	: 	4243.37 	4270.34 	4320.34 	4652.45 	4493.47 	4640.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,EL42	: 	: 	: 	: 	: 	: 	: 	: 	4132.43 	4264.57 	3894.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,EL43	: 	: 	: 	: 	: 	: 	5445.37 	10180.66 	2682.92 	5673.23 	17550.67 	3829.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES	: 	118.69 d	118.01 d	119.54 d	120.44 d	121.05 d	121.80 d	122.99 d	125.64 d	124.89 d	125.44 bd	189.39 d	205.72 d	230.57 d	233.82 d	282.83 d	317.20 d	310.23 d	598.84 d	666.43 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES11	: 	: 	: 	: 	: 	: 	122.28 	129.03 	141.34 	123.81 	129.80 	476.52 d	316.40 d	337.57 d	316.94 d	315.28 d	397.04 d	387.57 d	981.50 d	1157.94 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES12	: 	: 	: 	: 	: 	: 	71.78 	70.86 	71.97 	73.96 	75.15 	278.26 d	378.85 d	386.23 d	432.79 d	449.34 d	609.87 d	610.37 d	612.79 d	675.83 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES13	: 	: 	: 	: 	: 	: 	103.56 	104.79 	106.23 	104.40 	93.61 	112.84 d	171.84 d	171.25 d	184.73 d	171.22 d	236.62 d	384.91 d	486.42 d	481.85 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES21	: 	: 	: 	: 	: 	: 	107.94 	105.84 	120.91 	92.74 	120.43 	161.64 d	296.32 d	380.32 d	362.74 d	368.65 d	403.34 d	354.11 d	544.08 d	577.11 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES22	: 	: 	: 	: 	: 	: 	96.20 	96.72 	109.55 	109.97 	104.66 	375.87 d	171.66 d	179.47 d	548.57 d	199.96 d	202.66 d	263.75 d	642.74 d	633.04 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES23	: 	: 	: 	: 	: 	: 	97.33 	102.34 	104.29 	104.20 	102.05 	106.12 d	304.21 d	361.04 d	357.65 d	353.36 d	513.08 d	520.30 d	457.83 d	487.57 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES24	: 	: 	: 	: 	: 	: 	86.34 	77.02 	80.29 	77.36 	72.67 	161.58 d	326.87 d	368.93 d	157.84 d	254.34 d	262.41 d	356.76 d	833.91 d	867.93 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES30	: 	: 	: 	: 	: 	: 	122.60 	122.52 	125.69 	128.75 	126.53 	298.93 d	321.57 d	343.07 d	365.73 d	422.19 d	492.52 d	562.00 d	654.38 d	707.09 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES41	: 	: 	: 	: 	: 	: 	87.57 	54.75 	56.15 	57.63 	57.20 	79.24 d	85.39 d	97.72 d	100.79 d	107.15 d	107.76 d	117.43 d	745.13 d	850.33 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES42	: 	: 	: 	: 	: 	: 	44.91 	75.02 	80.74 	81.80 	80.05 	82.96 d	87.97 d	101.66 d	253.87 d	304.64 d	: d	421.71 d	566.19 d	558.62 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES43	: 	: 	: 	: 	: 	: 	84.51 	123.72 	84.05 	84.35 	88.99 	189.31 d	217.94 d	210.01 d	239.26 d	262.00 d	279.90 d	315.91 d	652.61 d	666.10 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES51	: 	: 	: 	: 	: 	: 	115.07 	115.73 	118.06 	120.00 	118.23 	133.94 d	139.11 d	144.41 d	147.79 d	151.37 d	152.62 d	135.97 d	355.58 d	381.18 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES52	: 	: 	: 	: 	: 	: 	181.74 	181.54 	183.25 	184.58 	182.67 	200.72 d	211.76 d	216.23 d	215.97 d	237.13 d	255.05 d	282.38 d	404.53 d	522.67 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES53	: 	: 	: 	: 	: 	: 	204.91 	205.50 	208.89 	292.75 	151.94 	469.99 d	298.74 d	793.35 d	677.44 d	677.97 d	: d	536.87 d	522.19 d	511.24 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES61	: 	: 	: 	: 	: 	: 	190.02 	192.71 	195.54 	198.44 	187.68 	243.84 d	259.38 d	349.28 d	249.26 d	1005.09 d	1082.80 d	1141.35 d	1293.14 d	1709.73 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES62	: 	: 	: 	: 	: 	: 	458.72 	315.80 	295.39 	308.89 	309.10 	637.25 d	708.30 d	974.40 d	949.63 d	1166.44 d	1027.06 d	908.02 d	1577.63 d	1479.07 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES63	: 	: 	: 	: 	: 	: 	596.32 	475.75 	528.79 	495.25 	379.95 	: d	: d	547.54 d	854.46 d	: d	: d	: d	: d	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES64	: 	: 	: 	: 	: 	: 	272.26 	265.68 	269.28 	258.46 	235.13 	366.50 d	257.38 d	485.33 d	493.72 d	403.52 d	480.27 d	881.96 d	1237.06 d	1233.11 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ES70	: 	: 	: 	: 	: 	: 	220.55 	223.26 	222.16 	233.05 	234.47 	508.18 d	493.34 d	572.43 d	561.37 d	536.59 d	629.82 d	941.97 d	500.17 d	531.67 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FI	: 	82.01 	84.57 	83.59 	84.03 	83.09 	84.68 	86.54 	88.33 	89.58 	89.08 	91.93 	95.40 	98.61 	102.72 	108.70 	122.34 	128.16 	132.97 	135.73 	143.55 	151.51 	155.22 	163.35 	167.34 	180.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FI19	: 	: 	: 	: 	: 	: 	78.00 	79.29 	82.73 	84.68 	84.55 	86.84 	89.87 	89.54 	93.31 	99.41 	107.99 	114.45 	118.71 	120.14 	126.05 	128.75 b	136.84 	144.02 	147.24 	146.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FI1B	: 	: 	: 	: 	: 	: 	111.19 	114.32 	112.28 	111.37 	111.10 	113.74 	116.46 	119.87 	120.38 	124.67 	149.80 	153.86 	154.90 	154.44 	163.81 	176.84 b	177.06 	184.57 	190.19 	227.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FI1C	: 	: 	: 	: 	: 	: 	77.98 	79.17 	82.84 	83.76 	82.06 	83.69 	89.19 	91.26 	98.64 	105.38 	117.99 	122.97 	127.16 	130.28 	140.47 	144.49 b	149.92 	155.55 	163.59 	175.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FI1D	: 	: 	: 	: 	: 	: 	75.49 	77.75 	78.70 	80.30 	80.91 	85.45 	88.02 	95.91 	100.08 	106.22 	118.28 	124.90 	133.98 	140.98 	147.47 	160.78 b	160.87 	173.49 	172.22 	186.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FI20	: 	: 	: 	: 	: 	: 	66.25 	70.91 	70.75 	109.34 	83.87 	90.20 	94.83 	103.04 	105.62 	129.68 	116.88 	137.70 	132.17 	134.01 	147.11 	378.54 b	168.85 	171.20 	248.28 	12614.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR	: 	102.18 	101.80 	101.87 	101.96 	102.18 	102.45 	103.26 	103.83 	104.96 	106.60 	110.86 	118.71 	124.14 	127.35 	128.23 	130.18 	132.32 	134.24 	135.65 	136.26 	135.26 	135.50 	135.22 	137.20 	140.11 	139.49 	143.01 	146.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR10	: 	: 	: 	: 	: 	: 	: 	: 	180.78 	181.71 	186.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR21	: 	: 	: 	: 	: 	: 	: 	: 	100.63 	104.30 	105.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR22	: 	: 	: 	: 	: 	: 	: 	: 	114.68 	115.13 	116.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR23	: 	: 	: 	: 	: 	: 	: 	: 	112.17 	112.23 	111.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR24	: 	: 	: 	: 	: 	: 	: 	: 	84.19 	85.10 	85.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR25	: 	: 	: 	: 	: 	: 	: 	: 	80.42 	81.52 	83.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR26	: 	: 	: 	: 	: 	: 	: 	: 	67.02 	67.55 	69.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR30	: 	: 	: 	: 	: 	: 	: 	: 	130.09 	137.86 	142.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR41	: 	: 	: 	: 	: 	: 	: 	: 	101.77 	103.64 	106.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR42	: 	: 	: 	: 	: 	: 	: 	: 	108.79 	111.04 	110.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR43	: 	: 	: 	: 	: 	: 	: 	: 	109.97 	111.92 	115.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR51	: 	: 	: 	: 	: 	: 	: 	: 	73.59 	74.87 	75.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR52	: 	: 	: 	: 	: 	: 	: 	: 	77.42 	77.61 	78.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR53	: 	: 	: 	: 	: 	: 	: 	: 	70.46 	71.61 	71.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR61	: 	: 	: 	: 	: 	: 	: 	: 	89.76 	90.78 	92.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR62	: 	: 	: 	: 	: 	: 	: 	: 	80.84 	80.80 	81.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR63	: 	: 	: 	: 	: 	: 	: 	: 	68.70 	70.24 	71.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR71	: 	: 	: 	: 	: 	: 	: 	: 	105.21 	105.98 	105.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR72	: 	: 	: 	: 	: 	: 	: 	: 	67.81 	67.98 	69.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR81	: 	: 	: 	: 	: 	: 	: 	: 	98.20 	98.86 	104.96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR82	: 	: 	: 	: 	: 	: 	: 	: 	103.16 	104.64 	104.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FR83	: 	: 	: 	: 	: 	: 	: 	: 	176.85 	181.73 	204.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,FX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	104.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,HR	: 	406.11 	439.13 	445.73 	438.88 	403.56 	443.79 	445.76 	480.95 	475.50 	489.64 	480.68 	507.88 	526.49 	529.37 	559.40 	554.34 	601.63 	669.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,HR03	: 	: 	: 	: 	: 	: 	460.71 	476.28 	501.02 	514.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,HR04	: 	: 	: 	: 	: 	: 	435.82 	432.04 	471.62 	458.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,HU	: 	115.13 	116.23 	116.50 	117.20 	117.59 	117.53 	118.45 	118.88 	119.69 	120.29 	121.14 	121.68 	124.08 	125.15 	131.39 	132.92 	137.45 	141.22 	145.37 	150.39 	154.74 	159.77 b	143.46 	149.74 	155.12 	162.48 	171.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,HU10	: 	: 	: 	: 	: 	: 	160.76 	162.32 	162.14 	138.85 	138.98 	137.50 	134.92 	134.25 	134.17 	143.37 	142.12 	143.31 	149.23 	153.07 	157.72 	168.48 	173.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,HU21	: 	: 	: 	: 	: 	: 	118.85 	119.88 	121.84 	132.64 	135.34 	137.98 	139.42 	143.17 	143.75 	153.54 	153.57 	162.11 	166.74 	171.16 	177.41 	180.69 	182.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,HU22	: 	: 	: 	: 	: 	: 	107.89 	107.45 	107.30 	131.01 	134.70 	133.13 	133.70 	138.14 	137.46 	143.56 	148.29 	150.33 	157.95 	158.30 	168.92 	174.10 	185.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,HU23	: 	: 	: 	: 	: 	: 	93.74 	95.21 	95.59 	99.57 	102.26 	101.66 	102.24 	107.50 	109.02 	113.14 	120.47 	129.27 	121.96 	125.47 	129.09 	133.10 	136.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,HU31	: 	: 	: 	: 	: 	: 	114.27 	115.15 	116.78 	117.92 	117.37 	120.44 	123.16 	126.19 	132.66 	138.00 	140.40 	146.10 	147.66 	153.24 	158.28 	157.87 	162.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,HU32	: 	: 	: 	: 	: 	: 	107.63 	109.23 	109.22 	110.32 	109.36 	111.52 	113.76 	115.17 	117.71 	123.66 	123.69 	130.59 	137.38 	144.75 	149.93 	150.20 	158.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,HU33	: 	: 	: 	: 	: 	: 	93.32 	93.85 	94.48 	99.34 	99.48 	101.14 	102.46 	106.06 	104.91 	107.92 	109.48 	112.33 	116.80 	119.64 	122.89 	125.60 	128.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,IE	157.24 	155.30 	153.86 	155.75 	156.43 	156.45 	156.18 	162.26 b	166.16 	161.66 	165.32 	174.81 b	157.71 b	195.27 	195.22 	199.35 	213.12 	211.06 	212.48 	223.09 	228.85 	236.67 	243.98 	244.42 	251.81 	259.08 	269.74 	278.54 	283.83 	296.54 	304.68 	313.89 	306.83 	373.01 	376.60 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,IE01	: 	: 	: 	: 	: 	: 	147.11 	148.66 b	153.84 	145.63 	150.01 	157.93 b	130.91 b	150.49 	142.49 	145.56 	165.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,IE02	: 	: 	: 	: 	: 	: 	158.54 	165.78 b	169.87 	167.84 	171.61 	179.66 b	166.37 b	214.50 	222.39 	229.29 	238.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,IS	: 	137.00 	133.89 	133.20 	130.37 	127.62 	127.41 	126.62 	129.35 	130.43 	129.52 	125.26 	124.90 	123.94 	122.47 b	142.09 	145.03 	145.53 	152.86 	160.63 	171.05 	170.12 	181.18 	191.64 	197.04 	193.88 	188.49 	196.62 	205.07 	231.84 	238.26 	244.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,IS00	: 	: 	: 	: 	: 	: 	127.43 	126.60 	129.35 	130.43 	129.52 	125.26 	124.90 	123.94 	122.47 b	142.09 	145.03 	145.53 	152.86 	160.63 	171.05 	170.12 	181.18 	191.64 	197.04 	193.88 	188.49 	196.62 	205.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,IT	227.87 p	226.60 e	232.04 	237.15 	240.51 	247.53 	248.49 	254.25 	257.40 	265.64 	269.04 	278.46 	293.74 	307.30 	310.07 	321.90 	341.34 	360.26 	370.76 	387.29 	424.84 	452.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITC1	: 	: 	: 	: 	: 	: 	131.19 	131.89 	137.87 	149.52 	156.65 	167.95 	200.05 	216.55 	229.06 	213.77 	251.30 	312.99 	332.12 b	355.59 	384.95 	455.33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITC2	: 	: 	: 	: 	: 	: 	906.48 	850.63 	806.40 	842.60 	862.09 	927.88 	973.02 	930.31 	995.20 	1554.94 	2805.07 	2783.05 	3681.05 b	15028.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITC3	: 	: 	: 	: 	: 	: 	198.78 	206.34 	199.97 	195.19 	209.85 	221.64 	383.83 	419.58 	472.77 	528.93 	530.91 	698.81 	721.41 b	945.31 	631.34 	772.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITC4	: 	: 	: 	: 	: 	: 	144.36 	145.29 	144.42 	143.49 	148.01 	147.32 	149.85 	153.46 	153.98 	157.80 	160.42 	166.00 	167.79 b	178.89 	182.06 	195.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITF1	: 	: 	: 	: 	: 	: 	518.55 	523.06 	521.57 	529.93 	524.25 	504.38 	497.13 	505.06 	488.82 	521.77 	700.16 	863.45 	838.53 b	2392.13 	5735.60 	3225.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITF2	: 	: 	: 	: 	: 	: 	1611.79 	1570.19 	1578.06 	1535.50 	1794.61 	3555.61 	5341.87 	5346.94 	5340.93 	5341.51 	4797.46 	3924.70 	3919.17 b	3239.97 	4457.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITF3	: 	: 	: 	: 	: 	: 	2006.23 	2299.39 	2268.95 	2240.52 	2367.88 	2546.68 	2729.27 	2634.71 	2864.59 	2937.88 	3957.59 	3657.17 	3185.09 b	5379.70 	3504.35 	5914.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITF4	: 	: 	: 	: 	: 	: 	470.68 	518.80 	563.32 	594.52 	682.82 	1051.08 	1018.43 	1423.93 	1567.82 	1508.78 	1481.02 	1520.85 	1711.58 b	1500.09 	1609.93 	1624.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITF5	: 	: 	: 	: 	: 	: 	1027.07 	1121.37 	1145.42 	1013.85 	1010.18 	1014.13 	1129.77 	1098.14 	1128.19 	1120.44 	1681.68 	2528.70 	1883.00 b	2477.78 	3116.71 	2957.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
