unit,facility,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
HAB_P,NRCBED,AT34	: 	: 	: 	: 	: 	: 	159.38 	163.09 	168.07 	164.13 b	181.78 	: 	189.41 	: 	193.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BE	77.65 e	77.57 e	77.07 	77.53 	78.04 	78.69 	80.09 	81.25 	82.59 b	81.03 	81.54 	81.88 	81.28 	81.41 	81.86 	82.28 	82.11 	81.82 	81.85 	82.06 	81.69 	82.95 	83.84 	86.77 	89.79 	90.51 	95.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BE10	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75.28 	73.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BE21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BE22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	129.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BE23	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BE24	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BE25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	78.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BE31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	87.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BE32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BE33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	72.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BE34	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	87.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BE35	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BG	: 	3587.18 	3648.41 	3370.94 	3250.32 	3250.26 	2998.33 b	2287.50 	2324.84 b	1650.68 	1616.44 	1618.29 	1647.73 	1749.78 	1762.93 	1739.76 	1768.00 	1776.03 	1829.49 	1863.33 	1696.85 	1728.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BG31	: 	: 	: 	: 	: 	: 	1918.75 	1739.77 	1768.26 	1126.23 	1143.03 	1112.30 	1156.86 	1220.85 	1342.07 	1322.40 	1357.20 	1378.59 	1390.05 	1413.31 	1144.31 	1175.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BG32	: 	: 	: 	: 	: 	: 	5128.06 	1954.53 	1949.33 	1339.10 	1250.43 	1258.54 	1350.38 	1468.53 	1532.89 	1547.17 	1481.49 	1495.19 	1509.02 	1528.85 	1329.78 	1369.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BG33	: 	: 	: 	: 	: 	: 	2631.13 	1817.27 	1716.33 	1135.76 	1141.00 	1218.99 	1225.50 	1299.84 	1124.37 	1139.97 	1156.54 	1195.04 	1275.67 	1283.73 	1249.44 	1253.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BG34	: 	: 	: 	: 	: 	: 	1705.24 	1816.96 	1973.77 	1546.84 	1457.62 	1475.24 	1494.08 	1512.48 	1436.83 	1344.77 	1353.97 	1349.84 	1358.69 	1414.89 	1338.26 	1355.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,BG41	: 	: 	: 	: 	: 	: 	3452.36 	2904.94 	3330.52 	2553.97 	2575.46 	2657.23 	2807.15 	3189.75 	3305.75 	3184.70 	3414.25 	3200.64 	3328.79 	3394.18 	3287.51 	3322.33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
