unit,wstatus,isco08,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,LIC,OC221,HU	163.16 p	166.45 	167.93 	172.90 	176.03 	175.86 	181.15 	186.65 	191.17 	199.95 	202.39 	206.33 	209.85 	212.57 b	215.72 b	315.43 	332.06 b	273.96 	281.01 	288.31 b	297.51 b	: 	251.30 	255.93 	260.88 	266.12 	276.03 	282.45 	282.66 	281.65 	291.48 	305.97 	319.79 	328.32 	335.45 	341.25 	345.89 	: 	: 	: 	: 	388.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	453.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,IE	192.88 	200.99 	209.45 	208.84 	211.47 	218.12 	229.58 	244.63 	254.62 	253.18 	243.69 	242.29 	249.84 	253.26 	260.91 	275.75 	283.55 b	365.34 	389.15 	416.34 	421.80 	450.96 	443.36 	458.24 	470.99 	477.24 	477.17 	503.63 	495.88 	501.47 b	589.53 	644.77 	672.61 	630.58 	643.65 	623.18 	615.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,IS	: 	: 	129.37 	130.83 	132.95 	134.88 b	134.15 	136.58 	138.72 	141.85 	144.94 	148.20 	152.39 	157.84 	161.35 	163.94 	166.99 	170.60 	174.10 	179.37 	182.32 	184.40 	188.05 	: 	: 	: 	193.12 	197.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,IT	: 	140.68 	145.92 	149.37 	152.75 	154.71 	156.45 	157.95 	156.88 	156.65 	156.29 	159.58 	160.84 	161.05 	160.47 	163.87 	165.18 	165.13 	168.22 	171.32 	174.28 	177.54 b	167.76 	169.47 	171.29 	173.75 	175.26 	177.91 	181.38 	199.21 	205.05 	212.87 	222.04 	230.30 	240.39 	251.57 	262.97 	: 	: 	: 	: 	381.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	923.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,LI	287.17 	268.28 	267.80 	283.30 	273.11 	301.73 	295.23 	305.31 	303.14 	308.04 	318.53 	333.53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,LT	202.66 	202.25 	200.90 	188.83 	194.02 	200.30 	203.57 	205.33 	202.04 	211.11 	222.64 b	: 	: 	: 	: 	223.92 	235.01 	242.92 	250.02 	255.69 	258.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,LU	: 	: 	: 	: 	238.82 	244.53 	229.03 b	246.92 	257.76 	261.94 	248.49 	235.90 	244.73 	256.51 	268.90 	304.93 	311.35 	357.61 	376.67 	387.98 	395.63 	402.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,LV	: 	207.47 	212.69 	219.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,ME	: 	: 	: 	327.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,MT	: 	186.65 	192.46 	194.55 	195.08 	201.04 	209.04 	228.35 	237.31 	247.80 	257.75 b	258.74 	267.67 b	297.95 d	299.72 bd	259.15 	287.02 	289.93 	317.85 	304.12 	321.89 	380.94 	388.35 	391.55 	413.83 	: 	: 	: 	408.03 	420.13 	415.82 	446.46 	506.82 	496.18 	492.12 	: 	: 	721.82 	: 	789.10 	850.62 	: 	: 	: 	: 	: 	796.39 	: 	: 	: 	906.59 	867.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
