name,lat,lon
Amiens,49.892,2.299,
Chaulnes,49.8156,2.8042,
Lens,50.4322,2.8333,
Saint-Venant,50.6222,2.5444,
Capinghem,50.6444,2.9619,
Bouvignies,50.4358,3.245,
Bucquoy,50.14,2.7086,
Hermies,50.1119,3.0378,
Soissons,49.3817,3.3236,
Saint-Erme-Outre-et-Ramecourt,49.515,3.8394,
Montescourt-Lizerolles,49.7386,3.2575,
Chierry,49.0389,3.4294,
Levignen,49.1969,2.9144,
Laon,49.5639,3.6244,
Vervins,49.835,3.9092,
Rozoy-sur-Serre,49.7089,4.1283,
Abbeville,50.1058,1.8358,
Rang-du-Fliers,50.4175,1.6397,
Oisemont,49.9553,1.7664,
Marconne,50.3719,2.0511,
Bernaville,50.1314,2.1636,
Pendé,50.1597,1.5839,
Denain,50.3286,3.395,
Marly,50.3489,3.5442,
Avesnelles,50.1175,3.9431,
Saint-Souplet,50.0556,3.5317,
Ferrière-la-Petite,50.24,4.0222,
Longuenesse,50.7356,2.2372,
Brouckerque,50.9539,2.2919,
Baincthun,50.71,1.6803,
Killem,50.9581,2.5622,
Guemps,50.915,1.9958,
Clermont,49.3789,2.4125,
Allonne,49.4039,2.1119,
Marseille-en-Beauvaisis,49.5756,1.9556,
Ravenel,49.5156,2.5011,
Thiverny,49.2478,2.4322,
Coudun,49.4614,2.8144,
Jouy-sous-Thelle,49.3172,1.97,
