name,lat,lon
Troyes,48.2997,4.0792
Vitry-le-François,48.7247,4.5844
Charleville-Mézières,49.7719,4.7161
Vandœuvre-lès-Nancy,48.6567,6.1683
Jarny,49.1589,5.8772
Thaon-les-Vosges,48.2506,6.42
Épernay,49.0403,3.96
Chaumont,48.1117,5.1389
Langres,47.8625,5.3331
Saint-Louis,47.59,7.57
Sarreguemines,49.11,7.07
Saverne,48.7414,7.3619
Limoges,45.8353,1.2625
Guéret,46.1706,1.8683
Brive-la-Gaillarde,45.1583,1.5321
Ussel,45.5481,2.3092
Coulounieix,45.1864,0.6914
Talence,44.8,-0.584
Marmande,44.5,0.1653
Lanton,44.7039,-1.0353
Châtellerault,46.8178,0.5461
Parthenay,46.6486,-0.2469
Mont-de-Marsan,43.89,-0.5
Orthez,43.4881,-0.7708
Saint-Vincent-de-Tyrosse,43.6611,-1.3042
Saintes,45.7464,-0.6333
Saint-Yrieix-sur-Charente,45.6753,0.1275
Lagord,46.1894,-1.1542
Montluçon,46.3408,2.6033
Riom,45.8936,3.1125
Yzeure,46.5658,3.3544
Thonon-les-Bains,46.3627,6.475
Bellegarde-sur-Valserine,46.1075,5.8258
Chamonix-Mont-Blanc,45.9222,6.8689
Romans-sur-Isère,45.0464,5.0517
Eybens,45.1486,5.7503
Privas,44.735,4.5992
Vienne,45.5242,4.8781
Monistrol-sur-Loire,45.2925,4.1722
Dardilly,45.8056,4.7531
Aurillac,44.9261,2.4406
Nevers,46.9933,3.1572
Avallon,47.49,3.9083
Sens,48.1975,3.2877
Dole,47.0931,5.4906
Vesoul,47.6222,6.1553
Saint-Rémy,47.137347,4.783643
Louhans,46.6264,5.2247
Lanester,47.7647,-3.3422
Saint-Avé,47.6867,-2.7344
Ergué-Gabéric,47.9961,-4.0225
Fougères,48.3525,-1.1986
Saint-Grégoire,48.1511,-1.6861
Lannion,48.7325,-3.4553
Landivisiau,48.5092,-4.0683
Trégueux,48.4906,-2.7381
Joué-lés-Tours,47.3514,0.6625
Dreux,48.7372,1.3664
Vierzon,47.2225,2.0694
Saint-Doulchard,47.0997,2.3728
Déols,46.83,1.7058
Saint-Jean-de-Braye,47.9128,1.9719
Châteauneuf-sur-Loire,47.8653,2.2222
Ajaccio,41.9267,8.7369
Porto-Vecchio,41.5908,9.2797
Corte,42.3056,9.1506
Melun,48.5406,2.66
Garches,48.8456,2.1869
La Queue-en-Brie,48.7894,2.5767
Narbonne,43.1836,3.0042
Cabestany,42.6806,2.9428
Tarbes,43.23,0.07
Muret,43.4611,1.3267
Foix,42.9653,1.6069
Rodez,44.3506,2.575
Figeac,44.6086,2.0317
Millau,44.0986,3.0783
Mende,44.5183,3.5006
Auch,43.6465,0.5855
Pibrac,43.6169,1.2847
Castelnau-le-Lez,43.6369,3.9019
Marguerittes,43.86,4.4439
Hérouville-Saint-Clair,49.2044,-0.3253
Coutances,49.0453,-1.4453
Falaise,48.8972,-0.1975
Le Petit-Quevilly,49.4311,1.0539
Neuville-lès-Dieppe,49.9267,1.1014
L’Aigle,48.765,0.6275
Amiens,49.892,2.299
Abbeville,50.1058,1.8358
Clermont,49.3789,2.4125
Lens,50.4322,2.8333
Marly,50.3489,3.5442
Longuenesse,50.7356,2.2372
Soissons,49.3817,3.3236
Laon,49.5639,3.6244
Le Mans,48.0077,0.1984
Évron,48.1556,-0.4025
Cholet,47.06,-0.8783
Les Ponts-de-Cé,47.4244,-0.5253
Chantonnay,46.6869,-1.0506
Saint-Herblain,47.2122,-1.6497
Montoir-de-Bretagne,47.3283,-2.1492
Sucé-sur-Erdre,47.3333,-1.5333
Grasse,43.6667,6.9167
Le Luc,43.3947,6.3128
Martigues,43.4053,5.0475
Apt,43.8761,5.3964
Gap,44.5594,6.0786
Digne-les-Bains,44.0925,6.2356
