Optimization settings:

----------------------------------------
Objective Function: 	  32869146015.24
Primary   Care Cost:	   8051104598.00
Secondary Care Cost:	  14852888278.06
Tertiary  Care Cost:	   8669774318.50
Add Infrastruc Cost:	   1163284027.80
Populat ExtLog Cost:	    132094792.88
HC Cost per capita (now):	     5639.36
HC Cost per capita (fut):	     5870.73
----------------------------------------

----------------------------------------
State population:	5598821
Max municipa pop:	703540
Min municipa pop:	113
----------------------------------------
Care Level		Pop. Min	Dur. Max(h).
----------------------------------------
Care Level [1]	0      		0.51
Care Level [2]	2336   		2.79
Care Level [3]	5606   		1.50
----------------------------------------


Demand met by level: (Estate has 309 municipalities).
----------------------------------------------------------------
Care Level [1]: 309 mun > 284 mun (100.00% coverage)
Care Level [2]: 284 mun > 170 mun
Care Level [3]: 170 mun >  84 mun
----------------------------------------------------------------

Municipalities requiring additional infrastructure:
----------------------------------------------------------------
LEVEL	CODE  	DESCRIPTION              :	COST($)
    1	638	Porvoo                   :	7482920.60
    1	444	Lohja                    :	6282765.80
    1	106	Hyvinkää               :	6817414.20
    1	543	Nurmijärvi              :	6764208.20
    1	186	Järvenpää             :	7244212.60
    1	257	Kirkkonummi              :	6190590.00
    1	858	Tuusula                  :	5731005.20
    1	245	Kerava                   :	5789531.80
    1	980	Ylöjärvi               :	4950027.40
    1	202	Kaarina                  :	5560602.20
    1	927	Vihti                    :	4250152.80
    1	710	Raasepori                :	3746996.60
    1	678	Raahe                    :	3234205.80
    1	680	Raisio                   :	3567534.20
    1	98	Hollola                  :	3154828.20
    1	418	Lempäälä              :	3669776.00
    1	301	Kurikka                  :	2617591.40
    1	182	Jämsä                  :	2467032.80
    1	915	Varkaus                  :	2582791.80
    1	505	Mäntsälä              :	3038062.60
    1	992	Äänekoski              :	2399015.40
    1	75	Hamina                   :	2591995.00
    1	111	Heinola                  :	2397433.60
    1	598	Jakobstad                :	3530146.20
    1	753	Sipoo                    :	3631381.40
    1	499	Korsholm                 :	2791589.40
    1	423	Lieto                    :	3088824.00
    1	529	Naantali                 :	2896132.00
    1	604	Pirkkala                 :	3061214.40
    1	410	Laukaa                   :	2658430.60
    1	20	Akaa                     :	2203878.80
    1	233	Kauhava                  :	1940005.80
    1	305	Kuusamo                  :	2038796.40
    1	445	Pargas                   :	2076903.40
    1	276	Kontiolahti              :	2129534.20
    1	408	Lapua                    :	1916422.60
    1	232	Kauhajoki                :	1666929.60
    1	886	Ulvila                   :	1661033.80
    1	208	Kalajoki                 :	1703167.20
    1	145	Ilmajoki                 :	1793617.40
    1	426	Liperi                   :	1626953.20
    1	50	Eura                     :	1488761.40
    1	10	Alavus                   :	1452380.00
    1	422	Lieksa                   :	1303978.40
    1	214	Kankaanpää             :	1636875.40
    1	535	Nivala                   :	1352439.00
    1	260	Kitee                    :	1212377.80
    1	108	Hämeenkyrö             :	1402769.00
    1	577	Paimio                   :	1913978.00
    1	765	Sotkamo                  :	1408952.40
    1	102	Huittinen                :	1300527.20
    1	402	Lapinlahti               :	1206194.40
    1	139	Ii                       :	1356034.00
    1	420	Leppävirta              :	1213672.00
    1	425	Liminka                  :	1518959.40
    1	729	Saarijärvi              :	1162479.20
    1	500	Muurame                  :	1573459.60
    1	481	Masku                    :	1351288.60
    1	562	Orivesi                  :	1194259.00
    1	545	Närpes                  :	1386951.00
    1	761	Somero                   :	1135732.40
    1	494	Muhos                    :	1237399.00
    1	224	Karkkila                 :	1187788.00
    1	78	Hanko                    :	982010.20
    1	290	Kuhmo                    :	968924.40
    1	758	Sodankylä               :	1065414.20
    1	263	Kiuruvesi                :	962741.00
    1	400	Laitila                  :	1178872.40
    1	241	Keminmaa                 :	1048877.20
    1	777	Suomussalmi              :	915287.00
    1	615	Pudasjärvi              :	995096.00
    1	433	Loppi                    :	1063113.40
    1	399	Laihia                   :	1096762.60
    1	541	Nurmes                   :	1171826.20
    1	503	Mynämäki               :	1043269.00
    1	320	Kemijärvi               :	897743.40
    1	271	Kokemäki                :	893285.60
    1	893	Nykarleby                :	1046864.00
    1	69	Haapajärvi              :	852158.80
    1	778	Suonenjoki               :	885520.40
    1	143	Ikaalinen                :	915143.20
    1	71	Haapavesi                :	841373.80
    1	309	Outokumpu                :	806142.80
    1	508	Mänttä-Vilppula        :	1179447.60
    1	783	Säkylä                 :	852302.60
    1	936	Virrat                   :	817503.00
    1	148	Inari                    :	996246.40
    1	859	Tyrnävä                :	891847.60
    1	581	Parkano                  :	817215.40
    1	946	Vöyri                   :	838497.80
    1	288	Kronoby                  :	854603.40
    1	635	Pälkäne                :	857048.00
    1	931	Viitasaari               :	749485.60
    1	178	Juva                     :	725902.40
    1	261	Kittilä                 :	909678.80
    1	834	Tammela                  :	794351.20
    1	755	Siuntio                  :	895586.40
    1	507	Mäntyharju              :	723889.20
    1	704	Rusko                    :	990063.00
    1	51	Eurajoki                 :	1367969.40
    1	531	Nakkila                  :	660185.80
    1	213	Kangasniemi              :	683912.80
    1	475	Malax                    :	762571.40
    1	149	Ingå                    :	727484.20
    1	217	Kannus                   :	731510.60
    1	846	Teuva                    :	603960.00
    1	169	Jokioinen                :	650838.80
    1	146	Ilomantsi                :	561970.40
    1	700	Ruokolahti               :	615032.60
    1	77	Hankasalmi               :	589580.00
    1	611	Pornainen                :	737118.80
    1	746	Sievi                    :	600796.40
    1	171	Joroinen                 :	575056.20
    1	18	Askola                   :	661192.40
    1	176	Juuka                    :	538243.40
    1	538	Nousiainen               :	650982.60
    1	887	Urjala                   :	603241.00
    1	831	Taipalsaari              :	620640.80
    1	152	Isokyrö                 :	576206.60
    1	595	Pielavesi                :	522425.40
    1	848	Tohmajärvi              :	528608.80
    1	748	Siikajoki                :	607267.40
    1	172	Joutsa                   :	534936.00
    1	170	Jomala                   :	937719.80
    1	702	Ruovesi                  :	518542.80
    1	607	Polvijärvi              :	521706.40
    1	922	Vesilahti                :	612875.60
