NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,2967879,"Vitré",5,"Beds",23968,0
1,2967879,"Vitré",6,"CTScanner",23968,0
1,2967879,"Vitré",7,"MRIUnit",23968,0
1,2967879,"Vitré",8,"Mammography",23968,0
1,2967879,"Vitré",9,"Radiotherapy",23968,0
1,2986732,"Ploemeur",1,"Physicians",17790,7.2939
1,2986732,"Ploemeur",2,"Nurses",17790,45.0087
1,2986732,"Ploemeur",3,"OtherCadres",17790,22.2375
1,2986732,"Ploemeur",4,"CommunityBased",17790,86.8152
1,2986732,"Ploemeur",5,"Beds",17790,0
1,2986732,"Ploemeur",6,"CTScanner",17790,0
1,2986732,"Ploemeur",7,"MRIUnit",17790,0
1,2986732,"Ploemeur",8,"Mammography",17790,0
1,2986732,"Ploemeur",9,"Radiotherapy",17790,0
1,3027767,"Cesson-Sévigné",1,"Physicians",17312,7.0979
1,3027767,"Cesson-Sévigné",2,"Nurses",17312,43.7994
1,3027767,"Cesson-Sévigné",3,"OtherCadres",17312,21.64
1,3027767,"Cesson-Sévigné",4,"CommunityBased",17312,84.4826
1,3027767,"Cesson-Sévigné",5,"Beds",17312,0
1,3027767,"Cesson-Sévigné",6,"CTScanner",17312,0
1,3027767,"Cesson-Sévigné",7,"MRIUnit",17312,0
1,3027767,"Cesson-Sévigné",8,"Mammography",17312,0
1,3027767,"Cesson-Sévigné",9,"Radiotherapy",17312,0
1,3007874,"Landerneau",1,"Physicians",15914,6.5247
1,3007874,"Landerneau",2,"Nurses",15914,40.2624
1,3007874,"Landerneau",3,"OtherCadres",15914,19.8925
1,3007874,"Landerneau",4,"CommunityBased",15914,77.6603
1,3007874,"Landerneau",5,"Beds",15914,0
1,3007874,"Landerneau",6,"CTScanner",15914,0
1,3007874,"Landerneau",7,"MRIUnit",15914,0
1,3007874,"Landerneau",8,"Mammography",15914,0
1,3007874,"Landerneau",9,"Radiotherapy",15914,0
1,6449866,"Hennebont",1,"Physicians",15858,6.5018
1,6449866,"Hennebont",2,"Nurses",15858,40.1207
1,6449866,"Hennebont",3,"OtherCadres",15858,19.8225
1,6449866,"Hennebont",4,"CommunityBased",15858,77.387
1,6449866,"Hennebont",5,"Beds",15858,0
1,6449866,"Hennebont",6,"CTScanner",15858,0
1,6449866,"Hennebont",7,"MRIUnit",15858,0
1,6449866,"Hennebont",8,"Mammography",15858,0
1,6449866,"Hennebont",9,"Radiotherapy",15858,0
1,6454341,"Pontivy",1,"Physicians",14889,6.1045
1,6454341,"Pontivy",2,"Nurses",14889,37.6692
1,6454341,"Pontivy",3,"OtherCadres",14889,18.6112
1,6454341,"Pontivy",4,"CommunityBased",14889,72.6583
1,6454341,"Pontivy",5,"Beds",14889,0
