NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
3	6431048	Saint-Martin-des-Champs	69750.00	138.80	626.36	175.07	0.00	126.94	1.39	1.17	1.09	0.71
3	2978067	Saint-Méen-le-Grand	33945.00	67.55	304.83	85.20	0.00	61.78	0.68	0.57	0.53	0.35
3	6616618	Pont-Péan	4437.00	8.83	39.84	11.14	0.00	8.08	0.09	0.07	0.07	0.05
3	3008857	La Guerche-de-Bretagne	9378.00	18.66	84.21	23.54	0.00	17.07	0.19	0.16	0.15	0.10
3	2986803	Plémet	4959.00	9.87	44.53	12.45	0.00	9.03	0.10	0.08	0.08	0.05
3	2989918	Noyal-Pontivy	3619.00	7.20	32.50	9.08	0.00	6.59	0.07	0.06	0.06	0.04
3	3033470	Bénodet	10623.00	21.14	95.39	26.66	0.00	19.33	0.21	0.18	0.17	0.11
3	3032125	Bohars	15489.00	30.82	139.09	38.88	0.00	28.19	0.31	0.26	0.24	0.16
3	2986672	Plougonven	3477.00	6.92	31.22	8.73	0.00	6.33	0.07	0.06	0.05	0.04
3	6431037	Roscoff	10649.00	21.19	95.63	26.73	0.00	19.38	0.21	0.18	0.17	0.11
3	2992537	Montgermont	52836.00	105.14	474.47	132.62	0.00	96.16	1.05	0.89	0.82	0.54
3	2976537	Saint-Yvi	5095.00	10.14	45.75	12.79	0.00	9.27	0.10	0.09	0.08	0.05
3	2994676	Mellac	96997.00	193.02	871.03	243.46	0.00	176.53	1.93	1.63	1.51	0.99
3	2982711	Rostrenen	4798.00	9.55	43.09	12.04	0.00	8.73	0.10	0.08	0.07	0.05
3	2986894	Plancoët	29517.00	58.74	265.06	74.09	0.00	53.72	0.59	0.50	0.46	0.30
3	2984649	Quintin	2851.00	5.67	25.60	7.16	0.00	5.19	0.06	0.05	0.04	0.03
3	2988856	Pabu	63032.00	125.43	566.03	158.21	0.00	114.72	1.25	1.06	0.98	0.64
3	2985963	Port-Louis	50888.00	101.27	456.97	127.73	0.00	92.62	1.01	0.85	0.79	0.52
3	2982795	Le Palais	8196.00	16.31	73.60	20.57	0.00	14.92	0.16	0.14	0.13	0.08
3	3012248	Josselin	2498.00	4.97	22.43	6.27	0.00	4.55	0.05	0.04	0.04	0.03
3	2996440	Malestroit	34528.00	68.71	310.06	86.67	0.00	62.84	0.69	0.58	0.54	0.35
3	3015125	Grand-Fougeray	2436.00	4.85	21.88	6.11	0.00	4.43	0.05	0.04	0.04	0.02
3	2971929	Tréguier	26641.00	53.02	239.24	66.87	0.00	48.49	0.53	0.45	0.42	0.27
3	3007636	Lanmeur	17341.00	34.51	155.72	43.53	0.00	31.56	0.35	0.29	0.27	0.18
3	3030402	Bréhan	9175.00	18.26	82.39	23.03	0.00	16.70	0.18	0.15	0.14	0.09
