lon,lat
7.2663,43.7034,
5.37,43.2964,
5.9306,43.1258,
5.4454,43.5263,
4.8075,43.95,
7.0128,43.5513,
7.1239,43.5808,
5.883,43.1,
6.1316,43.1199,
6.737,43.433,
4.6278,43.6767,
4.6278,43.6767,
7.1489,43.6644,
6.9167,43.6667,
5.0475,43.4053,
5.5708,43.2908,
5.0972,43.6406,
4.9895,43.5151,
7.0194,43.5769,
6.0786,44.5594,
6.0786,44.5594,
6.4667,43.5403,
5.6086,43.1769,
5.6086,43.1769,
6.7684,43.4252,
6.7684,43.4252,
5.2486,43.46,
5.2145,43.416,
4.8097,44.1383,
7.188,43.668,
5.0489,44.0558,
7.0538,43.5805,
5.0381,43.8375,
6.0108,43.1256,
6.9381,43.5464,
5.7839,43.8342,
5.4828,43.3369,
5.476,43.4553,
5.5036,43.695,
6.9947,43.6,
4.8725,44.0083,
7.1119,43.7225,
6.0742,43.1497,
6.0617,43.4058,
5.8022,43.1192,
6.2356,44.0925,
4.6594,43.805,
5.4144,43.4544,
6.6378,43.4433,
5.8469,43.1394,
6.53,43.2525,
6.53,43.2525,
6.635,44.8958,
5.3964,43.8761,
6.3128,43.3947,
4.8317,43.7894,
6.0736,43.095,
4.9903,44.3842,
5.6047,43.3494,
6.9333,43.5967,
5.3542,43.5686,
5.9464,44.19,
7.3139,43.8119,
7.3139,43.8119,
5.0311,43.6953,
5.2333,43.4208,
5.5158,43.2806,
5.5953,43.3953,
6.4953,44.565,
6.4953,44.565,
5.1281,44.0567,
4.9711,44.0833,
6.1453,43.2244,
5.075,44.2408,
5.4372,43.6633,
5.4372,43.6633,
6.025,43.2056,
7.2878,43.74,
5.5783,43.3858,
5.7797,43.9592,
5.7822,43.3706,
7.2244,43.8608,
7.2244,43.8608,
5.6297,43.2136,
5.5056,43.4136,
5.9264,43.1764,
