data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
   905	   905	0		0
   905	   598	83		7467
   905	   499	3		304
   905	   545	71		6398
   905	   399	24		2175
   905	   893	65		5862
   905	   287	93		8343
   905	   946	32		2885
   905	   288	99		8909
   905	   475	18		1613
   905	   440	93		8389
   905	   152	37		3329
   905	   280	41		3733
   905	   231	82		7383
   905	   599	81		7270
   598	   905	83		7467
   598	   598	0		0
   598	   499	80		7194
   598	   399	84		7570
   598	   893	19		1674
   598	   946	63		5706
   598	   288	18		1589
   598	   475	99		8909
   598	   440	10		944
   598	   152	77		6891
   598	   599	9		782
   499	   905	3		304
   499	   598	80		7194
   499	   499	0		0
   499	   545	73		6581
   499	   399	23		2035
   499	   893	62		5581
   499	   287	95		8508
   499	   946	29		2597
   499	   288	96		8626
   499	   475	20		1805
   499	   440	90		8120
   499	   152	35		3108
   499	   280	44		3990
   499	   231	84		7577
   499	   599	78		6985
   545	   905	71		6398
   545	   499	73		6581
   545	   545	0		0
   545	   399	66		5904
   545	   287	22		2010
   545	   946	87		7810
   545	   475	53		4785
   545	   152	77		6921
   545	   280	35		3180
   545	   231	12		1038
   399	   905	24		2175
   399	   598	84		7570
   399	   499	23		2035
   399	   545	66		5904
   399	   399	0		0
   399	   893	66		5897
   399	   287	85		7613
   399	   946	21		1908
   399	   288	98		8785
   399	   475	24		2126
   399	   440	95		8512
   399	   152	16		1409
   399	   280	47		4242
   399	   231	77		6942
   399	   599	80		7161
   893	   905	65		5862
   893	   598	19		1674
   893	   499	62		5581
   893	   399	66		5897
   893	   893	0		0
   893	   946	45		4042
   893	   288	34		3048
   893	   475	81		7263
   893	   440	29		2618
   893	   152	58		5262
   893	   280	106		9544
   893	   599	16		1422
   287	   905	93		8343
   287	   499	95		8508
   287	   545	22		2010
   287	   399	85		7613
   287	   287	0		0
   287	   946	105		9489
   287	   475	75		6733
   287	   152	94		8455
   287	   280	58		5179
   287	   231	15		1326
   946	   905	32		2885
   946	   598	63		5706
   946	   499	29		2597
   946	   545	87		7810
   946	   399	21		1908
   946	   893	45		4042
   946	   287	105		9489
   946	   946	0		0
   946	   288	76		6882
   946	   475	41		3710
   946	   440	74		6644
   946	   152	15		1368
   946	   280	67		5985
   946	   231	98		8848
   946	   599	58		5265
   288	   905	99		8909
   288	   598	18		1589
   288	   499	96		8626
   288	   399	98		8785
   288	   893	34		3048
   288	   946	76		6882
   288	   288	0		0
   288	   475	114		10287
   288	   440	12		1063
   288	   152	88		7936
   288	   599	18		1648
   475	   905	18		1613
   475	   598	99		8909
   475	   499	20		1805
   475	   545	53		4785
   475	   399	24		2126
   475	   893	81		7263
   475	   287	75		6733
   475	   946	41		3710
   475	   288	114		10287
   475	   475	0		0
   475	   440	109		9845
   475	   152	39		3535
   475	   280	26		2305
   475	   231	64		5774
   475	   599	96		8639
   440	   905	93		8389
   440	   598	10		944
   440	   499	90		8120
   440	   399	95		8512
   440	   893	29		2618
   440	   946	74		6644
   440	   288	12		1063
   440	   475	109		9845
   440	   440	0		0
   440	   152	87		7812
   440	   599	17		1502
   152	   905	37		3329
   152	   598	77		6891
   152	   499	35		3108
   152	   545	77		6921
   152	   399	16		1409
   152	   893	58		5262
   152	   287	94		8455
   152	   946	15		1368
   152	   288	88		7936
   152	   475	39		3535
   152	   440	87		7812
   152	   152	0		0
   152	   280	62		5605
   152	   231	88		7948
   152	   599	71		6373
   280	   905	41		3733
   280	   499	44		3990
   280	   545	35		3180
   280	   399	47		4242
   280	   893	106		9544
   280	   287	58		5179
   280	   946	67		5985
   280	   475	26		2305
   280	   152	62		5605
   280	   280	0		0
   280	   231	44		3993
   231	   905	82		7383
   231	   499	84		7577
   231	   545	12		1038
   231	   399	77		6942
   231	   287	15		1326
   231	   946	98		8848
   231	   475	64		5774
   231	   152	88		7948
   231	   280	44		3993
   231	   231	0		0
   599	   905	81		7270
   599	   598	9		782
   599	   499	78		6985
   599	   399	80		7161
   599	   893	16		1422
   599	   946	58		5265
   599	   288	18		1648
   599	   475	96		8639
   599	   440	17		1502
   599	   152	71		6373
   599	   599	0		0
;

end;

