data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 18000 h
param:	K:	dist	dur:= 
   405	   405	0		0
   405	   153	35		3156
   405	   700	43		3836
   405	   580	89		8004
   405	   831	13		1185
   405	   739	31		2813
   405	   416	21		1850
   405	   689	76		6812
   405	   441	37		3324
   153	   405	35		3156
   153	   153	0		0
   153	   700	11		1006
   153	   580	55		4979
   153	   831	39		3474
   153	   739	59		5271
   153	   416	54		4880
   153	   689	41		3719
   153	   441	72		6479
   700	   405	43		3836
   700	   153	11		1006
   700	   700	0		0
   700	   580	46		4169
   700	   831	43		3879
   700	   739	61		5533
   700	   416	60		5403
   700	   689	33		2996
   700	   441	79		7115
   580	   405	89		8004
   580	   153	55		4979
   580	   700	46		4169
   580	   580	0		0
   580	   831	88		7937
   580	   739	104		9387
   580	   416	106		9504
   580	   689	15		1329
   580	   441	125		11263
   831	   405	13		1185
   831	   153	39		3474
   831	   700	43		3879
   831	   580	88		7937
   831	   831	0		0
   831	   739	21		1860
   831	   416	18		1581
   831	   689	76		6854
   831	   441	38		3409
   739	   405	31		2813
   739	   153	59		5271
   739	   700	61		5533
   739	   580	104		9387
   739	   831	21		1860
   739	   739	0		0
   739	   416	17		1508
   739	   689	94		8417
   739	   441	32		2891
   416	   405	21		1850
   416	   153	54		4880
   416	   700	60		5403
   416	   580	106		9504
   416	   831	18		1581
   416	   739	17		1508
   416	   416	0		0
   416	   689	93		8395
   416	   441	21		1849
   689	   405	76		6812
   689	   153	41		3719
   689	   700	33		2996
   689	   580	15		1329
   689	   831	76		6854
   689	   739	94		8417
   689	   416	93		8395
   689	   689	0		0
   689	   441	112		10108
   441	   405	37		3324
   441	   153	72		6479
   441	   700	79		7115
   441	   580	125		11263
   441	   831	38		3409
   441	   739	32		2891
   441	   416	21		1849
   441	   689	112		10108
   441	   441	0		0
;

end;

