data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 21600 h
param:	K:	dist	dur:= 
   698	   698	0		0
   698	   851	102		9150
   698	   240	100		9030
   698	   758	108		9732
   698	   241	95		8522
   698	   320	79		7088
   698	   261	133		11944
   698	   976	94		8464
   698	   683	73		6581
   698	   732	135		12105
   698	   854	84		7517
   698	   614	118		10591
   698	   751	98		8844
   698	   845	62		5607
   698	   498	184		16599
   698	    47	227		20468
   698	   742	138		12408
   698	   583	103		9294
   698	   273	125		11250
   851	   698	102		9150
   851	   851	0		0
   851	   240	23		2076
   851	   758	205		18427
   851	   241	19		1710
   851	   320	176		15808
   851	   261	203		18300
   851	   976	56		5059
   851	   683	108		9737
   851	   732	229		20651
   851	   854	103		9294
   851	   614	185		16618
   851	   751	47		4218
   851	   845	40		3568
   851	   498	235		21191
   851	   742	239		21544
   851	   583	205		18437
   851	   273	166		14897
   240	   698	100		9030
   240	   851	23		2076
   240	   240	0		0
   240	   758	207		18657
   240	   241	7		660
   240	   320	169		15172
   240	   261	214		19259
   240	   976	76		6881
   240	   683	92		8242
   240	   732	220		19841
   240	   854	119		10704
   240	   614	169		15212
   240	   751	24		2178
   240	   845	40		3628
   240	   742	236		21199
   240	   583	202		18136
   240	   273	181		16286
   758	   698	108		9732
   758	   851	205		18427
   758	   240	207		18657
   758	   758	0		0
   758	   241	201		18101
   758	   320	86		7732
   758	   148	167		15002
   758	   261	76		6850
   758	   976	177		15902
   758	   683	165		14888
   758	   732	111		9954
   758	   854	134		12067
   758	   614	161		14480
   758	   751	206		18574
   758	   845	168		15082
   758	   498	137		12336
   758	    47	164		14752
   758	   742	69		6197
   758	   583	52		4716
   758	   273	120		10809
   241	   698	95		8522
   241	   851	19		1710
   241	   240	7		660
   241	   758	201		18101
   241	   241	0		0
   241	   320	165		14811
   241	   261	207		18612
   241	   976	70		6284
   241	   683	91		8187
   241	   732	217		19539
   241	   854	112		10047
   241	   614	168		15128
   241	   751	28		2543
   241	   845	34		3033
   241	   742	231		20767
   241	   583	197		17690
   241	   273	174		15627
   320	   698	79		7088
   320	   851	176		15808
   320	   240	169		15172
   320	   758	86		7732
   320	   241	165		14811
   320	   320	0		0
   320	   261	151		13552
   320	   976	173		15528
   320	   683	97		8692
   320	   732	56		5020
   320	   854	152		13711
   320	   614	75		6749
   320	   751	158		14237
   320	   845	136		12268
   320	   498	212		19087
   320	   742	72		6449
   320	   583	44		3950
   320	   273	172		15496
   148	   758	167		15002
   148	   148	0		0
   148	   261	164		14761
   148	   498	172		15510
   148	    47	149		13368
   148	   890	111		10031
   148	   742	186		16709
   148	   583	201		18082
   148	   273	220		19815
   261	   698	133		11944
   261	   851	203		18300
   261	   240	214		19259
   261	   758	76		6850
   261	   241	207		18612
   261	   320	151		13552
   261	   148	164		14761
   261	   261	0		0
   261	   976	158		14233
   261	   683	204		18394
   261	   732	185		16689
   261	   854	106		9519
   261	   614	223		20067
   261	   751	222		19942
   261	   845	175		15727
   261	   498	62		5582
   261	    47	97		8736
   261	   742	144		12993
   261	   583	127		11413
   261	   273	60		5363
