data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
   609	   609	0		0
   609	   684	44		3950
   609	   886	7		668
   609	    50	42		3776
   609	   214	48		4276
   609	   102	59		5315
   609	   271	39		3500
   609	    79	26		2376
   609	   783	57		5099
   609	    51	32		2866
   609	   531	17		1552
   609	   484	44		3996
   609	   230	82		7421
   609	   608	26		2303
   609	   181	60		5395
   609	   747	44		3990
   684	   609	44		3950
   684	   684	0		0
   684	   886	40		3610
   684	    50	31		2824
   684	   214	90		8101
   684	   102	65		5819
   684	   271	48		4323
   684	    79	41		3668
   684	   783	46		4167
   684	    51	16		1401
   684	   531	39		3476
   684	   484	82		7422
   684	   608	69		6248
   684	   181	100		9029
   684	   747	87		7819
   886	   609	7		668
   886	   684	40		3610
   886	   886	0		0
   886	    50	35		3126
   886	   214	50		4493
   886	   102	52		4697
   886	   271	32		2861
   886	    79	19		1722
   886	   783	49		4431
   886	    51	27		2393
   886	   531	10		890
   886	   484	52		4649
   886	   230	86		7753
   886	   608	30		2703
   886	   181	61		5489
   886	   747	51		4553
    50	   609	42		3776
    50	   684	31		2824
    50	   886	35		3126
    50	    50	0		0
    50	   214	76		6877
    50	   102	33		3002
    50	   271	20		1770
    50	    79	20		1829
    50	   783	17		1536
    50	    51	20		1816
    50	   531	26		2353
    50	   484	86		7772
    50	   230	114		10259
    50	   608	62		5600
    50	   181	83		7431
    50	   747	85		7613
   214	   609	48		4276
   214	   684	90		8101
   214	   886	50		4493
   214	    50	76		6877
   214	   214	0		0
   214	   102	72		6449
   214	   271	61		5494
   214	    79	56		5052
   214	   783	84		7551
   214	    51	76		6821
   214	   531	53		4769
   214	   484	47		4260
   214	   230	38		3382
   214	   608	24		2148
   214	   181	16		1411
   214	   747	32		2841
   102	   609	59		5315
   102	   684	65		5819
   102	   886	52		4697
   102	    50	33		3002
   102	   214	72		6449
   102	   102	0		0
   102	   271	21		1864
   102	    79	33		3014
   102	   783	23		2107
   102	    51	52		4662
   102	   531	43		3838
   102	   484	99		8904
   102	   230	107		9599
   102	   608	68		6124
   102	   181	71		6408
   102	   747	91		8231
   271	   609	39		3500
   271	   684	48		4323
   271	   886	32		2861
   271	    50	20		1770
   271	   214	61		5494
   271	   102	21		1864
   271	   271	0		0
   271	    79	13		1153
   271	   783	23		2058
   271	    51	34		3016
   271	   531	22		1986
   271	   484	81		7262
   271	   230	98		8840
   271	   608	52		4657
   271	   181	65		5849
   271	   747	75		6774
    79	   609	26		2376
    79	   684	41		3668
    79	   886	19		1722
    79	    50	20		1829
    79	   214	56		5052
    79	   102	33		3014
    79	   271	13		1153
    79	    79	0		0
    79	   783	31		2826
    79	    51	25		2272
    79	   531	9		837
    79	   484	69		6246
    79	   230	94		8435
    79	   608	43		3834
    79	   181	63		5673
    79	   747	66		5905
   783	   609	57		5099
   783	   684	46		4167
   783	   886	49		4431
   783	    50	17		1536
   783	   214	84		7551
   783	   102	23		2107
   783	   271	23		2058
   783	    79	31		2826
   783	   783	0		0
   783	    51	37		3337
   783	   531	40		3569
   783	   484	101		9053
   783	   608	74		6628
   783	   181	87		7845
   783	   747	97		8720
    51	   609	32		2866
    51	   684	16		1401
    51	   886	27		2393
    51	    50	20		1816
    51	   214	76		6821
    51	   102	52		4662
    51	   271	34		3016
    51	    79	25		2272
    51	   783	37		3337
    51	    51	0		0
    51	   531	23		2106
    51	   484	74		6681
    51	   230	113		10128
    51	   608	57		5093
    51	   181	85		7682
    51	   747	76		6850
   531	   609	17		1552
   531	   684	39		3476
   531	   886	10		890
   531	    50	26		2353
   531	   214	53		4769
   531	   102	43		3838
   531	   271	22		1986
   531	    79	9		837
   531	   783	40		3569
   531	    51	23		2106
   531	   531	0		0
   531	   484	61		5486
   531	   230	90		8122
   531	   608	36		3267
   531	   181	62		5579
   531	   747	58		5260
   484	   609	44		3996
   484	   684	82		7422
   484	   886	52		4649
   484	    50	86		7772
   484	   214	47		4260
   484	   102	99		8904
   484	   271	81		7262
   484	    79	69		6246
   484	   783	101		9053
   484	    51	74		6681
   484	   531	61		5486
   484	   484	0		0
   484	   230	63		5683
   484	   608	33		2927
   484	   181	63		5644
   484	   747	17		1515
   230	   609	82		7421
   230	   886	86		7753
   230	    50	114		10259
   230	   214	38		3382
   230	   102	107		9599
   230	   271	98		8840
   230	    79	94		8435
   230	    51	113		10128
   230	   531	90		8122
   230	   484	63		5683
   230	   230	0		0
   230	   608	57		5123
   230	   181	36		3230
   230	   747	48		4289
   608	   609	26		2303
   608	   684	69		6248
   608	   886	30		2703
   608	    50	62		5600
   608	   214	24		2148
   608	   102	68		6124
   608	   271	52		4657
   608	    79	43		3834
   608	   783	74		6628
   608	    51	57		5093
   608	   531	36		3267
   608	   484	33		2927
   608	   230	57		5123
   608	   608	0		0
   608	   181	39		3470
   608	   747	24		2121
   181	   609	60		5395
   181	   684	100		9029
   181	   886	61		5489
   181	    50	83		7431
   181	   214	16		1411
   181	   102	71		6408
   181	   271	65		5849
   181	    79	63		5673
   181	   783	87		7845
   181	    51	85		7682
   181	   531	62		5579
   181	   484	63		5644
   181	   230	36		3230
   181	   608	39		3470
   181	   181	0		0
   181	   747	46		4185
   747	   609	44		3990
   747	   684	87		7819
   747	   886	51		4553
   747	    50	85		7613
   747	   214	32		2841
   747	   102	91		8231
   747	   271	75		6774
   747	    79	66		5905
   747	   783	97		8720
   747	    51	76		6850
   747	   531	58		5260
   747	   484	17		1515
   747	   230	48		4289
   747	   608	24		2121
   747	   181	46		4185
   747	   747	0		0
;

end;

