data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
   109	   109	0		0
   109	   694	34		3104
   109	    61	49		4412
   109	   433	31		2821
   109	   834	43		3846
   109	   169	56		5045
   109	   981	66		5953
   109	   103	59		5274
   109	   165	14		1251
   109	    82	7		618
   109	    86	40		3606
   694	   109	34		3104
   694	   694	0		0
   694	    61	63		5681
   694	   433	18		1598
   694	   834	55		4933
   694	   169	70		6298
   694	   981	81		7288
   694	   103	79		7093
   694	   165	22		1947
   694	    82	41		3720
   694	    86	16		1396
    61	   109	49		4412
    61	   694	63		5681
    61	    61	0		0
    61	   433	46		4151
    61	   834	8		751
    61	   169	7		650
    61	   981	18		1629
    61	   103	18		1630
    61	   165	56		5053
    61	    82	48		4330
    61	    86	77		6924
   433	   109	31		2821
   433	   694	18		1598
   433	    61	46		4151
   433	   433	0		0
   433	   834	38		3400
   433	   169	53		4750
   433	   981	64		5734
   433	   103	63		5639
   433	   165	24		2196
   433	    82	37		3342
   433	    86	33		2965
   834	   109	43		3846
   834	   694	55		4933
   834	    61	8		751
   834	   433	38		3400
   834	   834	0		0
   834	   169	15		1371
   834	   981	26		2361
   834	   103	26		2316
   834	   165	49		4382
   834	    82	43		3844
   834	    86	69		6188
   169	   109	56		5045
   169	   694	70		6298
   169	    61	7		650
   169	   433	53		4750
   169	   834	15		1371
   169	   169	0		0
   169	   981	11		991
   169	   103	15		1342
   169	   165	63		5703
   169	    82	55		4938
   169	    86	84		7558
   981	   109	66		5953
   981	   694	81		7288
   981	    61	18		1629
   981	   433	64		5734
   981	   834	26		2361
   981	   169	11		991
   981	   981	0		0
   981	   103	14		1237
   981	   165	74		6667
   981	    82	64		5797
   981	    86	95		8549
   103	   109	59		5274
   103	   694	79		7093
   103	    61	18		1630
   103	   433	63		5639
   103	   834	26		2316
   103	   169	15		1342
   103	   981	14		1237
   103	   103	0		0
   103	   165	68		6161
   103	    82	56		5012
   103	    86	92		8246
   165	   109	14		1251
   165	   694	22		1947
   165	    61	56		5053
   165	   433	24		2196
   165	   834	49		4382
   165	   169	63		5703
   165	   981	74		6667
   165	   103	68		6161
   165	   165	0		0
   165	    82	21		1859
   165	    86	26		2363
    82	   109	7		618
    82	   694	41		3720
    82	    61	48		4330
    82	   433	37		3342
    82	   834	43		3844
    82	   169	55		4938
    82	   981	64		5797
    82	   103	56		5012
    82	   165	21		1859
    82	    82	0		0
    82	    86	47		4200
    86	   109	40		3606
    86	   694	16		1396
    86	    61	77		6924
    86	   433	33		2965
    86	   834	69		6188
    86	   169	84		7558
    86	   981	95		8549
    86	   103	92		8246
    86	   165	26		2363
    86	    82	47		4200
    86	    86	0		0
;

end;

