data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
   167	   167	0		0
   167	   276	19		1714
   167	   426	21		1877
   167	   422	81		7264
   167	   260	59		5309
   167	   541	110		9874
   167	   309	41		3655
   167	   146	60		5421
   167	   176	76		6835
   167	   848	51		4572
   167	   607	35		3135
   167	   707	33		2940
   276	   167	19		1714
   276	   276	0		0
   276	   426	35		3172
   276	   422	62		5556
   276	   260	76		6817
   276	   541	94		8430
   276	   309	43		3842
   276	   146	56		5069
   276	   176	61		5479
   276	   848	65		5848
   276	   607	26		2380
   276	   707	52		4655
   426	   167	21		1877
   426	   276	35		3172
   426	   426	0		0
   426	   422	93		8354
   426	   260	62		5588
   426	   541	113		10182
   426	   309	28		2554
   426	   146	81		7262
   426	   176	79		7115
   426	   848	60		5367
   426	   607	36		3220
   426	   707	27		2470
   422	   167	81		7264
   422	   276	62		5556
   422	   426	93		8354
   422	   422	0		0
   422	   541	51		4564
   422	   309	83		7461
   422	   146	86		7724
   422	   176	39		3531
   422	   607	61		5479
   422	   707	113		10200
   260	   167	59		5309
   260	   276	76		6817
   260	   426	62		5588
   260	   260	0		0
   260	   309	90		8141
   260	   146	75		6779
   260	   848	17		1569
   260	   607	93		8367
   260	   707	36		3215
   541	   167	110		9874
   541	   276	94		8430
   541	   426	113		10182
   541	   422	51		4564
   541	   541	0		0
   541	   309	91		8217
   541	   176	34		3074
   541	   607	78		6979
   309	   167	41		3655
   309	   276	43		3842
   309	   426	28		2554
   309	   422	83		7461
   309	   260	90		8141
   309	   541	91		8217
   309	   309	0		0
   309	   146	98		8817
   309	   176	59		5279
   309	   848	87		7867
   309	   607	23		2063
   309	   707	55		4987
   146	   167	60		5421
   146	   276	56		5069
   146	   426	81		7262
   146	   422	86		7724
   146	   260	75		6779
   146	   309	98		8817
   146	   146	0		0
   146	   176	106		9580
   146	   848	58		5212
   146	   607	82		7419
   146	   707	78		7006
   176	   167	76		6835
   176	   276	61		5479
   176	   426	79		7115
   176	   422	39		3531
   176	   541	34		3074
   176	   309	59		5279
   176	   146	106		9580
   176	   176	0		0
   176	   607	43		3906
   176	   707	105		9448
   848	   167	51		4572
   848	   276	65		5848
   848	   426	60		5367
   848	   260	17		1569
   848	   309	87		7867
   848	   146	58		5212
   848	   848	0		0
   848	   607	86		7708
   848	   707	38		3405
   607	   167	35		3135
   607	   276	26		2380
   607	   426	36		3220
   607	   422	61		5479
   607	   260	93		8367
   607	   541	78		6979
   607	   309	23		2063
   607	   146	82		7419
   607	   176	43		3906
   607	   848	86		7708
   607	   607	0		0
   607	   707	62		5550
   707	   167	33		2940
   707	   276	52		4655
   707	   426	27		2470
   707	   422	113		10200
   707	   260	36		3215
   707	   309	55		4987
   707	   146	78		7006
   707	   176	105		9448
   707	   848	38		3405
   707	   607	62		5550
   707	   707	0		0
;

end;

