data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
    91	    91	0		0
    91	    49	16		1407
    91	    92	15		1339
    91	   638	47		4224
    91	   444	49		4377
    91	   106	51		4568
    91	   543	33		2979
    91	   186	34		3066
    91	   257	29		2645
    91	   858	26		2322
    91	   245	27		2418
    91	   927	43		3835
    91	   710	86		7744
    91	   505	55		4953
    91	   753	29		2617
    91	   434	78		6989
    91	   235	12		1089
    91	   224	56		5077
    91	    78	116		10449
    91	   755	40		3598
    91	   149	53		4810
    91	   611	41		3708
    91	    18	54		4826
    91	   407	85		7658
    91	   616	63		5688
    91	   504	74		6680
    49	    91	16		1407
    49	    49	0		0
    49	    92	23		2061
    49	   638	59		5304
    49	   444	33		2975
    49	   106	48		4323
    49	   543	30		2672
    49	   186	38		3376
    49	   257	17		1529
    49	   858	30		2659
    49	   245	32		2912
    49	   927	29		2628
    49	   710	73		6544
    49	   505	59		5334
    49	   753	38		3463
    49	   434	90		8136
    49	   235	4		330
    49	   224	44		3940
    49	    78	103		9303
    49	   755	26		2336
    49	   149	41		3652
    49	   611	49		4424
    49	    18	63		5634
    49	   407	96		8629
    49	   616	70		6304
    49	   504	83		7444
    92	    91	15		1339
    92	    49	23		2061
    92	    92	0		0
    92	   638	36		3258
    92	   444	54		4822
    92	   106	38		3418
    92	   543	22		2005
    92	   186	19		1745
    92	   257	40		3573
    92	   858	11		1029
    92	   245	12		1080
    92	   927	41		3657
    92	   710	96		8597
    92	   505	40		3615
    92	   753	16		1409
    92	   434	68		6100
    92	   235	20		1772
    92	   224	52		4698
    92	   755	49		4389
    92	   149	63		5713
    92	   611	27		2434
    92	    18	40		3611
    92	   407	73		6571
    92	   616	49		4391
    92	   504	61		5448
   638	    91	47		4224
   638	    49	59		5304
   638	    92	36		3258
   638	   638	0		0
   638	   444	89		8043
   638	   106	51		4620
   638	   543	48		4289
   638	   186	33		2948
   638	   257	75		6782
   638	   858	35		3139
   638	   245	31		2789
   638	   927	73		6581
   638	   505	33		2949
   638	   753	22		1944
   638	   434	32		2844
   638	   235	56		4997
   638	   224	81		7313
   638	   755	85		7640
   638	   149	99		8945
   638	   611	18		1645
   638	    18	15		1384
   638	   407	38		3462
   638	   616	28		2552
   638	   504	32		2887
   444	    91	49		4377
   444	    49	33		2975
   444	    92	54		4822
   444	   638	89		8043
   444	   444	0		0
   444	   106	61		5462
   444	   543	47		4263
   444	   186	61		5526
   444	   257	24		2194
   444	   858	56		5008
   444	   245	59		5343
   444	   927	24		2127
   444	   710	46		4179
   444	   505	81		7265
   444	   753	68		6107
   444	   235	37		3303
   444	   224	33		2936
   444	    78	77		6954
   444	   755	15		1386
   444	   149	23		2066
   444	   611	76		6855
   444	    18	90		8075
   444	   616	94		8465
   444	   504	108		9737
   106	    91	51		4568
   106	    49	48		4323
   106	    92	38		3418
   106	   638	51		4620
   106	   444	61		5462
   106	   106	0		0
   106	   543	18		1660
   106	   186	22		1945
   106	   257	62		5590
   106	   858	27		2428
   106	   245	29		2569
   106	   927	37		3363
   106	   710	107		9636
   106	   505	25		2243
   106	   753	36		3256
   106	   434	77		6940
   106	   235	47		4263
   106	   224	37		3336
   106	   755	66		5906
   106	   149	80		7221
   106	   611	33		2975
   106	    18	42		3782
   106	   407	73		6581
   106	   616	39		3554
   106	   504	54		4871
   543	    91	33		2979
   543	    49	30		2672
   543	    92	22		2005
   543	   638	48		4289
   543	   444	47		4263
   543	   106	18		1660
   543	   543	0		0
   543	   186	15		1385
   543	   257	45		4005
   543	   858	14		1264
   543	   245	18		1576
   543	   927	27		2399
   543	   710	93		8410
   543	   505	33		3005
   543	   753	27		2463
   543	   434	78		6990
   543	   235	29		2604
   543	   224	34		3027
   543	   755	49		4443
   543	   149	64		5799
   543	   611	31		2796
   543	    18	44		3949
   543	   407	78		7012
   543	   616	47		4209
   543	   504	61		5500
   186	    91	34		3066
   186	    49	38		3376
   186	    92	19		1745
   186	   638	33		2948
   186	   444	61		5526
   186	   106	22		1945
   186	   543	15		1385
   186	   186	0		0
   186	   257	54		4875
   186	   858	8		754
   186	   245	8		697
   186	   927	42		3772
   186	   710	107		9603
   186	   505	22		1962
   186	   753	15		1319
   186	   434	62		5607
   186	   235	35		3182
   186	   224	49		4377
   186	   755	61		5496
   186	   149	76		6865
   186	   611	16		1411
   186	    18	29		2579
   186	   407	63		5656
   186	   616	33		2984
   186	   504	47		4218
   257	    91	29		2645
   257	    49	17		1529
   257	    92	40		3573
   257	   638	75		6782
   257	   444	24		2194
   257	   106	62		5590
   257	   543	45		4005
   257	   186	54		4875
   257	   257	0		0
   257	   858	46		4177
   257	   245	49		4439
   257	   927	34		3031
   257	   710	57		5101
   257	   505	76		6821
   257	   753	55		4981
   257	   434	107		9594
   257	   235	20		1801
   257	   224	48		4307
   257	    78	87		7825
   257	   755	11		1011
   257	   149	24		2171
   257	   611	66		5953
   257	    18	80		7162
   257	   407	113		10144
   257	   616	87		7826
   257	   504	100		8973
   858	    91	26		2322
   858	    49	30		2659
   858	    92	11		1029
   858	   638	35		3139
   858	   444	56		5008
   858	   106	27		2428
   858	   543	14		1264
   858	   186	8		754
   858	   257	46		4177
   858	   858	0		0
   858	   245	4		350
   858	   927	38		3443
   858	   710	100		9008
   858	   505	30		2705
   858	   753	14		1230
   858	   434	66		5930
   858	   235	27		2447
   858	   224	47		4252
   858	   755	54		4851
   858	   149	69		6216
   858	   611	21		1854
   858	    18	34		3081
   858	   407	68		6152
   858	   616	41		3650
   858	   504	54		4827
   245	    91	27		2418
   245	    49	32		2912
   245	    92	12		1080
   245	   638	31		2789
   245	   444	59		5343
   245	   106	29		2569
   245	   543	18		1576
   245	   186	8		697
   245	   257	49		4439
   245	   858	4		350
   245	   245	0		0
   245	   927	42		3792
   245	   710	104		9319
   245	   505	28		2540
   245	   753	10		892
   245	   434	62		5582
   245	   235	30		2677
   245	   224	51		4586
   245	   755	57		5147
   245	   149	72		6507
   245	   611	17		1538
   245	    18	31		2766
   245	   407	65		5826
   245	   616	38		3397
   245	   504	50		4539
   927	    91	43		3835
   927	    49	29		2628
   927	    92	41		3657
   927	   638	73		6581
   927	   444	24		2127
   927	   106	37		3363
   927	   543	27		2399
   927	   186	42		3772
   927	   257	34		3031
   927	   858	38		3443
   927	   245	42		3792
   927	   927	0		0
   927	   710	70		6281
   927	   505	59		5305
   927	   753	52		4660
   927	   434	104		9350
   927	   235	32		2844
   927	   224	15		1328
   927	    78	100		9030
   927	   755	32		2894
   927	   149	45		4053
   927	   611	58		5176
   927	    18	71		6347
   927	   407	105		9410
   927	   616	73		6565
   927	   504	87		7873
   710	    91	86		7744
   710	    49	73		6544
   710	    92	96		8597
   710	   444	46		4179
   710	   106	107		9636
   710	   543	93		8410
   710	   186	107		9603
   710	   257	57		5101
   710	   858	100		9008
   710	   245	104		9319
   710	   927	70		6281
   710	   710	0		0
   710	   753	111		9982
   710	   235	76		6853
   710	   224	75		6792
   710	    78	31		2795
   710	   755	47		4209
   710	   149	33		2936
   505	    91	55		4953
   505	    49	59		5334
   505	    92	40		3615
   505	   638	33		2949
   505	   444	81		7265
   505	   106	25		2243
   505	   543	33		3005
   505	   186	22		1962
   505	   257	76		6821
   505	   858	30		2705
   505	   245	28		2540
   505	   927	59		5305
   505	   505	0		0
   505	   753	29		2578
   505	   434	53		4805
   505	   235	57		5144
   505	   224	61		5529
   505	   755	82		7390
