data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
   491	   491	0		0
   491	   740	87		7825
   491	   593	68		6154
   491	   178	39		3467
   491	   507	37		3287
   491	   213	47		4251
   491	   171	62		5570
   491	   681	68		6152
   491	    90	108		9753
   491	   768	59		5295
   491	    97	27		2392
   491	   623	51		4624
   491	   588	47		4209
   491	    46	98		8797
   740	   491	87		7825
   740	   740	0		0
   740	   593	102		9171
   740	   178	54		4850
   740	   507	117		10530
   740	   213	118		10627
   740	   171	65		5859
   740	   681	38		3395
   740	    90	63		5708
   740	   768	28		2547
   740	    97	114		10215
   740	   623	53		4767
   740	    46	25		2236
   593	   491	68		6154
   593	   740	102		9171
   593	   593	0		0
   593	   178	58		5192
   593	   507	99		8923
   593	   213	44		3932
   593	   171	37		3347
   593	   681	65		5820
   593	    90	77		6960
   593	   768	85		7659
   593	    97	76		6850
   593	   623	102		9136
   593	   588	96		8596
   593	    46	95		8551
   178	   491	39		3467
   178	   740	54		4850
   178	   593	58		5192
   178	   178	0		0
   178	   507	74		6676
   178	   213	64		5795
   178	   171	31		2825
   178	   681	30		2686
   178	    90	71		6408
   178	   768	30		2664
   178	    97	63		5713
   178	   623	45		4034
   178	   588	85		7635
   178	    46	60		5410
   507	   491	37		3287
   507	   740	117		10530
   507	   593	99		8923
   507	   178	74		6676
   507	   507	0		0
   507	   213	65		5833
   507	   171	98		8840
   507	   681	104		9351
   507	   768	89		8004
   507	    97	25		2259
   507	   623	70		6324
   507	   588	23		2092
   213	   491	47		4251
   213	   740	118		10627
   213	   593	44		3932
   213	   178	64		5795
   213	   507	65		5833
   213	   213	0		0
   213	   171	65		5871
   213	   681	87		7821
   213	    90	114		10262
   213	   768	93		8401
   213	    97	40		3574
   213	   623	96		8657
   213	   588	55		4936
   213	    46	120		10797
   171	   491	62		5570
   171	   740	65		5859
   171	   593	37		3347
   171	   178	31		2825
   171	   507	98		8840
   171	   213	65		5871
   171	   171	0		0
   171	   681	28		2480
   171	    90	50		4482
   171	   768	52		4678
   171	    97	81		7320
   171	   623	75		6759
   171	   588	103		9294
   171	    46	58		5249
   681	   491	68		6152
   681	   740	38		3395
   681	   593	65		5820
   681	   178	30		2686
   681	   507	104		9351
   681	   213	87		7821
   681	   171	28		2480
   681	   681	0		0
   681	    90	43		3908
   681	   768	31		2814
   681	    97	93		8353
   681	   623	61		5449
   681	   588	114		10298
   681	    46	33		2976
    90	   491	108		9753
    90	   740	63		5708
    90	   593	77		6960
    90	   178	71		6408
    90	   213	114		10262
    90	   171	50		4482
    90	   681	43		3908
    90	    90	0		0
    90	   768	72		6497
    90	   623	103		9252
    90	    46	40		3642
   768	   491	59		5295
   768	   740	28		2547
   768	   593	85		7659
   768	   178	30		2664
   768	   507	89		8004
   768	   213	93		8401
   768	   171	52		4678
   768	   681	31		2814
   768	    90	72		6497
   768	   768	0		0
   768	    97	85		7686
   768	   623	31		2774
   768	   588	105		9431
   768	    46	45		4014
    97	   491	27		2392
    97	   740	114		10215
    97	   593	76		6850
    97	   178	63		5713
    97	   507	25		2259
    97	   213	40		3574
    97	   171	81		7320
    97	   681	93		8353
    97	   768	85		7686
    97	    97	0		0
    97	   623	75		6777
    97	   588	22		1979
   623	   491	51		4624
   623	   740	53		4767
   623	   593	102		9136
   623	   178	45		4034
   623	   507	70		6324
   623	   213	96		8657
   623	   171	75		6759
   623	   681	61		5449
   623	    90	103		9252
   623	   768	31		2774
   623	    97	75		6777
   623	   623	0		0
   623	   588	90		8137
   623	    46	74		6665
   588	   491	47		4209
   588	   593	96		8596
   588	   178	85		7635
   588	   507	23		2092
   588	   213	55		4936
   588	   171	103		9294
   588	   681	114		10298
   588	   768	105		9431
   588	    97	22		1979
   588	   623	90		8137
   588	   588	0		0
    46	   491	98		8797
    46	   740	25		2236
    46	   593	95		8551
    46	   178	60		5410
    46	   213	120		10797
    46	   171	58		5249
    46	   681	33		2976
    46	    90	40		3642
    46	   768	45		4014
    46	   623	74		6665
    46	    46	0		0
;

end;

