data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
   853	   853	0		0
   853	   734	48		4319
   853	   202	8		675
   853	   680	7		604
   853	   423	11		1009
   853	   529	13		1213
   853	   430	62		5563
   853	   895	59		5345
   853	   445	17		1525
   853	   577	23		2054
   853	   481	16		1457
   853	   761	71		6375
   853	   400	57		5129
   853	   503	30		2713
   853	   704	10		931
   853	   538	19		1746
   853	    19	28		2512
   853	   322	41		3667
   853	   738	26		2358
   853	   284	53		4737
   853	   631	71		6428
   853	   480	37		3371
   853	   636	29		2635
   853	   833	38		3441
   853	   561	51		4553
   853	   304	51		4592
   853	   918	40		3574
   734	   853	48		4319
   734	   734	0		0
   734	   202	42		3769
   734	   680	54		4869
   734	   423	40		3571
   734	   529	61		5532
   734	   430	52		4701
   734	   895	104		9339
   734	   445	47		4208
   734	   577	26		2328
   734	   481	60		5430
   734	   761	34		3096
   734	   400	96		8637
   734	   503	71		6408
   734	   704	53		4766
   734	   538	62		5611
   734	    19	42		3759
   734	   322	33		2976
   734	   738	25		2223
   734	   284	30		2713
   734	   631	112		10047
   734	   480	26		2310
   734	   636	31		2811
   734	   833	86		7730
   734	   561	58		5190
   734	   304	99		8907
   734	   918	84		7592
   202	   853	8		675
   202	   734	42		3769
   202	   202	0		0
   202	   680	14		1277
   202	   423	11		1007
   202	   529	20		1814
   202	   430	62		5579
   202	   895	67		6019
   202	   445	13		1128
   202	   577	18		1629
   202	   481	24		2119
   202	   761	67		6047
   202	   400	64		5783
   202	   503	37		3364
   202	   704	17		1539
   202	   538	27		2400
   202	    19	29		2634
   202	   322	33		3004
   202	   738	19		1710
   202	   284	50		4519
   202	   631	79		7095
   202	   480	35		3144
   202	   636	28		2507
   202	   833	45		4072
   202	   561	53		4765
   202	   304	58		5192
   202	   918	47		4249
   680	   853	7		604
   680	   734	54		4869
   680	   202	14		1277
   680	   680	0		0
   680	   423	15		1389
   680	   529	8		728
   680	   430	63		5688
   680	   895	53		4742
   680	   445	22		1971
   680	   577	29		2565
   680	   481	10		914
   680	   761	75		6767
   680	   400	51		4574
   680	   503	24		2175
   680	   704	7		614
   680	   538	14		1216
   680	    19	29		2624
   680	   322	47		4249
   680	   738	33		2958
   680	   284	56		5062
   680	   631	65		5851
   680	   480	41		3726
   680	   636	33		2941
   680	   833	32		2865
   680	   561	50		4513
   680	   304	45		4041
   680	   918	33		2974
   423	   853	11		1009
   423	   734	40		3571
   423	   202	11		1007
   423	   680	15		1389
   423	   423	0		0
   423	   529	23		2111
   423	   430	51		4611
   423	   895	65		5807
   423	   445	24		2134
   423	   577	14		1243
   423	   481	21		1862
   423	   761	60		5391
   423	   400	59		5305
   423	   503	33		2936
   423	   704	13		1196
   423	   538	23		2062
   423	    19	18		1627
   423	   322	40		3635
   423	   738	22		1985
   423	   284	41		3729
   423	   631	74		6679
   423	   480	26		2368
   423	   636	18		1626
   423	   833	47		4188
   423	   561	42		3760
   423	   304	60		5395
   423	   918	45		4042
   529	   853	13		1213
   529	   734	61		5532
   529	   202	20		1814
   529	   680	8		728
   529	   423	23		2111
   529	   529	0		0
   529	   430	71		6350
   529	   895	48		4348
   529	   445	24		2159
   529	   577	36		3257
   529	   481	12		1090
   529	   761	83		7495
   529	   400	49		4427
   529	   503	24		2164
   529	   704	13		1214
   529	   538	15		1349
   529	    19	37		3303
   529	   322	51		4621
   529	   738	39		3523
   529	   284	64		5787
   529	   631	62		5608
   529	   480	49		4453
   529	   636	41		3667
   529	   833	25		2262
   529	   561	56		5085
   529	   304	38		3384
   529	   918	29		2638
   430	   853	62		5563
   430	   734	52		4701
   430	   202	62		5579
   430	   680	63		5688
   430	   423	51		4611
   430	   529	71		6350
   430	   430	0		0
   430	   895	89		8039
   430	   445	74		6659
   430	   577	48		4350
   430	   481	61		5468
   430	   761	35		3148
   430	   400	74		6657
   430	   503	61		5516
   430	   704	57		5136
   430	   538	60		5394
   430	    19	34		3068
   430	   322	79		7070
   430	   738	60		5410
   430	   284	22		2014
   430	   631	88		7929
   430	   480	31		2793
   430	   636	35		3119
   430	   833	85		7669
   430	   561	20		1761
   430	   304	99		8867
   430	   918	75		6769
   895	   853	59		5345
   895	   734	104		9339
   895	   202	67		6019
   895	   680	53		4742
   895	   423	65		5807
   895	   529	48		4348
   895	   430	89		8039
   895	   895	0		0
   895	   445	72		6503
   895	   577	78		7036
   895	   481	44		3967
   895	   761	115		10384
   895	   400	18		1655
   895	   503	33		2947
   895	   704	51		4631
   895	   538	42		3745
   895	    19	66		5904
   895	   322	100		8957
   895	   738	85		7672
   895	   284	95		8535
   895	   631	19		1673
   895	   480	84		7539
   895	   636	75		6755
   895	   833	27		2408
   895	   561	70		6290
   895	   304	27		2385
   895	   918	20		1776
   445	   853	17		1525
   445	   734	47		4208
   445	   202	13		1128
   445	   680	22		1971
   445	   423	24		2134
   445	   529	24		2159
   445	   430	74		6659
   445	   895	72		6503
   445	   445	0		0
   445	   577	27		2472
   445	   481	32		2884
   445	   761	76		6835
   445	   400	72		6519
   445	   503	46		4141
   445	   704	27		2449
   445	   538	35		3187
   445	    19	42		3758
   445	   322	28		2525
   445	   738	22		1985
   445	   284	61		5453
   445	   631	86		7750
   445	   480	46		4100
   445	   636	39		3552
   445	   833	48		4304
   445	   561	65		5893
   445	   304	59		5266
   445	   918	53		4794
   577	   853	23		2054
   577	   734	26		2328
   577	   202	18		1629
   577	   680	29		2565
   577	   423	14		1243
   577	   529	36		3257
   577	   430	48		4350
   577	   895	78		7036
   577	   445	27		2472
   577	   577	0		0
   577	   481	34		3104
   577	   761	49		4424
   577	   400	72		6446
   577	   503	46		4132
   577	   704	27		2439
   577	   538	37		3295
   577	    19	22		1962
   577	   322	33		2939
   577	   738	13		1153
   577	   284	33		2982
   577	   631	87		7841
   577	   480	18		1646
   577	   636	14		1286
   577	   833	60		5412
   577	   561	44		3990
   577	   304	73		6604
   577	   918	59		5278
   481	   853	16		1457
   481	   734	60		5430
   481	   202	24		2119
   481	   680	10		914
   481	   423	21		1862
   481	   529	12		1090
   481	   430	61		5468
   481	   895	44		3967
   481	   445	32		2884
   481	   577	34		3104
   481	   481	0		0
   481	   761	77		6971
   481	   400	41		3673
   481	   503	14		1263
   481	   704	7		668
   481	   538	3		304
   481	    19	28		2527
   481	   322	57		5122
   481	   738	41		3712
   481	   284	58		5176
   481	   631	55		4976
   481	   480	44		3935
   481	   636	35		3116
   481	   833	27		2420
   481	   561	45		4083
   481	   304	41		3656
   481	   918	24		2193
   761	   853	71		6375
   761	   734	34		3096
   761	   202	67		6047
   761	   680	75		6767
   761	   423	60		5391
   761	   529	83		7495
   761	   430	35		3148
   761	   895	115		10384
   761	   445	76		6835
   761	   577	49		4424
   761	   481	77		6971
   761	   761	0		0
   761	   400	103		9247
   761	   503	84		7526
   761	   704	71		6409
   761	   538	78		7031
   761	    19	50		4536
   761	   322	67		6065
   761	   738	55		4971
   761	   284	21		1850
   761	   631	118		10617
   761	   480	34		3050
   761	   636	43		3862
   761	   833	104		9387
   761	   561	51		4592
   761	   304	118		10625
   761	   918	98		8830
   400	   853	57		5129
   400	   734	96		8637
   400	   202	64		5783
   400	   680	51		4574
   400	   423	59		5305
   400	   529	49		4427
   400	   430	74		6657
   400	   895	18		1655
   400	   445	72		6519
   400	   577	72		6446
   400	   481	41		3673
   400	   761	103		9247
   400	   400	0		0
   400	   503	27		2419
   400	   704	47		4257
   400	   538	38		3384
   400	    19	55		4962
   400	   322	98		8787
   400	   738	81		7279
   400	   284	82		7423
   400	   631	16		1413
   400	   480	73		6606
   400	   636	65		5888
   400	   833	36		3204
   400	   561	54		4898
   400	   304	41		3709
   400	   918	22		1964
   503	   853	30		2713
   503	   734	71		6408
   503	   202	37		3364
   503	   680	24		2175
   503	   423	33		2936
   503	   529	24		2164
   503	   430	61		5516
   503	   895	33		2947
   503	   445	46		4141
   503	   577	46		4132
   503	   481	14		1263
   503	   761	84		7526
   503	   400	27		2419
   503	   503	0		0
   503	   704	20		1840
   503	   538	11		967
   503	    19	33		2998
   503	   322	71		6367
   503	   738	54		4885
   503	   284	63		5679
   503	   631	42		3756
   503	   480	51		4609
   503	   636	42		3814
   503	   833	25		2207
   503	   561	43		3892
   503	   304	37		3360
   503	   918	15		1306
   704	   853	10		931
   704	   734	53		4766
   704	   202	17		1539
   704	   680	7		614
   704	   423	13		1196
   704	   529	13		1214
   704	   430	57		5136
   704	   895	51		4631
   704	   445	27		2449
   704	   577	27		2439
   704	   481	7		668
   704	   761	71		6409
   704	   400	47		4257
   704	   503	20		1840
   704	   704	0		0
   704	   538	10		898
   704	    19	23		2094
   704	   322	50		4534
   704	   738	34		3062
   704	   284	52		4649
   704	   631	62		5592
   704	   480	37		3360
   704	   636	28		2548
   704	   833	34		3027
   704	   561	43		3909
   704	   304	47		4252
   704	   918	32		2858
   538	   853	19		1746
   538	   734	62		5611
   538	   202	27		2400
   538	   680	14		1216
   538	   423	23		2062
   538	   529	15		1349
   538	   430	60		5394
   538	   895	42		3745
   538	   445	35		3187
   538	   577	37		3295
   538	   481	3		304
   538	   761	78		7031
   538	   400	38		3384
   538	   503	11		967
   538	   704	10		898
   538	   538	0		0
   538	    19	28		2533
   538	   322	60		5404
   538	   738	44		3961
   538	   284	58		5217
   538	   631	52		4701
   538	   480	45		4017
   538	   636	36		3198
   538	   833	26		2366
   538	   561	44		3945
   538	   304	40		3604
   538	   918	22		1982
    19	   853	28		2512
    19	   734	42		3759
    19	   202	29		2634
    19	   680	29		2624
    19	   423	18		1627
    19	   529	37		3303
    19	   430	34		3068
    19	   895	66		5904
    19	   445	42		3758
    19	   577	22		1962
    19	   481	28		2527
    19	   761	50		4536
    19	   400	55		4962
    19	   503	33		2998
    19	   704	23		2094
    19	   538	28		2533
    19	    19	0		0
    19	   322	54		4884
    19	   738	34		3098
    19	   284	30		2699
    19	   631	71		6374
    19	   480	18		1650
    19	   636	11		950
    19	   833	54		4899
    19	   561	24		2150
    19	   304	68		6136
    19	   918	48		4298
   322	   853	41		3667
   322	   734	33		2976
   322	   202	33		3004
   322	   680	47		4249
   322	   423	40		3635
   322	   529	51		4621
   322	   430	79		7070
   322	   895	100		8957
   322	   445	28		2525
   322	   577	33		2939
   322	   481	57		5122
   322	   761	67		6065
   322	   400	98		8787
   322	   503	71		6367
   322	   704	50		4534
   322	   538	60		5404
   322	    19	54		4884
   322	   322	0		0
   322	   738	20		1788
   322	   284	59		5313
   322	   631	112		10095
   322	   480	48		4283
   322	   636	47		4197
   322	   833	76		6822
   322	   561	77		6924
   322	   304	87		7786
   322	   918	80		7208
   738	   853	26		2358
   738	   734	25		2223
   738	   202	19		1710
   738	   680	33		2958
   738	   423	22		1985
   738	   529	39		3523
   738	   430	60		5410
   738	   895	85		7672
   738	   445	22		1985
   738	   577	13		1153
   738	   481	41		3712
   738	   761	55		4971
   738	   400	81		7279
   738	   503	54		4885
   738	   704	34		3062
   738	   538	44		3961
   738	    19	34		3098
   738	   322	20		1788
   738	   738	0		0
   738	   284	43		3830
   738	   631	96		8640
   738	   480	29		2627
   738	   636	27		2427
   738	   833	64		5782
   738	   561	57		5143
   738	   304	77		6894
   738	   918	66		5895
   284	   853	53		4737
   284	   734	30		2713
   284	   202	50		4519
   284	   680	56		5062
   284	   423	41		3729
   284	   529	64		5787
   284	   430	22		2014
   284	   895	95		8535
   284	   445	61		5453
   284	   577	33		2982
   284	   481	58		5176
   284	   761	21		1850
   284	   400	82		7423
   284	   503	63		5679
   284	   704	52		4649
   284	   538	58		5217
   284	    19	30		2699
   284	   322	59		5313
   284	   738	43		3830
   284	   284	0		0
   284	   631	98		8805
   284	   480	15		1377
   284	   636	24		2121
   284	   833	84		7581
   284	   561	33		2959
   284	   304	98		8820
   284	   918	78		6985
   631	   853	71		6428
   631	   734	112		10047
   631	   202	79		7095
   631	   680	65		5851
   631	   423	74		6679
   631	   529	62		5608
   631	   430	88		7929
   631	   895	19		1673
   631	   445	86		7750
   631	   577	87		7841
   631	   481	55		4976
   631	   761	118		10617
   631	   400	16		1413
   631	   503	42		3756
   631	   704	62		5592
   631	   538	52		4701
   631	    19	71		6374
   631	   322	112		10095
   631	   738	96		8640
   631	   284	98		8805
   631	   631	0		0
   631	   480	89		8016
   631	   636	81		7302
   631	   833	44		3970
   631	   561	69		6183
   631	   304	45		4057
   631	   918	33		2987
   480	   853	37		3371
   480	   734	26		2310
   480	   202	35		3144
   480	   680	41		3726
   480	   423	26		2368
   480	   529	49		4453
   480	   430	31		2793
   480	   895	84		7539
   480	   445	46		4100
   480	   577	18		1646
   480	   481	44		3935
   480	   761	34		3050
   480	   400	73		6606
   480	   503	51		4609
   480	   704	37		3360
   480	   538	45		4017
   480	    19	18		1650
   480	   322	48		4283
   480	   738	29		2627
   480	   284	15		1377
   480	   631	89		8016
   480	   480	0		0
   480	   636	9		819
   480	   833	71		6355
   480	   561	32		2900
   480	   304	84		7591
   480	   918	65		5893
   636	   853	29		2635
   636	   734	31		2811
   636	   202	28		2507
   636	   680	33		2941
   636	   423	18		1626
   636	   529	41		3667
   636	   430	35		3119
   636	   895	75		6755
   636	   445	39		3552
   636	   577	14		1286
   636	   481	35		3116
   636	   761	43		3862
   636	   400	65		5888
   636	   503	42		3814
   636	   704	28		2548
   636	   538	36		3198
   636	    19	11		950
   636	   322	47		4197
   636	   738	27		2427
   636	   284	24		2121
   636	   631	81		7302
   636	   480	9		819
   636	   636	0		0
   636	   833	62		5536
   636	   561	30		2731
   636	   304	75		6772
   636	   918	57		5088
   833	   853	38		3441
   833	   734	86		7730
   833	   202	45		4072
   833	   680	32		2865
   833	   423	47		4188
   833	   529	25		2262
   833	   430	85		7669
   833	   895	27		2408
   833	   445	48		4304
   833	   577	60		5412
   833	   481	27		2420
   833	   761	104		9387
   833	   400	36		3204
   833	   503	25		2207
   833	   704	34		3027
   833	   538	26		2366
   833	    19	54		4899
   833	   322	76		6822
   833	   738	64		5782
   833	   284	84		7581
   833	   631	44		3970
   833	   480	71		6355
   833	   636	62		5536
   833	   833	0		0
   833	   561	68		6089
   833	   304	14		1239
   833	   918	15		1328
   561	   853	51		4553
   561	   734	58		5190
   561	   202	53		4765
   561	   680	50		4513
   561	   423	42		3760
   561	   529	56		5085
   561	   430	20		1761
   561	   895	70		6290
   561	   445	65		5893
   561	   577	44		3990
   561	   481	45		4083
   561	   761	51		4592
   561	   400	54		4898
   561	   503	43		3892
   561	   704	43		3909
   561	   538	44		3945
   561	    19	24		2150
   561	   322	77		6924
   561	   738	57		5143
   561	   284	33		2959
   561	   631	69		6183
   561	   480	32		2900
   561	   636	30		2731
   561	   833	68		6089
   561	   561	0		0
   561	   304	81		7249
   561	   918	57		5092
   304	   853	51		4592
   304	   734	99		8907
   304	   202	58		5192
   304	   680	45		4041
   304	   423	60		5395
   304	   529	38		3384
   304	   430	99		8867
   304	   895	27		2385
   304	   445	59		5266
   304	   577	73		6604
   304	   481	41		3656
   304	   761	118		10625
   304	   400	41		3709
   304	   503	37		3360
   304	   704	47		4252
   304	   538	40		3604
   304	    19	68		6136
   304	   322	87		7786
   304	   738	77		6894
   304	   284	98		8820
   304	   631	45		4057
   304	   480	84		7591
   304	   636	75		6772
   304	   833	14		1239
   304	   561	81		7249
   304	   304	0		0
   304	   918	25		2228
   918	   853	40		3574
   918	   734	84		7592
   918	   202	47		4249
   918	   680	33		2974
   918	   423	45		4042
   918	   529	29		2638
   918	   430	75		6769
   918	   895	20		1776
   918	   445	53		4794
   918	   577	59		5278
   918	   481	24		2193
   918	   761	98		8830
   918	   400	22		1964
   918	   503	15		1306
   918	   704	32		2858
   918	   538	22		1982
   918	    19	48		4298
   918	   322	80		7208
   918	   738	66		5895
   918	   284	78		6985
   918	   631	33		2987
   918	   480	65		5893
   918	   636	57		5088
   918	   833	15		1328
   918	   561	57		5092
   918	   304	25		2228
   918	   918	0		0
;

end;

