codigo,nome,latitude,longitude,codigo_re,population,admin_name,capital
6451970,Issy-les-Moulineaux,48.8239,2.27,8,68260,Île-de-France,
2990612,Noisy-le-Grand,48.8478,2.5528,8,68126,Île-de-France,
8297891,Courcouronnes,48.6239,2.4294,8,13490,Île-de-France,
2970072,Vénissieux,45.6978,4.8867,3,65894,Auvergne-Rhône-Alpes,
6454886,Cergy,49.0361,2.0631,8,65177,Île-de-France,minor
3031005,Bourges,47.0844,2.3964,6,64551,Centre-Val de Loire,minor
6612091,Levallois-Perret,48.895,2.2872,8,64379,Île-de-France,
2974657,La Seyne-sur-Mer,43.1,5.883,13,62888,Provence-Alpes-Côte d’Azur,
2987805,Pessac,44.8067,-0.6311,2,63808,Nouvelle-Aquitaine,
6453882,Valence,44.9333,4.8917,3,63714,Auvergne-Rhône-Alpes,minor
2973813,Quimper,47.9967,-4.0964,5,62985,Bretagne,minor
3037423,Antony,48.7539,2.2975,8,62570,Île-de-France,minor
8298130,Ivry-sur-Seine,48.8078,2.3747,8,62052,Île-de-France,
6430140,Montélimar,44.5581,4.7508,3,39415,Auvergne-Rhône-Alpes,
6453634,Troyes,48.2997,4.0792,1,61652,Grand Est,minor
3024597,Clichy,48.9044,2.3064,8,61070,Île-de-France,
3231149,Cherbourg,49.6333,-1.6,10,60991,Normandie,minor
6454798,Montauban,44.0181,1.3558,9,60810,Occitanie,minor
2990611,Neuilly-sur-Seine,48.8881,2.2686,8,59940,Île-de-France,
3027422,Chambéry,45.57,5.9118,3,58833,Auvergne-Rhône-Alpes,minor
6454744,Niort,46.3258,-0.4606,2,58707,Nouvelle-Aquitaine,minor
2976043,Sarcelles,48.9956,2.3808,8,58587,Île-de-France,minor
8285608,Pantin,48.8966,2.4017,8,57482,Île-de-France,
6464789,Lorient,47.75,-3.36,5,57084,Bretagne,minor
3005269,Le Blanc-Mesnil,48.9387,2.4614,8,56783,Île-de-France,
2995695,Beauvais,49.4303,2.0952,11,56020,Hauts-de-France,minor
2996568,Maisons-Alfort,48.8058,2.4378,8,55655,Île-de-France,
3012937,Hyères,43.1199,6.1316,13,55069,Provence-Alpes-Côte d’Azur,
6451992,Épinay-sur-Seine,48.9553,2.3092,8,54771,Île-de-France,
6454723,Meaux,48.9603,2.8883,8,54991,Île-de-France,minor
9177387,Chelles,48.8833,2.6,8,54917,Île-de-France,
2968705,Villejuif,48.7919,2.3636,8,54753,Île-de-France,
2990919,Narbonne,43.1836,3.0042,9,54700,Occitanie,minor
3006767,La Roche-sur-Yon,46.6705,-1.426,12,54372,Pays de la Loire,minor
3025053,Cholet,47.06,-0.8783,12,53917,Pays de la Loire,minor
2977295,Saint-Quentin,49.8486,3.2864,11,53816,Hauts-de-France,minor
3019256,Évry,48.6239,2.4294,8,53641,Île-de-France,minor
6452608,Bobigny,48.9106,2.4397,8,53640,Île-de-France,minor
6451987,Bondy,48.9022,2.4828,8,53353,Île-de-France,
2970777,Vannes,47.6559,-2.7603,5,53352,Bretagne,minor
6451966,Clamart,48.8014,2.2628,8,52926,Île-de-France,
3017910,Fontenay-sous-Bois,48.8517,2.4772,8,52256,Île-de-France,
3017253,Fréjus,43.433,6.737,13,52672,Provence-Alpes-Côte d’Azur,
3036938,Arles,43.6767,4.6278,13,51031,Provence-Alpes-Côte d’Azur,minor
8286614,Sartrouville,48.9372,2.1644,8,51967,Île-de-France,
3019597,Corbeil-Essonnes,48.6139,2.482,8,50954,Île-de-France,
3232795,Bayonne,43.49,-1.48,2,51228,Nouvelle-Aquitaine,minor
2977824,Saint-Ouen,48.9123,2.3342,8,50670,Île-de-France,
2974681,Sevran,48.9333,2.5333,8,51016,Île-de-France,
3029227,Cagnes-sur-Mer,43.6644,7.1489,13,50928,Provence-Alpes-Côte d’Azur,
6508695,Massy,48.7309,2.2713,8,50632,Île-de-France,
3014856,Grasse,43.6667,6.9167,13,48865,Provence-Alpes-Côte d’Azur,minor
6451975,Montrouge,48.8172,2.3219,8,48734,Île-de-France,
2968054,Vincennes,48.8478,2.4392,8,49635,Île-de-France,
6527084,Vaulx-en-Velin,45.7768,4.9186,3,49658,Auvergne-Rhône-Alpes,
3005866,Laval,48.0733,-0.7689,12,49492,Pays de la Loire,minor
6510057,Suresnes,48.87,2.22,8,48763,Île-de-France,
3038261,Albi,43.9289,2.1464,9,48970,Occitanie,minor
6454958,Martigues,43.4053,5.0475,13,48188,Provence-Alpes-Côte d’Azur,
3019265,Évreux,49.02,1.15,10,46707,Normandie,minor
3029974,Brive-la-Gaillarde,45.1583,1.5321,2,46630,Nouvelle-Aquitaine,minor
3016321,Gennevilliers,48.9333,2.3,8,46907,Île-de-France,
2994020,Charleville-Mézières,49.7719,4.7161,1,46391,Grand Est,minor
2979590,Saint-Herblain,47.2122,-1.6497,12,46268,Pays de la Loire,
3036433,Aubagne,43.2908,5.5708,13,46268,Provence-Alpes-Côte d’Azur,
3035602,Rosny-sous-Bois,48.8667,2.4833,8,46043,Île-de-France,
6618456,Saint-Priest,45.6972,4.9447,3,46207,Auvergne-Rhône-Alpes,
2978640,Saint-Malo,48.6481,-2.0075,5,46097,Bretagne,minor
3032213,Blois,47.5939,1.3281,6,45871,Centre-Val de Loire,minor
8289344,Carcassonne,43.21,2.35,9,46031,Occitanie,minor
3018443,Bastia,42.7008,9.4503,7,45715,Corsica,
2976341,Salon-de-Provence,43.6406,5.0972,13,45400,Provence-Alpes-Côte d’Azur,
2994144,Meudon,48.8123,2.2382,8,45352,Île-de-France,
8287136,Choisy-le-Roi,48.763,2.409,8,45331,Île-de-France,
3027484,Chalon-sur-Saône,46.7806,4.8528,4,44810,Bourgogne-Franche-Comté,minor
3027487,Châlons-en-Champagne,48.9575,4.365,1,44246,Grand Est,minor
2979783,Saint-Germain-en-Laye,48.8989,2.0938,8,44750,Île-de-France,minor
3009670,Puteaux,48.885,2.2389,8,44645,Île-de-France,
2998056,Livry-Gargan,48.9192,2.5361,8,44437,Île-de-France,
8286872,Saint-Brieuc,48.5136,-2.7653,5,44170,Bretagne,minor
2996148,Mantes-la-Jolie,48.9908,1.7172,8,44227,Île-de-France,minor
6452000,Noisy-le-Sec,48.8894,2.4503,8,44136,Île-de-France,
6498004,Les Sables-d’Olonne,46.4972,-1.7833,12,44017,Pays de la Loire,minor
3038213,Alfortville,48.805,2.4239,8,43881,Île-de-France,
3026204,Châteauroux,46.8103,1.6911,6,43442,Centre-Val de Loire,minor
8286482,Valenciennes,50.358,3.5233,11,43336,Hauts-de-France,minor
6496329,Sète,43.4053,3.6975,9,43229,Occitanie,
3029096,Caluire-et-Cuire,45.7953,4.8472,3,42847,Auvergne-Rhône-Alpes,
3012647,Istres,43.5151,4.9895,13,43133,Provence-Alpes-Côte d’Azur,minor
3009824,La Courneuve,48.9322,2.3967,8,43054,Île-de-France,
3016621,Garges-lès-Gonesse,48.9728,2.4008,8,42728,Île-de-France,
2973495,Talence,44.8,-0.584,2,42606,Nouvelle-Aquitaine,
6447298,Angoulême,45.65,0.16,2,41711,Nouvelle-Aquitaine,minor
12316668,Castres,43.6,2.25,9,41636,Occitanie,minor
3029931,Bron,45.7394,4.9139,3,41543,Auvergne-Rhône-Alpes,
3031009,Bourg-en-Bresse,46.2056,5.2289,3,41248,Auvergne-Rhône-Alpes,minor
2973385,Tarbes,43.23,0.07,9,41518,Occitanie,minor
3004871,Le Cannet,43.5769,7.0194,13,41471,Provence-Alpes-Côte d’Azur,
8292991,Rezé,47.1833,-1.55,12,41411,Pays de la Loire,
3036784,Arras,50.292,2.78,11,41019,Hauts-de-France,minor
2967421,Wattrelos,50.7,3.217,11,40885,Hauts-de-France,
3035409,Bagneux,48.7983,2.3137,8,40812,Île-de-France,
3016702,Gap,44.5594,6.0786,13,40559,Provence-Alpes-Côte d’Azur,minor
6454375,Thionville,49.3589,6.1692,1,40477,Grand Est,minor
3038224,Alès,44.1281,4.0817,9,40219,Occitanie,minor
7626220,Compiègne,49.4149,2.8231,11,40199,Hauts-de-France,minor
6454724,Melun,48.5406,2.66,8,39947,Île-de-France,minor
3021000,Douai,50.3714,3.08,11,39634,Hauts-de-France,minor
3016830,Gagny,48.8833,2.5333,8,39358,Île-de-France,
3020850,Draguignan,43.5403,6.4667,13,39106,Provence-Alpes-Côte d’Azur,minor
3024223,Colomiers,43.6139,1.3367,9,38951,Occitanie,
3037612,Anglet,43.485,-1.5183,2,38929,Nouvelle-Aquitaine,
