NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	MRIUnit	Mammography	Radiotherapy
1	420.00	0.00	26401.00	3.43	16.63	9.50	9.24	0.00	0.00	0.00
1	729.00	0.00	8084.00	1.05	5.09	2.91	2.83	0.00	0.00	0.00
1	500.00	0.00	162702.00	21.15	102.50	58.57	56.95	0.00	0.00	0.00
1	235.00	0.00	1358351.00	176.59	855.76	489.01	475.42	0.00	0.00	0.00
1	224.00	0.00	37816.00	4.92	23.82	13.61	13.24	0.00	0.00	0.00
1	78.00	0.00	6829.00	0.89	4.30	2.46	2.39	0.00	0.00	0.00
1	290.00	0.00	6738.00	0.88	4.24	2.43	2.36	0.00	0.00	0.00
1	758.00	0.00	7409.00	0.96	4.67	2.67	2.59	0.00	0.00	0.00
1	263.00	0.00	6695.00	0.87	4.22	2.41	2.34	0.00	0.00	0.00
1	241.00	0.00	45339.00	5.89	28.56	16.32	15.87	0.00	0.00	0.00
1	777.00	0.00	6365.00	0.83	4.01	2.29	2.23	0.00	0.00	0.00
1	615.00	0.00	6920.00	0.90	4.36	2.49	2.42	0.00	0.00	0.00
1	433.00	0.00	35135.00	4.57	22.14	12.65	12.30	0.00	0.00	0.00
1	541.00	0.00	8149.00	1.06	5.13	2.93	2.85	0.00	0.00	0.00
1	320.00	0.00	6243.00	0.81	3.93	2.25	2.19	0.00	0.00	0.00
1	563.00	0.00	7322.00	0.95	4.61	2.64	2.56	0.00	0.00	0.00
1	893.00	0.00	36916.00	4.80	23.26	13.29	12.92	0.00	0.00	0.00
1	69.00	0.00	5926.00	0.77	3.73	2.13	2.07	0.00	0.00	0.00
1	79.00	0.00	34298.00	4.46	21.61	12.35	12.00	0.00	0.00	0.00
1	143.00	0.00	16119.00	2.10	10.15	5.80	5.64	0.00	0.00	0.00
1	71.00	0.00	5851.00	0.76	3.69	2.11	2.05	0.00	0.00	0.00
1	309.00	0.00	5606.00	0.73	3.53	2.02	1.96	0.00	0.00	0.00
1	508.00	0.00	8202.00	1.07	5.17	2.95	2.87	0.00	0.00	0.00
1	783.00	0.00	5927.00	0.77	3.73	2.13	2.07	0.00	0.00	0.00
1	936.00	0.00	5685.00	0.74	3.58	2.05	1.99	0.00	0.00	0.00
1	148.00	0.00	6928.00	0.90	4.36	2.49	2.42	0.00	0.00	0.00
1	581.00	0.00	5683.00	0.74	3.58	2.05	1.99	0.00	0.00	0.00
1	288.00	0.00	12206.00	1.59	7.69	4.39	4.27	0.00	0.00	0.00
1	635.00	0.00	59952.00	7.79	37.77	21.58	20.98	0.00	0.00	0.00
1	931.00	0.00	5212.00	0.68	3.28	1.88	1.82	0.00	0.00	0.00
1	178.00	0.00	5048.00	0.66	3.18	1.82	1.77	0.00	0.00	0.00
1	261.00	0.00	6326.00	0.82	3.99	2.28	2.21	0.00	0.00	0.00
1	755.00	0.00	54978.00	7.15	34.64	19.79	19.24	0.00	0.00	0.00
1	507.00	0.00	5034.00	0.65	3.17	1.81	1.76	0.00	0.00	0.00
1	704.00	0.00	94493.00	12.28	59.53	34.02	33.07	0.00	0.00	0.00
1	989.00	0.00	4734.00	0.62	2.98	1.70	1.66	0.00	0.00	0.00
1	51.00	0.00	46991.00	6.11	29.60	16.92	16.45	0.00	0.00	0.00
1	531.00	0.00	84566.00	10.99	53.28	30.44	29.60	0.00	0.00	0.00
1	213.00	0.00	4756.00	0.62	3.00	1.71	1.66	0.00	0.00	0.00
1	475.00	0.00	92440.00	12.02	58.24	33.28	32.35	0.00	0.00	0.00
1	217.00	0.00	5087.00	0.66	3.20	1.83	1.78	0.00	0.00	0.00
1	169.00	0.00	29744.00	3.87	18.74	10.71	10.41	0.00	0.00	0.00
1	146.00	0.00	3908.00	0.51	2.46	1.41	1.37	0.00	0.00	0.00
1	77.00	0.00	4100.00	0.53	2.58	1.48	1.44	0.00	0.00	0.00
1	611.00	0.00	108141.00	14.06	68.13	38.93	37.85	0.00	0.00	0.00
1	746.00	0.00	19633.00	2.55	12.37	7.07	6.87	0.00	0.00	0.00
1	171.00	0.00	3999.00	0.52	2.52	1.44	1.40	0.00	0.00	0.00
1	176.00	0.00	3743.00	0.49	2.36	1.35	1.31	0.00	0.00	0.00
1	887.00	0.00	19521.00	2.54	12.30	7.03	6.83	0.00	0.00	0.00
1	152.00	0.00	17465.00	2.27	11.00	6.29	6.11	0.00	0.00	0.00
1	595.00	0.00	3633.00	0.47	2.29	1.31	1.27	0.00	0.00	0.00
1	848.00	0.00	12107.00	1.57	7.63	4.36	4.24	0.00	0.00	0.00
1	172.00	0.00	3720.00	0.48	2.34	1.34	1.30	0.00	0.00	0.00
1	170.00	0.00	28439.00	3.70	17.92	10.24	9.95	0.00	0.00	0.00
1	702.00	0.00	3606.00	0.47	2.27	1.30	1.26	0.00	0.00	0.00
1	607.00	0.00	3628.00	0.47	2.29	1.31	1.27	0.00	0.00	0.00
1	976.00	0.00	3284.00	0.43	2.07	1.18	1.15	0.00	0.00	0.00
1	762.00	0.00	22756.00	2.96	14.34	8.19	7.96	0.00	0.00	0.00
1	226.00	0.00	3211.00	0.42	2.02	1.16	1.12	0.00	0.00	0.00
1	601.00	0.00	3380.00	0.44	2.13	1.22	1.18	0.00	0.00	0.00
1	832.00	0.00	3380.00	0.44	2.13	1.22	1.18	0.00	0.00	0.00
1	683.00	0.00	3135.00	0.41	1.98	1.13	1.10	0.00	0.00	0.00
1	592.00	0.00	3408.00	0.44	2.15	1.23	1.19	0.00	0.00	0.00
1	925.00	0.00	3130.00	0.41	1.97	1.13	1.10	0.00	0.00	0.00
1	681.00	0.00	2829.00	0.37	1.78	1.02	0.99	0.00	0.00	0.00
1	732.00	0.00	2925.00	0.38	1.84	1.05	1.02	0.00	0.00	0.00
1	300.00	0.00	3204.00	0.42	2.02	1.15	1.12	0.00	0.00	0.00
1	892.00	0.00	20247.00	2.63	12.76	7.29	7.09	0.00	0.00	0.00
1	854.00	0.00	2797.00	0.36	1.76	1.01	0.98	0.00	0.00	0.00
1	90.00	0.00	2671.00	0.35	1.68	0.96	0.93	0.00	0.00	0.00
1	578.00	0.00	2835.00	0.37	1.79	1.02	0.99	0.00	0.00	0.00
1	614.00	0.00	2585.00	0.34	1.63	0.93	0.90	0.00	0.00	0.00
1	849.00	0.00	2371.00	0.31	1.49	0.85	0.83	0.00	0.00	0.00
1	686.00	0.00	8797.00	1.14	5.54	3.17	3.08	0.00	0.00	0.00
1	924.00	0.00	7446.00	0.97	4.69	2.68	2.61	0.00	0.00	0.00
1	751.00	0.00	2526.00	0.33	1.59	0.91	0.88	0.00	0.00	0.00
1	625.00	0.00	2717.00	0.35	1.71	0.98	0.95	0.00	0.00	0.00
1	845.00	0.00	2495.00	0.32	1.57	0.90	0.87	0.00	0.00	0.00
1	576.00	0.00	2480.00	0.32	1.56	0.89	0.87	0.00	0.00	0.00
1	785.00	0.00	2257.00	0.29	1.42	0.81	0.79	0.00	0.00	0.00
1	416.00	0.00	85957.00	11.17	54.15	30.94	30.08	0.00	0.00	0.00
1	934.00	0.00	10592.00	1.38	6.67	3.81	3.71	0.00	0.00	0.00
1	619.00	0.00	2336.00	0.30	1.47	0.84	0.82	0.00	0.00	0.00
1	738.00	0.00	59021.00	7.67	37.18	21.25	20.66	0.00	0.00	0.00
1	81.00	0.00	5241.00	0.68	3.30	1.89	1.83	0.00	0.00	0.00
1	691.00	0.00	2401.00	0.31	1.51	0.86	0.84	0.00	0.00	0.00
1	889.00	0.00	10857.00	1.41	6.84	3.91	3.80	0.00	0.00	0.00
1	584.00	0.00	2212.00	0.29	1.39	0.80	0.77	0.00	0.00	0.00
1	620.00	0.00	2049.00	0.27	1.29	0.74	0.72	0.00	0.00	0.00
1	407.00	0.00	18020.00	2.34	11.35	6.49	6.31	0.00	0.00	0.00
1	275.00	0.00	2279.00	0.30	1.44	0.82	0.80	0.00	0.00	0.00
1	768.00	0.00	2097.00	0.27	1.32	0.75	0.73	0.00	0.00	0.00
1	9.00	0.00	14129.00	1.84	8.90	5.09	4.95	0.00	0.00	0.00
1	317.00	0.00	2266.00	0.29	1.43	0.82	0.79	0.00	0.00	0.00
1	857.00	0.00	4405.00	0.57	2.78	1.59	1.54	0.00	0.00	0.00
1	52.00	0.00	4595.00	0.60	2.89	1.65	1.61	0.00	0.00	0.00
1	230.00	0.00	2082.00	0.27	1.31	0.75	0.73	0.00	0.00	0.00
1	850.00	0.00	2325.00	0.30	1.46	0.84	0.81	0.00	0.00	0.00
1	105.00	0.00	1858.00	0.24	1.17	0.67	0.65	0.00	0.00	0.00
1	239.00	0.00	1836.00	0.24	1.16	0.66	0.64	0.00	0.00	0.00
1	284.00	0.00	9981.00	1.30	6.29	3.59	3.49	0.00	0.00	0.00
1	498.00	0.00	2195.00	0.29	1.38	0.79	0.77	0.00	0.00	0.00
1	707.00	0.00	1743.00	0.23	1.10	0.63	0.61	0.00	0.00	0.00
1	291.00	0.00	1905.00	0.25	1.20	0.69	0.67	0.00	0.00	0.00
1	97.00	0.00	2025.00	0.26	1.28	0.73	0.71	0.00	0.00	0.00
1	623.00	0.00	1954.00	0.25	1.23	0.70	0.68	0.00	0.00	0.00
1	608.00	0.00	1800.00	0.23	1.13	0.65	0.63	0.00	0.00	0.00
1	759.00	0.00	1679.00	0.22	1.06	0.60	0.59	0.00	0.00	0.00
1	280.00	0.00	1948.00	0.25	1.23	0.70	0.68	0.00	0.00	0.00
1	631.00	0.00	24521.00	3.19	15.45	8.83	8.58	0.00	0.00	0.00
1	151.00	0.00	1664.00	0.22	1.05	0.60	0.58	0.00	0.00	0.00
1	489.00	0.00	4290.00	0.56	2.70	1.54	1.50	0.00	0.00	0.00
1	436.00	0.00	6205.00	0.81	3.91	2.23	2.17	0.00	0.00	0.00
1	250.00	0.00	1487.00	0.19	0.94	0.54	0.52	0.00	0.00	0.00
1	480.00	0.00	13664.00	1.78	8.61	4.92	4.78	0.00	0.00	0.00
1	616.00	0.00	1684.00	0.22	1.06	0.61	0.59	0.00	0.00	0.00
1	181.00	0.00	12786.00	1.66	8.06	4.60	4.47	0.00	0.00	0.00
1	47.00	0.00	1726.00	0.22	1.09	0.62	0.60	0.00	0.00	0.00
1	791.00	0.00	4408.00	0.57	2.78	1.59	1.54	0.00	0.00	0.00
1	588.00	0.00	1447.00	0.19	0.91	0.52	0.51	0.00	0.00	0.00
1	256.00	0.00	1368.00	0.18	0.86	0.49	0.48	0.00	0.00	0.00
1	687.00	0.00	1287.00	0.17	0.81	0.46	0.45	0.00	0.00	0.00
1	833.00	0.00	5149.00	0.67	3.24	1.85	1.80	0.00	0.00	0.00
1	844.00	0.00	3004.00	0.39	1.89	1.08	1.05	0.00	0.00	0.00
1	630.00	0.00	1595.00	0.21	1.00	0.57	0.56	0.00	0.00	0.00
1	747.00	0.00	4080.00	0.53	2.57	1.47	1.43	0.00	0.00	0.00
1	46.00	0.00	1230.00	0.16	0.77	0.44	0.43	0.00	0.00	0.00
1	312.00	0.00	1086.00	0.14	0.68	0.39	0.38	0.00	0.00	0.00
1	561.00	0.00	15837.00	2.06	9.98	5.70	5.54	0.00	0.00	0.00
1	218.00	0.00	5210.00	0.68	3.28	1.88	1.82	0.00	0.00	0.00
1	697.00	0.00	1119.00	0.15	0.70	0.40	0.39	0.00	0.00	0.00
1	231.00	0.00	16726.00	2.17	10.54	6.02	5.85	0.00	0.00	0.00
1	890.00	0.00	1192.00	0.15	0.75	0.43	0.42	0.00	0.00	0.00
1	265.00	0.00	2117.00	0.28	1.33	0.76	0.74	0.00	0.00	0.00
1	742.00	0.00	949.00	0.12	0.60	0.34	0.33	0.00	0.00	0.00
1	72.00	0.00	889.00	0.12	0.56	0.32	0.31	0.00	0.00	0.00
1	583.00	0.00	894.00	0.12	0.56	0.32	0.31	0.00	0.00	0.00
1	43.00	0.00	1016.00	0.13	0.64	0.37	0.36	0.00	0.00	0.00
1	421.00	0.00	634.00	0.08	0.40	0.23	0.22	0.00	0.00	0.00
1	435.00	0.00	676.00	0.09	0.43	0.24	0.24	0.00	0.00	0.00
1	35.00	0.00	461.00	0.06	0.29	0.17	0.16	0.00	0.00	0.00
1	65.00	0.00	565.00	0.07	0.36	0.20	0.20	0.00	0.00	0.00
1	766.00	0.00	1490.00	0.19	0.94	0.54	0.52	0.00	0.00	0.00
1	165.00	0.00	15181.00	1.97	9.56	5.47	5.31	0.00	0.00	0.00
1	82.00	0.00	76932.00	10.00	48.47	27.70	26.93	0.00	0.00	0.00
1	86.00	0.00	7405.00	0.96	4.67	2.67	2.59	0.00	0.00	0.00
1	316.00	0.00	31995.00	4.16	20.16	11.52	11.20	0.00	0.00	0.00
1	624.00	0.00	4730.00	0.61	2.98	1.70	1.66	0.00	0.00	0.00
1	16.00	0.00	7618.00	0.99	4.80	2.74	2.67	0.00	0.00	0.00
1	689.00	0.00	6418.00	0.83	4.04	2.31	2.25	0.00	0.00	0.00
1	177.00	0.00	9843.00	1.28	6.20	3.54	3.45	0.00	0.00	0.00
1	626.00	0.00	4261.00	0.55	2.68	1.53	1.49	0.00	0.00	0.00
1	318.00	0.00	226.00	0.03	0.14	0.08	0.08	0.00	0.00	0.00
1	273.00	0.00	3976.00	0.52	2.50	1.43	1.39	0.00	0.00	0.00
