2022,city,https://worldpopulationreview.com/countries/cities/france,
2138551,Paris,https://www.populationpyramid.net/france/2030/,
794811,Marseille,https://www.geonames.org/,
472317,Lyon,,
433055,Toulouse,129,<= 30000
338620,Nice,32%,<= 30000
277269,Nantes,0%,<= 10000
274845,Strasbourg,400,Total
248252,Montpellier,,
231844,Bordeaux,,
228328,Lille,,
209375,Rennes,,
196565,Reims,,
185972,Le Havre,,
183430,Cergy-Pontoise,,
176280,Saint-Etienne,,
168701,Toulon,,
168279,Angers,,
158552,Grenoble,,
149782,Dijon,,
148236,Nimes,,
146821,Aix-en-Provence,,
146598,Saint-Quentin-en-Yvelines,,
144899,Brest,,
144515,Le Mans,,
143086,Amiens,,
141621,Tours,,
141176,Limoges,,
138681,Clermont-Ferrand,,
131445,Villeurbanne,,
128426,Besancon,,
124149,Orleans,,
123914,Metz,,
112787,Rouen,,
111430,Mulhouse,,
110706,Perpignan,,
110624,Caen,,
108782,Boulogne-Billancourt,,
105334,Nancy,,
101475,Argenteuil,,
96128,Saint-Denis,,
95721,Roubaix,,
91574,Tourcoing,,
90652,Montreuil,,
89769,Avignon,,
89316,Marseille 13,,
86742,Asnieres-sur-Seine,,
86719,Nanterre,,
85960,Poitiers,,
85416,Versailles,,
85158,Courbevoie,,
84833,Creteil,,
82697,Pau,,
82300,Colombes,,
81001,Vitry-sur-Seine,,
80615,Aulnay-sous-Bois,,
78837,Marseille 08,,
77770,Marseille 15,,
76868,Marseille 09,,
76810,La Rochelle,,
76726,Champigny-sur-Marne,,
76616,Rueil-Malmaison,,
76393,Antibes,,
75402,Saint-Maur-des-Fosses,,
74433,Calais,,
74081,Beziers,,
71287,Dunkerque,,
70914,Aubervilliers,,
70011,Cannes,,
69791,Merignac,,
67987,Bourges,,
67054,Saint-Nazaire,,
65405,Colmar,,
63864,Valence,,
63849,Quimper,,
62488,Drancy,,
62420,Noisy-le-Grand,,
62400,Villeneuve-d'Ascq,,
62330,La Seyne-sur-Mer,,
62178,Levallois-Perret,,
61920,Marseille 14,,
61640,Chambery,,
61447,Issy-les-Moulineaux,,
61300,Neuilly-sur-Seine,,
60785,Troyes,,
59845,Antony,,
59410,La Roche-sur-Yon,,
58734,Marseille 12,,
58112,Lorient,,
57979,Sarcelles,,
57944,Pessac,,
57897,Ivry-sur-Seine,,
57795,Evreux,,
57584,Venissieux,,
57576,Cergy,,
57467,Clichy,,
56792,Marseille 11,,
55407,Saint-Quentin,,
54660,Niort,,
54562,Belfort,,
54364,Ajaccio,,
54020,Vannes,,
53980,Sartrouville,,
53964,Maisons-Alfort,,
53811,Meaux,,
53660,Blois,,
53466,Brive-la-Gaillarde,,
53431,Arles,,
53393,Beauvais,,
53301,Chateauroux,,
53160,Cholet,,
53098,Frejus,,
52922,Pantin,,
52774,Saint-Brieuc,,
52434,Montauban,,
52415,Charleville-Mezieres,,
52409,Albi,,
52106,Tarbes,,
52075,Fontenay-sous-Bois,,
51900,Evry,,
51400,Clamart,,
51299,Marseille 10,,
51257,Chalons-en-Champagne,,
50776,Narbonne,,
50676,Saint-Malo,,
50489,Laval,,
50487,Hyeres,,
49600,Carcassonne,,
49468,Angouleme,,
49232,Annecy,,
48268,Bondy,,
48077,Le Blanc-Mesnil,,
48048,Villejuif,,
47581,Grasse,,
47334,Sevran,,
47275,Castres,,
47251,Chalon-sur-Saone,,
47193,Marseille 04,,
47052,Arras,,
47013,Boulogne-sur-Mer,,
46947,Chelles,,
46923,Cagnes-sur-Mer,,
46898,Saint-Herblain,,
46531,Douai,,
46145,Epinay-sur-Seine,,
45923,Vincennes,,
45749,Martigues,,
45414,Marseille 03,,
45340,Bourg-en-Bresse,,
44962,Bobigny,,
44960,Montlucon,,
44844,Aubagne,,
44821,Valenciennes,,
44697,Suresnes,,
44652,Meudon,,
44583,Marseille 05,,
44396,Bayonne,,
44373,Istres,,
44311,Thionville,,
44263,Mantes-la-Jolie,,
44243,Compiegne,,
43988,Nevers,,
43838,Chartres,,
43360,Marseille 06,,
43353,Le Cannet,,
42826,Wattrelos,,
42763,Caluire-et-Cuire,,
42715,Gap,,
42579,Talence,,
42410,Ales,,
42294,Gennevilliers,,
41641,Saint-Priest,,
41627,Rosny-sous-Bois,,
41516,Auxerre,,
41397,Salon-de-Provence,,
41142,Saint-Germain-en-Laye,,
41001,Bastia,,
40919,Marseille 01,,
40736,Sete,,
40658,Anglet,,
40646,Puteaux,,
40527,Corbeil-Essonnes,,
39847,Garges-les-Gonesse,,
39840,Roanne,,
39698,Savigny-sur-Orge,,
39518,Livry-Gargan,,
39518,Epinal,,
39353,Saint-Ouen,,
39248,Reze,,
39063,Montigny-le-Bretonneux,,
38955,Noisy-le-Sec,,
38953,Melun,,
38900,Bagneux,,
38768,Massy,,
38721,Haguenau,,
38708,Montrouge,,
38629,Marcq-en-Baroeul,,
38591,Vitrolles,,
38573,Draguignan,,
38265,Lens,,
38134,Gagny,,
38014,Saint-Chamond,,
37825,Bron,,
37489,Vaulx-en-Velin,,
37466,Joue-les-Tours,,
37290,Alfortville,,
37287,La Courneuve,,
37210,Chatellerault,,
37114,Villepinte,,
36492,Cambrai,,
36431,Poissy,,
36358,Conflans-Sainte-Honorine,,
36205,Mont-de-Marsan,,
36121,Plaisir,,
35981,Marseille 07,,
35873,Marignane,,
35707,Dieppe,,
35637,Montelimar,,
35591,Tremblay-en-France,,
35590,Choisy-le-Roi,,
35528,Saint-Martin-d'Heres,,
35484,Macon,,
35002,Romans-sur-Isere,,
34918,Saint-Raphael,,
34798,Pontault-Combault,,
34779,Six-Fours-les-Plages,,
34770,Perigueux,,
34724,Aurillac,,
34465,Neuilly-sur-Marne,,
