data;

param POPN:=
[1,270030]	425320
[1,270060]	71517
[1,270070]	33164
[1,270110]	41703
[1,270120]	50704
[1,270170]	92020
[1,270190]	20127
[1,270230]	73542
[1,270255]	126081
[1,270270]	24304
[1,270280]	58621
[1,270320]	94830
[1,270390]	48840
[1,270430]	1106695
[1,270460]	37896
[1,270480]	74056
[1,270500]	66147
[1,270580]	92709
[1,270642]	33100
[1,270644]	31070
[1,270650]	62054
[1,270730]	115753
[1,270790]	94843
[1,270810]	11600
[1,270820]	44907
[1,270830]	113164
[1,270840]	191242
[1,270860]	103307
[1,270915]	171792
[1,270920]	29802
[1,270940]	42911
[2,270030]	425320
[2,270110]	41703
[2,270120]	176785
[2,270230]	97846
[2,270280]	58621
[2,270320]	139737
[2,270430]	1201538
[2,270460]	37896
[2,270480]	74056
[2,270500]	66147
[2,270580]	92709
[2,270642]	33100
[2,270644]	31070
[2,270650]	62054
[2,270730]	164593
[2,270810]	11600
[2,270830]	113164
[2,270840]	224406
[2,270860]	346616
[2,270920]	29802
[2,270940]	155058
[3,270030]	594859
[3,270230]	97846
[3,270430]	1291229
[3,270500]	99247
[3,270730]	226647
[3,270830]	113164
[3,270840]	531796
[3,270860]	346616
[3,270940]	282417
;

end;

