lon,lat
-48.2044,-7.19238,
-48.2044,-7.19238,
-48.2044,-7.19238,
-48.2044,-7.19238,
-48.2044,-7.19238,
-48.2044,-7.19238,
-48.2044,-7.19238,
-48.2044,-7.19238,
-48.2044,-7.19238,
-48.2044,-7.19238,
-48.2044,-7.19238,
-48.2044,-7.19238,
-48.1232,-5.64659,
-48.1232,-5.64659,
-48.1232,-5.64659,
-48.1232,-5.64659,
-48.1232,-5.64659,
-48.1232,-5.64659,
-48.1232,-5.64659,
-48.1232,-5.64659,
-46.8198,-11.624,
-46.8198,-11.624,
-46.8198,-11.624,
-46.8198,-11.624,
-46.8198,-11.624,
-46.8198,-11.624,
-46.8198,-11.624,
-46.8198,-11.624,
-49.5316,-11.7976,
-49.5316,-11.7976,
-49.5316,-11.7976,
-49.5316,-11.7976,
-49.5316,-11.7976,
-49.5316,-11.7976,
-49.5316,-11.7976,
-49.5316,-11.7976,
-49.5316,-11.7976,
-47.3252,-7.71478,
-47.3252,-7.71478,
-47.3252,-7.71478,
-47.3252,-7.71478,
-48.4252,-7.63171,
-48.4252,-7.63171,
-48.4252,-7.63171,
-48.4252,-7.63171,
-48.4252,-7.63171,
-48.4252,-7.63171,
-48.4252,-7.63171,
-48.4252,-7.63171,
-48.8823,-10.175,
-48.8823,-10.175,
-48.8823,-10.175,
-48.8823,-10.175,
-48.8823,-10.175,
-48.8823,-10.175,
-48.8823,-10.175,
-48.8823,-10.175,
-48.8823,-10.175,
-48.8823,-10.175,
-48.8823,-10.175,
-47.8734,-12.6167,
-47.8734,-12.6167,
-47.8734,-12.6167,
-47.8734,-12.6167,
-47.8734,-12.6167,
-47.8734,-12.6167,
-47.8734,-12.6167,
-48.1729,-8.97034,
-48.1729,-8.97034,
-48.1729,-8.97034,
-48.1729,-8.97034,
-48.1729,-8.97034,
-48.1729,-8.97034,
-48.1729,-8.97034,
-48.1729,-8.97034,
-48.1729,-8.97034,
-48.408,-10.7027,
-48.408,-10.7027,
-48.408,-10.7027,
-48.408,-10.7027,
-48.408,-10.7027,
-48.408,-10.7027,
-48.408,-10.7027,
-48.408,-10.7027,
-48.3558,-10.24,
-48.3558,-10.24,
-48.3558,-10.24,
-48.3558,-10.24,
-48.3558,-10.24,
