name,lat,lon
Adolfo,-21.2325,-49.6451,
Águas de Lindóia,-22.4733,-46.6314,
Lindóia,-22.5226,-46.65,
Águas de São Pedro,-22.5977,-47.8734,
Charqueada,-22.5096,-47.7755,
São Pedro,-22.5483,-47.9096,
Agudos,-22.4694,-48.9863,
Borebi,-22.5728,-48.9707,
Altinópolis,-21.0214,-47.3712,
Alto Alegre,-21.5811,-50.168,
Luiziânia,-21.6737,-50.3294,
Alfredo Marcondes,-21.9527,-51.414,
Álvares Machado,-22.0764,-51.4722,
Pirapozinho,-22.2711,-51.4976,
Alvinlândia,-22.4435,-49.7623,
Ubirajara,-22.5272,-49.6613,
Americana,-22.7374,-47.3331,
Limeira,-22.566,-47.397,
Américo Brasiliense,-21.7288,-48.1147,
Rincão,-21.5894,-48.0728,
Santa Lúcia,-21.685,-48.0885,
Américo de Campos,-20.2985,-49.7359,
Amparo,-22.7088,-46.772,
Andradina,-20.8948,-51.3786,
Castilho,-20.8689,-51.4884,
Angatuba,-23.4917,-48.4139,
Campina do Monte Alegre,-23.5895,-48.4758,
Anhembi,-22.793,-48.1336,
Aparecida,-22.8495,-45.2325,
Apiaí,-24.5108,-48.8443,
Itaóca,-24.6393,-48.8413,
Ribeira,-24.6517,-49.0044,
Arandu,-23.1386,-49.0487,
Araras,-22.3572,-47.3842,
Arealva,-22.031,-48.9135,
Itaju,-21.9857,-48.8116,
Areias,-22.5786,-44.6992,
Arujá,-23.3965,-46.32,
Poá,-23.5333,-46.3473,
Suzano,-23.5448,-46.3112,
Assis,-22.66,-50.4183,
Auriflama,-20.6836,-50.5572,
Guzolândia,-20.6467,-50.6645,
Avaré,-23.1067,-48.9251,
Bananal,-22.6819,-44.3281,
Bariri,-22.073,-48.7438,
Barra do Chapéu,-24.4722,-49.0238,
Barra do Turvo,-24.759,-48.5013,
Barretos,-20.5531,-48.5698,
Barueri,-23.5057,-46.879,
Batatais,-20.8929,-47.5921,
Bauru,-22.3246,-49.0871,
Bebedouro,-20.9491,-48.4791,
Viradouro,-20.8734,-48.293,
Bernardino de Campos,-23.0164,-49.4679,
Manduri,-23.0056,-49.3202,
Óleo,-22.9435,-49.3419,
Bertioga,-23.8486,-46.1396,
Araçatuba,-21.2076,-50.4401,
Bilac,-21.404,-50.4746,
Birigui,-21.291,-50.3432,
Coroados,-21.3521,-50.2859,
Gabriel Monteiro,-21.5294,-50.5573,
Glicério,-21.3812,-50.2123,
Piacatu,-21.5921,-50.6003,
Santópolis do Aguapeí,-21.6376,-50.5044,
Boa Esperança do Sul,-21.9918,-48.3906,
Bocaina,-22.1365,-48.523,
Dourado,-22.1044,-48.3178,
Bofete,-23.1055,-48.2582,
Boituva,-23.2855,-47.6786,
Capela do Alto,-23.4685,-47.7388,
Bom Sucesso de Itararé,-24.3155,-49.1451,
Borborema,-21.6214,-49.0741,
Botucatu,-22.8837,-48.4437,
Pardinho,-23.0841,-48.3679,
Bragança Paulista,-22.9527,-46.5419,
Pinhalzinho,-22.7811,-46.5897,
Vargem,-22.887,-46.4124,
Brotas,-22.2795,-48.1251,
Buri,-23.7977,-48.5958,
Brejo Alegre,-21.1651,-50.1861,
Buritama,-21.0661,-50.1475,
Lourdes,-20.966,-50.2263,
Planalto,-21.0342,-49.933,
Turiúba,-20.9428,-50.1135,
Zacarias,-21.0506,-50.0552,
Caçapava,-23.0992,-45.7076,
Jambeiro,-23.2522,-45.6942,
Monteiro Lobato,-22.9544,-45.8407,
Cachoeira Paulista,-22.6665,-45.0154,
Cruzeiro,-22.5728,-44.969,
Lavrinhas,-22.57,-44.9024,
Lorena,-22.7334,-45.1197,
Piquete,-22.6069,-45.1869,
Caconde,-21.528,-46.6437,
Cafelândia,-21.8031,-49.6092,
Caieiras,-23.3607,-46.7397,
Mairiporã,-23.3171,-46.5897,
Cajati,-24.7324,-48.1223,
Cajobi,-20.8773,-48.8063,
Embaúba,-20.9796,-48.8325,
Severínia,-20.8108,-48.8054,
Cajuru,-21.2749,-47.303,
Cássia dos Coqueiros,-21.2801,-47.1643,
Campinas,-22.9053,-47.0659,
Indaiatuba,-23.0816,-47.2101,
Campos do Jordão,-22.7296,-45.5833,
Campos Novos Paulista,-22.602,-49.9987,
Cananéia,-25.0144,-47.9341,
Cândido Mota,-22.7471,-50.3873,
Tarumã,-22.7429,-50.5786,
Capão Bonito,-24.0113,-48.3482,
Ribeirão Grande,-24.1011,-48.3679,
Caraguatatuba,-23.6125,-45.4125,
Cardoso,-20.08,-49.9183,
Casa Branca,-21.7708,-47.0852,
Catanduva,-21.1314,-48.977,
Catiguá,-21.0519,-49.0616,
Elisiário,-21.1678,-49.1146,
Novais,-20.9893,-48.9141,
Águas de Santa Bárbara,-22.8812,-49.2421,
Cerqueira César,-23.038,-49.1655,
Iaras,-22.8682,-49.1634,
Cerquilho,-23.1665,-47.7459,
Iperó,-23.3513,-47.6927,
Tatuí,-23.3487,-47.8461,
Cesário Lange,-23.226,-47.9545,
Pereiras,-23.0804,-47.972,
Porangaba,-23.1761,-48.1195,
Quadra,-23.2993,-48.0547,
Torre de Pedra,-23.2462,-48.1955,
Braúna,-21.499,-50.3175,
Clementina,-21.5604,-50.4525,
Colina,-20.7114,-48.5387,
Taquaral,-21.0737,-48.4126,
Colômbia,-20.1768,-48.6865,
Conchal,-22.3375,-47.1729,
Engenheiro Coelho,-22.4836,-47.211,
Mogi Mirim,-22.4332,-46.9532,
Conchas,-23.0154,-48.0134,
Cotia,-23.6022,-46.919,
Vargem Grande Paulista,-23.5993,-47.022,
Cubatão,-23.8911,-46.424,
Guarujá,-23.9888,-46.258,
Mongaguá,-24.0809,-46.6265,
Cunha,-23.0731,-44.9576,
Diadema,-23.6813,-46.6205,
Dois Córregos,-22.3673,-48.3819,
Mineiros do Tietê,-22.412,-48.451,
Dracena,-21.4843,-51.535,
Monte Castelo,-21.2981,-51.5679,
Ouro Verde,-21.4872,-51.7024,
São João do Pau d'Alho,-21.2662,-51.6672,
Tupi Paulista,-21.3825,-51.575,
Duartina,-22.4146,-49.4084,
Fernão,-22.3607,-49.5187,
Lucianópolis,-22.4294,-49.522,
Echaporã,-22.4326,-50.2038,
Oscar Bressane,-22.3149,-50.2811,
Eldorado,-24.5281,-48.1141,
Carapicuíba,-23.5235,-46.8407,
Embu das Artes,-23.6437,-46.8579,
Embu-Guaçu,-23.8297,-46.8136,
Jandira,-23.5275,-46.9023,
São Lourenço da Serra,-23.8491,-46.9432,
Emilianópolis,-21.8314,-51.4832,
Santo Expedito,-21.8467,-51.3929,
Espírito Santo do Pinhal,-22.1909,-46.7477,
Euclides da Cunha Paulista,-22.5545,-52.5928,
Fartura,-23.3916,-49.5124,
Sarutaiá,-23.2721,-49.4763,
Fernandópolis,-20.2806,-50.2471,
Macedônia,-20.1444,-50.1973,
Meridiano,-20.3579,-50.1811,
Pedranópolis,-20.2474,-50.1129,
São João das Duas Pontes,-20.3879,-50.3792,
Valentim Gentil,-20.4217,-50.0889,
Ferraz de Vasconcelos,-23.5411,-46.371,
Flórida Paulista,-21.6127,-51.1724,
Irapuru,-21.5684,-51.3472,
Franca,-20.5352,-47.4039,
Francisco Morato,-23.2792,-46.7448,
Franco da Rocha,-23.3229,-46.729,
Gália,-22.2918,-49.5504,
Álvaro de Carvalho,-22.0841,-49.719,
Garça,-22.2125,-49.6546,
Júlio Mesquita,-22.0112,-49.7873,
General Salgado,-20.6485,-50.364,
Nova Castilho,-20.7615,-50.3477,
São João de Iracema,-20.5111,-50.3561,
Getulina,-21.7961,-49.9312,
Guaimbê,-21.9091,-49.8986,
Guaíra,-20.3196,-48.312,
Guapiara,-24.1892,-48.5295,
Aramina,-20.0882,-47.7873,
Guará,-20.4302,-47.8236,
Ituverava,-20.3355,-47.7902,
Ribeirão Corrente,-20.4579,-47.5904,
Altair,-20.5242,-49.0571,
Guaraci,-20.4977,-48.9391,
Guararema,-23.4112,-46.0369,
Guaratinguetá,-22.8075,-45.1938,
Guareí,-23.3714,-48.1837,
Guariba,-21.3594,-48.2316,
Motuca,-21.5103,-48.1538,
Pradópolis,-21.3626,-48.0679,
Santa Ernestina,-21.4618,-48.3953,
Guarulhos,-23.4538,-46.5333,
Guatapará,-21.4944,-48.0356,
Herculândia,-22.0038,-50.3907,
Queiroz,-21.7969,-50.2415,
Quintana,-22.0692,-50.307,
Hortolândia,-22.8529,-47.2143,
Iacanga,-21.8896,-49.031,
Reginópolis,-21.8914,-49.2268,
Araraquara,-21.7845,-48.178,
Ibaté,-21.9584,-47.9882,
Ibirá,-21.083,-49.2448,
Potirendaba,-21.0428,-49.3815,
Uchoa,-20.9511,-49.1713,
Iepê,-22.6602,-51.0779,
Nantes,-22.6156,-51.24,
Buritizal,-20.1911,-47.7096,
Igarapava,-20.0407,-47.7466,
Iguape,-24.699,-47.5537,
Ilha Comprida,-24.7307,-47.5383,
Ilhabela,-23.7785,-45.3552,
Ilha Solteira,-20.4326,-51.3426,
Itapura,-20.6419,-51.5063,
Canitar,-23.004,-49.7839,
Ipaussu,-23.0575,-49.6279,
Ourinhos,-22.9797,-49.8697,
Chavantes,-23.0366,-49.7096,
Iporanga,-24.5847,-48.5971,
Ipuã,-20.4438,-48.0129,
Itaberá,-23.8638,-49.14,
Itaí,-23.4213,-49.092,
Itajobi,-21.3123,-49.0629,
Marapoama,-21.2587,-49.13,
Novo Horizonte,-21.4651,-49.2234,
Itanhaém,-24.1736,-46.788,
Itapecerica da Serra,-23.7161,-46.8572,
Juquitiba,-23.9244,-47.0653,
Alambari,-23.5503,-47.898,
Itapetininga,-23.5886,-48.0483,
Itapeva,-23.9788,-48.8764,
Nova Campina,-24.1224,-48.9022,
Taquarivaí,-23.9211,-48.6948,
Itapevi,-23.5488,-46.9327,
Itapira,-22.4357,-46.8224,
Itapirapuã Paulista,-24.572,-49.1661,
Ibitinga,-21.7562,-48.8319,
Itápolis,-21.5942,-48.8149,
Barão de Antonina,-23.6284,-49.5634,
Itaporanga,-23.7043,-49.4819,
Riversul,-23.829,-49.429,
Boracéia,-22.1926,-48.7808,
Itapuí,-22.2324,-48.7197,
Pederneiras,-22.3511,-48.7781,
Itaquaquecetuba,-23.4835,-46.3457,
Itararé,-24.1085,-49.3352,
Itatiba,-23.0035,-46.8464,
Itatinga,-23.1047,-48.6157,
Analândia,-22.1289,-47.6619,
Corumbataí,-22.2213,-47.6215,
Itirapina,-22.2562,-47.8166,
Itu,-23.2544,-47.2927,
Itupeva,-23.1526,-47.0593,
Jaborandi,-20.6884,-48.4112,
Terra Roxa,-20.787,-48.3314,
Jaboticabal,-21.252,-48.3252,
Taiúva,-21.1223,-48.4528,
Jacareí,-23.2983,-45.9658,
Santa Branca,-23.3933,-45.8875,
Jaci,-20.8805,-49.5797,
Nova Aliança,-21.0156,-49.4986,
Holambra,-22.6405,-47.0487,
Jaguariúna,-22.7037,-46.9851,
Dirce Reis,-20.4642,-50.6073,
Jales,-20.2672,-50.5494,
Pontalinda,-20.4396,-50.5258,
Jaú,-22.2936,-48.5592,
Joanópolis,-22.927,-46.2741,
José Bonifácio,-21.0551,-49.6892,
Mendonça,-21.1757,-49.5791,
Nipoã,-20.9114,-49.7833,
Ubarana,-21.165,-49.7198,
Cajamar,-23.355,-46.8781,
Campo Limpo Paulista,-23.2078,-46.7889,
Jarinu,-23.1039,-46.728,
Jundiaí,-23.1852,-46.8974,
Várzea Paulista,-23.2136,-46.8234,
Flora Rica,-21.6727,-51.3821,
Junqueirópolis,-21.5103,-51.4342,
Areiópolis,-22.6672,-48.6681,
Lençóis Paulista,-22.6027,-48.8037,
Lins,-21.6718,-49.7526,
Adamantina,-21.682,-51.0737,
Inúbia Paulista,-21.7695,-50.9633,
Lucélia,-21.7182,-51.0215,
Mariápolis,-21.7959,-51.1824,
Parapuã,-21.7792,-50.7949,
Pracinha,-21.8496,-51.0868,
Sagres,-21.8823,-50.9594,
Salmourão,-21.6267,-50.8614,
Lupércio,-22.4146,-49.818,
Ocauçu,-22.438,-49.922,
Barra Bonita,-22.4909,-48.5583,
Igaraçu do Tietê,-22.509,-48.5597,
Macatuba,-22.5002,-48.7102,
Macaubal,-20.8022,-49.9687,
União Paulista,-20.8862,-49.9025,
Cruzália,-22.7373,-50.7909,
Maracaí,-22.6149,-50.6713,
Marília,-22.2171,-49.9501,
Vera Cruz,-22.2183,-49.8207,
Caiabu,-22.0127,-51.2394,
Indiana,-22.1738,-51.2555,
Martinópolis,-22.1462,-51.1709,
Matão,-21.6025,-48.364,
Miguelópolis,-20.1796,-48.031,
Miracatu,-24.2766,-47.4625,
Guaraçaí,-21.0292,-51.2119,
Mirandópolis,-21.1313,-51.1035,
Murutinga do Sul,-20.9908,-51.2774,
Mirante do Paranapanema,-22.2904,-51.9084,
Bady Bassitt,-20.9197,-49.4385,
Bálsamo,-20.7348,-49.5865,
Cedral,-20.9009,-49.2664,
Mirassol,-20.8169,-49.5206,
Monte Aprazível,-20.768,-49.7184,
Neves Paulista,-20.843,-49.6358,
Tanabi,-20.6228,-49.6563,
Mirassolândia,-20.6179,-49.4617,
Mococa,-21.4647,-47.0024,
Biritiba-Mirim,-23.5698,-46.0407,
Mogi das Cruzes,-23.5208,-46.1854,
Mogi Guaçu,-22.3675,-46.9428,
Estiva Gerbi,-22.2713,-46.9481,
Monte Alto,-21.2655,-48.4971,
Vista Alegre do Alto,-21.1692,-48.6284,
Monte Azul Paulista,-20.9065,-48.6387,
Capivari,-22.9951,-47.5071,
Elias Fausto,-23.0428,-47.3682,
Monte Mor,-22.945,-47.3122,
Sumaré,-22.8204,-47.2728,
Morro Agudo,-20.7288,-48.0581,
Morungaba,-22.8811,-46.7896,
Tuiuti,-22.8193,-46.6937,
Estrela do Norte,-22.4859,-51.6632,
Narandiba,-22.4057,-51.5274,
Sandovalina,-22.4551,-51.7648,
Floreal,-20.6752,-50.1513,
Gastão Vidigal,-20.7948,-50.1912,
Magda,-20.6445,-50.2305,
Monções,-20.8509,-50.0975,
Nhandeara,-20.6945,-50.0436,
Poloni,-20.7829,-49.8258,
Sebastianópolis do Sul,-20.6523,-49.925,
Gavião Peixoto,-21.8367,-48.4957,
Nova Europa,-21.7765,-48.5705,
Icém,-20.3391,-49.1915,
Ipiguá,-20.6557,-49.3842,
Nova Granada,-20.5321,-49.3123,
Onda Verde,-20.6042,-49.2929,
Palestina,-20.39,-49.4309,
